Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,105.26,107.28,104.85,107.15,6148110,55458,106.664479
2021-01-04,107.18,107.35,103.86,105.41,9523377,84803,105.230509
2021-01-05,105.41,107.02,104.63,106.5,6823852,67885,105.97525
2021-01-06,104.75,107.19,104.18,105.58,11018850,103915,105.695678
2021-01-07,106.11,107.0642,105.5663,106.71,8196227,77224,106.568621
2021-01-08,106.93,107.53,105.762,107.27,5345924,56679,106.856613
2021-01-11,107.27,109.56,107.065,109.02,6334840,64666,108.744258
2021-01-12,109.22,110.78,109.12,109.78,6114537,63487,109.852826
2021-01-13,109.8,113.41,109.7,112.45,9901675,93002,112.120505
2021-01-14,110.7,112.69,109.5,111.63,8269061,69632,111.813342
2021-01-15,111.2,111.56,109.48,110.52,9196450,71251,110.37567
2021-01-19,111.25,112.31,110.26,112.18,7724882,65499,111.646394
2021-01-20,112.79,113.1,111.47,112.62,6554574,52596,112.577977
2021-01-21,112.63,112.75,110.76,111.26,5417311,52828,111.366084
2021-01-22,110.65,111.6,109.48,110.86,5185863,42520,110.928342
2021-01-25,109.73,111.23,109.21,110.5,6928189,66303,110.358355
2021-01-26,111.3,111.3,108.56,108.8,5554641,62347,109.414242
2021-01-27,106.28,106.7,102.59,102.79,11889034,150579,103.920088
2021-01-28,103.93,105.1381,103.11,104.21,8534301,88238,104.38051
2021-01-29,104.0,104.49,101.8117,102.48,9383478,85080,102.751854
2021-02-01,103.0,103.8927,101.86,102.3,7518153,83369,102.492144
2021-02-02,102.88,104.31,102.5,103.47,10481296,93988,103.614297
2021-02-03,106.0,107.57,104.01,106.95,12101873,118076,106.002992
2021-02-04,106.87,108.875,105.25,108.53,9077784,90345,107.644526
2021-02-05,109.63,110.27,108.44,108.73,7250979,63622,109.006703
2021-02-08,108.66,108.98,105.81,106.84,9202002,88180,106.618518
2021-02-09,106.0,106.5,105.11,105.4,5509615,58551,105.547959
2021-02-10,105.98,106.13,103.72,104.05,7447497,68611,104.418744
2021-02-11,104.44,104.68,103.32,103.75,5090066,52870,103.831163
2021-02-12,103.73,104.57,103.15,104.44,3738364,41982,104.039733
2021-02-16,105.33,106.19,104.02,104.2,5637258,63397,104.792012
2021-02-17,104.7,106.75,104.15,106.29,6940499,77094,106.106171
2021-02-18,105.31,106.61,105.21,106.06,5386843,60848,106.067757
2021-02-19,106.23,106.7,104.91,105.01,6702445,59563,105.333847
2021-02-22,104.66,107.68,104.23,107.06,10272836,82188,106.617531
2021-02-23,106.97,107.6,105.96,106.27,7058613,79662,106.526243
2021-02-24,106.0,109.44,105.6016,108.69,7626186,75194,108.193632
2021-02-25,108.62,109.3,107.0658,107.33,6237641,70518,107.776073
2021-02-26,107.68,108.58,105.36,107.74,9249971,90625,107.527406
2021-03-01,108.67,109.21,108.0738,108.41,4710324,55086,108.635154
2021-03-02,108.85,109.38,107.81,107.85,5487024,52087,108.379947
2021-03-03,106.86,107.14,105.46,106.71,7218708,68541,106.386455
2021-03-04,106.5,107.75,104.95,105.65,7503749,73926,106.097543
2021-03-05,106.01,106.99,104.07,106.7,7277808,82324,105.758003
2021-03-08,106.85,108.155,105.804,106.11,6049384,60828,106.917818
2021-03-09,106.48,108.69,106.44,106.79,6857541,59495,107.254649
2021-03-10,107.39,108.36,107.05,108.0,5762619,58900,107.890325
