Date,Dividend
1984-07-30,0.035556
1984-10-29,0.035556
1985-01-28,0.035556
1985-04-25,0.035556
1985-07-29,0.041481
1985-10-28,0.041481
1986-02-20,0.048889
1986-04-25,0.048889
1986-07-28,0.048889
1986-10-28,0.048889
1987-01-27,0.055556
1987-05-06,0.055556
1987-07-31,0.055556
1987-11-05,0.06
1988-01-26,0.06
1988-05-03,0.06
1988-08-02,0.06
1988-10-25,0.073333
1989-01-24,0.073333
1989-05-02,0.073333
1989-08-01,0.073333
1989-10-24,0.08
1990-01-23,0.08
1990-05-01,0.08
1990-07-31,0.08
1990-10-23,0.08
1991-01-29,0.08
1991-04-30,0.08
1991-07-30,0.08
1991-10-22,0.08
1992-01-28,0.08
1992-04-28,0.08
1992-07-28,0.08
1992-10-27,0.08
1993-01-26,0.08
1993-04-27,0.08
1993-07-27,0.08
1993-10-26,0.08
1994-01-25,0.08
1994-04-26,0.08
1994-07-26,0.08
1994-10-25,0.08
1995-01-31,0.08
1995-04-25,0.08
1995-07-27,0.08
1995-10-27,0.08
1996-01-25,0.08
1996-04-25,0.08
1996-07-25,0.08
1996-10-24,0.08
1997-01-30,0.08
1997-04-24,0.08
1997-07-24,0.08
1997-10-23,0.08
1998-02-26,0.085
1998-04-30,0.085
1998-07-20,0.085
1998-07-30,0.085
1998-10-29,0.085
1999-01-28,0.085
1999-04-29,0.085
1999-07-29,0.085
1999-10-29,0.085
2000-01-27,0.085
2000-04-28,0.085
2000-07-28,0.085
2000-10-30,0.085
2001-01-25,0.085
2001-04-27,0.085
2001-07-27,0.085
2001-10-29,0.025
2002-01-24,0.025
2002-05-03,0.025
2002-07-26,0.025
2011-04-19,0.075
2011-07-20,0.075
2011-10-20,0.075
2012-01-26,0.075
2012-04-27,0.075
2012-07-25,0.075
2012-10-18,0.075
2013-01-25,0.075
2013-04-30,0.075
2013-07-25,0.075
2013-10-18,0.075
2014-01-24,0.075
2014-04-25,0.075
2014-07-24,0.075
2014-10-17,0.075
2015-01-26,0.075
2015-04-27,0.075
2015-07-24,0.075
2015-10-26,0.075
2016-01-26,0.075
2016-04-27,0.075
2016-07-20,0.075
2016-10-20,0.075
2017-01-19,0.075
2017-04-27,0.075
2017-07-19,0.075
2017-10-20,0.075
2018-01-19,0.075
2018-04-30,0.075
2018-07-19,0.075
2018-10-19,0.075
2019-01-25,0.075
2019-04-30,0.075
2019-07-18,0.075
2019-10-04,0.075
2020-01-02,0.075
