Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-15,200.7,204.4899,200.1,203.81,16137700,0.0
2020-05-18,212.5,215.47,210.37,215.29,21264204,0.0
2020-05-19,216.73,220.59,215.19,217.2763,18793288,0.0
2020-05-20,220,221.1574,210.58,216.5638,35285639,0.0
2020-05-21,211.29,214.58,209.53,212.06,26956179,0.0
2020-05-22,203.23,204.88,198.99,199.5101,47068599,0.0
2020-05-26,205.94,206.8,201,201.72,25590763,0.0
2020-05-27,202.99,202.99,196.75,201.11,20505335,0.0
2020-05-28,199,202.37,197.62,199.475,17950133,0.0
2020-05-29,200,207.88,196.7,207,29547464,0.0
2020-06-01,205.9,207.2,203.94,206.58,15126975,0.0
2020-06-02,207.21,214.57,207.17,214.44,20490570,0.0
2020-06-03,215.6,218.97,213.75,218.61,19067937,0.0
2020-06-04,217.28,220,216.32,218.02,13338144,0.0
2020-06-05,220,220.59,218.7,219.54,11147144,0.0
2020-06-08,219.6,220.4,215.33,218.8,11345871,0.0
2020-06-09,216.31,220.69,216.2,220.62,12547146,0.0
2020-06-10,222,225,220.6,223.745,12625852,0.0
2020-06-11,218,219.95,213.56,215.23,13450182,0.0
2020-06-12,218.5,219.5,215.89,215.93,3551840,0.0
2020-06-15,214.11,217.72,212.75,217.15,15563425,0.0
2020-06-16,221,224.84,220.1001,222.68,13016400,0.0
2020-06-17,224.4,225,222.5,224.25,9914182,0.0
2020-06-18,223.74,226.03,222.92,223.54,8335530,0.0
2020-06-19,226.38,226.5,220.09,220.64,15334600,0.0
2020-06-22,220.92,222.08,219.445,221.49,11351167,0.0
2020-06-23,225.12,230.225,224.53,228.78,17050600,0.0
2020-06-24,228.3,231.03,224.2524,226.22,11672444,0.0
2020-06-25,224.59,224.69,220.87,222.02,14536857,0.0
2020-06-26,222.21,222.26,213.5,215.6,18683312,0.0
2020-06-29,215.03,216.5,211.82,215,11867973,0.0
2020-06-30,215.74,216.43,212.89,215.73,11617277,0.0
2020-07-01,215.81,216.52,214.74,215.97,11217225,0.0
2020-07-02,221.85,225.025,220.06,223.64,17074350,0.0
2020-07-06,233.31,240.48,232.82,240,30798727,0.0
2020-07-07,241.01,241.3,236.13,236.5,15558780,0.0
2020-07-08,244.86,258.49,244.02,257.62,37859421,0.0
2020-07-09,265.55,268,255.91,261.44,35020876,0.0
2020-07-10,260.21,261.9,255.71,260.99,19401301,0.0
2020-07-13,261.45,265.66,250.68,251.72,20559590,0.0
2020-07-14,246.57,249.75,241.23,248.58,17359230,0.0
2020-07-15,251.48,252.5,246.54,249.21,10652437,0.0
2020-07-16,241.77,245.05,240.74,243.1,15449289,0.0
2020-07-17,246.55,247.9299,244.48,247.14,15506136,0.0
2020-07-20,256.45,257.67,252.43,254.87,16150542,0.0
2020-07-21,261.21,261.92,256.52,257.82,16218640,0.0
2020-07-22,255.76,256.27,249.6,251.7,18099205,0.0
2020-07-23,252.1,257.66,249.925,251.8,14265218,0.0
2020-07-24,244.96,249.48,241.89,248.76,13952317,0.0
2020-07-27,247.11,252.87,245.81,250.86,11933451,0.0
2020-07-28,251.15,251.65,248.53,249.04,13373388,0.0
2020-07-29,250.34,254.3,250.1,252.44,16785968,0.0
2020-07-30,251.7,253.86,249.62,252.74,12597607,0.0
2020-07-31,254.2,254.4,248.1,251.02,19708990,0.0
2020-08-03,254.02,260.65,254,257.94,16061630,0.0
2020-08-04,260.08,262.56,258.82,262.2,17132817,0.0
2020-08-05,263.74,265.976,261.755,264.95,18346328,0.0
2020-08-06,263.42,265.7,259.2,265.7,18343518,0.0
2020-08-07,257.41,257.76,247.57,252.14,42926321,0.0
2020-08-10,249.01,249.96,246.1,248.095,17862051,0.0
2020-08-11,251.29,252.88,247.83,248.44,18134738,0.0
2020-08-12,249.25,256.08,248.68,255.36,20108633,0.0
2020-08-13,256.39,256.97,252.8799,253.72,7471112,0.0
2020-08-14,255.49,255.77,251.64,253.97,7420231,0.0
2020-08-17,253,257.375,250.085,257,16577623,0.0
2020-08-18,258.71,261.42,256.06,259.21,23238498,0.0
2020-08-19,260.89,261.29,257.38,260.73,26142633,0.0
2020-08-20,256.89,258.88,254.18,257.91,34502575,0.0
2020-08-21,259.03,267.43,258.31,265.66,45293238,0.0
2020-08-24,273.24,276.97,271.62,276.02,41583137,0.0
2020-08-25,278.06,289.12,276.04,286.65,52552532,0.0
2020-08-26,289.26,292.48,284.1,291.84,35799794,0.0
2020-08-27,290.17,290.25,282.1,284.33,28305225,0.0
2020-08-28,285.09,289.5,283.57,289,16651315,0.0
2020-08-31,288.62,289.19,283.61,287.03,22956283,0.0
2020-09-01,289.2,298,288.87,297.98,25449583,0.0
2020-09-02,299,299,289.79,296,24290927,0.0
2020-09-03,289,290.7334,278.16,282.28,32026534,0.0
2020-09-04,279.6,283.78,267.39,281.21,29978462,0.0
2020-09-08,270.23,273.97,266.59,270.02,24454060,0.0
2020-09-09,274.45,275.64,270.88,273.11,17436710,0.0
2020-09-10,276.1034,277.1,267.4,267.56,15498962,0.0
2020-09-11,272.63,274.53,268.12,271.61,17426786,0.0
2020-09-14,275.36,276.29,271.76,274.02,14945101,0.0
2020-09-15,278,279.1,274.8,277.795,7076501,0.0
2020-09-16,281.03,283.605,278,278.22,8351329,0.0
2020-09-17,273.11,275.9,272.3213,275.61,6872806,0.0
2020-09-18,275.98,277.27,270.58,272.31,8217514,0.0
2020-09-21,269.1,274.22,266.4,273.82,7596509,0.0
2020-09-22,276.02,276.32,270.05,275.29,6565173,0.0
2020-09-23,275.4,277.83,271.5,272.95,5835106,0.0
2020-09-24,267.93,271.25,267.3338,269.61,6383973,0.0
2020-09-25,267.57,271.81,264.56,271.13,8456050,0.0
2020-09-28,275.16,278.84,274.1989,276.01,7712563,0.0
2020-09-29,275.43,279.3,274.9,276.91,13664553,0.0
2020-09-30,284.01,295,283.71,293.85,45880867,0.0
2020-10-01,295.48,295.59,288.25,290.02,30418424,0.0
2020-10-02,286.62,291.9794,286.51,288.29,20347191,0.0
2020-10-05,289.06,290,284.88,288.39,32505696,0.0
2020-10-06,287.41,296.84,286.91,292.3801,30292654,0.0
2020-10-07,297.9,299.51,292.87,296.5,30830008,0.0
2020-10-08,298.11,302.3,295.441,300.69,25661064,0.0
2020-10-09,298.55,302.6,297.74,299.75,21402109,0.0
2020-10-12,303.95,309.64,301.2848,306.42,26000523,0.0
2020-10-13,306.36,310.01,303.03,308.78,20294496,0.0
2020-10-14,309,309.96,300.8,301.05,27209330,0.0
2020-10-15,293.8,299.8628,292.61,299.46,18002686,0.0
2020-10-16,303.99,310,302.95,307.31,22275373,0.0
2020-10-19,309.89,313.81,303.41,305.44,22750168,0.0
2020-10-20,307.6,311.8,307.06,309.95,15200616,0.0
2020-10-21,311.75,314,307.7,307.93,17346045,0.0
2020-10-22,311.46,311.85,304.2101,306.32,13099707,0.0
2020-10-23,307.27,310.305,304.06,309.92,10388848,0.0
2020-10-26,309.92,315.4599,303.2,306.87,17165039,0.0
2020-10-27,307.75,319.32,305.61,317.15,24198260,0.0
2020-10-28,313.5,313.5,306,307.94,24296904,0.0
2020-10-29,309.44,315.58,308.91,312.56,19653682,0.0
2020-10-30,308.55,310.83,300.19,304.69,23507768,0.0
2020-11-02,310.95,311.44,305.39,310.73,21823981,0.0
2020-11-03,286.2,294.28,280.78,285.44,101921608,0.0
2020-11-04,287.79,299.17,285.3,295.64,54447317,0.0
2020-11-05,289.09,291.25,279.6,287.5975,89245743,0.0
2020-11-06,291.49,300.89,289.786,300,41803401,0.0
2020-11-09,303.77,304,290.5,290.5323,37082635,0.0
