Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,33.01,33.855,32.68,33.47,321950,0.0
2020-09-22,33.82,33.82,32.76,33.27,293105,0.0
2020-09-23,33.35,33.76,31.21,31.25,381588,0.0
2020-09-24,31.18,31.635,30.27,30.84,513900,0.0
2020-09-25,30.87,32.86,30.84,32.78,738391,0.0
2020-09-28,33.04,34.75,32.6325,34.65,371952,0.0
2020-09-29,34.79,36.97,33.98,36.88,759545,0.0
2020-09-30,36.98,38.67,36.85,37.91,668214,0.0
2020-10-01,38.89,42.79,38.59,41.43,1738577,0.0
2020-10-02,41.31,43.85,40.44,41.78,929752,0.0
2020-10-05,41.75,43.3,41.285,42.35,415176,0.0
2020-10-06,43.15,44.58,42.46,43.01,356653,0.0
2020-10-07,43.37,44.25,42.76,43.9,327148,0.0
2020-10-08,50,52.4999,49.25,50.53,2717326,0.0
2020-10-09,50.55,54.2199,50.55,53.96,817249,0.0
2020-10-12,54.38,54.85,52.44,52.54,576734,0.0
2020-10-13,52.32,53.09,51.37,52.33,367885,0.0
2020-10-14,52.89,53.505,51,51.4,317098,0.0
2020-10-15,50,52.47,49.54,52.18,279447,0.0
2020-10-16,52.32,53.21,51.48,51.55,211046,0.0
2020-10-19,52.29,52.48,51.01,51.32,278825,0.0
2020-10-20,52.46,52.965,50.57,51.4,252717,0.0
2020-10-21,51.74,51.79,49.4,49.67,210440,0.0
2020-10-22,49.98,51.31,49.63,50.731,273271,0.0
2020-10-23,50.98,50.98,49.27,50.11,266352,0.0
2020-10-26,49.48,50.27,48.4,49.75,265333,0.0
2020-10-27,49.78,51.3,49.75,50.88,329270,0.0
2020-10-28,49.46,51.43,48.63,50.69,334286,0.0
2020-10-29,50.7,52.38,50.03,51.13,447866,0.0
2020-10-30,52.64,55.885,48.04,49.15,899621,0.0
2020-11-02,49.05,49.425,45.96,47.88,393826,0.0
2020-11-03,48.7,49.84,47.63,49.43,339924,0.0
2020-11-04,49.44,53.36,49.44,52.37,451552,0.0
2020-11-05,53.6079,55.15,51.82,54.1,642585,0.0
2020-11-06,54.11,55,53.51,54.06,294412,0.0
2020-11-09,54.86,55.38,52.06,52.07,416955,0.0
2020-11-10,52.47,52.8,49.19,50.82,603362,0.0
2020-11-11,51.97,55.08,51.95,54.01,523177,0.0
2020-11-12,54.45,55.15,52.4256,54.49,304882,0.0
2020-11-13,55.51,59.105,52.81,54.7,760800,0.0
2020-11-16,55,56.48,53.5,54.04,180192,0.0
2020-11-17,55.5,57.95,54.45,57.74,544447,0.0
2020-11-18,57.99,60.7,56.7,57.7,407526,0.0
2020-11-19,57.94,59.54,56.85,59,347641,0.0
2020-11-20,58.56,61.87,57.5,61.12,409256,0.0
2020-11-23,62.08,62.5,58.68,59.54,397962,0.0
2020-11-24,59.465,60.27,55.04,55.52,659919,0.0
2020-11-25,55.86,56.6,55.225,56.08,308794,0.0
2020-11-27,55.61,57.57,55.61,57.48,209204,0.0
2020-11-30,57.2,58.375,55.3,57.17,556980,0.0
2020-12-01,57.05,59.99,56.73,58.98,428804,0.0
2020-12-02,58.75,59.67,57.785,59.59,192897,0.0
2020-12-03,59.85,62.28,59.3,61.31,356565,0.0
2020-12-04,61.94,65.285,60.02,64.9,420322,0.0
2020-12-07,66.15,68.35,64.486,67.53,552736,0.0
2020-12-08,67.55,68.17,66.79,68,387135,0.0
2020-12-09,68.27,68.84,64.02,65.01,681613,0.0
2020-12-10,65.3,71.05,65.3,70.66,593560,0.0
2020-12-11,69.44,72.79,68.1,68.84,551533,0.0
2020-12-14,70.62,74.74,68.3,69.36,674997,0.0
2020-12-15,69.23,71.6379,65.405,67.89,1148572,0.0
2020-12-16,67.7,68.27,65.62,66.71,401885,0.0
2020-12-17,66.67,69.4,65.5233,68.88,412658,0.0
2020-12-18,69.62,70.5774,67.31,69.08,557490,0.0
2020-12-21,68.26,73.48,67.89,72.31,586663,0.0
2020-12-22,72.66,77.52,72.05,76.98,925285,0.0
2020-12-23,77.51,79.92,75.09,76.51,919425,0.0
2020-12-24,76.84,78.3,74.83,76.13,209396,0.0
2020-12-28,77.15,78.96,75.91,76.12,549433,0.0
2020-12-29,76.02,77.765,69.3,73.25,613461,0.0
2020-12-30,74.08,77.75,73.96,74.98,495851,0.0
2020-12-31,75.24,75.24,70.96,72.49,355719,0.0
2021-01-04,72.68,74.81,70.93,71.48,538298,0.0
2021-01-05,71.01,73.45,70.59,71.89,372182,0.0
2021-01-06,71.89,73.07,69.38,73,471888,0.0
2021-01-07,74,78.25,73.66,76.03,794765,0.0
2021-01-08,77,81.9,76.42,80.68,744789,0.0
2021-01-11,81.54,83.02,79.48,80.52,675234,0.0
2021-01-12,81.51,83.189,79.805,83.04,506728,0.0
2021-01-13,83.72,84.96,81.44,84.13,527378,0.0
