Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-21,14.31,14.51,13.825,13.93,1567928,0.0
2020-05-22,13.92,14.38,13.8,14.32,1273576,0.0
2020-05-26,14.59,14.89,14.05,14.28,901542,0.0
2020-05-27,14.18,14.37,12.57,13.2,2924656,0.0
2020-05-28,13.49,13.49,12.1283,12.38,1575658,0.0
2020-05-29,12.5,15.7,12.41,15.46,3048867,0.0
2020-06-01,15.72,16.17,14.8401,15.31,3576792,0.0
2020-06-02,15.43,16.89,15.43,16.78,3890042,0.0
2020-06-03,17.38,17.85,16.78,17.11,5829138,0.0
2020-06-04,16.78,17.14,14.7,14.72,1966629,0.0
2020-06-05,15.27,15.6453,13.37,13.625,1830029,0.0
2020-06-08,14.0181,14.025,13.47,13.57,2252896,0.0
2020-06-09,13.17,13.68,12.95,13.29,2553340,0.0
2020-06-10,13.55,14.32,13.31,14.02,958559,0.0
2020-06-11,13.48,13.5799,12.7,12.88,2143804,0.0
2020-06-12,13.18,14.65,13.18,13.79,567171,0.0
2020-06-15,13.89,15.07,13.61,14.86,2785346,0.0
2020-06-16,15.17,15.24,14.24,14.84,1919280,0.0
2020-06-17,14.9,15.484,14.7722,15.2,1836018,0.0
2020-06-18,14.92,15.695,14.84,15.47,1284694,0.0
2020-06-19,15.58,16.25,15.33,15.51,997205,0.0
2020-06-22,15.5,16.735,15.4,16.48,1392806,0.0
2020-06-23,16.84,17.15,16.12,16.22,1427775,0.0
2020-06-24,15.74,16.33,14.66,14.88,1562882,0.0
2020-06-25,14.95,15.35,14.52,15.05,634955,0.0
2020-06-26,15.03,15.4,14.45,14.51,852958,0.0
2020-06-29,14.47,14.75,13.78,14.02,1006089,0.0
2020-06-30,14.11,15.1,13.99,15.06,983626,0.0
2020-07-01,15.01,15.18,14.22,14.75,1151294,0.0
2020-07-02,15,15.74,14.72,15.4,865630,0.0
2020-07-06,15.17,16,15.17,15.45,987502,0.0
2020-07-07,15.31,16.43,15.11,15.82,1061933,0.0
2020-07-08,15.98,16.25,15.58,15.96,890123,0.0
2020-07-09,16.06,16.47,15.7,16.28,878503,0.0
2020-07-10,16.45,16.69,15.78,15.885,701473,0.0
2020-07-13,15.9,16.92,14.86,14.97,1742316,0.0
2020-07-14,14.65,15.1522,13.805,14.608,1810189,0.0
2020-07-15,14.85,15.8092,14.65,15.53,1413184,0.0
2020-07-16,15.51,15.51,14.82,14.88,933468,0.0
2020-07-17,15.22,16.25,15,15.99,1021327,0.0
2020-07-20,16.17,16.95,15.67,16.89,1217058,0.0
2020-07-21,16.92,17.11,16.01,16.045,1205572,0.0
2020-07-22,16,16.01,15.1,15.27,1338640,0.0
2020-07-23,14.98,15.6,14.51,14.64,956688,0.0
2020-07-24,14.09,14.59,13.8829,14.17,1628609,0.0
2020-07-27,14.64,14.98,14.04,14.81,1142916,0.0
2020-07-28,14.69,14.82,14.37,14.4,685972,0.0
2020-07-29,14.5,14.66,14.01,14.28,967155,0.0
2020-07-30,14.1,15.5691,14.1,15.4,1284344,0.0
2020-07-31,15.35,15.463,14.19,14.39,1137617,0.0
2020-08-03,14.53,16.25,14.42,15.85,2496762,0.0
2020-08-04,15.42,16.09,15.33,16.01,1522672,0.0
2020-08-05,16.17,16.65,15.76,16.35,1216926,0.0
2020-08-06,16.39,17.14,15.86,16.44,1725609,0.0
2020-08-07,16.36,17.1,16.035,16.36,1354778,0.0
2020-08-10,16.08,16.6899,15.97,16.39,1029175,0.0
2020-08-11,16.34,16.9399,16.1,16.27,967083,0.0
2020-08-12,16.65,17.79,16.5,17.54,1996438,0.0
2020-08-13,17.55,18.02,17.33,17.53,1636724,0.0
2020-08-14,17.69,17.75,16.8638,17.2,1332695,0.0
2020-08-17,17.42,18.1637,17.08,17.98,837703,0.0
2020-08-18,18.03,18.1,17.34,17.81,1239783,0.0
2020-08-19,17.89,19.8917,17.83,18.95,2584471,0.0
2020-08-20,18.83,18.92,18.01,18.56,1735626,0.0
2020-08-21,18.66,19.2,18.41,18.91,1777505,0.0
2020-08-24,19.31,19.44,18.28,18.58,1311884,0.0
2020-08-25,18.51,19.5,18.3275,19.45,1585719,0.0
2020-08-26,19.53,19.9,18.46,18.71,2308195,0.0
2020-08-27,18.7,18.7,16.55,16.55,2753144,0.0
2020-08-28,16.9,17.48,16.5901,16.86,1701087,0.0
2020-08-31,16.84,17.54,16.21,17.27,2522274,0.0
2020-09-01,17.41,17.43,16.65,17.1,2308613,0.0
2020-09-02,17.48,17.88,16.68,17.87,2182610,0.0
2020-09-03,17.58,17.65,15.77,16,2569788,0.0
2020-09-04,16.11,16.1999,14.255,15.45,2187499,0.0
2020-09-08,14.9,15.35,14.5,14.52,1304228,0.0
2020-09-09,14.86,15.18,14.71,14.95,1814202,0.0
2020-09-10,15.37,15.71,14.7,14.91,1459116,0.0
2020-09-11,15.1,15.86,14.945,15.61,1594382,0.0
2020-09-14,15.9,16.87,15.9,16.81,1478016,0.0
2020-09-15,17,17.74,16.84,17.27,1804730,0.0
2020-09-16,17.12,18.11,17.1,17.86,1387174,0.0
2020-09-17,17.35,18.28,16.91,18.16,1593004,0.0
2020-09-18,18.35,18.91,17.8,18.82,1721800,0.0
2020-09-21,18.74,18.8,17.27,17.72,1990090,0.0
