Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,27.59,29.85,27.59,29.39,343585,0.0
2020-12-07,29.23,30.7,28.2,30.13,429999,0.0
2020-12-08,29.67,30.52,29.67,30,392276,0.0
2020-12-09,29.13,30.26,27.04,27.74,377358,0.0
2020-12-10,26.67,30.55,26.19,30.16,421301,0.0
2020-12-11,29.72,31.64,29.43,29.51,635913,0.0
2020-12-14,29.62,32.3,29.62,31.23,459724,0.0
2020-12-15,28.59,29.29,25.77,25.9,1106306,0.0
2020-12-16,29.11,30.29,28.19,28.19,882049,0.0
2020-12-17,28.04,28.58,27,27.22,301896,0.0
2020-12-18,27.61,28.22,26.49,26.84,348094,0.0
2020-12-21,26.23,29.14,25.8,27.77,547687,0.0
2020-12-22,27.63,30.94,27.63,30.18,819313,0.0
2020-12-23,29.96,32.8,29.96,31.79,680677,0.0
2020-12-24,32.48,32.6944,30.39,30.44,225981,0.0
2020-12-28,30.85,33.59,30.72,31.22,490825,0.0
2020-12-29,31.09,31.5429,28.3101,28.64,408568,0.0
2020-12-30,29.21,31.52,29.21,29.42,308945,0.0
2020-12-31,29.45,29.45,26.58,26.96,382313,0.0
2021-01-04,28.02,28.555,26.96,27.6,257470,0.0
2021-01-05,27.97,28.04,26.46,27.3,254014,0.0
2021-01-06,27.05,28.95,27.05,27.21,348568,0.0
2021-01-07,27.48,29.56,27.48,29,373492,0.0
2021-01-08,29.57,31.43,29.5,29.67,510621,0.0
2021-01-11,28.65,28.98,27.47,27.59,328014,0.0
2021-01-12,27.63,28.13,27.52,27.92,236112,0.0
2021-01-13,28.4,31.16,28.24,29.35,368994,0.0
2021-01-14,29.47,32.12,29.47,31.02,384734,0.0
2021-01-15,30.6,32.6,30.53,31.11,483157,0.0
2021-01-19,34.09,34.2,32.71,33.41,453093,0.0
2021-01-20,33.28,34.71,33.1,33.25,503288,0.0
2021-01-21,33.43,33.4491,31.3,31.6,297187,0.0
2021-01-22,31.44,32.05,30.825,31.26,196858,0.0
2021-01-25,30.75,31.61,30.05,31.08,188984,0.0
2021-01-26,31.5,32.249,29.59,30.02,200476,0.0
2021-01-27,29.1,29.57,27.31,27.79,349203,0.0
2021-01-28,28.86,30.16,28.07,28.19,218107,0.0
2021-01-29,28.24,28.62,26.7,27.34,259868,0.0
2021-02-01,28.58,28.87,28.04,28.19,280882,0.0
2021-02-02,29.44,30.08,28.78,28.89,281811,0.0
2021-02-03,29.62,30,22.01,22.93,2198502,0.0
2021-02-04,24.61,25.88,24.0111,25.74,755118,0.0
2021-02-05,26.6,26.6,25.8,26.49,320102,0.0
2021-02-08,28,28.89,27.56,28.22,521254,0.0
2021-02-09,27.8,28.31,27.21,27.49,278838,0.0
2021-02-10,28,28.14,26.14,26.31,231698,0.0
2021-02-11,27.56,27.91,26.65,26.95,249025,0.0
2021-02-12,27.02,28.1,26.68,27.25,189941,0.0
2021-02-16,29.41,29.61,27.34,27.35,361189,0.0
2021-02-17,26.37,26.685,24.8,25.47,485867,0.0
2021-02-18,24.8,25.14,23.51,24.04,446052,0.0
2021-02-19,24.26,25.5899,24.19,25.14,218848,0.0
2021-02-22,24.08,24.46,22.95,23.25,325741,0.0
2021-02-23,22.85,22.85,18.8,21.77,688295,0.0
2021-02-24,22.26,23.17,21.71,22.47,260838,0.0
2021-02-25,21.99,22.6,20.19,20.6,335135,0.0
2021-02-26,21.62,22.12,20.12,21.3,376249,0.0
2021-03-01,21.81,23.17,21.81,22.74,189156,0.0
2021-03-02,22.53,22.76,22.02,22.16,208170,0.0
2021-03-03,21.84,22.08,19.85,20.11,402587,0.0
2021-03-04,20.19,20.4,18.5,19.3,608556,0.0
2021-03-05,19.29,19.29,17,18.18,771814,0.0
2021-03-08,19.01,19.6,18.19,18.25,548569,0.0
2021-03-09,18.97,21.81,18.83,21.5,1040621,0.0
2021-03-10,22.08,22.25,20.11,20.13,324456,0.0
2021-03-11,20.33,21.83,20.26,21.32,263279,0.0
2021-03-12,20.66,20.66,19.7,20,210267,0.0
2021-03-15,20.26,22.33,20.1,21.77,467815,0.0
2021-03-16,22.8952,24.02,21.83,22.01,388012,0.0
2021-03-17,21.12,21.78,20.665,21.28,188430,0.0
2021-03-18,20.71,21.12,19.75,19.82,193503,0.0
2021-03-19,20.02,21.42,20.02,21.42,253088,0.0
2021-03-22,21.38,22.2,21,21.61,198024,0.0
2021-03-23,21.24,21.32,20.03,20.27,180324,0.0
2021-03-24,20.33,20.33,18.31,18.545,460273,0.0
2021-03-25,18.51,19.83,17.81,19.48,450410,0.0
2021-03-26,19.51,19.595,18.17,19.12,149282,0.0
2021-03-29,19.05,19.3,18.5,19.09,151620,0.0
2021-03-30,18.74,19.4618,18.3497,18.9,201943,0.0
2021-03-31,18.65,20.71,18.51,20.25,349975,0.0
2021-04-01,21.17,21.46,19.67,19.75,420778,0.0
2021-04-05,20.32,21.19,20.04,20.92,182570,0.0
2021-04-06,20.23,20.84,19.66,19.85,172053,0.0
2021-04-07,19.91,20.22,19.12,19.39,176793,0.0
2021-04-08,19.81,20.32,19.17,20.22,2667010,0.0
2021-04-09,19.94,20.14,19.502,19.87,240871,0.0
2021-04-12,19.45,19.48,18.5,18.66,151903,0.0
2021-04-13,18.93,19.6,18.85,19.42,93257,0.0
