Date,Open,High,Low,Close,Volume,OpenInterest
2021-04-14,381,429.54,310,328.659,78848027,0.0
2021-04-15,348.89,349.2,317.2701,325.69,36962819,0.0
2021-04-16,327.07,345.99,321.03,341.59,21473522,0.0
2021-04-19,337.42,341.01,326.79,332.75,10592908,0.0
2021-04-20,333,334.83,312.0201,320.81,13280298,0.0
2021-04-21,312.65,327.47,302.1,311.5,9678447,0.0
2021-04-22,305.86,313.5,287.2033,293.44,13491050,0.0
2021-04-23,283.05,303,282.07,291.81,9146502,0.0
2021-04-26,304.31,306.1,296.9,304.43,5821005,0.0
2021-04-27,306.43,306.7,299.5,302.17,3691237,0.0
2021-04-28,301.01,302.8999,298.05,298.3,2771409,0.0
2021-04-29,298.24,300,292.1,294.63,2755221,0.0
2021-04-30,292.99,302.7399,291,297.53,3740677,0.0
2021-05-03,303.88,305.03,293.94,294.2006,3190537,0.0
2021-05-04,292.31,292.19,275.61,281,5552582,0.0
2021-05-05,284.48,289.15,269,273.21,4955527,0.0
2021-05-06,271.61,272.14,250.51,256.89,8126118,0.0
2021-05-07,261.23,267.072,258.3801,263.6,4097080,0.0
2021-05-10,266.4,297.5,259.37,293.45,9953232,0.0
2021-05-11,281.41,303.32,276.51,302.51,7169984,0.0
2021-05-12,299.95,306.98,280.79,283.46,6855353,0.0
2021-05-13,276.4,285,252.26,265.2,9564622,0.0
2021-05-14,280.31,280.64,256.351,258.37,11183850,0.0
2021-05-17,249.95,250.25,238.25,248.11,8077889,0.0
2021-05-18,238.83,252.165,238.5,239,7368239,0.0
2021-05-19,212.76,229,208,224.67,15217238,0.0
2021-05-20,236.03,238.8,226.2601,233.39,9834579,0.0
2021-05-21,236.01,238.97,223.9,224.05,7244086,0.0
2021-05-24,227.45,231,224.04,225.41,9419409,0.0
2021-05-25,229.44,243.99,228,242.25,11272356,0.0
2021-05-26,247.4,249.39,239.3727,241.5899,6229976,0.0
2021-05-27,245.23,247.24,240.32,247.02,4850551,0.0
2021-05-28,243.57,244.63,236.54,236.54,4751912,0.0
2021-06-01,238.75,244.7094,238.1,238.78,3712045,0.0
2021-06-02,242.66,243.9,238.71,240.38,3187925,0.0
2021-06-03,241.78,241.77,233.5001,233.67,2836114,0.0
2021-06-04,230,233.36,227.5,228.895,3556696,0.0
2021-06-07,229.5,232.56,226.5,231.25,2508482,0.0
2021-06-08,226.9,229.329,217.4,220.5101,5723163,0.0
2021-06-09,222.795,229.789,217.4,224.33,6659200,0.0
2021-06-10,226.75,229.7856,221.47,221.8001,3702096,0.0
2021-06-11,223.45,225.74,221.96,223.79,2292111,0.0
2021-06-14,231.06,239.76,229.76,239.09,5861528,0.0
2021-06-15,237,237.6699,230.96,232.01,2878406,0.0
2021-06-16,231.4,234.68,226.28,228,2726496,0.0
2021-06-17,226.84,233.23,226.35,230.65,2491138,0.0
2021-06-18,226.79,232.69,226.5,229.29,2445132,0.0
2021-06-21,223.34,224.99,218.7672,222.6,4084199,0.0
2021-06-22,216.25,223.15,210.77,222.3301,5896832,0.0
2021-06-23,225.54,230.5231,224.5001,225.9799,3220608,0.0
2021-06-24,228.07,230.04,226.665,229.96,2754078,0.0
2021-06-25,226.97,227.82,223.22,224.56,2341960,0.0
2021-06-28,228,248.06,226.13,246.69,7183316,0.0
2021-06-29,250.32,261.15,250.01,254.7,7565042,0.0
2021-06-30,248.75,254.67,247,253.54,3699821,0.0
2021-07-01,251.21,255.15,240.53,241.5343,3501513,0.0
2021-07-02,242.01,246.8004,238.88,240.67,2223036,0.0
2021-07-06,243.02,243,234.0201,235.37,2128410,0.0
2021-07-07,239,252.99,232.3362,252.04,4710303,0.0
2021-07-08,239,246.6,233.61,244.2,4114345,0.0
2021-07-09,246.88,256.99,244.21,253.88,4340378,0.0
2021-07-12,253.56,254.89,246.83,247.7908,2131318,0.0
2021-07-13,245.51,249.15,242.9303,243.22,3213428,0.0
2021-07-14,245.17,247.45,229.16,229.81,4640587,0.0
2021-07-15,229.8,234.47,220.37,224.63,3498700,0.0
2021-07-16,227.2,231.3,220.6645,225.02,3202614,0.0
2021-07-19,216.99,221.89,213.22,220.76,2936859,0.0
2021-07-20,216.71,226.89,213.23,224.84,3002435,0.0
2021-07-21,231.34,237.15,229.19,230.7988,3502973,0.0
2021-07-22,232.85,232.32,224.5,225.96,2467309,0.0
2021-07-23,226.22,227.3465,222.73,224.9,1457311,0.0
2021-07-26,240.26,249.8,237.88,245.43,7019926,0.0
2021-07-27,243.16,243.21,229.12,234.975,5439255,0.0
2021-07-28,240.18,242.8657,238.03,241.68,1916481,0.0
2021-07-29,241.8,245.1599,235.33,235.54,2336332,0.0
2021-07-30,232.65,238.07,231.8956,236.57,1901713,0.0
2021-08-02,237.28,240.3765,233.8,235.101,2064725,0.0
2021-08-03,233.88,235.6899,226.91,230,2792925,0.0
2021-08-04,231.01,245.4683,229.85,244.35,3471922,0.0
2021-08-05,239.74,258.31,237.59,255.58,5867516,0.0
2021-08-06,255.25,263.9,250.23,258.1,5466905,0.0
2021-08-09,267.3,282.43,267.3,280.54,8496076,0.0
2021-08-10,280.75,281.5,264.25,269.3,6134098,0.0
2021-08-11,282.5,294,274.3501,278.41,13382381,0.0
2021-08-12,266.55,267.75,255.2,256.4,7993497,0.0
2021-08-13,262.8,266.5,259.97,261.3,4128420,0.0
2021-08-16,265.63,265.63,253.6018,256.8277,3086944,0.0
2021-08-17,253.93,260.74,246.23,250.8,2954864,0.0
2021-08-18,249.27,254.4,243.76,244.2339,2452435,0.0
2021-08-19,240.9,249.77,239.1916,247.9,3066822,0.0
2021-08-20,252.01,260.62,251.42,257.33,3866145,0.0
2021-08-23,263.03,266.5,255,255.87,5466448,0.0
2021-08-24,256.99,260.2499,253.2,259.1225,3829391,0.0
2021-08-25,257.2,262.11,256,256.745,2541257,0.0
2021-08-26,253.21,255.2,248.5,248.605,2928459,0.0
2021-08-27,249.4,259.67,248.0863,259.13,3028437,0.0
2021-08-30,256.3,263.3369,256.2501,262.67,2585140,0.0
2021-08-31,260.1,263.4,257.18,258.99,2375047,0.0
2021-09-01,260.02,272.1,258.6301,265.81,4656748,0.0
2021-09-02,272.6,275.66,266,268.06,3541531,0.0
2021-09-03,272.01,280.61,270.03,278.44,4256998,0.0
2021-09-07,276.69,278.87,262.6001,266.81,5001659,0.0
2021-09-08,257,262.95,253.88,258.19,4042939,0.0
2021-09-09,260.3,263.81,255.7,256.3255,2975041,0.0
2021-09-10,257.5,258.87,247.4,248.25,3040318,0.0
2021-09-13,246.56,251.88,239.6,242.93,3888086,0.0
2021-09-14,247.24,248.7899,241.272,242.89,2590630,0.0
2021-09-15,243.75,249.47,242.05,247.08,1976212,0.0
2021-09-16,247.46,247.46,239.61,243.04,2479839,0.0
2021-09-17,243.39,245.63,238.75,245.2,2443980,0.0
2021-09-20,234.59,237.36,231.15,236.25,3905979,0.0
2021-09-21,236.98,240.26,234.26,238.25,2005074,0.0
2021-09-22,239.55,243.2,237.76,241.62,1590087,0.0
2021-09-23,244.22,245.8,237.07,237.595,3068943,0.0
2021-09-24,230.09,235.31,229.1701,231.59,3381400,0.0
2021-09-27,231.87,233.399,227.35,232.43,3136666,0.0
2021-09-28,230,232.5126,227.52,229.82,3114101,0.0
2021-09-29,231,233.77,225.04,225.09,2483328,0.0
2021-09-30,227.41,229.99,225.28,227.48,2378944,0.0
2021-10-01,233.04,235.76,226.929,231.16,3247154,0.0
2021-10-04,230.53,233.1,224.51,229.18,2514829,0.0
2021-10-05,231.5,240.07,230.785,240.07,2880499,0.0
2021-10-06,242.42,252.14,242.2,250.38,5409764,0.0
2021-10-07,248.55,253,245.651,251.57,2984805,0.0
2021-10-08,253.17,256.18,246.9,247.96,2763137,0.0
2021-10-11,249.57,263.19,248.485,256.27,4852244,0.0
2021-10-12,254.38,256.3721,246.08,249.34,3872000,0.0
2021-10-13,246.5,249.73,244.56,246.62,2869964,0.0
2021-10-14,250.64,262.95,249.1,259.4101,6183502,0.0
2021-10-15,266.64,281.72,266.53,280.28,9159827,0.0
2021-10-18,275.84,296.98,271.5,292.97,11438876,0.0
2021-10-19,300.01,307.85,294.1101,305.63,14167989,0.0
2021-10-20,307.21,317.37,303.96,314.71,10049813,0.0
2021-10-21,311.75,317.18,298,300.3,8059518,0.0
2021-10-22,302,306,293.62,300.62,5255378,0.0
2021-10-25,306.76,327,305.11,325.51,8085244,0.0
2021-10-26,328.16,328.48,315.5101,319.49,7237688,0.0
2021-10-27,309.52,320.28,306.5,311.87,5011731,0.0
2021-10-28,319.81,327.72,311,319.12,5763071,0.0
2021-10-29,319.11,326.5,316.14,319.77,3632176,0.0
2021-11-01,324.89,338.43,323.9,330.98,6063007,0.0
2021-11-02,336.35,345.25,332.14,336.21,5863703,0.0
2021-11-03,335.27,344.47,328.31,344.4,4686059,0.0
2021-11-04,340.74,345.85,333.88,344.43,5660506,0.0
2021-11-05,346,345.62,333.442,336.99,3425607,0.0
2021-11-08,349.74,363.17,345.56,353.64,8190619,0.0
2021-11-09,367.26,368.9,345.06,357.15,7359033,0.0
2021-11-10,327.77,348.9799,320,328.52,14181932,0.0
2021-11-11,327.01,342.4899,327.0007,336.09,4640694,0.0
2021-11-12,339,344,332.56,342.77,4242183,0.0
2021-11-15,345.35,355.1999,339.03,345.36,4314414,0.0
2021-11-16,333.27,347.4,331.58,342.13,3757939,0.0
2021-11-17,341.67,348.49,338.18,346.53,3653578,0.0
2021-11-18,342.48,344.8399,323.41,323.41,5230860,0.0
2021-11-19,325.55,339.41,325.4,332.51,3523908,0.0
2021-11-22,333.5,335.9,310.67,315.15,4764791,0.0
2021-11-23,313,319.7,304.6,316.935,3338337,0.0
2021-11-24,308.5,316.32,305.88,312.37,2637496,0.0
2021-11-26,302.1,307.92,299.151,302.768,2513615,0.0
2021-11-29,311.56,321.575,306.75,319,3667405,0.0
2021-11-30,320.29,331.7,310.98,315.65,4745994,0.0
2021-12-01,319.75,323,293.7,294.5,3984533,0.0
2021-12-02,295.16,305.32,283.82,284.44,4391878,0.0
2021-12-03,286,286.01,258.16,265.65,6561566,0.0
2021-12-06,253.125,267.2294,244.46,263.24,4976716,0.0
2021-12-07,277.8,290.19,274.9142,286.185,4348591,0.0
2021-12-08,284.14,290,278.29,287.48,2383272,0.0
2021-12-09,284.97,284.99,258.921,263.94,5262191,0.0
2021-12-10,266.31,269.19,250.15,255.7,4822094,0.0
2021-12-13,252.76,256.5,244.8,251.83,2367654,0.0
2021-12-14,247,260.5,243.5,255.9,3622512,0.0
2021-12-15,255.25,261.1699,242.26,258.12,4428173,0.0
2021-12-16,264.6,268.26,244.6301,246.81,3130575,0.0
2021-12-17,240,250.48,236,242.98,3986003,0.0
2021-12-20,236.56,239.37,231.77,238.05,3250027,0.0
2021-12-21,245.13,248.115,239.59,247.49,2601042,0.0
2021-12-22,248.75,254.79,245.64,254.56,3353789,0.0
2021-12-23,256.42,269.305,253.5,268.15,3878847,0.0
2021-12-27,270.45,281.9899,270.2,280.125,4255989,0.0
2021-12-28,269.9,270.98,259.69,261.33,4121271,0.0
2021-12-29,256.96,263.01,251.3652,252.64,3014084,0.0
2021-12-30,252.6,260,252.0411,256.77,2712059,0.0
2021-12-31,256.08,259.215,251.52,252.365,2240738,0.0
2022-01-03,256.27,257.03,250.64,251.0501,2994256,0.0
2022-01-04,253.05,258.8099,244.14,249.75,3563748,0.0
2022-01-05,246.95,248.69,232.86,234.29,4915971,0.0
2022-01-06,233.24,235.98,224.8801,233.85,4954533,0.0
2022-01-07,233.55,238.48,227.59,232.33,3124410,0.0
2022-01-10,224.32,225.25,214.64,225.135,6578155,0.0
2022-01-11,225.62,238,222.18,237.52,5080530,0.0
2022-01-12,242.21,246.27,234.42,234.44,3599028,0.0
2022-01-13,240.28,242.87,227.19,228.27,3675044,0.0
2022-01-14,226.62,232,222.3,230.03,4182500,0.0
2022-01-18,226.31,227.19,219.6001,221.8425,3249466,0.0
2022-01-19,224.245,227.17,218.8201,219.5,2849768,0.0
2022-01-20,222.44,232,220.8369,221.63,3461737,0.0
2022-01-21,210.3,210.3,186.86,191.975,13014087,0.0
2022-01-24,173.48,191.86,162.51,191.68,12340779,0.0
2022-01-25,185.33,193.12,177.15,185.5201,6077212,0.0
2022-01-26,193.61,198.0548,177,178.67,6546167,0.0
2022-01-27,181.71,182.75,168.58,170.03,5088339,0.0
2022-01-28,169.2,181.75,162.2,177.5,6232834,0.0
2022-01-31,178,192,175.03,190.14,3810162,0.0
2022-02-01,197.69,201.45,188.62,197.5,4930236,0.0
2022-02-02,196.24,197,181.73,187.37,3652464,0.0
2022-02-03,181.86,189.3,179,180.77,2942311,0.0
2022-02-04,181.31,197,177.45,194.5,4113661,0.0
2022-02-07,198.8,211.1099,198.2,205.748,6310667,0.0
2022-02-08,200.31,209.2472,196.75,208.41,4476441,0.0
2022-02-09,210.18,215.25,207.61,214.5,3532834,0.0
2022-02-10,210.55,217.49,202.86,204.96,4237460,0.0
2022-02-11,205.6,205.98,191.02,194.72,4651699,0.0
