Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,141.43,151.11,138.18,147.281,2059678,0.0
2020-12-07,152.19,163.556,142.5,149.45,4263940,0.0
2020-12-08,149.99,151.6,140.51,146.51,1730466,0.0
2020-12-09,146.33,157.9,144.4,146.63,1699284,0.0
2020-12-10,145.74,156.7,140.21,154.25,1698248,0.0
2020-12-11,154.18,156.4,145.31,148.42,1202647,0.0
2020-12-14,153.51,159.95,150.02,150.06,1918086,0.0
2020-12-15,154.595,154.8499,144.1892,150.03,1217415,0.0
2020-12-16,150.26,151.62,146.58,146.63,688857,0.0
2020-12-17,148.5,152.49,146.25,149.045,750732,0.0
2020-12-18,150.25,151.87,147.0001,148.66,866210,0.0
2020-12-21,148.19,176.9899,146.6,167.61,5091249,0.0
2020-12-22,174.99,176.98,167.4301,170,3753626,0.0
2020-12-23,176.56,178.09,168.3001,173.31,2304282,0.0
2020-12-24,177.5,177.5,166.9308,168.3605,1294040,0.0
2020-12-28,181.42,181.42,168.69,169.115,2593832,0.0
2020-12-29,169.89,170.455,148.25,157.71,4095115,0.0
2020-12-30,163.2,165.9199,160.31,161.57,1599491,0.0
2020-12-31,162.19,163,150.63,153.29,2164270,0.0
2021-01-04,157.82,161.38,150.55,157.95,2327182,0.0
2021-01-05,157.38,160.9,154.5,160.57,1794197,0.0
2021-01-06,156.8,171.5,156.7755,163.89,2168834,0.0
2021-01-07,169.39,195.89,169.39,194.43,3434533,0.0
2021-01-08,198.93,210.39,185.8802,193.91,4666109,0.0
2021-01-11,188.7,192.75,180.5,188.72,2493977,0.0
2021-01-12,190.01,199.68,186.32,190,1979938,0.0
2021-01-13,193.98,198.79,190.01,194.13,1635969,0.0
2021-01-14,196.99,215.1,196.09,210.08,2595073,0.0
2021-01-15,220.15,220.2,199.0101,199.89,3842423,0.0
2021-01-19,207.09,208.18,194.22,198.3,2281625,0.0
2021-01-20,198.97,200.85,189.63,189.77,2008410,0.0
2021-01-21,193.88,193.93,183.16,185.1,2075176,0.0
2021-01-22,185.54,190.03,182.25,188.49,1695201,0.0
2021-01-25,188.47,191.1,176.75,181.01,2205499,0.0
2021-01-26,179.09,183,168.51,169.54,2355857,0.0
2021-01-27,162.0599,172.4971,155.28,163.87,3390485,0.0
2021-01-28,168.9202,172.97,163.95,167.245,1955167,0.0
2021-01-29,167.45,170.67,160.37,165.66,1594481,0.0
2021-02-01,170.51,173.42,163.5254,165.68,1390423,0.0
2021-02-02,170.245,172.97,167.51,168.15,2052155,0.0
2021-02-03,172.61,172.66,163.3006,164.66,1656839,0.0
2021-02-04,165.28,170,163,167.75,1184376,0.0
2021-02-05,168.36,169.75,163.684,168.75,1712639,0.0
2021-02-08,171.46,173.1799,164.58,169.25,2946435,0.0
2021-02-09,169.99,175.44,166.2076,167.59,2698639,0.0
2021-02-10,170.6378,171,156.62,160.218,3248602,0.0
2021-02-11,162.09,164.8329,157.13,159.05,2109994,0.0
2021-02-12,159.8486,161.12,151.4,161.05,2612723,0.0
2021-02-16,162.2233,165,153.25,155.53,2795438,0.0
2021-02-17,150.13,151,142.1514,150.03,3294778,0.0
2021-02-18,145.44,149.26,142.24,146.66,1417356,0.0
2021-02-19,149.69,152.22,147.12,148.97,1408224,0.0
2021-02-22,144,147.02,137.3101,138.65,2385584,0.0
2021-02-23,128.5,137.4,121.0351,135.21,3642978,0.0
2021-02-24,137.9275,139,130.39,133.67,1845736,0.0
2021-02-25,131.42,135.1221,123.7001,127.28,2042096,0.0
2021-02-26,127.52,131.38,121.9377,125.68,2265430,0.0
2021-03-01,127.75,133.33,126.99,130.25,2205479,0.0
2021-03-02,131.33,133.07,127.57,129.78,1374940,0.0
2021-03-03,128,129,118,119.05,2397566,0.0
2021-03-04,117.54,122.4,109.5185,115.5,3546897,0.0
2021-03-05,115.86,116.06,100,114.51,5174771,0.0
2021-03-08,116.0885,123.15,112,113.62,2864384,0.0
2021-03-09,119.93,127.36,118.26,125.63,2953940,0.0
2021-03-10,130.05,132.88,123.17,123.96,2468353,0.0
2021-03-11,129.76,135,127.2,133.88,2427311,0.0
2021-03-12,131.02,131.3361,126.58,130.819,1562274,0.0
2021-03-15,131.32,134.27,128.88,133.44,1088483,0.0
2021-03-16,136.61,137,126.18,130.58,1410487,0.0
2021-03-17,126.1806,133.865,123.5,130.81,1204988,0.0
2021-03-18,127.365,129.3,123.0601,123.61,1258101,0.0
2021-03-19,123.91,129.99,122.64,129.68,1480140,0.0
2021-03-22,130.6738,135.25,128.28,133,1179312,0.0
2021-03-23,132.4,132.1,124.21,126.47,1741040,0.0
2021-03-24,126.82,127.75,114.31,115.44,2081712,0.0
2021-03-25,110.99,115.96,107.52,114.63,2250750,0.0
2021-03-26,114.33,114.95,106.71,111.09,1362474,0.0
2021-03-29,110.79,113.48,107.655,110.5,1050373,0.0
2021-03-30,108.5,116.53,106.5,115.32,1225044,0.0
2021-03-31,117.27,124,117.04,121.87,1442434,0.0
2021-04-01,125.01,126.6607,119.38,119.4,1300803,0.0
2021-04-05,122.17,124.4,118.86,121.99,878729,0.0
2021-04-06,120.53,125.51,118.7317,121.61,1082850,0.0
2021-04-07,120.53,123.5,117.8001,118.37,687777,0.0
2021-04-08,119.5248,122,117.61,120.42,853431,0.0
2021-04-09,119.28,119.37,114.323,115.52,1011589,0.0
2021-04-12,115.35,116.1,111.34,114.23,1019023,0.0
2021-04-13,114.29,122.48,114.21,120.82,1190643,0.0
2021-04-14,122.91,129.27,122.3159,123.11,1798788,0.0
2021-04-15,125,126.698,121.83,123.84,773495,0.0
2021-04-16,123.41,123.7,116.2,118.5,1244609,0.0
2021-04-19,117.12,120,112.99,115.05,1048068,0.0
2021-04-20,122.01,125.48,117.3801,121.9,2419991,0.0
2021-04-21,123.39,129.4999,120.78,124.91,2321059,0.0
2021-04-22,127.66,130.2799,123.8401,125.83,1658010,0.0
2021-04-23,125.47,128.42,123.6,126.56,1043641,0.0
2021-04-26,128.22,137.59,126.6,135.68,1900278,0.0
2021-04-27,136.47,137.25,129.67,133.04,1231488,0.0
2021-04-28,129.85,136.24,128.25,135.62,1209576,0.0
2021-04-29,136.66,136.72,129.1,131.75,1099920,0.0
2021-04-30,129.71,135.1354,129.69,131.27,908802,0.0
2021-05-03,132.01,132.7799,120.9,122.8,1409667,0.0
2021-05-04,120.89,120.78,113.82,115.84,1851289,0.0
2021-05-05,116.8,118.13,112.33,113.745,1221855,0.0
2021-05-06,112.5,112.52,104.3,107.83,2505571,0.0
2021-05-07,110.39,114.32,107.38,107.71,1416139,0.0
2021-05-10,107.1,107.1,100.63,101.27,1603301,0.0
