Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-19,41.6,42.53,39.89,42,28161388,0.0
2020-06-22,42.96,43.75,38.14,38.3117,27572134,0.0
2020-06-23,39.75,40.5327,37.7702,37.98,18341431,0.0
2020-06-24,37.95,39.33,36.5,37.5797,12528335,0.0
2020-06-25,37,37.07,34.22,36.06,18417036,0.0
2020-06-26,36.82,36.82,32.67,33.39,21994388,0.0
2020-06-29,33.16,34.38,30.82,33.53,19700568,0.0
2020-06-30,33.06,34.65,32.34,33.26,11168073,0.0
2020-07-01,34.06,35.15,33.28,33.8773,13500321,0.0
2020-07-02,34.61,35.05,32.85,33.05,9057196,0.0
2020-07-06,33.73,33.98,32.16,32.43,9490466,0.0
2020-07-07,31.7035,32.3,30.45,30.59,10021758,0.0
2020-07-08,30.75,33.36,30.56,33.1,10759258,0.0
2020-07-09,33.83,34.24,31.85,32.83,7653727,0.0
2020-07-10,32.41,33.1,31.76,32.42,5008129,0.0
2020-07-13,32.55,32.87,29.33,29.5,11546045,0.0
2020-07-14,29,30.4,27.54,30.2254,12807217,0.0
2020-07-15,31.15,32.96,30.8,32.54,11177047,0.0
2020-07-16,32.5,36.12,31.77,35.675,17398080,0.0
2020-07-17,36.65,36.88,34.59,35.3513,10632494,0.0
2020-07-20,35.42,36.7501,34.76,35.42,7829411,0.0
2020-07-21,36.3,38.84,35.95,37.5462,14975323,0.0
2020-07-22,37.8,38.03,35.84,37.7,9706411,0.0
2020-07-23,37.6634,38.35,36.1126,36.24,6559476,0.0
2020-07-24,35.305,37.68,34.18,37.53,10710956,0.0
2020-07-27,37.55,38.04,32.39,35.11,26214736,0.0
2020-07-28,35.97,36.1,34.3,34.63,11028028,0.0
2020-07-29,35,36.24,33.57,35.89,10939796,0.0
2020-07-30,34.637,35.65,34.46,34.8679,7226961,0.0
2020-07-31,35.46,35.77,32.28,33.375,14232287,0.0
2020-08-03,32.84,33.29,31.65,32.95,6616984,0.0
2020-08-04,32.38,33.8399,32.3,33.06,4285762,0.0
2020-08-05,33.29,33.7,32.11,32.56,4478013,0.0
2020-08-06,32.37,34.27,32.37,33.64,6509995,0.0
2020-08-07,34.45,35.42,33.51,34.09,8661421,0.0
2020-08-10,31.95,32.65,30.51,31.62,13248250,0.0
2020-08-11,32.1,33.2267,31.5,32.035,9270912,0.0
2020-08-12,32.47,34.08,31.9101,33.72,8224153,0.0
2020-08-13,34.8,36.17,34.159,36.05,12233485,0.0
2020-08-14,34.0035,35.5,32.42,33.9001,22830636,0.0
2020-08-17,34.1595,35.73,33.46,34.655,7760279,0.0
2020-08-18,35,37.61,34.87,37.205,12389820,0.0
2020-08-19,37.01,38.17,36.22,36.27,8217650,0.0
2020-08-20,35.5,37.02,35.1,36.3199,5825709,0.0
2020-08-21,36.01,36.595,34.6445,35.13,6378645,0.0
2020-08-24,35.71,35.9,34.28,35.83,7446803,0.0
2020-08-25,35.88,40.06,35.43,39,26174124,0.0
2020-08-26,39.59,40.72,38.15,38.85,15545011,0.0
