Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-31,17.74,18.8254,17.6,18.47,385749,0.0
2020-09-01,18.5,18.8,17.71,17.79,402487,0.0
2020-09-02,18.54,19.3736,18.36,18.8,1210188,0.0
2020-09-03,18.61,18.74,17.45,17.75,586289,0.0
2020-09-04,17.74,17.81,16.5,17.14,731095,0.0
2020-09-08,16.75,17.61,16.58,17.33,418866,0.0
2020-09-09,17.39,17.95,17.21,17.84,387410,0.0
2020-09-10,17.98,18.15,17.36,17.48,347589,0.0
2020-09-11,17.65,17.65,17.02,17.42,760914,0.0
2020-09-14,17.7,18.5,17.7,18.29,439406,0.0
2020-09-15,18.52,18.73,17.88,17.98,312221,0.0
2020-09-16,18.1,19.73,18.07,19.27,893032,0.0
2020-09-17,18.9,19.67,18.88,19.6,429832,0.0
2020-09-18,19.93,20.045,19.405,19.85,527129,0.0
2020-09-21,19.57,19.715,18.57,18.605,570202,0.0
2020-09-22,18.65,19.73,18.58,19.67,331532,0.0
2020-09-23,19.64,19.78,18.81,18.85,460777,0.0
2020-09-24,18.62,18.98,17.8,18.31,434866,0.0
2020-09-25,18.16,18.85,18.16,18.66,409902,0.0
2020-09-28,18.87,18.995,17.83,18.06,295121,0.0
2020-09-29,18.03,18.49,17.82,18.36,186906,0.0
2020-09-30,18.42,18.67,17.82,17.97,239791,0.0
2020-10-01,18.1,18.71,17.76,18.71,480994,0.0
2020-10-02,18.29,18.81,18.02,18.1,351873,0.0
2020-10-05,18.22,19.48,18.21,19.45,305822,0.0
2020-10-06,19.53,19.63,18.34,18.5,373884,0.0
2020-10-07,18.54,19.4,18.5,19.28,294768,0.0
2020-10-08,19.74,20,19.229,19.74,365078,0.0
2020-10-09,19.75,20,19.435,19.89,429881,0.0
2020-10-12,19.97,19.97,18.85,19.61,407920,0.0
2020-10-13,19.59,19.885,18.84,19.33,242351,0.0
2020-10-14,19.71,19.94,19.05,19.41,262457,0.0
2020-10-15,19.52,20.74,19.01,20.67,769906,0.0
2020-10-16,20.84,21.05,20.2,20.44,571063,0.0
2020-10-19,20.38,20.67,19.85,20.04,343665,0.0
2020-10-20,20.05,20.175,18.5401,19.14,863863,0.0
2020-10-21,19.2,19.395,18.78,19.07,216218,0.0
2020-10-22,19.17,20,19.1,19.67,243333,0.0
2020-10-23,19.73,19.73,19.15,19.4,373742,0.0
2020-10-26,19,20.32,18.96,20.32,546158,0.0
2020-10-27,20.42,21.48,20.15,21.23,716646,0.0
2020-10-28,20.86,21.54,20.07,21.01,700554,0.0
2020-10-29,20.99,21.5495,19.8024,21.37,492128,0.0
2020-10-30,21.45,21.45,20.5,21.02,302192,0.0
2020-11-02,21.03,21.4,20.6,21.14,397356,0.0
2020-11-03,21.31,21.96,20.5,21.74,527082,0.0
2020-11-04,21.73,24,21.73,23.1,711785,0.0
2020-11-05,23.3,23.43,22.56,22.99,378446,0.0
2020-11-06,22.99,22.99,21.92,22.62,440205,0.0
2020-11-09,23.11,23.33,22,22.1,521703,0.0
2020-11-10,22.33,22.88,21.65,22.67,517382,0.0
2020-11-11,23,23,22.19,22.4,330290,0.0
2020-11-12,22.43,23.71,22.43,22.73,418533,0.0
2020-11-13,23.4,23.81,22.93,22.965,209193,0.0
2020-11-16,22.75,23.17,21.92,22.6,327503,0.0
2020-11-17,22.63,23.47,22.39,23.36,394394,0.0
2020-11-18,23.5,23.81,22.63,22.8,256516,0.0
2020-11-19,22.71,23.46,22.69,22.82,307167,0.0
2020-11-20,22.47,22.98,21.98,22.775,367662,0.0
2020-11-23,23,23.36,22.57,22.83,239601,0.0
2020-11-24,22.88,23.05,22.38,22.94,289151,0.0
2020-11-25,22.88,24.18,22.84,23.38,370388,0.0
2020-11-27,23.53,24.75,23.45,24.5,375253,0.0
2020-11-30,24.73,25.51,23.98,25.3,643544,0.0
2020-12-01,25.14,25.65,24.71,24.79,472110,0.0
2020-12-02,24.73,24.73,24.02,24.42,358449,0.0
2020-12-03,24.53,25.2,24.33,24.69,378200,0.0
2020-12-04,24.14,24.37,23.25,24.3,465234,0.0
2020-12-07,24.2995,25.13,24.21,24.42,396744,0.0
2020-12-08,24.53,25.23,24.04,25.06,404137,0.0
2020-12-09,25.18,25.34,23.26,24.17,564044,0.0
2020-12-10,24.23,25.19,23.98,23.99,645861,0.0
2020-12-11,23.84,24.24,23.07,23.56,516583,0.0
2020-12-14,24,25.68,23.82,24.73,905305,0.0
2020-12-15,24.88,25.045,23.16,23.74,428326,0.0
2020-12-16,23.86,23.97,22.58,22.58,572173,0.0
2020-12-17,23.04,23.215,22.2,22.81,519727,0.0
2020-12-18,23.04,23.2975,22.04,22.16,899365,0.0
2020-12-21,22,22.85,21.88,22.6,627392,0.0
2020-12-22,22.67,23.775,22.54,23.18,482003,0.0
2020-12-23,23.2,23.33,22.56,23.15,328765,0.0
2020-12-24,23.31,23.98,23.04,23.49,168899,0.0
2020-12-28,23.56,23.89,22.2,22.27,313034,0.0
2020-12-29,22.28,22.88,21.92,22.1,409211,0.0
2020-12-30,22.23,23.31,22.21,22.29,277117,0.0
2020-12-31,22.21,22.49,21.87,22.03,325890,0.0
2021-01-04,21.83,22.665,21.83,22.09,593846,0.0
2021-01-05,22.11,22.1541,21.32,22.03,646266,0.0
2021-01-06,21.96,22.09,20.85,21.51,671494,0.0
2021-01-07,21.58,23.08,21.58,22.94,382994,0.0
2021-01-08,22.82,24.25,22.82,23.28,463234,0.0
2021-01-11,23.74,24.48,23.3,24.05,390082,0.0
