Date,Estimate,Actual
2022-02-23,None,None
2021-11-03,None,None
2021-08-04,0.41,None
2021-05-06,-0.37,-0.39
2021-02-25,-0.03,-0.49
2020-11-05,-0.2,-0.29
2020-08-06,0.1,-0.43
2020-05-07,0.27,-0.31
2020-02-27,0.56,-0.58
2019-11-07,-0.28,-0.45
2019-08-08,-0.31,-0.35
2019-05-09,-0.22,-0.38
2019-03-11,-0.22,-0.29
2018-11-05,-0.25,-0.35
2018-08-08,-0.42,-0.68
2018-05-14,-0.38,-0.3
2018-03-08,-0.77,-0.9
2017-11-02,-0.69,-0.92
2017-08-10,-0.6,-1.15
2017-05-08,-0.7,-0.68
2017-03-30,-0.73,-0.68
2016-11-07,-0.85,-0.68
2016-08-04,-0.84,-0.75
2016-05-09,-0.85,-0.76
2016-03-10,-0.84,-0.76
2015-11-10,-0.84,-0.82
2015-08-06,-0.78,-0.86
2015-05-11,-0.73,-0.79
2015-03-12,-0.57,-0.82
2014-11-06,-0.63,-0.63
2014-08-07,-0.47,-0.64
2014-05-13,-0.52,-0.56
2014-03-27,-0.62,-0.2
