Date,Estimate,Actual
2021-05-25,1.41,1.72
2021-03-24,1.93,2.38
2020-10-26,1.7,1.64
2020-08-13,1.86,1.56
2020-05-26,1.55,1.63
2020-03-25,2.11,1.16
2019-11-26,1.59,1.33
2019-08-15,1.5,1.63
2019-05-28,1.24,None
2019-03-19,2.04,None
2018-11-20,None,None
2018-08-16,None,None
2018-05-29,None,None
2018-03-20,None,None
2017-11-14,None,None
2017-08-15,None,None
2017-05-16,None,None
2017-03-22,1.68,1.57
2016-10-30,None,None
2016-08-16,None,None
2016-05-17,None,None
2016-03-22,None,1.47
2015-11-11,None,None
2015-08-11,None,None
2015-05-18,None,None
2015-03-11,1.26,1.24
2014-11-13,0.79,1.03
2014-08-11,1.22,1.03
2014-08-06,1.22,1.23
2014-05-13,1.07,1.13
2014-03-19,1.41,1.03
2013-11-14,1.14,1.17
2013-03-13,0.88,1.36
2012-11-13,0.91,0.95
2012-08-14,0.98,0.9
2012-05-15,0.71,0.77
2011-11-16,1.18,0.85
2011-08-16,1.08,0.9
2011-05-16,1.24,0.89
2011-03-15,1.33,1.01
2010-11-16,1.2,1.05
2010-08-17,1.05,1.04
2010-05-13,1.07,1.15
2010-03-10,1.26,1.24
2009-11-18,1.14,1.35
2009-08-12,1.07,1.39
2009-05-20,0.95,1.02
2009-03-11,0.87,2.48
2008-11-25,0.81,0.83
2008-08-12,0.72,0.73
2008-05-20,0.56,0.75
2008-03-11,0.71,0.75
2007-11-14,0.59,0.62
2007-08-14,0.54,0.56
2007-05-15,0.43,0.45
2007-03-14,0.5,0.57
2006-11-14,0.42,0.45
2006-08-08,0.39,0.41
2006-05-16,0.32,0.35
2006-03-15,0.44,0.18
2005-11-15,0.37,0.38
2005-08-09,0.34,0.35
2005-05-17,0.3,0.32
2005-03-15,0.38,0.35
2004-11-16,0.33,0.33
2004-08-09,0.32,0.28
2004-05-11,0.27,0.31
2004-03-10,0.35,0.34
2003-11-11,0.35,0.3
2003-08-12,0.32,0.33
2003-05-20,0.31,0.31
2003-03-11,0.34,0.33
2002-11-06,0.32,0.39
2002-08-07,0.3,0.32
2002-05-08,0.29,0.29
2002-03-25,0.19,0.19
2001-11-06,0.31,0.29
2001-08-07,0.29,0.29
2001-05-08,0.28,0.32
2001-03-06,0.31,0.36
2000-11-08,0.31,0.22
2000-08-08,0.3,0.29
2000-05-08,0.3,0.29
2000-03-08,0.33,0.33
1999-11-02,0.29,0.3
1999-08-03,0.28,0.29
1999-05-03,0.25,0.27
1999-03-18,0.28,0.32
1998-11-18,0.25,0.29
1998-08-05,0.25,0.28
1998-05-05,0.24,0.23
1998-03-04,0.24,0.26
1997-11-03,0.23,0.24
1997-08-04,0.23,0.23
