Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,51.23,51.37,50.75,51.22,476130,0.0
2020-12-07,51.25,51.99,49.94,50.23,736219,0.0
2020-12-08,50.3,50.91,48.65,48.99,1135909,0.0
2020-12-09,48.92,49.12,46.42,46.64,1292127,0.0
2020-12-10,46.58,46.92,45.7,46.38,820780,0.0
2020-12-11,46.29,46.69,45.25,45.79,938055,0.0
2020-12-14,46.52,48.315,46.52,47.82,2035436,0.0
2020-12-15,48.47,51.5,48.47,51.49,2331589,0.0
2020-12-16,51.34,51.97,49.57,49.79,1182587,0.0
2020-12-17,49.87,51.33,49.01,51.2,1320971,0.0
2020-12-18,51.5,54.57,51.455,54.38,1698485,0.0
2020-12-21,53.68,55.67,53.3461,55.43,1734868,0.0
2020-12-22,55.77,58.84,55.39,58.64,2031951,0.0
2020-12-23,58.4846,60.54,58,60.31,2370140,0.0
2020-12-24,60.18,60.85,59.47,59.68,1076242,0.0
2020-12-28,59.91,60.95,58.7,58.9,1321256,0.0
2020-12-29,58.89,58.99,56.01,57.06,1101342,0.0
2020-12-30,57.06,58.5,56.7,57.2,912339,0.0
2020-12-31,56.94,57.045,55.8,56.54,710560,0.0
2021-01-04,56.87,57.03,55.57,56.72,844125,0.0
2021-01-05,56.89,56.98,55.45,55.93,666079,0.0
2021-01-06,55.65,56.98,55.37,56.18,899305,0.0
2021-01-07,56.67,59.29,56.19,59.16,761376,0.0
2021-01-08,59.03,61.2,58.13,60.98,1235011,0.0
2021-01-11,60.32,62.3,59.57,61.97,905374,0.0
2021-01-12,62.09,62.305,58.92,59.18,753260,0.0
2021-01-13,59.16,59.98,57.96,59.64,653895,0.0
2021-01-14,59.74,61.81,58.86,61.36,719960,0.0
2021-01-15,61.33,63.19,60.711,61.28,924800,0.0
2021-01-19,61.92,62.48,60.78,61.095,681026,0.0
2021-01-20,61.08,62.9,60.83,62.64,639818,0.0
2021-01-21,63,63,60.14,61.28,707694,0.0
2021-01-22,61.45,62.04,60.75,61.76,575347,0.0
2021-01-25,62.34,63.79,61.9,63.79,890179,0.0
2021-01-26,63.95,64.37,62.37,62.525,759328,0.0
2021-01-27,61.93,62,59.09,59.19,991691,0.0
2021-01-28,60.29,61.535,59.825,60.69,913528,0.0
2021-01-29,60.34,62.2,59.27,60.07,809162,0.0
2021-02-01,61,61.14,58.05,59.01,593764,0.0
2021-02-02,59.85,61.65,59.425,61.34,1179847,0.0
2021-02-03,61.57,62.65,61.029,61.24,860748,0.0
2021-02-04,62.05,62.1,59.115,59.4,831936,0.0
2021-02-05,59.54,60.66,58.58,60.2,712976,0.0
2021-02-08,60.59,60.99,59,59.73,818178,0.0
2021-02-09,59.63,60.72,59.16,59.34,476495,0.0
2021-02-10,59.32,60.2,57.89,58.1,867062,0.0
