Date,Dividend
2007-09-26,0.720851
2008-11-03,0.8067
2008-12-02,0.83499
2009-03-27,0.745727
2009-05-08,0.65551
2010-03-26,0.088938
2010-09-27,0.219793
2011-03-28,0.25995
2011-09-27,0.2702
2012-07-02,0.275767
2012-12-10,0.364803
2013-03-26,0.244972
2013-09-25,0.282871
2014-03-26,0.284425
2015-03-27,0.234154
2015-09-25,0.23543
2016-03-29,0.273652
2016-09-28,0.252889
2017-03-29,0.2598
2017-09-28,0.320308
2018-03-28,0.435632
2018-09-27,0.448912
2019-03-28,0.543498
2019-09-27,0.502478
2020-03-30,0.364429
2020-09-30,0.172213
