Date,Estimate,Actual
2022-05-03,None,None
2022-02-23,None,None
2021-10-27,None,None
2021-08-02,0.06,None
2021-05-05,0.05,0.06
2021-02-25,0.1,0.08
2020-10-29,0.09,0.14
2020-08-04,0.06,0.08
2020-05-07,0.07,0.09
2020-02-24,0.1,0.09
2019-11-05,0.07,0.09
2019-07-31,0.07,0.08
2019-05-08,0.02,0.08
2019-02-28,0.06,0.09
2018-11-06,0.03,0.08
2018-08-02,0.02,0.02
2018-05-10,0.01,0.05
2018-02-28,0.07,0.09
2017-11-02,0.03,0.03
2017-07-27,0,0.01
2017-05-04,-0.06,-0.01
2017-02-27,-0.05,0.02
2016-11-02,-0.04,0.03
2016-08-04,-0.07,0.01
2016-05-04,-0.06,-0.13
2016-03-10,-0.11,0.02
2015-11-05,-0.01,0.07
2015-08-06,-0.04,-0.27
2015-05-07,-0.12,-0.25
2015-03-12,0.07,0.11
2014-11-06,0.13,0.02
2014-08-07,-0.01,0.02
2014-04-30,-0.11,-0.06
2014-03-11,0.06,0.06
2013-11-07,0,0.02
2013-08-08,-0.15,-0.17
2013-05-09,-0.09,-0.18
2013-03-12,-0.07,-0.04
2012-11-08,-0.03,-0.08
2012-08-02,-0.09,-0.38
2012-05-03,-0.12,-0.09
2012-03-07,0.01,-0.25
2011-11-03,0.07,-0.22
2011-08-04,-0.09,-0.22
2011-05-05,0.12,-0.17
2011-03-01,0.02,0.02
2010-11-04,0.09,0.19
2010-08-05,-0.08,0.65
2010-04-29,-0.08,0.02
2010-03-10,-0.05,0.05
2009-11-03,-0.08,0.19
2009-08-06,0.1,-0.2
2009-05-12,0.1,-3.3
2009-03-09,0,-0.3
2007-11-09,0.15,0
2007-10-05,0.1,-0.4
2007-09-11,-0.5,-1
2006-11-09,0.08,-0.1
2006-08-08,0.08,-0.1
2006-05-09,0.24,-0.1
2006-03-14,0.53,0.2
2005-11-07,0.78,0.8
2005-08-04,0.6,0.6
2005-05-04,0.48,0.5
2005-02-17,0.77,0.8
2004-11-06,0.48,0.9
2004-08-04,1.02,1
2004-04-27,0.7,0.8
2004-02-19,1.1,1.1
2003-10-30,0.7,0.9
2003-08-04,0.58,0.7
2003-05-05,0.35,0.6
2003-02-12,0.45,0.5
2002-11-06,0.4,0.4
2002-08-07,-0.25,0.4
2002-05-08,-0.3,-10.8
2002-02-13,0.16,-0.3
2001-11-07,0.33,0.2
2001-08-08,0.4,0.4
2001-05-09,-0.17,-1.1
2001-02-14,2.2,2.4
2000-10-25,1.9,2.1
2000-07-26,1.18,1.8
2000-04-26,1.08,1.2
2000-02-03,0.67,1
