Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-15,24.94,25.375,24.005,24.32,167362,0.0
2020-06-16,25.02,25.67,24.43,25,154589,0.0
2020-06-17,24.99,25.49,22.56,23.11,182837,0.0
2020-06-18,23.02,23.66,22.51,22.55,174334,0.0
2020-06-19,22.91,23.18,20.76,21.51,470053,0.0
2020-06-22,21.35,23.01,21.1453,22.91,102979,0.0
2020-06-23,23.01,23.65,22.93,23.45,86121,0.0
2020-06-24,23.49,23.76,22.27,23.05,172567,0.0
2020-06-25,23.06,23.67,22.36,23.66,52327,0.0
2020-06-26,23.56,24.04,22.4,22.47,40531,0.0
2020-06-29,22.58,22.64,21.84,22.28,77669,0.0
2020-06-30,22.26,22.7,22.05,22.57,76687,0.0
2020-07-01,22.6,23.1,22.4,22.91,60979,0.0
2020-07-02,23.13,23.88,23.07,23.6,88667,0.0
2020-07-06,23.59,23.9,22.79,22.85,134654,0.0
2020-07-07,22.75,22.87,22.24,22.49,147772,0.0
2020-07-08,22.64,22.87,22.44,22.68,158264,0.0
2020-07-09,22.81,23.71,22.5601,23.63,156292,0.0
2020-07-10,23.72,24.47,23.26,23.62,86418,0.0
2020-07-13,24.25,26.705,23.91,24.4,195395,0.0
2020-07-14,24.48,24.48,22.95,23.78,95257,0.0
2020-07-15,24,25.79,23.54,25.57,114349,0.0
2020-07-16,25.59,26.465,25.53,26.16,73968,0.0
2020-07-17,26.16,27.78,26,27.4,97286,0.0
2020-07-20,27.4,28.87,27.31,28.15,158115,0.0
2020-07-21,28.34,28.85,28.205,28.56,89435,0.0
2020-07-22,28.51,28.8,27.62,28.08,99066,0.0
2020-07-23,27.97,28.81,27.51,27.89,71257,0.0
2020-07-24,26.9083,27.18,26.56,26.66,35100,0.0
2020-07-27,26.51,27.99,26.31,27.95,115657,0.0
2020-07-28,27.73,28.63,26.91,27.77,93343,0.0
2020-07-29,27.8,28.55,27.8,28.28,44830,0.0
2020-07-30,26.1,26.7019,23.5206,23.82,201397,0.0
2020-07-31,23.94,24.29,22.26,22.4,141183,0.0
2020-08-03,22.3,24.29,22.3,24.07,97437,0.0
2020-08-04,24.19,25.17,23.8901,25.04,128695,0.0
2020-08-05,25.05,25.6886,24.76,25.68,71778,0.0
2020-08-06,25.7,26.3,25.4,25.94,54587,0.0
2020-08-07,25.67,26.38,25.04,25.58,55726,0.0
2020-08-10,25.6,25.6,24.71,25.04,78230,0.0
2020-08-11,25.14,25.8376,24.03,25.25,86723,0.0
2020-08-12,25.47,25.96,24.92,25.86,48343,0.0
2020-08-17,25.68,26.55,25.68,25.89,58804,0.0
2020-08-18,26.13,26.89,25.7601,26.89,67758,0.0
2020-08-19,26.78,28,26.5501,27.31,107579,0.0
2020-08-20,27.1,28.47,26.55,28.43,37933,0.0
2020-08-21,28.34,29.47,28.081,29.42,135958,0.0
2020-08-24,29.99,31.49,29.9,31.48,141208,0.0
2020-08-25,31.43,36.4,31.14,36.21,182339,0.0
2020-08-26,35.61,40.9399,34.04,36.71,446635,0.0
2020-08-27,36.54,36.94,34.36,35.94,126070,0.0
2020-08-28,35.2,35.88,34.3,35.71,155037,0.0
2020-08-31,34.51,42.635,34.51,40.89,473079,0.0
2020-09-01,39.62,43.19,39.62,43.18,332833,0.0
2020-09-02,44.18,45.65,41.9,44.37,234474,0.0
2020-09-03,43.02,43.91,40.03,40.33,191722,0.0
2020-09-04,39.64,39.98,34.66,37.405,250240,0.0
2020-09-08,35.26,38.76,35.1,35.39,170320,0.0
2020-09-09,36,44.93,36,42.45,423604,0.0
2020-09-10,42.25,43.2339,41.16,41.76,138582,0.0
2020-09-11,42.07,44.8699,39.8,40.71,226540,0.0
2020-09-14,41.54,42.17,40.06,40.06,152434,0.0
2020-09-15,40.79,41.53,38.76,40.59,185239,0.0
2020-09-16,40.58,41.73,39.01,39.01,159512,0.0
2020-09-17,38.01,38.16,34.04,35.07,341181,0.0
2020-09-18,35.57,36.3787,32.82,33.18,287555,0.0
2020-09-21,31.77,34.78,31.5,33.06,215148,0.0
2020-09-22,33.45,33.68,30.205,31.8,310093,0.0
2020-09-23,31.61,33.06,31.61,32.0698,93257,0.0
2020-09-24,31.74,34.08,30.73,32.53,145909,0.0
2020-09-25,32.45,34.52,32.45,34.36,70322,0.0
2020-09-28,35.46,37.43,35.19,36.94,91762,0.0
2020-09-29,36.19,38,35.67,37.81,77997,0.0
2020-09-30,38.19,38.4,36.7003,37.07,70680,0.0
2020-10-01,37.98,38.5681,37.3855,38.27,57133,0.0
2020-10-02,36.59,39.2,36,37.52,69118,0.0
2020-10-05,38.06,39.6999,37.95,39.54,78290,0.0
2020-10-06,39.3,41.73,39,40.38,118805,0.0
2020-10-07,40.51,42.8,40.51,42.35,121809,0.0
2020-10-08,43,43,41.81,42.59,115508,0.0
2020-10-09,42.74,45.49,42.51,44.9,267186,0.0
2020-10-12,45,47,43.71,44.42,214167,0.0
2020-10-13,43.2687,48.4999,40.535,47.72,200286,0.0
2020-10-14,47.59,52.87,47.59,51.84,209041,0.0
2020-10-15,49.46,52.4,49.19,50.13,230346,0.0
2020-10-16,50.84,52.15,47.52,48.22,131785,0.0
2020-10-19,48,49.96,47.42,47.995,91135,0.0
2020-10-20,48.06,50.47,48.06,48.96,83030,0.0
2020-10-21,49.69,50.4,48.39,50,136399,0.0
2020-10-22,49.82,50.01,47.6,48.24,61297,0.0
2020-10-23,47.6,52.74,47.216,49.15,245913,0.0
2020-10-26,48.62,48.8529,43.35,43.9101,248515,0.0
2020-10-27,44.16,45.4359,42.23,42.33,118501,0.0
2020-10-28,41.03,41.71,37.835,37.97,206878,0.0
2020-10-29,39.66,40.6,37.12,37.18,184204,0.0
2020-10-30,38,38,33.4307,34.2,173837,0.0
2020-11-02,35.62,35.62,31,32.58,185521,0.0
2020-11-03,32.97,35.84,30.52,34.73,322312,0.0
2020-11-04,36,37.8,35.1001,36.36,191780,0.0
2020-11-05,37.3,39.21,36.375,38.25,217522,0.0
2020-11-06,38,39.15,37.11,38.81,136908,0.0
2020-11-09,39.25,41.52,38.29,38.29,171038,0.0
2020-11-10,38.25,39.15,34.66,37.08,156690,0.0
2020-11-11,38.12,40.69,37.67,40.24,148000,0.0
2020-11-12,40.62,41.8759,39.2412,39.68,92876,0.0
2020-11-13,40,41,39.52,40.25,98191,0.0
2020-11-16,40.21,41.5,39.5416,39.865,71807,0.0
2020-11-17,40.87,42.19,40.01,40.8,115290,0.0
2020-11-18,41.44,42.39,40.24,41.41,156379,0.0
2020-11-19,40.98,43.44,40.51,43.1,117398,0.0
2020-11-20,43.69,44.47,42.74,44.37,111374,0.0
2020-11-23,44.6,45.5,43.99,44.53,230076,0.0
2020-11-24,45,45.46,43.38,44.105,135022,0.0
2020-11-25,43.74,44.41,43.08,44.01,142332,0.0
2020-11-27,43.93,45,43.84,43.86,154134,0.0
2020-11-30,44,44.35,42,43.37,203006,0.0
2020-12-01,44.39,45.935,43.4,45.02,156678,0.0
2020-12-02,45.16,45.5457,44.03,44.93,131485,0.0
2020-12-03,45.11,46.71,45,46.7,325028,0.0
2020-12-04,47,48.34,46.815,47.99,172357,0.0
2020-12-07,48.04,51.81,48.04,51.48,347436,0.0
2020-12-08,50.13,52.34,50.13,50.47,306847,0.0
2020-12-09,50.01,52,46.4,46.46,305865,0.0
2020-12-10,44,44.71,41.35,42.98,372071,0.0
2020-12-11,42.9,44.69,41.73,42.0816,209591,0.0
2020-12-14,41.67,44.77,41.33,41.46,215916,0.0
2020-12-15,41.5,44.81,41.5,44.46,145584,0.0
2020-12-16,45,45.8666,43.54,43.82,110350,0.0
2020-12-17,44.2,46.93,44,46.49,102165,0.0
2020-12-18,46.22,48.64,45.9358,46.86,138178,0.0
2020-12-21,47.76,49.9399,45.61,48.62,244523,0.0
2020-12-22,48.77,59.52,48.77,58.11,591361,0.0
2020-12-23,58,61.815,57.605,58.92,359691,0.0
2020-12-24,58.11,59.45,55.72,56.71,128888,0.0
2020-12-28,57,60.2868,54.07,54.24,200463,0.0
2020-12-29,54.3,55,45.86,49.84,350036,0.0
2020-12-30,50.99,55.42,49.76,54.99,178847,0.0
2020-12-31,55.67,56.37,53.29,54.36,121530,0.0
2021-01-04,55.5,57.46,52.3041,54.37,164464,0.0
2021-01-05,54.57,57.74,54.56,57.56,164355,0.0
2021-01-06,57,62.6,56.252,59.13,217060,0.0
2021-01-07,61.01,72.46,61.01,69.87,387048,0.0
2021-01-08,72,79.94,70.2,70.42,591261,0.0
2021-01-11,70.3,70.88,63.94,64.15,439532,0.0
2021-01-12,66.4,69.9899,64.94,65.89,319637,0.0
2021-01-13,65.3,70.78,65.01,67.9,264756,0.0
2021-01-14,69.99,78.3634,68.5,73.59,394903,0.0
2021-01-15,74.02,75.99,66.6,67.288,259394,0.0
2021-01-19,70.15,76.495,70.07,74.52,367307,0.0
2021-01-20,76.81,82.25,70.01,70.16,568407,0.0
2021-01-21,73.4,75.26,65.43,70.55,425830,0.0
2021-01-22,68.57,70.93,66.67,69.31,246435,0.0
2021-01-25,70.9,75.69,68.33,68.76,373096,0.0
2021-01-26,69.65,71.17,66.092,67.84,286936,0.0
2021-01-27,65.01,69.88,61.26,65.04,301487,0.0
2021-01-28,64.93,69.61,63.15,67.82,211822,0.0
2021-01-29,67.39,70.29,63.27,65.29,186509,0.0
2021-02-01,66.78,69.88,65.56,68.29,283411,0.0
2021-02-02,69.58,75.64,68.46,69,520135,0.0
2021-02-03,72.99,73.09,69,69.31,289989,0.0
2021-02-04,70,73.42,69.9,71.36,228994,0.0
2021-02-05,72.05,75.44,70.72,71.56,309584,0.0
2021-02-08,73,80.79,72.15,76.6,525898,0.0
2021-02-09,77.65,85,77.61,80.62,443899,0.0
2021-02-10,84.39,87.29,74.025,74.99,432682,0.0
2021-02-11,77.56,82.74,75.65,77.75,325047,0.0
2021-02-12,77.36,77.77,73.2601,77.76,166450,0.0
2021-02-16,78.1156,87.4,70.69,70.75,559174,0.0
2021-02-17,71.78,73.07,64.645,67.48,342937,0.0
2021-02-18,64.65,66.395,60.7,64.47,450605,0.0
2021-02-19,67.32,72.795,65.9847,66.09,357276,0.0
2021-02-22,64.7,66.8954,57.0523,58.17,361649,0.0
2021-02-23,54.61,55.1,42.2171,50.3,855302,0.0
2021-02-24,50.37,53.19,47.82,50.86,493684,0.0
2021-02-25,50.64,51.13,43.5101,45.41,557401,0.0
2021-02-26,46.55,48.26,42.51,45.73,491147,0.0
2021-03-01,47.5,50.28,45.03,45.52,498887,0.0
2021-03-02,47.93,49.38,41,41.01,621949,0.0
2021-03-03,40.85,41.65,35.64,37.62,875709,0.0
2021-03-04,36.52,37.39,31.66,34.8,1041816,0.0
2021-03-05,36.69,36.69,28.4501,33.53,1371167,0.0
2021-03-08,35.1,35.47,29.75,30.26,1079547,0.0
2021-03-09,33,38.97,32.5,38.46,1593750,0.0
2021-03-10,40.7524,42.6,36.08,36.35,1009357,0.0
2021-03-11,38.58,44,38.51,42.56,1080090,0.0
2021-03-12,40.53,42.97,38.01,42.7,562256,0.0
2021-03-15,44.81,45.98,42.99,45.87,522515,0.0
2021-03-16,46.05,46.46,38.7,39.85,769484,0.0
2021-03-17,39.16,42,37.1765,40.57,508515,0.0
2021-03-18,39.98,40.63,36.91,38.25,528603,0.0
2021-03-19,38.46,43.24,36.61,42.84,819875,0.0
2021-03-22,42.98,43.91,39.6643,41.29,336977,0.0
2021-03-23,41.79,41.79,37.83,38.54,391567,0.0
2021-03-24,39.23,39.23,33.5781,34.01,626918,0.0
2021-03-25,32.55,34.945,31.08,34.77,833819,0.0
2021-03-26,35,35.7399,31,32.43,540224,0.0
2021-03-29,33.39,33.3877,31,31.98,395576,0.0
2021-03-30,31.14,36.09,30,34.53,626425,0.0
2021-03-31,35.2,37.83,35.2,35.89,506763,0.0
2021-04-01,37.78,40.67,35.91,35.91,503530,0.0
2021-04-05,36,37.27,35,35.725,266479,0.0
2021-04-06,35.37,38.22,34.01,36.04,427334,0.0
2021-04-07,36.02,37.32,32.93,33.52,291399,0.0
2021-04-08,34.7,36.3,34.57,35.2,189482,0.0
2021-04-09,34.3,34.98,33.6,34.63,213999,0.0
2021-04-12,33.94,34.195,31.91,33.83,272571,0.0
2021-04-13,34.72,36.19,34.29,35.69,379168,0.0
2021-04-14,35.1,37.1,33.72,34.06,295677,0.0
2021-04-15,34.79,35.31,33.4214,33.66,236927,0.0
2021-04-16,33.68,33.68,32.01,32.86,256446,0.0
2021-04-19,32,32.48,29.33,30.53,365524,0.0
2021-04-20,30.08,30.7089,28.7,29.71,259899,0.0
2021-04-21,29.48,31.5,28.67,31.31,316077,0.0
2021-04-22,31.66,33.26,30.9093,31.98,243629,0.0
2021-04-23,31.99,33.2,31.45,32.26,111633,0.0
2021-04-26,32.4,34.08,32.1872,33.87,192366,0.0
2021-04-27,33.96,34.49,32.99,33.25,135227,0.0
2021-04-28,32.95,33.44,32.1404,32.79,190850,0.0
2021-04-29,32.75,32.85,29.86,30.94,291427,0.0
2021-04-30,30.3,31.28,29.63,29.91,218170,0.0
2021-05-03,30.51,30.51,28.5,28.82,312679,0.0
2021-05-04,28.19,28.32,26.57,27.47,333119,0.0
2021-05-05,27.95,28.93,26.53,27.03,253939,0.0
2021-05-06,26.8,27.02,25.4,26.62,277234,0.0
2021-05-07,27.77,29.08,26.68,26.79,365567,0.0
2021-05-10,26.8,26.85,24.63,25.06,452796,0.0
2021-05-11,24,26.82,23.34,25.36,530972,0.0
2021-05-12,24.66,25.56,23.84,24.53,359688,0.0
2021-05-13,24.7,26.69,22.69,23.7,396775,0.0
2021-05-14,24.02,26.795,23.43,25.55,315255,0.0
2021-05-17,24.88,25.51,23.45,23.81,276153,0.0
2021-05-18,24.58,27.47,23.45,25.815,337426,0.0
2021-05-19,24.58,25.73,24.1,25.58,213680,0.0
2021-05-20,26.04,27.6984,25.92,26.08,219586,0.0
2021-05-21,26.47,26.77,25.29,26.2,298346,0.0
2021-05-24,26.5,27.13,26.105,26.15,232320,0.0
2021-05-25,26.5,27.08,25.71,26.03,126142,0.0
2021-05-26,26.03,28.335,26.03,27.75,275036,0.0
2021-05-27,27.94,28.29,26.6,27.5,168482,0.0
2021-05-28,27.75,29.53,26.94,26.99,187575,0.0
2021-06-01,27.59,28.5,26.01,26.79,142357,0.0
2021-06-02,26.63,27.94,26.58,27.94,227281,0.0
2021-06-03,27.48,27.81,26.32,27.3,296127,0.0
2021-06-04,27.58,28.84,27.58,28.16,167425,0.0
2021-06-07,28.43,28.91,27.62,28.48,174044,0.0
2021-06-08,28.87,30.26,27.53,28.23,280481,0.0
2021-06-09,28.76,29.9,27.9,27.97,187096,0.0
2021-06-10,23.7,23.97,22.7,22.88,3441746,0.0
2021-06-11,23.33,23.43,22.79,22.97,888264,0.0
2021-06-14,23.45,23.67,22.84,22.88,754925,0.0
2021-06-15,23.38,23.38,21.8,22.5,836575,0.0
2021-06-16,22.73,22.87,21.41,22.6,530964,0.0
2021-06-17,22.53,23.83,22.51,23.19,966303,0.0
2021-06-18,23.28,24.3,23,23.15,1317919,0.0
2021-06-21,23.33,23.32,22.2,23.04,421591,0.0
2021-06-22,23.22,23.945,22.51,23.77,522997,0.0
2021-06-23,23.8,24.69,23.38,24.12,548611,0.0
2021-06-24,24.59,25.12,23.8091,24.16,639878,0.0
2021-06-25,24.17,24.3126,23.33,23.7,352741,0.0
2021-06-28,23.98,24.8,23.62,23.79,460233,0.0
2021-06-29,24.2,24.7256,23.44,24.21,305847,0.0
2021-06-30,24.14,24.26,23.985,24.1,356490,0.0
2021-07-01,24.81,25.96,24.51,25.06,465159,0.0
2021-07-02,25.58,25.88,24.03,24.08,441130,0.0
2021-07-06,24.15,25.05,23.7334,24.43,641178,0.0
2021-07-07,25.1,25.2,23.16,23.58,406455,0.0
2021-07-08,23.03,23.41,22.06,23.28,361036,0.0
2021-07-09,23.33,23.72,22.78,23.51,194033,0.0
2021-07-12,23.37,23.87,22.89,23.03,205649,0.0
2021-07-13,23.01,23.28,21.34,21.36,378774,0.0
2021-07-14,21.5,21.75,20.3308,20.44,312097,0.0
2021-07-15,20.35,20.99,19.73,20.95,824391,0.0
2021-07-16,21.17,22.23,21.17,22.09,508916,0.0
2021-07-19,21.36,21.63,20.1,20.21,386947,0.0
2021-07-20,20.65,21.63,19.76,21.28,252848,0.0
2021-07-21,21.0504,21.9899,21.0504,21.19,204242,0.0
2021-07-22,21.2,21.4202,20.46,20.7,190350,0.0
2021-07-23,20.88,20.98,19.91,20.17,170385,0.0
2021-07-26,20.25,20.9299,19.5,19.54,211556,0.0
2021-07-27,19.5,19.53,18.52,19.35,319046,0.0
2021-07-28,19.41,20.78,19.41,20.68,270357,0.0
2021-07-29,23.14,23.53,21.351,21.58,556646,0.0
2021-07-30,21.15,22.493,21.1,21.76,197776,0.0
2021-08-02,22.4,22.705,21.8947,22.31,235546,0.0
2021-08-03,22.44,22.54,21.1501,21.65,202734,0.0
2021-08-04,21.42,22.5,21.5,22.06,184356,0.0
2021-08-05,22.12,22.98,22,22.47,289540,0.0
2021-08-06,22.53,22.71,21.575,21.82,190777,0.0
2021-08-09,22,22.82,21.68,22.6,151069,0.0
2021-08-10,23,23.9999,22.44,22.64,441007,0.0
2021-08-11,22.99,24.4,21.68,22.52,286663,0.0
2021-08-12,22.46,22.6,21.64,22.41,123903,0.0
2021-08-13,22.53,22.53,21.11,21.12,175841,0.0
2021-08-16,21.06,21.06,20.07,20.16,217386,0.0
2021-08-17,20.24,20.57,19.65,20.22,241570,0.0
