Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,42.91,42.99,41.5,41.7,1117187,13713,41.904458
2021-01-04,42.53,42.565,39.88,41.22,1413791,19019,40.998
2021-01-05,41.16,41.99,40.85,41.4,697136,10488,41.368532
2021-01-06,40.8,42.31,39.42,39.88,2611372,22919,40.502786
2021-01-07,40.46,42.18,40.45,42.01,1048116,13195,41.565432
2021-01-08,42.47,45.25,42.45,44.52,2010683,23309,44.610228
2021-01-11,43.4,44.61,42.87,43.92,1586690,13371,44.050737
2021-01-12,43.74,45.15,43.62,44.9,767858,9706,44.779079
2021-01-13,45.2,46.26,44.98,45.39,648529,9039,45.616346
2021-01-14,45.74,47.4316,45.56,47.02,1034696,12979,46.923462
2021-01-15,47.18,48.55,45.47,45.56,1379638,11333,46.281047
2021-01-19,46.0,49.66,46.0,48.2,1956409,19389,48.168281
2021-01-20,49.71,50.26,48.63,49.43,1447279,15146,49.362477
2021-01-21,49.91,50.12,47.69,48.37,862927,10762,48.619396
2021-01-22,47.91,48.99,47.76,48.87,597942,7112,48.520984
2021-01-25,49.99,50.1,47.33,48.05,882034,11734,48.700437
2021-01-26,47.94,48.66,47.71,47.89,773553,10092,48.095724
2021-01-27,47.0,50.7199,45.2,48.33,1886852,19240,48.474557
2021-01-28,47.98,49.28,47.551,48.73,1195396,14854,48.598092
2021-01-29,48.57,51.08,47.3338,48.73,1882463,20063,48.900763
2021-02-01,49.6,51.07,49.21,50.62,1026439,12468,50.477031
2021-02-02,51.86,53.83,51.24,53.08,1570392,20316,52.955371
2021-02-03,54.0,54.57,52.25,53.18,849592,13430,53.340567
2021-02-04,53.76,54.7,53.38,54.04,870946,11648,54.145829
2021-02-05,54.58,55.29,54.05,54.99,664989,9588,54.86906
2021-02-08,56.36,57.32,55.69,56.09,1130749,16939,56.514962
2021-02-09,56.51,57.56,55.4,55.43,836355,14310,56.143729
2021-02-10,56.01,57.11,54.22,55.34,1203974,12858,55.937265
2021-02-11,56.59,57.36,55.405,56.14,769221,10587,56.526327
2021-02-12,55.68,56.64,54.87,56.58,945074,9143,55.588271
2021-02-16,57.55,58.36,55.3,55.39,974785,15822,56.252014
2021-02-17,54.28,55.38,52.4,53.63,1202895,16444,53.584784
2021-02-18,52.5,52.715,51.01,51.62,1660789,20002,51.821656
2021-02-19,52.18,53.92,51.62,52.03,1794348,13651,52.232839
2021-02-22,51.0,52.08,47.9,48.5,1215360,17299,49.271897
