Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-15,11.4,12.73,11.05,12.41,245857,0.0
2020-06-16,12.81,12.81,11.82,12.42,400752,0.0
2020-06-17,12.35,12.82,12.22,12.64,270576,0.0
2020-06-18,12.58,12.8,11.88,12.095,198262,0.0
2020-06-19,12.33,12.74,12.2,12.46,216586,0.0
2020-06-22,12.37,13.5,12.135,13.45,276025,0.0
2020-06-23,13.68,14.14,13.4501,13.8,467257,0.0
2020-06-24,14.18,14.19,13.0098,13.42,211452,0.0
2020-06-25,13.39,14,13.26,13.99,263500,0.0
2020-06-26,13.87,13.94,12.51,12.7,271491,0.0
2020-06-29,12.87,13.18,12.15,12.7,254679,0.0
2020-06-30,12.7,13.08,12.44,12.97,109942,0.0
2020-07-01,13.26,13.78,13.01,13.63,156917,0.0
2020-07-02,13.81,14.5712,13.52,14.22,216375,0.0
2020-07-06,14.25,14.31,13.48,13.79,190131,0.0
2020-07-07,13.56,14.33,13.5,14.26,154507,0.0
2020-07-08,14.19,14.94,14.19,14.81,276419,0.0
2020-07-09,14.91,15.2,14.47,15.13,321313,0.0
2020-07-10,15.15,15.4899,14.73,14.99,222559,0.0
2020-07-13,15.09,16.41,15,15.04,327124,0.0
2020-07-14,14.94,15.6,14.7,15.57,162042,0.0
2020-07-15,15.85,16.98,15.8,16.9,401022,0.0
2020-07-16,16.74,17.05,16.45,16.91,108414,0.0
2020-07-17,16.8,17.2,16.65,17.06,160401,0.0
2020-07-20,16.84,18.03,16.84,17.97,172118,0.0
2020-07-21,18.05,18.1,16.791,17.18,278709,0.0
2020-07-22,17.16,17.5444,16.64,17.09,119547,0.0
2020-07-23,17.04,17.62,16.86,16.96,68425,0.0
2020-07-24,16.86,16.86,16.013,16.39,153266,0.0
2020-07-27,16.48,17.67,16.1901,17.49,177544,0.0
2020-07-28,17.53,18.4199,17.4707,17.6,172859,0.0
2020-07-29,17.63,17.83,16.83,17.38,103673,0.0
2020-07-30,17.16,18.17,17.0517,18.11,148152,0.0
2020-07-31,18.07,18.21,17.26,17.39,130106,0.0
2020-08-03,17.71,18.35,17.09,18.05,192401,0.0
2020-08-04,17.87,21.4,17.78,21.08,1164698,0.0
2020-08-05,21.21,22.1,20.77,22.02,389860,0.0
2020-08-06,22.25,22.69,20.84,21.66,224910,0.0
2020-08-07,20.95,22.9997,20.81,21.52,317371,0.0
2020-08-10,22.2977,22.8,21.03,21.05,326392,0.0
2020-08-11,20.93,21.62,20.25,21.21,222958,0.0
2020-08-12,18.5,19.45,18.28,19,2314441,0.0
2020-08-13,19.35,20.45,19.3,19.88,965258,0.0
2020-08-14,20,20.59,19.36,20.16,472273,0.0
