Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-19,17.46,17.745,17.12,17.275,3601880,0.0
2020-06-22,17.16,17.32,16.21,16.7,6291685,0.0
2020-06-23,16.94,17.4,16.73,17.22,5169464,0.0
2020-06-24,17.01,17.0302,16.38,16.5,3147778,0.0
2020-06-25,16.42,16.605,16.105,16.57,2813704,0.0
2020-06-26,16.59,17.28,16.505,17.21,3385628,0.0
2020-06-29,17.21,17.28,16.76,17.2,2198611,0.0
2020-06-30,17.2,17.495,17.07,17.33,1841791,0.0
2020-07-01,17.34,17.43,17.12,17.3,1676139,0.0
2020-07-02,17.45,17.9,17.04,17.14,2986630,0.0
2020-07-06,17.49,17.97,17.36,17.66,4370850,0.0
2020-07-07,17.6,17.7284,17.05,17.07,2305455,0.0
2020-07-08,17.18,17.18,16.625,17.1,5636749,0.0
2020-07-09,17.27,17.66,16.985,17.42,2447420,0.0
2020-07-10,17.39,17.43,17.02,17.29,1659053,0.0
2020-07-13,17.45,17.65,16.7,16.8,2855740,0.0
2020-07-14,16.64,17,16.14,16.93,2826312,0.0
2020-07-15,17.17,17.55,17.02,17.42,3477745,0.0
2020-07-16,17.32,17.635,17.28,17.32,2064171,0.0
2020-07-17,17.34,17.38,17.005,17.28,1963027,0.0
2020-07-20,17.35,17.96,17.3101,17.92,2987315,0.0
2020-07-21,18,18.13,17.7,17.77,2898547,0.0
2020-07-22,17.8,18.07,17.76,17.94,2625890,0.0
2020-07-23,17.93,18.585,17.8542,18,3760449,0.0
2020-07-24,17.335,17.5,17.22,17.24,1683838,0.0
2020-07-27,17.49,18.105,17.255,18.02,3475456,0.0
2020-07-28,17.89,17.93,17.32,17.335,5065088,0.0
2020-07-29,17.33,17.405,16.98,17.05,5461934,0.0
2020-07-30,16.79,17.48,16.615,17.44,4751543,0.0
2020-07-31,17.55,17.875,17.23,17.86,7522251,0.0
2020-08-03,18.01,18.29,17.87,18.1,5522858,0.0
2020-08-04,18.1,18.48,17.98,18.11,5868118,0.0
2020-08-05,18.28,18.43,18.005,18.17,3501634,0.0
2020-08-06,17.98,18.035,17.56,17.96,3551658,0.0
2020-08-07,17.88,17.94,17.08,17.33,3754943,0.0
2020-08-10,17.54,17.96,17.315,17.78,7045682,0.0
2020-08-11,17.7,17.97,17.3,17.3375,4009684,0.0
2020-08-12,17.58,17.59,17.14,17.27,2969554,0.0
2020-08-17,16.12,16.235,15.91,15.965,8722196,0.0
2020-08-18,15.93,15.95,15.405,15.75,5198316,0.0
2020-08-19,15.9,16.325,15.85,15.9,5048718,0.0
2020-08-20,15.75,16.53,15.61,16.41,10192598,0.0
2020-08-21,16.45,16.69,16.105,16.43,6909370,0.0
2020-08-24,16.64,16.72,16.425,16.71,6814458,0.0
2020-08-25,16.75,16.92,16.255,16.77,12405542,0.0
2020-08-26,14.62,16.07,14.34,15.045,43586392,0.0
2020-08-27,15.12,15.28,14.69,14.72,12368070,0.0
2020-08-28,14.81,15.39,14.8,15.13,11340792,0.0
2020-08-31,15.12,15.45,15.065,15.26,10135816,0.0
2020-09-01,15.37,15.39,14.995,15.02,5911990,0.0
2020-09-02,15.17,15.61,14.885,15.59,4858113,0.0
2020-09-03,15.32,15.405,14.77,15.04,6968899,0.0
2020-09-04,15.05,15.12,14.085,14.72,9003424,0.0
2020-09-08,14.14,14.77,14.08,14.4,5808856,0.0
2020-09-09,14.7,15.09,14.41,15.05,9188151,0.0
2020-09-10,15.03,15.085,14.42,14.42,4852986,0.0
2020-09-11,14.68,14.795,14.295,14.72,5822534,0.0
2020-09-14,14.94,15.41,14.82,15.265,5945631,0.0
2020-09-15,15.38,15.48,15.19,15.29,1720814,0.0
2020-09-16,15.435,15.61,15.22,15.26,2145680,0.0
2020-09-17,14.93,15.0627,14.64,14.86,2356690,0.0
2020-09-18,14.92,14.94,14.34,14.47,4930734,0.0
2020-09-21,14.2099,14.7,13.9093,14.7,6244219,0.0
2020-09-22,14.79,15.245,14.79,15.225,5234569,0.0
2020-09-23,15.28,15.3299,14.43,14.5,2490256,0.0
2020-09-24,14.26,14.635,14.065,14.46,2756314,0.0
2020-09-25,14.46,14.92,14.42,14.825,2824450,0.0
2020-09-28,15.12,15.345,15.03,15.22,2777207,0.0
2020-09-29,15.36,15.8499,15.31,15.68,7066201,0.0
2020-09-30,15.66,15.77,15.32,15.39,8056042,0.0
2020-10-01,15.75,15.85,15.525,15.79,5621816,0.0
2020-10-02,15.36,15.655,15.24,15.54,4955374,0.0
2020-10-05,15.74,16.405,15.66,16.255,9345294,0.0
2020-10-06,16.3,17.085,16.29,16.76,10578815,0.0
2020-10-07,17,17.4,16.97,17.24,10655194,0.0
2020-10-08,17.45,18.1,17.44,17.76,9555725,0.0
2020-10-09,17.9,18.05,17.505,17.57,6661329,0.0
2020-10-12,17.78,17.85,17.32,17.64,7348996,0.0
2020-10-13,17.89,18.445,17.86,18.3,11456519,0.0
2020-10-14,18.5,18.57,17.89,18.21,8557177,0.0
2020-10-15,17.87,18.365,17.71,18.26,4442995,0.0
2020-10-16,18.47,18.55,18.17,18.27,3848550,0.0
2020-10-19,18.37,18.725,18.33,18.41,8750533,0.0
2020-10-20,18.63,18.85,18.24,18.24,4841230,0.0
2020-10-21,18.34,18.45,17.8899,17.97,3344630,0.0
2020-10-22,18.07,18.13,17.65,17.95,2908627,0.0
2020-10-23,17.98,18.11,17.655,18.1,3445998,0.0
2020-10-26,17.83,17.93,17.25,17.44,3572557,0.0
2020-10-27,17.51,17.73,17.35,17.46,2409534,0.0
2020-10-28,17.04,17.08,16.69,16.8,3436804,0.0
2020-10-29,16.89,17.1,16.66,16.89,12390582,0.0
2020-10-30,16.75,16.99,15.8,16.1,8199608,0.0
2020-11-02,16.29,16.6434,16.155,16.58,7491638,0.0
2020-11-03,16.8,17.07,16.65,16.9,3435178,0.0
2020-11-04,17.14,17.42,16.9078,17.32,3204812,0.0
2020-11-05,16.86,17.39,16.5163,17.34,11950302,0.0
2020-11-06,17.39,17.725,16.99,17.61,5263186,0.0
2020-11-09,18.29,18.51,17.73,17.735,3736546,0.0
2020-11-10,17.68,17.77,17,17.34,3951894,0.0
2020-11-11,17.58,17.87,17.38,17.71,3661359,0.0
2020-11-12,17.7,17.8,17.295,17.38,4333880,0.0
2020-11-13,17.56,17.95,17.56,17.815,2190021,0.0
2020-11-16,18,18.38,17.8087,18.33,5887374,0.0
2020-11-17,18.3,18.7,17.96,18.67,4485844,0.0
2020-11-18,18.69,19.02,18.46,18.46,4552102,0.0
2020-11-19,18.39,18.795,18.3215,18.76,2740890,0.0
2020-11-20,18.72,19.03,18.65,18.86,3992198,0.0
2020-11-23,19,19.73,19,19.7,5601568,0.0
2020-11-24,20,20,19.51,19.73,8034469,0.0
2020-11-25,19.28,19.79,18.06,18.12,13494993,0.0
2020-11-27,18.17,18.585,18.15,18.43,4652978,0.0
2020-11-30,18.44,18.59,17.72,18.27,3300060,0.0
2020-12-01,18.42,18.96,18.31,18.81,2932767,0.0
2020-12-02,18.72,19.06,18.51,19.06,2429885,0.0
2020-12-03,19.05,19.575,18.8,19.36,2550537,0.0
2020-12-04,19.48,21.045,19.37,20.99,6411857,0.0
2020-12-07,20.97,21.75,20.85,21.33,4698003,0.0
2020-12-08,21.25,21.81,21.175,21.46,3014472,0.0
2020-12-09,21.21,22.35,20.8825,21.12,5105281,0.0
2020-12-10,20.85,21.9081,20.76,21.85,2793961,0.0
2020-12-11,21.48,22.2,21.27,21.62,3106384,0.0
2020-12-14,21.72,22.14,21.565,21.6,5245111,0.0
2020-12-15,21.69,21.95,21.385,21.6,3469996,0.0
2020-12-16,21.79,22.24,21.42,21.89,3417180,0.0
2020-12-17,22,22.585,21.77,22.31,3607466,0.0
2020-12-18,22.27,22.68,22.22,22.47,4056040,0.0
2020-12-21,22.22,23.01,22,22.79,6236705,0.0
2020-12-22,22.83,23.82,22.8,23.46,4869309,0.0
2020-12-23,23.69,24.63,23.63,24.19,9027061,0.0
2020-12-24,24.5,24.5,23.63,23.97,1950294,0.0
2020-12-28,24.23,24.54,23.79,23.93,3069580,0.0
2020-12-29,23.92,24.06,22.63,22.87,3835309,0.0
2020-12-30,23,23.32,22.74,22.92,2991726,0.0
2020-12-31,22.84,22.95,22.5,22.61,1982363,0.0
