Date,Estimate,Actual
2022-05-24,None,None
2022-02-22,None,None
2021-11-22,None,None
2021-05-26,-0.06,0
2021-02-24,0.09,0.13
2020-11-24,0,0.01
2020-08-25,0.01,0.06
2020-05-28,-0.15,-0.02
2020-02-27,0.22,0.23
2019-11-21,0.09,0.13
2019-08-21,-0.04,0.01
2019-05-21,-0.07,-0.11
2019-02-28,0.18,0.14
2018-11-19,0.09,0.13
2018-08-21,-0.06,0.01
2018-05-21,-0.12,-0.07
2018-03-01,0.07,0.13
2017-11-28,-0.03,-0.01
2017-08-24,-0.14,-0.11
2017-05-24,-0.22,-0.14
2017-03-01,-0.08,-0.02
2016-11-30,-0.15,-0.1
2016-08-25,-0.23,-0.16
2016-05-25,-0.23,-0.22
2016-03-02,-0.16,-0.12
2015-12-03,-0.28,-0.18
2015-10-07,None,None
