Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,32.6,33.24,32.47,33.09,119875,1751,33.047798
2021-01-04,33.2,33.47,31.16,32.23,326468,3703,32.045498
2021-01-05,32.22,33.2,32.22,32.66,233786,3606,32.786384
2021-01-06,33.0,35.25,32.92,35.15,597249,7143,34.582698
2021-01-07,35.87,36.7299,35.04,36.64,302765,4780,36.16082
2021-01-08,37.51,37.74,35.8972,36.24,443859,5644,36.538491
2021-01-11,36.04,37.135,34.78,36.66,296171,3714,36.461801
2021-01-12,36.72,37.97,36.49,37.71,188745,2993,37.548669
2021-01-13,37.68,37.92,37.25,37.45,168405,3067,37.563495
2021-01-14,37.94,39.1,37.46,37.63,277538,4461,38.05175
2021-01-15,37.39,37.58,35.85,36.57,239101,4038,36.618094
2021-01-19,37.64,37.99,35.78,36.6,393265,5081,36.508661
2021-01-20,36.66,37.14,36.34,37.03,290413,3256,36.773807
2021-01-21,37.05,37.46,35.75,35.755,222282,3069,36.169936
2021-01-22,35.76,35.855,34.36,35.65,338359,4227,35.227108
2021-01-25,35.34,36.99,35.2,36.95,341481,4116,36.468187
2021-01-26,37.4,37.6,36.17,36.32,178010,2845,36.602043
2021-01-27,35.15,35.465,33.88,33.95,272651,4372,34.314709
2021-01-28,34.42,34.7799,33.4122,33.94,209005,3223,33.953674
2021-01-29,33.58,33.675,32.1316,32.27,294377,4834,32.601462
2021-02-01,32.96,33.06,32.2,32.71,176455,2866,32.735607
2021-02-02,33.1,34.74,32.96,34.46,321038,4835,34.190117
2021-02-03,34.41,34.8299,34.11,34.26,171209,2610,34.418427
2021-02-04,34.3,35.39,34.09,35.38,152048,2673,35.09175
2021-02-05,35.62,36.17,35.23,35.76,144496,2458,35.56611
2021-02-08,36.17,37.58,36.17,37.56,211522,4117,37.28992
2021-02-09,37.69,37.94,37.13,37.35,224214,3423,37.436239
2021-02-10,37.75,37.887,36.52,37.11,134288,2605,37.132005
2021-02-11,37.25,37.65,36.21,37.09,163684,2557,36.955265
2021-02-12,36.79,37.78,36.79,37.35,130482,1806,37.333021
2021-02-16,37.79,38.34,37.51,37.86,209916,3613,37.980651
2021-02-17,38.21,38.21,37.0415,37.72,145497,2577,37.725156
2021-02-18,37.65,40.57,37.11,40.04,915613,8053,39.073235
2021-02-19,40.52,41.25,39.32,41.16,375264,5184,40.612583
2021-02-22,40.88,42.86,40.14,42.28,287613,4911,42.014859
2021-02-23,40.09,40.9,37.1,40.48,523682,7554,39.414996
2021-02-24,41.17,42.33,40.69,41.59,218253,3730,41.691339
2021-02-25,41.42,42.0399,39.72,39.72,253542,3876,40.453399
2021-02-26,39.76,40.5525,38.63,39.2,281576,3946,39.514725
2021-03-01,40.43,42.15,40.43,42.06,218561,3472,41.539607
2021-03-02,41.86,42.29,40.84,40.84,186843,2897,41.203192
2021-03-03,41.11,42.5762,40.52,41.04,238411,3114,41.46376
2021-03-04,40.64,40.9,36.72,37.86,435259,6731,38.287372
2021-03-05,38.18,38.18,35.1,37.88,332311,7234,36.924939
2021-03-08,38.09,38.7131,37.4,37.65,205956,4221,37.92894
2021-03-09,38.2,39.08,37.68,37.83,377863,5563,38.04649
2021-03-10,38.26,41.28,37.99,40.8,269854,4753,40.440453
2021-03-11,41.22,42.68,40.91,42.46,217258,3435,42.235493
2021-03-12,42.61,42.7868,41.34,41.98,197921,3630,41.862246
2021-03-15,42.34,42.34,40.75,41.26,165266,2523,41.231544
2021-03-16,41.47,41.75,40.5501,40.78,175269,2909,41.091807
2021-03-17,40.71,42.66,40.03,42.16,483053,4382,41.750694
2021-03-18,42.49,45.11,40.4835,40.95,874532,8172,42.731845
2021-03-19,40.23,40.3071,36.31,36.51,1667493,11669,37.282597
2021-03-22,36.3,37.235,35.05,36.07,520891,7274,35.830104
2021-03-23,32.34,34.875,31.445,33.42,1330733,11587,33.081843
2021-03-24,33.85,34.7599,31.8,31.8,540358,6205,32.478812
2021-03-25,31.49,33.63,30.695,33.44,462700,8341,32.477999
2021-03-26,33.89,34.875,33.5,34.09,397517,5515,34.101687
2021-03-29,33.82,35.3,33.58,34.96,417343,6245,34.796358
2021-03-30,35.2,37.59,35.13,37.38,587649,9256,36.981229
2021-03-31,37.48,38.56,37.28,38.33,451705,5997,38.171043
2021-04-01,38.58,39.36,37.82,38.48,284236,4614,38.384758
2021-04-05,39.3,39.9125,37.97,38.41,263187,4718,38.454284
2021-04-06,38.45,39.73,38.38,39.57,214132,4244,39.224305
2021-04-07,39.21,39.51,37.9,38.03,188457,3033,38.322541
2021-04-08,38.63,38.74,37.49,38.58,152904,2579,38.426718
2021-04-09,38.29,38.7,37.89,38.4,115057,2219,38.286281
2021-04-12,38.3,38.91,37.87,38.75,105961,2353,38.523165
2021-04-13,38.57,39.0,37.8,37.88,182518,3111,38.118151
2021-04-14,37.89,39.68,37.89,39.44,213723,3667,39.248409
2021-04-15,39.6,39.91,39.16,39.74,162830,2818,39.559777
2021-04-16,40.0,40.25,39.72,39.87,147101,2926,39.993088
2021-04-19,39.68,39.68,38.14,38.55,203472,2998,38.811339
2021-04-20,38.22,38.65,36.8735,37.48,197346,3692,37.633715
2021-04-21,37.62,39.16,37.24,39.05,155566,3255,38.599586
2021-04-22,39.28,39.69,38.66,39.06,264345,3149,39.108471
2021-04-23,39.19,40.8,39.19,40.52,165595,2866,40.462485
2021-04-26,41.09,41.47,40.2,40.29,137314,2701,40.643748
2021-04-27,40.43,40.7,39.83,40.52,114721,2769,40.313858
2021-04-28,40.28,40.89,40.205,40.78,103963,2223,40.62007
2021-04-29,41.15,41.28,40.54,40.82,150764,3407,40.848985
2021-04-30,40.27,41.36,40.1,40.62,300383,4894,40.865275
2021-05-03,41.17,41.72,40.65,41.27,260280,4273,41.184206
2021-05-04,40.72,41.28,39.83,40.42,169537,3468,40.374114
2021-05-05,40.74,40.88,39.82,40.56,148492,3223,40.399629
2021-05-06,40.42,41.82,40.12,41.78,149218,3267,41.144444
2021-05-07,41.69,42.51,40.76,42.48,174587,4244,42.107429
2021-05-10,42.23,42.41,41.44,41.68,268387,3877,41.88473
2021-05-11,40.54,40.8823,39.65,40.35,139052,3084,40.273201
2021-05-12,39.8,40.17,38.05,38.26,163102,3275,38.774384
2021-05-13,38.49,40.56,38.49,40.23,164834,3554,39.752721
2021-05-14,40.48,41.35,40.11,41.28,102996,2009,40.956285
2021-05-17,41.08,42.39,40.455,42.25,320050,6009,41.632236
2021-05-18,46.0,47.43,43.2,45.09,848289,9858,45.562084
2021-05-19,44.36,44.39,43.03,43.94,292905,4826,43.90018
2021-05-20,43.92,43.92,42.48,42.6,251164,4759,42.917361
2021-05-21,43.15,43.26,42.36,42.91,205723,3749,42.939905
2021-05-24,43.22,43.63,42.78,43.18,158876,2971,43.313726
2021-05-25,43.15,44.39,43.15,43.7,266777,4694,43.912855
2021-05-26,43.81,44.475,43.67,43.91,232837,4058,43.948742
2021-05-27,44.58,44.83,44.1701,44.49,190959,2867,44.547422
2021-05-28,44.75,44.75,43.69,44.13,143394,2169,44.110217
2021-06-01,44.8,45.22,44.565,45.11,183284,3080,44.945837
2021-06-02,45.48,45.56,44.83,44.91,235928,3791,45.176872
2021-06-03,44.65,44.82,44.09,44.52,133552,2464,44.479025
2021-06-04,44.72,45.26,44.38,45.25,79918,1629,45.02009
2021-06-07,45.64,45.81,44.94,45.68,117597,2681,45.427077
2021-06-08,45.73,45.995,44.8401,45.5,111278,2900,45.505554
2021-06-09,45.66,45.71,44.4351,44.61,122353,3228,44.849181
2021-06-10,44.51,45.29,42.91,43.04,211035,3790,43.41904
2021-06-11,43.12,43.59,42.7,43.47,135931,2426,43.286275
2021-06-14,43.38,43.69,42.93,42.99,147026,3044,43.16741
2021-06-15,43.14,43.33,42.43,42.88,215290,3266,42.727105
2021-06-16,42.74,42.93,41.8638,42.72,170763,2666,42.467322
2021-06-17,42.64,42.735,40.42,40.8,249718,4596,40.985437
2021-06-18,40.0,40.25,38.52,38.62,482634,5503,38.986865
2021-06-21,57.67,57.91,57.57,57.65,7856338,48711,57.770712
2021-06-22,57.61,57.95,57.55,57.82,2673289,20026,57.811342
2021-06-23,57.75,58.3,57.71,58.06,1920098,13210,57.868163
2021-06-24,57.94,58.08,57.42,57.77,1045587,7715,57.785413
2021-06-25,57.66,58.58,57.4,57.67,1968553,7495,57.760939
2021-06-28,57.76,57.87,57.44,57.75,481922,6239,57.660451
2021-06-29,57.65,57.81,57.23,57.4,787165,7184,57.357886
2021-06-30,57.42,57.95,57.22,57.85,1338550,8576,57.534247
2021-07-01,57.75,57.94,57.35,57.66,535769,4325,57.587665
2021-07-02,57.7,57.75,57.34,57.4,642061,4719,57.43021
2021-07-06,57.5,57.65,57.23,57.5,746574,6157,57.463267
2021-07-07,57.42,57.55,57.28,57.32,736463,5557,57.428551
2021-07-08,57.25,57.57,57.06,57.56,544400,6397,57.400433
2021-07-09,57.58,58.0,57.53,57.75,305810,3985,57.759864
2021-07-12,57.7,57.94,57.305,57.48,430243,3413,57.508139
2021-07-13,57.45,57.75,57.23,57.43,354586,4199,57.468853
2021-07-14,57.48,57.7,57.265,57.33,497541,6278,57.349055
2021-07-15,57.36,57.39,57.01,57.11,624266,5101,57.166753
2021-07-16,57.32,57.32,57.13,57.17,310876,4363,57.193633
2021-07-19,56.93,57.27,56.5,57.17,897822,9607,57.127014
2021-07-20,57.5,58.25,57.5,57.98,1260568,8484,58.015941
2021-07-21,58.03,59.595,58.0,59.4,821128,7020,58.608932
2021-07-22,59.0,59.1,58.72,58.99,569893,5434,58.961472
2021-07-23,59.19,59.2,58.33,58.68,452681,4705,58.717423
2021-07-26,58.66,59.17,58.34,58.4,428070,4776,58.501133
2021-07-27,58.33,58.47,57.96,58.41,281515,3121,58.295747
2021-07-28,58.53,58.98,58.46,58.57,284635,3258,58.624784
2021-07-29,58.78,58.92,58.55,58.59,140450,2243,58.666728
2021-07-30,58.5,58.655,58.24,58.25,392198,2974,58.339175
2021-08-02,58.27,58.54,57.96,58.03,361977,4633,58.166825
2021-08-03,58.29,58.505,57.78,57.95,436154,4086,58.069436
2021-08-04,57.95,58.38,57.85,57.95,380192,5527,58.012201
2021-08-05,58.03,58.5,57.91,58.31,194117,2747,58.28363
2021-08-06,58.41,58.52,57.94,58.14,179841,2765,58.128542
2021-08-09,58.1,58.2,57.85,58.04,333224,2831,57.996475
2021-08-10,58.15,58.31,57.85,58.05,254340,2887,58.045622
2021-08-11,58.17,58.22,58.05,58.05,114161,1744,58.088963
2021-08-12,58.05,58.14,58.01,58.05,230441,1779,58.053722
2021-08-13,58.17,58.19,57.79,58.11,205025,2415,58.051484
2021-08-16,58.02,58.26,57.88,58.15,348598,3327,58.14005
2021-08-17,58.1,58.31,58.05,58.13,142062,2047,58.122355
2021-08-18,58.11,58.29,57.95,58.16,192591,2705,58.143318
2021-08-19,58.03,58.26,58.0,58.07,199843,3346,58.076854
2021-08-20,58.08,58.34,58.05,58.13,130086,2257,58.149175
2021-08-23,58.22,58.3,58.11,58.22,103371,2004,58.217923
2021-08-24,58.14,58.33,58.05,58.25,150827,1616,58.203729
2021-08-25,58.33,58.45,58.225,58.41,148660,1885,58.389421
2021-08-26,58.31,58.45,57.985,58.2,232631,2945,58.266346
2021-08-27,58.13,58.37,58.13,58.33,184443,2450,58.303479
2021-08-30,58.35,58.5,58.02,58.02,117869,1737,58.088482
2021-08-31,58.17,58.41,58.07,58.35,138994,2169,58.319067
2021-09-01,58.31,58.45,58.06,58.1,206136,2971,58.229885
2021-09-02,58.34,58.38,58.05,58.24,97577,1796,58.242591
2021-09-03,58.32,58.45,58.13,58.35,140704,2199,58.282611
2021-09-07,58.35,58.35,58.07,58.12,107849,2397,58.115667
2021-09-08,58.15,58.26,57.99,58.24,201551,2864,58.169559
2021-09-09,58.22,58.23,58.08,58.1,139720,2004,58.141158
2021-09-10,58.18,58.25,57.68,57.94,204111,2353,57.988158
2021-09-13,58.06,58.06,57.525,57.86,292673,3641,57.771491
2021-09-14,57.89,57.89,57.5801,57.74,173423,2562,57.701342
2021-09-15,57.6,57.75,57.54,57.6,309535,3680,57.622903
2021-09-16,57.61,57.69,57.43,57.43,617299,4797,57.506493
2021-09-17,57.45,57.75,57.12,57.35,1716061,7738,57.388761
2021-09-20,57.36,57.56,57.36,57.45,489991,4996,57.433044
2021-09-21,57.41,57.51,57.39,57.47,190403,3093,57.466155
2021-09-22,57.5,57.6,57.44,57.46,240876,3217,57.485212
2021-09-23,57.59,57.68,57.485,57.58,160284,2931,57.576287
2021-09-24,57.5,57.59,57.45,57.52,182085,2538,57.521407
2021-09-27,57.5,57.651,57.5,57.64,134215,2217,57.62233
2021-09-28,57.5,57.65,57.5,57.56,268920,1958,57.571992
2021-09-29,57.63,57.66,57.5,57.61,101886,1462,57.588161
2021-09-30,57.65,57.675,57.58,57.61,132916,1938,57.616726
2021-10-01,57.64,57.69,57.57,57.62,190589,2802,57.626764
2021-10-04,57.65,57.78,57.63,57.72,98171,1982,57.716314
2021-10-05,57.69,57.96,57.64,57.9,188819,2605,57.813009
2021-10-06,57.75,57.84,57.72,57.78,169722,2270,57.757674
2021-10-07,57.81,57.88,57.68,57.8,107775,1375,57.812188
2021-10-08,57.8,57.86,57.76,57.8,362312,2853,57.803835
2021-10-11,57.87,57.87,57.8,57.8,81085,988,57.821558
2021-10-12,57.85,57.85,57.76,57.8,218460,1266,57.803708
2021-10-13,57.83,57.83,57.77,57.78,141478,1659,57.799924
2021-10-14,57.8,57.86,57.79,57.81,873553,3728,57.800396
2021-10-15,57.9,57.9,57.46,57.58,238438,2547,57.717038
2021-10-18,57.7,57.74,57.55,57.58,519213,3351,57.611621
2021-10-19,57.66,57.74,57.55,57.59,272770,2615,57.596206
2021-10-20,57.61,57.82,57.57,57.77,132166,1693,57.672982
2021-10-21,57.71,57.87,57.63,57.82,122216,1354,57.822284
2021-10-22,57.8,57.8,57.76,57.76,61517,1212,57.770269
2021-10-25,57.71,57.85,57.71,57.79,70201,1415,57.806999
2021-10-26,57.85,57.85,57.72,57.74,81037,1324,57.794835
2021-10-27,57.81,57.82,57.66,57.73,80232,1746,57.734399
2021-10-28,57.8,57.85,57.72,57.81,60037,1191,57.813014
