Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-10,64.5,74.83,60.5,69.49,118984240,0.0
2021-03-11,74.93,77.78,70.13,73.87,55960877,0.0
2021-03-12,72.47,72.96,69.11,69.7,19333333,0.0
2021-03-15,70.02,74.06,66.25,72.15,19179970,0.0
2021-03-16,73.73,78,73.18,76.95,22662027,0.0
2021-03-17,76.03,79.1,74.8901,76.7997,9769552,0.0
2021-03-18,76,77,66.8,67.3,9205411,0.0
2021-03-19,69.47,72.7,68.08,70.46,6277564,0.0
2021-03-22,71.81,72.49,69.54,69.99,3990710,0.0
2021-03-23,70.41,71.75,67.63,67.99,4257965,0.0
2021-03-24,69.87,70,64.01,64.5,5254730,0.0
2021-03-25,61.88,69.85,60.69,67.8,6038461,0.0
2021-03-26,67.9,71.2,64.77,70.87,4086720,0.0
2021-03-29,68.88,69.09,66.51,67.03,4195278,0.0
2021-03-30,66.96,66.99,64.475,65.0501,3283110,0.0
2021-03-31,65.42,67.19,64.57,64.9,3882427,0.0
2021-04-01,66.62,69.67,65.9,67.305,3877692,0.0
2021-04-05,70.07,72.86,68.56,70.75,8304901,0.0
2021-04-06,71.22,72.39,70.76,71.27,3810975,0.0
2021-04-07,70.64,71.14,67.88,68.75,4257978,0.0
2021-04-08,69.4,71.49,68.84,70.76,4131925,0.0
2021-04-09,70.43,74.99,70.205,71.8,9111181,0.0
2021-04-12,71.89,77,71.5101,75.02,7877380,0.0
2021-04-13,74.8,83.41,73.51,82.05,17661475,0.0
2021-04-14,79.2,80.57,74.0511,75.3,14136692,0.0
2021-04-15,75.64,80.75,74.56,79.66,8627050,0.0
2021-04-16,78.4,79.36,75.12,75.86,4998089,0.0
2021-04-19,75.92,78.2999,71.43,72,6488296,0.0
2021-04-20,71.59,71.74,67.3,69.28,8139410,0.0
2021-04-21,68.9,71.99,67.6,71.67,4425027,0.0
2021-04-22,71.64,73.79,69.1,69.88,3268289,0.0
2021-04-23,70.01,72.38,69.59,71.79,2594274,0.0
2021-04-26,72,75.92,71.3101,74.9,4073837,0.0
2021-04-27,74.84,75.37,72.33,74.26,3132253,0.0
2021-04-28,74.5,76.93,73.64,75.58,3013677,0.0
2021-04-29,76.64,77.6,72.83,76.24,4285241,0.0
2021-04-30,74.83,76.99,73.91,74.56,2290373,0.0
2021-05-03,74.96,75.1,70.61,71.1,3120139,0.0
2021-05-04,71,71.69,67.6584,69.45,5211951,0.0
2021-05-05,70.56,70.88,66.46,66.59,4261432,0.0
2021-05-06,66.58,67,63.83,64.9836,5872139,0.0
2021-05-07,67.04,68.48,66.2001,67.89,4570778,0.0
2021-05-10,68.9,69.29,64.17,64.23,6226330,0.0
2021-05-11,65.04,77.7873,64.7,77.73,29506356,0.0
2021-05-12,74.45,76,71.09,75.52,19731726,0.0
2021-05-13,74.94,75.15,67.51,69.655,17308073,0.0
2021-05-14,71.21,73.43,69.25,70.94,7160570,0.0
2021-05-17,70.91,76.97,70.91,76.89,16549724,0.0
2021-05-18,76.74,77.59,73.48,74.99,11470134,0.0
2021-05-19,70.55,76.27,70.33,75.22,10545936,0.0
2021-05-20,75.49,76.91,73.01,76.33,10633508,0.0
2021-05-21,77.48,84.6849,77.31,82.5,31178571,0.0
2021-05-24,82.57,89.64,82.5,89.22,22454081,0.0
2021-05-25,90.07,90.11,85.51,89.2,13618215,0.0
2021-05-26,89.84,95,88.75,89.61,17191543,0.0
2021-05-27,89.64,97.5,87.59,97.47,19411915,0.0
2021-05-28,97.29,98.95,92.53,93.78,13085394,0.0
2021-06-01,94.89,97.93,93.22,96.9138,12359900,0.0
2021-06-02,96.74,103.29,95.39,99.85,15762195,0.0
2021-06-03,99,102.05,96.27,96.51,10561181,0.0
2021-06-04,100.16,103.8661,98.52,99.595,14331815,0.0
2021-06-07,99.19,100.9498,93.28,93.44,14682770,0.0
2021-06-08,94.04,94.225,88.89,91.39,14013534,0.0
2021-06-09,91.79,95.99,90.65,91.03,12438447,0.0
2021-06-10,91.2,91.8219,86.83,91,12024901,0.0
2021-06-11,91.85,94.77,91.15,92.91,8368642,0.0
2021-06-14,92.95,93.26,87.57,87.775,11320748,0.0
2021-06-15,87.77,90.76,86.84,89.79,7857168,0.0
2021-06-16,82.8,86.42,79.88,82.55,41206757,0.0
2021-06-17,84.42,86.335,82,82.92,11417921,0.0
2021-06-18,82.97,83.4,80.08,81.15,9608499,0.0
2021-06-21,80.34,83.36,78.56,82.5002,10628937,0.0
2021-06-22,82.99,83.86,80.5,82.43,8321565,0.0
2021-06-23,83.2,85.45,82,84.8386,7721634,0.0
2021-06-24,83.42,87.7,83.36,87.33,8305667,0.0
2021-06-25,87.97,88.94,85.07,86.96,7296504,0.0
2021-06-28,86.96,94.39,86.99,93.03,13747039,0.0
2021-06-29,91.1,93.31,89.8,92.61,7576206,0.0
2021-06-30,92.42,92.9,89.91,89.9601,4157277,0.0
2021-07-01,89.62,89.99,84.2069,85.83,10050363,0.0
2021-07-02,87.24,87.24,84.89,86.19,3592405,0.0
2021-07-06,87.3,88.75,85.32,86.97,6118781,0.0
2021-07-07,87.65,89.3483,85.65,86.35,5140816,0.0
2021-07-08,82.78,88.05,82.515,86.87,6451856,0.0
2021-07-09,86.8,87.3,85.12,86.25,3672581,0.0
2021-07-12,86.71,89.87,84.85,86.6,6627184,0.0
2021-07-13,85.73,86.45,83.15,84.02,7647702,0.0
2021-07-14,83.99,84.28,79.0701,79.17,10256887,0.0
2021-07-15,79.06,80.29,75.59,77.27,10206492,0.0
2021-07-16,78.44,79.11,76.99,77.56,4480476,0.0
2021-07-19,75.88,79.98,74.78,79.23,5205077,0.0
2021-07-20,80.69,81,77.45,79.86,4372703,0.0
2021-07-21,79.66,80.57,78.48,79.95,3897662,0.0
2021-07-22,80.58,82.1803,80.1095,81.99,3811174,0.0
2021-07-23,82.48,83.25,80.354,81.83,3061819,0.0
2021-07-26,80.1,81.25,77,77.6406,6348415,0.0
2021-07-27,77.45,78.28,71.96,76.18,11577340,0.0
2021-07-28,76.94,79.2,76.15,79.13,4701711,0.0
2021-07-29,79.26,79.19,76.73,76.8079,3776950,0.0
2021-07-30,76.24,77.55,75.83,76.96,3089154,0.0
2021-08-02,77.33,79,76.11,78.31,3867604,0.0
2021-08-03,77.15,77.5,73.46,77.49,9360445,0.0
2021-08-04,77,81.93,76.55,81.65,7104976,0.0
2021-08-05,79.68,81.04,78.6974,80.55,4142894,0.0
2021-08-06,79.8,82.4772,77.65,77.92,4541502,0.0
2021-08-09,79.25,86.74,78.47,85.54,15854002,0.0
2021-08-10,85.39,85.67,83.1,85.08,7911064,0.0
2021-08-11,85.8,87.515,82.89,84.68,6016862,0.0
2021-08-12,84.04,84.71,81.21,82.615,3875255,0.0
2021-08-13,83,84.1791,81.5,83.91,4072744,0.0
2021-08-16,83.7,84.19,79.14,79.56,10245452,0.0
2021-08-17,74.87,81.3,73.9,78.65,20842036,0.0
2021-08-18,78.84,84.4,79,83.42,12785377,0.0
2021-08-19,81.56,82.5,79.85,81.34,7366346,0.0
2021-08-20,81.19,84.56,81.13,82.77,5512749,0.0
2021-08-23,83.05,85.17,80.85,85.06,9747613,0.0
2021-08-24,85.24,89.95,85.09,89.25,12593270,0.0
2021-08-25,89.74,90.95,87.64,90.25,7275362,0.0
2021-08-26,88.62,90.38,85.75,85.85,5584920,0.0
2021-08-27,86.67,87.01,84.8,85.39,5088776,0.0
2021-08-30,84.6,84.8,80,81.89,9544863,0.0
