Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,11.44,11.56,11.3,11.56,319816,1945,11.41225
2021-01-04,11.75,11.88,11.4,11.59,361133,2012,11.61496
2021-01-05,11.78,11.88,11.37,11.47,216267,1436,11.668736
2021-01-06,11.63,11.7,11.11,11.17,597096,3435,11.293719
2021-01-07,11.3,11.5,11.21,11.47,900636,2659,11.289826
2021-01-08,11.55,11.8999,11.5,11.75,731684,2773,11.658644
2021-01-11,11.75,11.83,11.6,11.79,391598,1745,11.72418
2021-01-12,11.66,11.99,11.62,11.97,909461,3497,11.808984
2021-01-13,12.13,12.58,12.09,12.17,965698,3109,12.228889
2021-01-14,12.5,12.63,12.02,12.22,882705,4413,12.288838
2021-01-15,12.35,12.3999,11.85,11.9,668051,2842,11.999893
2021-01-19,12.12,12.25,12.02,12.1,1080005,3824,12.144176
2021-01-20,12.24,13.66,12.23,13.52,1514754,7233,12.881493
2021-01-21,13.29,13.9,12.9,13.71,1281958,5960,13.450667
2021-01-22,13.7,13.99,13.5,13.95,1062500,5135,13.755758
2021-01-25,13.91,14.1801,13.1,13.45,1026369,4262,13.59229
2021-01-26,13.44,13.815,12.55,12.74,1200643,5454,12.984041
2021-01-27,12.25,12.51,11.58,12.12,1380475,6150,12.076387
2021-01-28,12.21,12.42,11.83,12.19,799201,3828,12.154651
2021-01-29,12.0,12.35,11.8,12.26,483884,3332,12.027568
2021-02-01,12.4,12.93,12.23,12.78,1499177,9634,12.624273
2021-02-02,13.0,13.06,12.67,12.81,1012985,6673,12.916563
2021-02-03,12.96,13.1399,12.81,13.02,561438,4092,12.966178
2021-02-04,12.93,13.39,12.6,12.73,814124,5256,12.980596
2021-02-05,12.75,13.2,12.75,13.02,2500357,7699,13.235534
2021-02-08,14.2,14.4,13.3,13.94,6329922,32206,13.913696
2021-02-09,13.9,14.08,13.4,13.69,1783254,9770,13.642969
2021-02-10,13.7,13.8,13.08,13.43,1047373,6200,13.485808
2021-02-11,13.98,13.98,13.52,13.64,2440516,11770,14.905118
2021-02-12,14.86,15.49,14.0,14.49,5636191,30526,14.536046
2021-02-16,17.0,17.0,15.0,15.7,4004581,26790,15.587161
2021-02-17,16.15,16.15,15.07,15.33,1897896,14794,15.536137
2021-02-18,15.1,15.2999,14.65,14.93,1863769,14113,14.905053
2021-02-19,15.02,15.5,14.71,15.12,1554311,11496,15.020621
2021-02-22,15.26,15.71,14.5101,14.63,1535485,10818,15.115678
2021-02-23,13.64,13.9,12.66,12.94,3276395,19737,13.142154
2021-02-24,14.02,14.2265,12.8,13.46,25003862,134096,13.614806
2021-02-25,13.45,13.46,11.87,12.0,9221993,51281,12.622343
2021-02-26,12.36,12.42,11.41,11.74,6987127,45008,11.832518
2021-03-01,12.44,12.78,11.85,11.9,4919790,28734,12.277836
2021-03-02,12.0,12.08,11.28,11.29,3686959,23066,11.64302
2021-03-03,11.35,11.3895,10.7,10.71,5735550,29125,10.94743
2021-03-04,10.73,10.81,10.26,10.65,4705103,24911,10.512494
2021-03-05,10.6,11.02,10.41,11.02,4121685,21589,10.60042
2021-03-08,11.22,11.27,10.55,10.69,2313444,11552,10.983443
2021-03-09,11.0,11.0,10.49,10.85,2745023,14498,10.710195
2021-03-10,10.89,11.1,10.65,10.98,2205030,12096,10.815013
2021-03-11,11.28,11.39,11.11,11.28,1626196,10893,11.248544
2021-03-12,10.99,11.1717,10.95,11.01,829163,5668,11.044976
2021-03-15,11.13,11.13,10.82,10.89,1080931,7714,10.923633
2021-03-16,10.97,10.97,10.63,10.73,1098954,7310,10.812594
2021-03-17,10.65,11.0,10.53,10.93,928374,6316,10.69763
2021-03-18,10.63,10.89,10.53,10.67,1006214,7469,10.694699
2021-03-19,10.65,10.75,10.53,10.55,1427603,8788,10.594029
2021-03-22,10.74,10.77,10.54,10.59,976947,4959,10.616587
2021-03-23,10.61,10.61,10.335,10.35,1215841,7290,10.456918
2021-03-24,10.4,10.43,9.95,10.18,4226314,15496,10.129207
2021-03-25,9.97,10.18,9.86,10.1,3540199,16759,10.05484
2021-03-26,10.13,10.3,9.96,10.18,1639354,7720,10.135411
2021-03-29,10.3,10.34,10.15,10.29,1170469,7507,10.248915
2021-03-30,10.4,10.4,10.14,10.19,1122558,8665,10.253579
2021-03-31,10.2,10.29,10.115,10.15,1301244,7851,10.170058
2021-04-01,10.29,10.35,10.145,10.17,1174175,5347,10.197746
2021-04-05,10.19,10.2423,10.1,10.12,1189592,6254,10.153375
