Date,Open,High,Low,Close,Volume,OpenInterest
2021-04-16,30,33,25.17,30.64,5541981,0.0
2021-04-19,28.9,29.05,25.21,27.89,977664,0.0
2021-04-20,27.32,31.92,26.9201,29.94,889500,0.0
2021-04-21,29.94,35,28.85,32.46,1063906,0.0
2021-04-22,33.64,34.1,30.0854,31.05,935491,0.0
2021-04-23,31.48,32.05,29.42,29.76,261107,0.0
2021-04-26,30,31.27,29.8,30.44,333587,0.0
2021-04-27,30.81,33.49,30.81,31.44,233190,0.0
2021-04-28,31.82,32.99,31.02,31.356,217146,0.0
2021-04-29,31.78,34.77,31.04,34.09,283753,0.0
2021-04-30,34.47,35.78,31.56,33.43,498414,0.0
2021-05-03,33.81,34.24,32.43,32.94,186464,0.0
2021-05-04,32.54,33.45,30.55,33.36,300554,0.0
2021-05-05,33.37,33.3941,31.735,32.05,117977,0.0
2021-05-06,32.27,32.435,26.9,28.07,378517,0.0
2021-05-07,28.42,29.26,26.66,27.61,355995,0.0
2021-05-10,28.18,28.7,22.77,23.02,463322,0.0
2021-05-11,22.01,23.23,21.06,22.65,492283,0.0
2021-05-12,22.59,23.38,21.3069,21.99,626055,0.0
2021-05-13,22.32,23.795,19.68,21.14,292341,0.0
2021-05-14,21.29,22.35,20.02,21.24,593969,0.0
2021-05-17,21.49,22.3399,21.1903,21.96,415291,0.0
2021-05-18,22.38,23.897,21.86,22.82,437874,0.0
2021-05-19,22.21,22.98,20.85,21.09,589793,0.0
2021-05-20,21.34,23.07,21.51,22.74,302752,0.0
2021-05-21,23.29,25.79,23.09,25.23,445661,0.0
2021-05-24,25.62,25.62,24,24.48,179427,0.0
2021-05-25,24.68,25.84,23.91,24.16,241073,0.0
2021-05-26,24.07,25.12,23.61,24.62,231883,0.0
2021-05-27,24.9,25.42,24.2396,25.4,107746,0.0
2021-05-28,25.59,26.9,25.17,26.39,394142,0.0
2021-06-01,26.69,28.795,25.52,28.4801,243133,0.0
2021-06-02,28.73,29.695,28.26,28.94,237753,0.0
2021-06-03,28.64,29.16,28.3,28.5,214041,0.0
2021-06-04,28.73,29.965,28.58,29.42,187246,0.0
2021-06-07,29.87,29.9,27.63,27.67,181456,0.0
2021-06-08,27.7,29.8889,27.37,29.77,200932,0.0
2021-06-09,30,30.63,28.38,30.09,224091,0.0
2021-06-10,30,30.945,29.475,30.16,268400,0.0
2021-06-11,30,31.74,29.96,31.16,412857,0.0
2021-06-14,31.44,34.2,31.44,33.25,418937,0.0
2021-06-15,33.09,33.83,31.64,32.84,518497,0.0
2021-06-16,32.9,34.19,32.9,33.72,422738,0.0
2021-06-17,33.63,35.74,33.29,35,585093,0.0
2021-06-18,35.45,37.71,34.6,36.49,547608,0.0
2021-06-21,36.8,37.85,36.43,37.22,421361,0.0
2021-06-22,36.81,37.72,35.535,35.7,338971,0.0
