Date,Open,High,Low,Close,volume,trade_count,vwap
2021-02-11,32.0,33.5,30.55,31.56,12435153,60510,31.938371
2021-02-12,31.92,36.4,30.0,36.4,3460154,19020,33.532561
2021-02-16,36.8,39.85,34.5858,36.16,4326994,15700,36.649273
2021-02-17,39.0,39.5,34.81,38.1,2745742,19484,37.27608
2021-02-18,37.5,39.25,36.44,37.01,635095,6254,37.705554
2021-02-19,37.99,40.79,37.55,39.44,893566,7648,39.50867
2021-02-22,38.5,40.57,37.89,38.34,605922,7061,39.078426
2021-02-23,36.55,36.885,33.0,35.39,1912866,11311,34.715725
2021-02-24,36.01,38.24,35.52,36.25,1223994,6206,36.819139
2021-02-25,36.25,37.11,30.4975,31.42,1158078,10011,32.90688
2021-02-26,32.17,34.0,32.01,33.02,583000,7160,32.944612
2021-03-01,34.36,36.63,34.15,36.22,667538,6902,35.715259
2021-03-02,36.19,37.03,34.32,34.48,261145,4217,35.673471
2021-03-03,34.5,35.23,30.77,31.07,609146,6109,32.348005
2021-03-04,30.5,30.5799,26.73,27.74,1174536,10916,28.308847
2021-03-05,28.16,28.939,25.005,28.31,705176,7174,27.078545
2021-03-08,28.09,28.41,26.65,27.26,534531,5022,27.696799
2021-03-09,27.28,29.95,27.14,28.8,387717,4823,29.15261
2021-03-10,29.15,29.86,27.635,28.12,446200,4417,28.280857
2021-03-11,28.28,31.04,28.28,29.49,477098,5494,30.028725
2021-03-12,29.3,30.52,28.31,30.17,223370,2657,29.734845
2021-03-15,30.1,30.99,29.78,30.53,295537,3099,30.474661
2021-03-16,30.1,30.98,30.0,30.42,272474,3465,30.479213
2021-03-17,29.64,30.565,29.2857,29.78,535339,3910,29.972362
2021-03-18,29.32,30.32,27.5,27.53,630157,5186,28.807663
2021-03-19,27.5,28.68,26.38,26.46,2874837,7237,26.652954
2021-03-22,26.89,27.73,25.22,25.25,640537,5134,26.012238
2021-03-23,25.4,25.78,24.24,25.41,872074,6077,25.076498
2021-03-24,25.79,25.89,23.97,24.29,734760,6225,24.580695
2021-03-25,22.96,27.6838,22.13,27.52,1014206,9419,25.830718
2021-03-26,27.37,28.97,25.8,26.99,372824,4847,26.897638
2021-03-29,26.63,27.77,26.15,26.71,409249,3649,26.823862
2021-03-30,26.84,28.09,26.49,27.39,486705,4685,27.439369
2021-03-31,27.55,29.45,27.0,29.26,637964,4783,28.112073
2021-04-01,29.65,30.64,29.05,29.88,519137,4770,29.79874
2021-04-05,30.0,30.0,28.21,29.12,374249,4232,28.916557
2021-04-06,29.01,29.82,27.25,27.47,366600,3170,28.049873
2021-04-07,27.71,28.12,25.935,26.35,463072,3505,26.559923
2021-04-08,26.75,27.4899,26.34,26.89,262951,2747,26.894755
2021-04-09,27.29,27.3899,26.03,26.24,175301,2236,26.532411
2021-04-12,26.11,26.2026,24.52,24.81,180008,2107,25.203018
2021-04-13,25.0,26.33,24.84,26.1,351258,2549,25.619687
2021-04-14,26.1,27.18,26.1,26.26,190013,1708,26.608055
2021-04-15,26.39,26.99,26.3,26.99,200350,2598,26.735545
2021-04-16,26.9,27.39,26.4079,27.06,181055,2876,26.940627
2021-04-19,26.77,26.77,25.72,26.2,220466,2576,26.096265
2021-04-20,25.81,26.25,25.22,25.89,539024,4007,25.812259
2021-04-21,25.63,27.235,25.22,26.83,508521,3617,26.70301
2021-04-22,26.84,27.97,26.01,27.48,261508,2994,27.41878
2021-04-23,27.32,28.79,27.23,28.54,498532,4706,28.066252
2021-04-26,28.64,30.12,28.21,30.1,296514,3816,29.53944
2021-04-27,29.7,30.91,29.21,30.55,447522,4438,30.28646
2021-04-28,30.37,30.86,29.3,30.58,179010,2085,30.564681
2021-04-29,30.82,30.85,28.5249,29.25,234574,3219,29.531456
2021-04-30,28.94,29.85,28.04,28.35,128658,2196,28.567955
2021-05-03,28.92,29.09,28.24,28.76,196321,2680,28.708222
2021-05-04,28.14,28.72,26.65,26.8,276707,3053,27.194701
2021-05-05,27.05,27.05,25.71,25.85,290809,2679,26.064435
2021-05-06,25.55,25.91,24.26,25.32,437365,4741,25.185045
2021-05-07,25.62,27.28,25.3578,26.83,238399,2847,26.686926
2021-05-10,26.94,27.37,25.01,25.06,309586,4197,25.481942
2021-05-11,23.85,26.94,23.85,26.7,390624,4816,26.287468
2021-05-12,24.6,26.52,24.04,25.97,593309,8018,25.598295
2021-05-13,26.72,26.72,24.6,25.33,744295,7033,25.354067
2021-05-14,25.78,26.91,25.52,25.79,916417,5561,25.975966
2021-05-17,25.44,26.23,25.02,25.73,485978,3176,25.873195
2021-05-18,26.06,27.07,25.28,26.5,284185,4060,26.547364
2021-05-19,25.5,26.7,25.5,25.82,202222,3062,26.042991
2021-05-20,26.24,26.8,25.87,26.51,349023,2707,26.476399
2021-05-21,26.77,27.4,26.18,26.28,1437887,3969,26.57002
2021-05-24,26.51,26.91,24.73,24.73,274126,3559,25.574165
2021-05-25,25.09,25.75,24.03,24.22,293507,3903,24.422337
2021-05-26,24.45,25.41,24.25,25.19,413976,3517,24.890185
2021-05-27,25.2,25.44,24.28,24.58,612948,3856,24.629585
2021-05-28,25.16,25.88,24.91,25.3,218455,2563,25.35451
2021-06-01,25.29,25.29,24.31,24.91,734187,4341,24.939072
2021-06-02,24.96,25.425,24.9,24.97,682950,7820,25.094815
2021-06-03,25.08,25.4039,24.35,24.5,292668,3939,24.81972
2021-06-04,24.98,25.3,24.46,25.15,519747,4852,24.918135
2021-06-07,25.39,26.98,25.21,26.68,373731,5990,26.495522
2021-06-08,27.05,29.0,26.81,28.88,407561,5224,27.97575
2021-06-09,29.03,29.16,27.94,28.4,298115,4466,28.508716
2021-06-10,28.15,29.355,27.62,28.96,243437,3985,28.739297
2021-06-11,29.06,29.31,28.17,29.25,250303,3680,28.905258
2021-06-14,29.3,29.86,28.9,29.59,315191,4403,29.508804
2021-06-15,29.49,29.55,28.0,29.11,808033,7587,28.796474
2021-06-16,28.91,29.68,28.61,29.56,393398,5757,29.292132
2021-06-17,29.46,30.58,29.46,30.53,282565,5414,30.21871
2021-06-18,30.31,30.55,29.07,30.31,811475,4815,30.223262
2021-06-21,30.17,30.59,29.155,29.79,241397,4142,29.70846
2021-06-22,29.66,30.85,29.66,30.81,250085,4765,30.490784
2021-06-23,30.74,31.91,30.05,30.69,420104,5806,30.790091
2021-06-24,30.91,30.91,30.09,30.24,210062,3649,30.352072
2021-06-25,30.22,30.36,29.42,30.31,655156,3889,30.176364
2021-06-28,30.95,30.96,29.375,30.67,469787,5846,30.330994
2021-06-29,30.68,30.68,29.71,29.99,370708,4206,30.125007
2021-06-30,29.68,30.63,29.05,30.43,410248,3938,29.904579
2021-07-01,30.33,30.66,29.76,30.5,617844,3136,30.313812
2021-07-02,30.47,30.55,29.33,29.77,231688,3237,29.771141
2021-07-06,29.95,29.95,28.5,29.8,503351,5457,29.356465
2021-07-07,29.8,30.32,28.89,29.41,264374,4343,29.424468
2021-07-08,28.61,30.54,28.26,30.48,567152,6501,29.857589
2021-07-09,30.55,30.75,28.69,28.97,483290,6583,29.229511
2021-07-12,29.67,30.89,29.21,30.44,435702,7832,30.352721
2021-07-13,30.36,30.46,28.39,28.75,446490,6799,28.954688
2021-07-14,29.21,29.22,27.58,27.84,349036,3930,27.926175
2021-07-15,28.02,28.175,26.33,26.97,263342,4801,27.036672
2021-07-16,27.22,28.41,26.94,28.39,348242,4107,27.988597
2021-07-19,28.12,29.33,27.28,28.79,469976,5420,28.771411
2021-07-20,28.91,29.32,27.36,28.51,389653,5899,28.302229
2021-07-21,28.44,28.99,27.86,28.64,228234,3943,28.536173
2021-07-22,28.57,28.83,27.88,28.64,173152,3651,28.409724
2021-07-23,28.58,28.6,27.43,27.99,560796,5241,28.053057
2021-07-26,27.98,28.08,26.73,27.09,372932,3594,27.274526
2021-07-27,26.98,27.48,26.12,26.42,737433,7094,26.490566
2021-07-28,26.52,27.0,26.16,26.68,602072,6307,26.672353
2021-07-29,26.65,26.945,25.67,25.74,303807,3853,25.937348
2021-07-30,25.51,26.58,25.51,26.32,224293,3288,26.18646
2021-08-02,26.22,26.73,25.53,26.43,642777,6142,26.389955
2021-08-03,26.44,27.0,26.0,26.61,287524,3815,26.588629
2021-08-04,26.48,27.4499,26.42,26.83,908497,5283,27.077136
2021-08-05,26.97,27.99,26.5,27.72,355959,4283,27.442334
2021-08-06,27.75,28.05,27.07,27.53,766787,6465,27.607453
2021-08-09,27.53,28.68,27.22,28.12,617637,6096,28.032474
2021-08-10,28.0,28.19,25.0,25.36,2776291,19192,26.199427
2021-08-11,25.71,25.775,23.8,24.3,3446156,26188,24.252406
2021-08-12,24.83,25.93,24.26,25.24,1669139,16402,25.166044
2021-08-13,25.54,26.87,25.25,26.0,3344030,13215,25.856591
2021-08-16,26.25,26.49,24.16,24.18,1406582,12147,25.48843
2021-08-17,24.24,24.8735,23.2,24.69,1959580,16008,24.533732
2021-08-18,24.94,25.75,24.4,25.41,1251329,10888,25.407938
2021-08-19,25.43,25.59,24.31,24.89,1557280,10982,24.968826
2021-08-20,24.79,25.72,24.73,25.17,830493,7695,25.37989
2021-08-23,25.42,26.32,25.38,26.01,819054,9388,25.998823
2021-08-24,26.01,26.42,25.8,25.92,878223,9578,26.00368
2021-08-25,25.72,26.42,25.5,26.2,1197546,11579,26.088765
2021-08-26,26.09,26.61,25.74,25.92,984232,9307,26.013931
2021-08-27,26.15,26.65,25.765,26.43,1061981,9845,26.44263
2021-08-30,26.5,26.81,26.305,26.74,1128667,8286,26.560645
2021-08-31,26.88,27.11,25.67,25.99,787837,7768,26.230529
2021-09-01,26.05,27.13,25.88,26.84,613720,6292,26.67774
2021-09-02,26.84,27.264,26.38,26.69,692347,7705,26.709319
2021-09-03,26.55,26.78,26.06,26.25,619151,8989,26.321398
2021-09-07,26.2,26.42,25.37,25.42,452349,8017,25.66068
2021-09-08,25.21,25.2959,24.0,24.33,520217,7505,24.462798
2021-09-09,24.23,24.89,24.11,24.35,484442,6225,24.433295
2021-09-10,24.05,24.56,23.62,23.85,707858,8787,24.052963
2021-09-13,23.88,25.25,23.6136,24.23,1304112,14510,24.503527
2021-09-14,24.26,24.665,23.35,23.47,1563864,11546,24.107555
2021-09-15,23.5,23.6,22.69,23.1,814066,8536,23.167617
2021-09-16,23.04,23.62,22.7201,23.28,918804,10153,23.211742
2021-09-17,23.41,23.9,23.02,23.52,3881739,15975,23.508032
2021-09-20,23.19,23.26,22.46,23.11,1635631,17141,22.97042
2021-09-21,23.45,23.855,23.06,23.38,1349569,13903,23.446273
2021-09-22,23.0,23.2694,21.0,21.44,4778060,34813,21.927496
2021-09-23,21.11,21.2,19.71,20.05,5290749,33068,20.099621
2021-09-24,20.12,20.41,19.77,19.85,1520669,16094,19.93974
2021-09-27,19.89,20.28,19.32,19.75,1818960,15696,19.907213
2021-09-28,19.72,19.88,19.11,19.15,2975728,23098,19.314535
2021-09-29,19.0,19.69,18.13,18.15,3030136,20146,18.968205
2021-09-30,18.5,18.68,17.59,17.87,4150986,21488,17.81199
2021-10-01,17.77,17.86,16.89,17.12,2893608,17184,17.105082
2021-10-04,17.27,17.3789,16.4325,17.02,1443941,12995,16.979277
2021-10-05,17.06,18.04,17.03,17.5,2717192,16290,17.665692
2021-10-06,17.4,17.855,17.21,17.5,1555808,14187,17.523289
2021-10-07,17.75,18.16,17.73,18.01,1734541,10071,17.996293
2021-10-08,18.2,18.31,17.91,18.05,1648032,12012,18.150523
2021-10-11,17.98,18.04,16.78,16.79,1381499,9930,17.44314
2021-10-12,16.86,17.2,16.51,16.95,742180,7637,16.934193
2021-10-13,17.3,17.68,17.11,17.36,759293,7527,17.417365
2021-10-14,17.4,18.25,17.4,17.86,1065285,10398,17.967599
2021-10-15,17.98,18.06,17.62,17.72,505670,6065,17.746594
2021-10-18,17.75,17.78,16.92,16.95,859867,7437,17.12321
2021-10-19,17.08,18.11,17.08,17.82,866776,10690,17.789724
2021-10-20,17.84,18.19,17.41,17.44,634386,6889,17.619497
2021-10-21,17.62,17.87,17.39,17.49,421608,5148,17.575048
2021-10-22,17.28,17.54,17.13,17.17,427832,5207,17.257762
2021-10-25,17.22,17.56,16.91,17.16,489385,7373,17.252871
2021-10-26,17.15,17.33,16.82,17.08,527563,7273,17.100822
2021-10-27,16.99,17.14,15.77,15.81,826456,9846,16.181466
2021-10-28,15.94,16.44,15.79,16.31,731932,8869,16.2263
2021-10-29,16.3,16.5,16.04,16.07,811751,7567,16.218146
2021-11-01,16.03,17.37,16.03,16.94,1875501,13719,16.944865
2021-11-02,17.0,17.29,15.97,16.59,771043,9374,16.520725
2021-11-03,16.64,17.29,16.5,17.2,742490,7253,16.967576
2021-11-04,17.3,17.45,16.46,16.66,1032594,10847,16.868262
2021-11-05,16.73,17.01,16.05,16.14,622054,8041,16.276871
2021-11-08,16.19,16.75,16.15,16.53,531886,5780,16.536474
2021-11-09,16.69,16.739,15.12,15.36,1394406,14624,15.522911
2021-11-10,17.1,18.66,16.73,16.89,5288341,27226,17.223863
2021-11-11,16.36,16.55,15.76,16.02,1745917,12132,16.172613
2021-11-12,16.22,16.64,15.9001,16.28,2076565,11804,16.331481
2021-11-15,16.29,16.5099,15.91,15.99,942772,7740,16.14449
2021-11-16,15.99,16.0299,15.16,15.27,1385749,11613,15.382042
2021-11-17,15.33,15.575,14.595,14.66,1061469,10468,14.819674
2021-11-18,14.71,14.725,13.875,13.96,948857,10363,14.105369
2021-11-19,14.65,14.83,14.02,14.08,1102941,10591,14.286814
2021-11-22,14.1,14.24,13.2,13.23,1488885,15096,13.494472
2021-11-23,13.33,13.9,13.07,13.71,1597300,15754,13.575555
2021-11-24,13.74,13.96,13.245,13.91,1051540,12428,13.757559
2021-11-26,13.61,14.19,13.61,13.94,772192,8180,13.904603
2021-11-29,14.15,14.36,13.41,13.41,1458731,15362,13.876465
2021-11-30,13.34,13.655,12.95,13.59,2143504,11893,13.499301
2021-12-01,13.88,14.27,13.29,13.33,1617338,17589,13.691404
2021-12-02,13.35,14.36,13.33,14.05,1047105,13188,13.946362
2021-12-03,14.1,14.39,13.38,13.65,1124204,13913,13.668728
2021-12-06,13.61,14.48,13.15,14.43,924406,12092,14.201556
2021-12-07,14.7,15.41,14.7,15.25,1235394,12987,15.196463
2021-12-08,14.48,14.89,14.03,14.76,1283986,13075,14.504787
2021-12-09,14.66,14.85,14.09,14.11,805500,9179,14.38033
2021-12-10,14.53,14.96,13.78,13.94,1072577,11306,14.105566
2021-12-13,13.78,14.34,13.24,13.44,1119840,12065,13.630177
2021-12-14,13.11,14.03,13.1,13.37,1121266,11307,13.501617
2021-12-15,13.49,14.11,13.07,13.95,1475774,16078,13.63697
2021-12-16,14.12,14.3,12.78,12.98,1559491,14241,13.18007
2021-12-17,12.85,14.449,12.67,14.26,2029969,16899,14.018608
2021-12-20,13.74,14.22,13.34,13.86,1096976,9150,13.925731
2021-12-21,14.15,14.61,13.76,14.46,1034027,9318,14.3758
2021-12-22,14.35,14.85,14.13,14.54,869191,10163,14.554797
2021-12-23,14.6,14.6,13.74,14.31,990321,10661,14.266695
2021-12-27,14.2,14.22,13.73,13.85,628630,6565,13.86021
2021-12-28,13.89,14.38,13.65,13.81,871180,8413,13.864847
2021-12-29,13.84,14.1,13.32,13.84,1068739,9425,13.703716
2021-12-30,13.68,14.85,13.62,14.54,734074,9086,14.531253
2021-12-31,14.59,15.12,14.21,14.22,783587,7727,14.444531
2022-01-03,14.48,15.06,14.0353,15.04,705618,8657,14.749084
2022-01-04,14.83,15.01,13.92,14.43,923477,12947,14.369112
2022-01-05,14.33,14.48,13.32,13.35,1129395,13189,13.594583
2022-01-06,13.39,13.97,12.78,12.78,1118306,13753,13.057411
2022-01-07,13.08,14.32,12.95,12.95,1473036,14391,13.454776
2022-01-10,12.9,13.26,12.08,13.22,1089342,13601,12.833792
2022-01-11,13.13,13.74,12.88,13.66,1054144,10524,13.493402
2022-01-12,13.56,14.03,13.02,13.12,953733,14815,13.251379
2022-01-13,13.15,13.34,12.71,12.87,1121519,13477,12.929794
2022-01-14,12.82,13.408,12.36,12.98,1007756,13041,12.858287
2022-01-18,12.79,13.16,12.15,12.32,1272836,13937,12.441378
2022-01-19,12.44,13.13,11.86,12.22,1631288,19921,12.304648
2022-01-20,12.45,13.53,12.45,12.67,1218120,13485,13.055099
2022-01-21,12.65,13.22,12.23,12.27,1694204,19026,12.532027
2022-01-24,11.9,12.7,11.11,12.64,2510978,25076,11.955807
2022-01-25,12.4,12.65,11.78,12.15,2191682,21318,12.195112
2022-01-26,12.39,13.07,11.62,11.74,1870061,17591,12.214434
2022-01-27,12.06,12.3,11.36,11.42,1230327,12224,11.562066
