Date,Open,High,Low,Close,volume,trade_count,vwap
2021-01-25,11.0,11.25,10.8,10.93,64579,412,10.9599
2021-01-26,11.0,11.09,10.5,10.6,115674,973,10.899659
2021-01-27,10.6,10.67,10.25,10.48,799398,329,10.475425
2021-01-28,10.62,10.66,10.3,10.55,779442,1878,10.517366
2021-01-29,10.7,10.8999,10.55,10.66,637576,1067,10.708799
2021-02-01,10.84,11.44,10.67,11.4,1319194,1548,10.90216
2021-02-02,11.65,12.0,11.35,11.5,308467,1750,11.526229
2021-02-03,11.35,11.7599,11.35,11.58,561358,752,11.500754
2021-02-04,11.59,11.74,11.5,11.6,143557,717,11.606095
2021-02-05,11.9,11.95,11.45,11.68,118610,654,11.642237
2021-02-08,11.85,11.85,11.3,11.79,184252,706,11.645431
2021-02-09,11.44,11.85,11.4,11.68,183578,1011,11.624653
2021-02-10,11.67,11.7,11.41,11.56,180410,1302,11.564605
2021-02-11,11.54,11.69,11.28,11.68,207641,876,11.536697
2021-02-12,11.68,11.69,11.29,11.66,421559,1303,11.52272
2021-02-16,12.1,12.1,11.45,11.55,303980,887,11.632673
2021-02-17,11.6,11.61,11.29,11.43,110604,833,11.450899
2021-02-18,11.5,11.7165,11.47,11.54,159580,1121,11.566817
2021-02-19,11.59,11.83,11.5,11.73,177511,1154,11.667634
2021-02-22,11.71,11.75,11.55,11.59,71444,646,11.616157
2021-02-23,11.01,11.49,11.0,11.4,149505,1118,11.218008
2021-02-24,11.35,11.5,11.22,11.3198,69279,554,11.331682
2021-02-25,11.32,11.4,10.5,10.5,128458,674,11.014354
2021-02-26,10.71,11.03,10.55,10.75,233225,1075,10.710062
2021-03-01,10.75,10.94,10.56,10.75,433529,807,10.753753
2021-03-02,10.74,10.75,10.45,10.55,98784,614,10.652279
2021-03-03,10.3397,10.6199,10.25,10.43,185587,1365,10.473993
2021-03-04,10.38,10.47,10.1,10.19,196035,1068,10.269114
2021-03-05,10.19,10.36,9.95,10.25,764655,2304,10.054252
2021-03-08,10.29,10.33,10.15,10.24,129711,1140,10.243817
2021-03-09,10.24,10.3447,10.12,10.24,103825,442,10.206279
2021-03-10,10.2,10.75,10.09,10.5,910950,4469,10.562603
2021-03-11,10.8,10.88,10.54,10.8,1896436,6141,10.754598
2021-03-12,10.7,10.88,10.52,10.7,599694,2658,10.676881
2021-03-15,10.85,10.95,10.61,10.69,368622,2349,10.806601
2021-03-16,10.59,10.74,10.35,10.44,321366,1218,10.509704
2021-03-17,10.3,10.4332,10.25,10.39,303343,1064,10.372149
2021-03-18,10.4,10.4,10.2201,10.24,389284,1358,10.302238
2021-03-19,10.26,10.29,10.16,10.23,355390,1676,10.208484
2021-03-22,10.35,10.7899,10.26,10.69,1944982,9444,10.492731
2021-03-23,10.3,10.4424,10.08,10.15,12835552,27599,10.182205
2021-03-24,10.4,10.5,10.01,10.15,4005275,15420,10.224297
2021-03-25,10.33,10.33,10.08,10.2,2933290,11851,10.206436
2021-03-26,10.33,10.85,10.3,10.51,4264221,13422,10.631775
2021-03-29,10.71,10.74,10.25,10.41,1187743,5910,10.474703
2021-03-30,10.3,10.4928,10.21,10.38,970918,4686,10.316714
2021-03-31,10.3,10.37,10.14,10.25,998238,4770,10.21297
2021-04-01,10.3,10.4,10.2502,10.32,520592,2537,10.31355
2021-04-05,10.65,10.7,10.4032,10.48,973648,5579,10.553108
2021-04-06,10.42,10.52,10.4,10.43,750762,3018,10.457259
2021-04-07,10.55,10.55,10.39,10.46,855556,3402,10.452278
2021-04-08,10.56,10.7,10.45,10.69,1537242,6158,10.592003
2021-04-09,10.9,11.13,10.57,10.7,3613051,14814,10.802333
2021-04-12,10.8,11.07,10.76,10.9,2964536,11829,10.939649
2021-04-13,10.9,10.92,10.52,10.7,1183876,6486,10.754911
2021-04-14,10.81,10.83,10.67,10.69,1066700,5141,10.718981
2021-04-15,10.76,10.83,10.15,10.19,1458154,7720,10.322413
2021-04-16,10.32,10.46,10.24,10.36,1171871,8289,10.325989
2021-04-19,10.4,10.4,10.08,10.2,1483625,8242,10.15883
2021-04-20,10.2,10.25,10.06,10.1,2529339,7770,10.111674
2021-04-21,10.12,10.19,10.1,10.16,682551,4498,10.138049
2021-04-22,10.2,10.32,10.1074,10.2,762852,4644,10.208728
2021-04-23,10.22,10.29,10.14,10.18,877599,4788,10.210048
2021-04-26,10.27,10.36,10.2068,10.29,689364,4120,10.276733
2021-04-27,10.4,10.52,10.36,10.45,694808,3649,10.451865
2021-04-28,10.5,10.56,10.36,10.44,454299,2590,10.454331
2021-04-29,10.45,10.5,10.27,10.36,418404,2804,10.374397
2021-04-30,10.27,10.35,10.2,10.26,469144,2480,10.275611
2021-05-03,10.27,10.2804,10.1,10.14,1081235,4115,10.147368
2021-05-04,10.14,10.15,10.05,10.05,957440,3713,10.070822
2021-05-05,10.06,10.1,10.03,10.06,510820,2609,10.058599
2021-05-06,10.03,10.05,9.95,10.0,2473253,6214,9.996472
2021-05-07,9.97,10.03,9.97,10.01,414905,2454,9.998168
2021-05-10,10.0,10.01,9.97,9.98,666403,4785,9.987018
2021-05-11,9.85,9.98,9.81,9.96,524796,3300,9.899347
2021-05-12,9.92,9.99,9.88,9.89,537840,2516,9.923138
2021-05-13,9.89,9.98,9.85,9.91,478932,2803,9.900738
2021-05-14,9.91,9.95,9.895,9.91,224279,1747,9.91682
2021-05-17,9.9,9.9382,9.88,9.91,232437,1578,9.909565
2021-05-18,9.94,10.04,9.9,9.94,261754,1681,9.95255
2021-05-19,9.89,9.917,9.8701,9.9,179071,973,9.901142
2021-05-20,9.92,9.96,9.89,9.9,234645,1163,9.913323
2021-05-21,9.9,9.9499,9.86,9.86,308910,1776,9.894786
2021-05-24,9.88,9.9165,9.88,9.89,156066,1258,9.89258
2021-05-25,9.9,9.93,9.89,9.92,122582,1109,9.908843
2021-05-26,9.93,9.97,9.9,9.97,233908,1160,9.923316
2021-05-27,9.97,9.97,9.9201,9.94,176588,1427,9.954435
2021-05-28,9.99,10.02,9.9501,10.0,261868,1529,9.993902
2021-06-01,10.01,10.02,10.0,10.0,270766,1104,10.007561
2021-06-02,10.05,10.05,10.0,10.01,196809,957,10.015512
2021-06-03,10.02,10.02,10.0,10.01,160468,1132,10.011565
2021-06-04,10.01,10.04,9.955,9.97,254281,1458,9.99747
2021-06-07,9.97,10.07,9.97,10.0,236957,1424,10.018186
2021-06-08,10.03,10.1,10.01,10.1,260963,1381,10.046419
2021-06-09,10.13,10.14,9.99,10.01,272470,1511,10.047973
2021-06-10,10.01,10.05,10.0,10.03,479572,1336,10.03151
2021-06-11,10.09,10.09,9.99,10.0,574689,1751,10.023109
2021-06-14,10.06,10.0799,10.0,10.05,295456,1941,10.028467
2021-06-15,10.06,10.07,10.01,10.03,191125,1420,10.032256
2021-06-16,10.02,10.04,10.0,10.01,184619,1254,10.006568
2021-06-17,9.99,10.06,9.97,10.01,164247,1205,10.000318
2021-06-18,10.0,10.0156,9.95,9.99,738514,1434,9.989439
2021-06-21,9.98,10.01,9.94,9.99,135689,1086,9.973225
2021-06-22,10.0,10.005,9.94,9.97,185699,1302,9.958278
2021-06-23,9.98,10.01,9.95,9.99,296652,951,9.991733
2021-06-24,9.96,9.99,9.95,9.97,127987,965,9.962593
2021-06-25,9.97,9.985,9.9599,9.97,115050,881,9.965191
2021-06-28,9.96,10.0499,9.96,10.0,543396,1973,9.996375
2021-06-29,10.0,10.015,9.98,9.99,214761,1164,9.994385
2021-06-30,9.98,10.01,9.98,10.01,262864,1229,10.004386
2021-07-01,10.01,10.01,9.98,10.01,192713,1336,9.998299
2021-07-02,10.02,10.06,10.0,10.06,332240,1166,10.023012
2021-07-06,10.07,10.07,10.03,10.06,314104,1862,10.051415
2021-07-07,10.04,10.055,9.93,9.97,398444,1334,10.013111
2021-07-08,9.95,9.99,9.92,9.98,156010,858,9.949922
2021-07-09,10.0,10.0,9.95,9.98,149478,745,9.970221
2021-07-12,9.99,10.0,9.95,9.98,126360,824,9.984792
2021-07-13,9.98,9.9817,9.96,9.97,175505,1160,9.959991
2021-07-14,9.93,9.95,9.9,9.92,353747,1707,9.910503
2021-07-15,9.9,9.92,9.9,9.92,157874,1272,9.904849
2021-07-16,9.94,9.95,9.9,9.92,192733,1150,9.917858
2021-07-19,9.9,9.96,9.88,9.92,358909,1937,9.907586
2021-07-20,9.93,9.95,9.9,9.95,134251,1022,9.926038
2021-07-21,9.95,9.97,9.92,9.95,170716,1115,9.950915
2021-07-22,9.97,9.99,9.96,9.98,133793,969,9.977679
2021-07-23,10.0,10.0033,9.97,9.99,305197,1348,9.989086
2021-07-26,9.99,9.99,9.9,9.92,189129,1343,9.925452
2021-07-27,9.91,9.925,9.9,9.92,189015,1184,9.908589
2021-07-28,9.9,9.95,9.9,9.95,145669,1140,9.910079
2021-07-29,9.94,9.9799,9.91,9.97,167265,1271,9.943804
2021-07-30,9.91,9.95,9.91,9.95,107377,1250,9.934343
2021-08-02,9.96,9.96,9.9,9.93,385355,1629,9.922633
2021-08-03,9.94,9.95,9.91,9.93,113397,1183,9.920669
2021-08-04,9.91,9.96,9.91,9.96,133764,1167,9.930476
2021-08-05,9.94,9.98,9.91,9.95,225152,1554,9.93257
2021-08-06,9.95,9.97,9.93,9.96,90022,756,9.954226
2021-08-09,9.96,9.99,9.9401,9.98,458997,1098,9.966471
2021-08-10,9.99,10.0,9.95,10.0,166261,1068,9.98814
2021-08-11,9.99,10.01,9.95,9.99,149654,828,9.991409
2021-08-12,9.98,10.0,9.93,9.96,102999,862,9.955835
2021-08-13,9.98,9.98,9.94,9.97,123298,824,9.956139
2021-08-16,9.97,9.98,9.91,9.94,219771,1239,9.932201
2021-08-17,9.91,9.93,9.905,9.93,254824,1236,9.914163
2021-08-18,9.91,9.93,9.905,9.92,170764,795,9.916808
2021-08-19,9.91,9.93,9.9,9.93,129021,680,9.909074
2021-08-20,9.9,9.9276,9.9,9.92,106571,698,9.912279
2021-08-23,9.91,9.92,9.9,9.92,424782,1119,9.913167
2021-08-24,9.93,9.93,9.91,9.93,143715,849,9.920809
2021-08-25,9.93,9.94,9.92,9.94,115540,549,9.933773
2021-08-26,9.94,9.96,9.92,9.94,158498,764,9.931774
2021-08-27,9.95,9.95,9.9101,9.95,119731,640,9.930662
2021-08-30,9.95,9.95,9.93,9.95,107847,485,9.940239
2021-08-31,9.95,9.96,9.92,9.96,78840,585,9.932879
2021-09-01,9.93,9.98,9.93,9.97,161647,954,9.954165
2021-09-02,9.96,9.99,9.94,9.99,140966,679,9.97791
2021-09-03,9.97,10.0,9.95,9.97,100454,676,9.982796
2021-09-07,9.98,9.99,9.93,9.98,189980,1020,9.955159
2021-09-08,9.97,10.0,9.94,9.97,117240,791,9.976274
2021-09-09,9.99,10.1,9.96,10.0,1611668,2401,10.005401
2021-09-10,10.01,10.04,9.97,9.99,582074,1301,10.000875
