Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-19,161.94,179.69,161.57,175.01,8101932,0.0
2020-05-20,174.99,190.48,174.01,189.99,9547108,0.0
2020-05-21,188.81,196.75,186.91,192.5,8636458,0.0
2020-05-22,192,194.57,187,190.19,4280402,0.0
2020-05-26,192,192.97,183.76,191.09,4787686,0.0
2020-05-27,189.3,190,180.13,185.68,4578438,0.0
2020-05-28,183.21,185.9,175.73,177.24,3591498,0.0
2020-05-29,179.12,181.78,178.07,180.98,2042673,0.0
2020-06-01,181.5,185,177.45,182.59,2550262,0.0
2020-06-02,183,189.77,182.9,189.23,3022826,0.0
2020-06-03,189.36,191.62,183.51,184.64,2986592,0.0
2020-06-04,184.23,188.22,180.3,181.84,2092710,0.0
2020-06-05,179,184.72,177.505,184.06,2233064,0.0
2020-06-08,183.5,187.46,180.5,187.33,2305872,0.0
2020-06-09,187.79,194.5899,186.12,191.22,3074934,0.0
2020-06-10,192.85,197.2772,187.1,189.4,3938410,0.0
2020-06-11,184.5,186.92,177.21,178.88,3329084,0.0
2020-06-12,183.86,185.54,181.11,181.175,531090,0.0
2020-06-15,178.23,188.81,177.27,187.88,2715912,0.0
2020-06-16,190.42,190.92,183.1601,185.49,2022756,0.0
2020-06-17,187,199.99,186.35,199.82,6088328,0.0
2020-06-18,209.79,229.54,206.54,225.27,24215022,0.0
2020-06-19,234.5,242.25,228.71,231.29,25086306,0.0
2020-06-22,228.33,238.26,227.0701,236.07,6240527,0.0
2020-06-23,242.41,257.23,240.5,241.64,7906710,0.0
2020-06-24,242.68,247.6067,235.11,242.96,4890628,0.0
2020-06-25,241.92,268.3,241.45,267.36,8428585,0.0
2020-06-26,266.6,271.71,254.85,264.96,5924945,0.0
2020-06-29,257.37,270.99,255.56,265.2,4698283,0.0
2020-06-30,263.34,265.78,253.64,258.18,3435542,0.0
2020-07-01,256,261.09,254.32,258.87,3317972,0.0
2020-07-02,264.5,274.3,263.2084,271.49,3898932,0.0
2020-07-06,269.8,272.67,257.51,260.4,5027880,0.0
2020-07-07,260.1,267.7499,255.501,262.13,2204586,0.0
2020-07-08,266.57,277.615,262.7,269.25,3722977,0.0
2020-07-09,272.77,279.76,268.68,274.79,2536566,0.0
2020-07-10,275.45,278.93,273.52,278.41,1713070,0.0
2020-07-13,281.4,285.4,258.01,261.63,2692227,0.0
2020-07-14,246.31,262.9,243.11,262.81,3759645,0.0
2020-07-15,265,265.72,254,258.49,1732029,0.0
2020-07-16,259.27,272.35,258.27,268.69,2712691,0.0
2020-07-17,267.08,269.04,261.72,263.17,1611964,0.0
2020-07-20,265.53,292.76,265.2,291.2,3986206,0.0
2020-07-21,288.41,289.8141,276.31,276.31,2446380,0.0
2020-07-22,290.67,299.67,286.93,289.63,4988013,0.0
2020-07-23,287.55,288.99,266.96,267.51,2776190,0.0
2020-07-24,258.27,270.8146,257.03,268.63,1865905,0.0
2020-07-27,275.75,275.75,269.2,272.5,1461192,0.0
2020-07-28,270,275.85,266.86,267.49,2753767,0.0
2020-07-29,254.88,268.585,251.02,262.3,7675012,0.0
2020-07-30,252,264.3199,251.83,261.77,5349262,0.0
2020-07-31,264.63,265.075,255.09,257.82,3003663,0.0
2020-08-03,259,259.8,251.51,254.43,3537605,0.0
2020-08-04,256.96,259.1918,250.01,250.02,3251472,0.0
2020-08-05,249.84,251.98,246,249.25,3179988,0.0
2020-08-06,252.53,256.36,249.5,255.17,2551330,0.0
2020-08-07,256.02,256.19,248.6275,252.13,2378572,0.0
2020-08-10,251.49,252.95,241.27,249,2704952,0.0
2020-08-11,246.61,262.14,243.5112,253.71,5111627,0.0
2020-08-12,255.36,265.97,251.69,253.3,4015952,0.0
2020-08-13,249.42,254.69,247.3,253.65,1365744,0.0
2020-08-14,255.98,258.59,249.66,251.5227,923573,0.0
2020-08-17,254.31,260.98,250.86,259.92,2612984,0.0
2020-08-18,258.96,260.67,253.62,256.76,1847007,0.0
2020-08-19,259.98,264.5,256.92,261.69,2546574,0.0
2020-08-20,260,270.89,258.638,269.21,3329694,0.0
2020-08-21,271.03,276.8774,268.63,270.87,3104548,0.0
2020-08-24,272.93,273.68,266.108,269.13,1621922,0.0
2020-08-25,267.78,269.27,257.48,268.7,2391466,0.0
2020-08-26,268.76,280,268.76,278.29,2568328,0.0
2020-08-27,278.98,278.99,268.14,272.01,2393000,0.0
2020-08-28,276.1,284.615,274.06,279.36,2663008,0.0
2020-08-31,280.28,284.9092,278.83,282.15,1679553,0.0
2020-09-01,284.65,293,282.0901,291.99,2359430,0.0
2020-09-02,291.85,294.67,266.08,276.29,4789931,0.0
2020-09-03,268,274.97,258.69,261.67,3605083,0.0
2020-09-04,259.31,260.44,238.66,248.21,3996776,0.0
2020-09-08,240.66,247.34,237.1185,240.21,2849098,0.0
2020-09-09,247.99,250.96,243.005,244.98,2031457,0.0
2020-09-10,254.305,258.99,247.35,247.77,4225023,0.0
2020-09-11,249.64,251.45,237.51,241.76,2611354,0.0
2020-09-14,246.26,248.07,238.33,238.55,2194630,0.0
2020-09-15,242.5,244.59,237.01,237.65,1178424,0.0
2020-09-16,232.02,241.11,220.7,234.89,5128946,0.0
2020-09-17,230.85,238.99,228.01,234.49,1804590,0.0
2020-09-18,235.18,237.19,229.925,233.88,1088569,0.0
2020-09-21,231.94,240,230.128,239.4,907905,0.0
2020-09-22,239.24,241.77,234.02,241.01,1494262,0.0
2020-09-23,241.475,244.84,234.57,235,902545,0.0
2020-09-24,232.08,234.7,225.18,231.26,1245041,0.0
2020-09-25,233.98,236.34,229.47,236.07,717091,0.0
2020-09-28,243,243.99,233.49,236.5899,888433,0.0
2020-09-29,237.39,244.33,234.64,242.33,2337102,0.0
2020-09-30,244,246.4673,240.6,242.57,2055546,0.0
2020-10-01,244.52,250.75,243.965,250.2,1931250,0.0
2020-10-02,244.07,249.32,240.18,240.26,1665543,0.0
2020-10-05,244.1,252.11,241.2713,251.37,1771554,0.0
2020-10-06,249.68,255.7,247.15,248.29,1753001,0.0
2020-10-07,251.7,253.25,246.74,251.54,1116059,0.0
2020-10-08,254.63,254.9,247.68,249.8,1416652,0.0
2020-10-09,249.67,252.8856,248.052,249.92,1134239,0.0
2020-10-12,252.13,253.62,248.21,251.49,1618910,0.0
2020-10-13,254.12,268.25,252.82,266.8,2936413,0.0
2020-10-14,268.86,269,257.17,257.57,1832729,0.0
2020-10-15,253.97,261.87,250.63,261.53,1609813,0.0
2020-10-16,263.99,268.25,262.15,262.26,1996745,0.0
2020-10-19,263.17,267.4899,259.765,261.15,1507858,0.0
2020-10-20,260.04,263.7179,257.32,260.89,1721403,0.0
2020-10-21,262.15,273.575,260.63,271.32,1830124,0.0
2020-10-22,269.54,274,266.1816,272.2599,2325723,0.0
2020-10-23,270.38,284.1278,270.38,283.55,2454404,0.0
2020-10-26,280.23,286.55,280,284.96,3591431,0.0
2020-10-27,286.74,292.79,285.0001,287.32,3337450,0.0
2020-10-28,281.43,284.64,273.36,276.48,4246602,0.0
2020-10-29,260,268.56,248.26,266.87,10659952,0.0
2020-10-30,263.71,265.53,235.88,239.88,6745535,0.0
2020-11-02,240.01,240.79,228.11,231.6,4279147,0.0
2020-11-03,236,241.35,232.866,236.54,2686180,0.0
2020-11-04,245,246.95,238,239.28,3542046,0.0
2020-11-05,247.72,257.77,239.6,256.64,4099980,0.0
2020-11-06,257.5,276.49,255.74,276.13,4162057,0.0
2020-11-09,258,284.11,257.18,274.2,3787144,0.0
2020-11-10,272.56,273.575,248.02,249.99,4613101,0.0
2020-11-11,253,264.55,252.31,261.04,2246036,0.0
2020-11-12,261.29,267.66,256.81,258.69,1635810,0.0
2020-11-13,260.5,262.12,252.24,253.37,1132653,0.0
2020-11-16,252.85,256.05,245.31,245.77,2667443,0.0
2020-11-17,247.45,251.26,244.61,250.5,1508771,0.0
2020-11-18,251.25,255.66,246.62,253.02,1863338,0.0
2020-11-19,252.93,254.94,247.55,249.91,2664419,0.0
2020-11-20,251.82,262.9,250.28,259.99,2006194,0.0
2020-11-23,260.01,270.78,260.01,268.86,1822668,0.0
2020-11-24,267.91,274.19,266.5001,269.98,1596920,0.0
2020-11-25,269,274.72,268.02,269.81,1412998,0.0
2020-11-27,269.46,277.78,267.33,277.59,893038,0.0
2020-11-30,277,291.72,272.102,291.4,1725116,0.0
2020-12-01,291.04,292.01,282.24,284.94,1181703,0.0
2020-12-02,283.23,330.87,281.19,320.87,7940996,0.0
2020-12-03,317.5,332,314.5,316.44,2349058,0.0
2020-12-04,317.29,323.8076,315.6801,319.76,1476556,0.0
2020-12-07,319.8,342.36,319,342,2183683,0.0
2020-12-08,337,342.92,330.285,332.87,1518501,0.0
2020-12-09,337.28,338.216,324.5345,332.46,1640938,0.0
2020-12-10,329.64,344.98,327.07,343.31,1200772,0.0
2020-12-11,342.3,346.4399,333.57,340.66,1564199,0.0
2020-12-14,340.5,341.6675,319.52,320.36,2026505,0.0
2020-12-15,324.07,330.82,320.5011,327.28,2153514,0.0
2020-12-16,316.52,323.88,312.209,318.84,1538254,0.0
2020-12-17,323.13,329.89,319.13,328.3,825151,0.0
2020-12-18,333.43,337.2,330.495,335.74,900605,0.0
2020-12-21,330.06,333.5,322.81,325.34,1035154,0.0
2020-12-22,328.07,328.07,319.42,322.12,890021,0.0
2020-12-23,322.15,335.77,321.59,331.08,1111199,0.0
2020-12-24,329.81,336.34,327.62,328.39,423075,0.0
2020-12-28,331.28,331.55,316,317.28,855041,0.0
2020-12-29,320.95,323.9,310.55,318.47,662337,0.0
2020-12-30,323.47,323.47,316.17,319.44,600769,0.0
2020-12-31,323.5,323.5,312.47,314.88,515807,0.0
2021-01-04,317.42,318.69,305.51,311,805863,0.0
2021-01-05,309.48,316.15,309.08,314.03,558319,0.0
2021-01-06,308.16,323.39,307.035,314.25,956692,0.0
2021-01-07,317.44,332.6,316.25,331.82,935049,0.0
2021-01-08,335,354.6,333.29,353.11,2103167,0.0
2021-01-11,350.06,354,341.5901,343.89,1057442,0.0
2021-01-12,344,349.7799,341.46,347.01,1575080,0.0
2021-01-13,348,370.95,344.5,347.01,4600561,0.0
2021-01-14,349.7,349.7,339.0604,342.27,832496,0.0
2021-01-15,330.72,334.69,317.01,319.82,2278068,0.0
2021-01-19,320.35,326.9431,317.07,319.77,1204178,0.0
2021-01-20,328.83,338.2,325.39,331.52,994616,0.0
2021-01-21,337.91,350.25,333.78,348.3,1588331,0.0
2021-01-22,346.27,348.28,338.17,338.95,1014412,0.0
2021-01-25,344,345.05,326.66,333.6,1317786,0.0
2021-01-26,337.24,340.5,332.33,337.01,790792,0.0
2021-01-27,330.75,344.99,323.59,329.44,1503140,0.0
2021-01-28,330.18,331.33,317.12,324.91,1507953,0.0
2021-01-29,328.59,331.39,312.83,315.01,1405561,0.0
2021-02-01,319.45,332.7,315.8,332.65,1140204,0.0
2021-02-02,339.68,350.25,338.85,345.43,1673529,0.0
2021-02-03,321.5,327.2999,310.7,317.21,6085757,0.0
2021-02-04,319.31,323.98,312.9,314.44,2322087,0.0
2021-02-05,316.23,316.76,306,310.76,2270994,0.0
2021-02-08,311.93,325.08,311.68,323.8,1538294,0.0
2021-02-09,323.37,334.62,320.41,334.16,1386674,0.0
2021-02-10,334.34,339.62,325.63,335.71,1463533,0.0
2021-02-11,335.9,337.8821,325.95,331.9,990859,0.0
2021-02-12,333.94,340.43,329.395,339.92,1081591,0.0
2021-02-16,343,364,343,353.41,1875784,0.0
2021-02-17,349.41,355.71,342.73,355.19,1067508,0.0
2021-02-18,353.57,358.7093,341.59,355.05,1342509,0.0
2021-02-19,355.62,365.99,354.1781,364.48,1225959,0.0
2021-02-22,360.91,387.44,344,350.09,4458128,0.0
2021-02-23,332.57,337.88,310.34,336.32,4130999,0.0
2021-02-24,335.22,339.2,324,334.73,1434256,0.0
2021-02-25,330,335,302.6,302.97,2303145,0.0
2021-02-26,300,311.83,295.34,307.51,2418017,0.0
2021-03-01,313,321.78,307.4,321.28,1515150,0.0
2021-03-02,320.07,326.15,316.34,322.74,1407212,0.0
2021-03-03,322.73,323.04,299.89,300.49,1561241,0.0
2021-03-04,297.48,301.28,278.23,285.05,2441259,0.0
2021-03-05,290,291.37,261.6,275.1,2554228,0.0
2021-03-08,275,276.59,254.92,258.71,2039381,0.0
2021-03-09,274.6,279.64,268.6,273.32,2405508,0.0
2021-03-10,282.73,284.02,269.4,270.12,1254357,0.0
2021-03-11,276.01,289.4,273.07,286.96,1797437,0.0
2021-03-12,280.06,281.87,273,279.8,908938,0.0
2021-03-15,282.99,286.38,275.67,285.32,787196,0.0
2021-03-16,289,292.66,280.27,284.58,841881,0.0
2021-03-17,277.4,287.46,272.22,283.35,716384,0.0
2021-03-18,278.45,279.92,266.1454,271.73,1398533,0.0
2021-03-19,269.99,275.2,267.46,272.62,1046107,0.0
2021-03-22,276,278.57,273.2154,275.46,538962,0.0
2021-03-23,274,275.63,266.55,267.2,768834,0.0
2021-03-24,270.87,271.66,258.06,258.74,999198,0.0
2021-03-25,255.91,258.97,250.1,254.61,1592204,0.0
2021-03-26,258.51,263.92,251,261.41,1123927,0.0
2021-03-29,261,261.605,250.38,252.3,1028330,0.0
2021-03-30,254.05,261.4399,249,257.69,1415133,0.0
2021-03-31,266.28,271.87,263.9,267.88,1091758,0.0
2021-04-01,271.19,280,270.53,273.13,951022,0.0
2021-04-05,279.56,279.99,272.09,273.0975,836381,0.0
2021-04-06,277.51,288.65,278.76,282.2,1184018,0.0
2021-04-07,281.46,282.88,276.51,279.87,633622,0.0
2021-04-08,282.6,285.99,279.5,281.06,616824,0.0
2021-04-09,279.68,279.73,273.35,279.2,1111357,0.0
2021-04-12,277.5,278.82,271.26,276.92,579894,0.0
2021-04-13,278,294.22,278.5,293.12,1080659,0.0
2021-04-14,294,294.4,285.15,287.61,712545,0.0
2021-04-15,291,300.94,290.3,299.45,1174763,0.0
2021-04-16,299.74,299.74,290.4,292.02,743186,0.0
2021-04-19,287,291.66,278.09,280.57,1327706,0.0
2021-04-20,279.61,281,268.06,271.24,1188961,0.0
2021-04-21,267.26,267.265,260.61,261.71,1738992,0.0
2021-04-22,266.02,271.6299,264.61,265.17,1425154,0.0
2021-04-23,268,286.2899,267.86,284.26,2142182,0.0
2021-04-26,278.12,298.73,277.33,298,2118204,0.0
2021-04-27,298,299.485,289.64,292.92,1173142,0.0
2021-04-28,269.69,270.16,255.16,256.26,7498263,0.0
2021-04-29,262.84,265.88,260,262.09,3201260,0.0
2021-04-30,258.99,264.4,251.96,252.01,2008312,0.0
2021-05-03,255.29,258.6,246.9,247.67,2202879,0.0
2021-05-04,244.98,244.8,236.3446,240.3,2413062,0.0
2021-05-05,243.8,246.34,236.6706,239.5,1472892,0.0
2021-05-06,238,237.73,230.3,237.04,1666118,0.0
2021-05-07,241.8,246.5,237.35,239.06,1227627,0.0
2021-05-10,235.42,237.47,227.63,228.2,1735933,0.0
2021-05-11,221.73,230.94,221,227.71,2408125,0.0
2021-05-12,224.77,232.01,223.4,225.85,1238319,0.0
2021-05-13,229,231.41,214.155,217.09,1574526,0.0
2021-05-14,219.05,223.85,216.8,223.59,2381180,0.0
