Date,Estimate,Actual
2021-08-05,0.3,None
2021-05-06,0.16,0.41
2021-02-23,0.24,0.32
2020-11-05,0.16,0.34
2020-08-04,-0.05,0.18
2020-05-06,0.13,-0.02
2020-02-26,0.21,0.23
2019-11-06,0.2,0.25
2019-08-01,0.17,0.21
2019-05-01,0.08,0.11
2019-02-27,0.14,0.14
2018-11-07,0.11,0.13
2018-08-01,0.12,0.13
2018-05-02,0.06,0.06
2018-02-27,0.07,0.08
2017-11-08,0.05,0.07
2017-08-02,-0.05,0.07
2017-05-03,-0.07,0.05
2017-02-22,-0.09,-0.04
2016-11-01,-0.11,-0.09
2016-08-03,-0.11,-0.08
2016-05-05,-0.09,-0.29
2016-03-09,-0.13,-0.2
2015-11-24,None,None
