Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,172.4,172.55,168.03,170.49,720716,10021,170.338115
2021-01-04,172.83,174.49,163.83,165.29,1073927,14432,166.977613
2021-01-05,165.15,167.0,162.023,164.25,1588303,11133,163.462333
2021-01-06,161.67,171.84,161.12,166.45,906732,13411,167.541562
2021-01-07,168.72,174.3,166.93,168.95,4745921,44383,100.760337
2021-01-08,85.0,88.4799,82.25,82.29,22834259,216934,84.257835
2021-01-11,87.1,96.21,84.155,89.76,13552209,150750,89.637675
2021-01-12,89.99,94.64,86.15,87.28,6314809,71816,89.855761
2021-01-13,87.4,87.8,83.7794,87.22,4971597,63719,85.605278
2021-01-14,86.64,90.75,85.6,89.9,3998230,49106,88.836308
2021-01-15,90.19,92.79,89.41,90.32,3396952,42284,90.974454
2021-01-19,92.03,97.14,91.2,96.8,3496913,44264,95.126909
2021-01-20,99.53,103.34,96.37,96.76,2923057,40324,98.963035
2021-01-21,99.03,99.03,94.28,96.92,1676675,26759,96.411445
2021-01-22,95.76,98.79,95.45,98.24,1445680,21734,97.008325
2021-01-25,98.94,99.8399,91.5338,96.11,2383627,35004,95.473013
2021-01-26,95.67,96.85,92.54,92.65,1612086,24332,93.959805
2021-01-27,90.31,92.7,86.8,90.49,1753244,30510,90.27204
2021-01-28,90.99,92.4,88.62,90.13,1913190,23952,90.159876
2021-01-29,89.48,92.87,87.5,89.4,1441341,21999,89.926899
2021-02-01,90.0,90.48,87.31,89.99,1125402,19332,89.104655
2021-02-02,90.87,92.8,89.93,90.18,1297459,18044,90.790275
2021-02-03,90.98,93.15,90.19,92.46,1147355,15226,92.113179
2021-02-04,93.39,95.73,92.315,95.73,1211678,17552,94.539582
2021-02-05,96.32,96.79,94.25,95.79,908285,14687,95.554798
2021-02-08,96.3,96.88,93.65,95.28,1155973,17004,95.142614
2021-02-09,95.79,96.68,92.82,93.18,1069173,16683,94.272613
2021-02-10,93.88,95.6,91.13,93.06,1148183,16844,93.688235
2021-02-11,93.8,93.965,90.33,90.77,1082254,17123,91.418083
2021-02-12,90.83,92.4,89.39,91.07,795339,13679,91.09666
2021-02-16,91.73,92.5,90.0,90.88,849076,13042,90.889822
2021-02-17,90.29,90.55,87.31,89.6,1197035,19041,89.065549
2021-02-18,88.22,89.25,85.8,88.35,990300,16802,87.877007
2021-02-19,89.0,90.8,84.95,85.38,1962078,26623,86.53435
2021-02-22,86.1,86.11,82.76,83.11,1314720,24542,84.087875
2021-02-23,81.2,84.7783,77.01,83.82,1550960,27137,81.700817
2021-02-24,84.25,85.42,82.8,84.29,983228,17924,84.045282
2021-02-25,84.09,89.4852,81.58,85.25,3120814,35538,86.375112
2021-02-26,85.87,87.68,82.27,87.06,1568477,23812,85.965451
2021-03-01,87.59,88.73,86.1519,87.03,1362275,21984,86.890267
2021-03-02,85.34,90.0,85.1,88.93,1820589,23764,88.726117
2021-03-03,88.36,91.62,86.86,87.11,1257486,21530,88.942742
2021-03-04,87.0,89.49,81.97,82.16,1521502,27014,84.414461
2021-03-05,82.83,85.49,78.31,84.79,1777294,29148,81.740735
2021-03-08,84.23,86.05,82.62,83.21,1015998,18757,83.848603
2021-03-09,84.28,87.59,83.995,85.75,906535,15954,85.80614
2021-03-10,87.64,87.64,84.41,84.51,824668,13641,85.402694
2021-03-11,84.69,87.6,84.46,87.17,670304,11518,86.61307
2021-03-12,87.16,87.16,84.78,86.47,482242,10658,86.172331
2021-03-15,86.5,87.0,85.02,85.94,830337,13339,85.987198
2021-03-16,86.79,88.385,83.535,84.44,964662,15093,85.895484
2021-03-17,84.2,85.6599,83.0,84.84,522814,11340,84.335636
2021-03-18,84.12,86.19,82.4019,83.0,856641,15914,84.786104
2021-03-19,85.91,85.95,81.99,82.64,2152911,24570,83.290185
2021-03-22,83.18,84.305,82.39,83.53,1130284,16078,83.383366
2021-03-23,82.9,83.47,78.48,78.58,1431418,21237,79.927713
2021-03-24,79.28,79.28,74.9,74.98,1357308,22465,76.589604
2021-03-25,73.88,75.48,72.14,74.69,1035813,15703,74.414464
2021-03-26,75.06,75.58,73.73,74.78,952239,12365,74.749102
2021-03-29,75.0,75.0,71.7202,72.25,1020461,17346,72.814877
2021-03-30,71.42,73.5,69.555,73.1,1553872,18661,72.5454
2021-03-31,73.4,75.27,72.8311,74.53,1230681,16627,74.027545
2021-04-01,75.7,78.62,75.2,76.21,995813,15981,76.7624
2021-04-05,76.59,77.2375,75.24,75.61,662623,9421,75.906886
2021-04-06,75.28,75.83,73.69,73.93,665591,11000,74.612745
2021-04-07,73.94,74.5,71.71,71.83,744772,11652,72.721531
2021-04-08,72.72,73.3,71.02,71.46,819320,12180,71.783376
2021-04-09,70.8819,71.39,70.002,70.54,772457,13687,70.558322
2021-04-12,70.42,70.7,68.34,69.42,987149,18958,69.618656
2021-04-13,69.27,70.34,68.04,69.91,1045010,17535,69.113206
2021-04-14,70.47,74.49,70.01,73.49,1175211,18047,73.223049
2021-04-15,73.88,75.77,72.47,72.59,650720,11189,73.667446
2021-04-16,72.41,73.0,70.73,71.76,502229,9842,71.649156
2021-04-19,71.0,72.92,70.04,70.29,614195,11076,71.022667
2021-04-20,69.92,71.905,69.6744,71.28,592604,10214,70.885116
2021-04-21,70.56,72.48,70.2356,72.26,453207,8441,71.744714
2021-04-22,71.84,73.34,70.7,71.38,833753,11042,71.952694
2021-04-23,71.27,71.6,70.04,70.94,786900,9145,70.738575
2021-04-26,71.37,73.61,70.19,73.3,703791,10170,72.680707
2021-04-27,74.0,74.0,70.35,70.51,747589,11751,71.466783
2021-04-28,70.4904,71.1818,69.75,70.05,570778,9149,70.311553
2021-04-29,70.36,71.48,69.25,71.41,706359,11145,70.415351
2021-04-30,71.1,72.195,70.52,70.84,797378,11673,71.275336
2021-05-03,71.25,78.52,71.25,77.11,3112498,34667,75.380731
2021-05-04,76.28,76.885,73.62,74.02,1461058,22407,74.590443
2021-05-05,74.26,75.21,72.6189,72.77,981624,12251,73.246647
2021-05-06,72.54,76.94,72.54,74.62,2021465,18711,74.747944
2021-05-07,75.01,76.88,74.04,74.57,1091236,17104,75.139956
2021-05-10,74.37,74.37,70.01,70.03,1460761,17033,71.403684
2021-05-11,68.28,71.32,67.68,71.02,1323461,18230,69.806045
2021-05-12,70.28,74.4,69.78,74.06,1357359,21873,72.890893
2021-05-13,74.22,74.49,70.18,72.46,996185,14836,72.304225
2021-05-14,72.67,76.1,72.35,76.06,1002836,13800,75.065975
2021-05-17,75.19,76.22,74.435,75.13,571740,9656,75.070889
2021-05-18,79.27,85.48,77.25,81.44,4011203,45150,82.457694
2021-05-19,79.13,79.2467,75.14,76.92,1964590,21297,76.771457
2021-05-20,77.14,81.21,76.6,80.21,1566787,18569,80.037111
2021-05-21,80.21,80.97,79.3542,79.58,1095124,16284,79.984138
2021-05-24,79.76,79.85,76.7306,77.21,1137529,14862,77.558286
2021-05-25,77.12,77.345,74.5,75.1,944181,15299,75.503677
2021-05-26,75.5,75.98,73.81,74.95,898923,15177,74.924968
2021-05-27,74.71,77.0,73.19,76.86,4661497,22510,76.463956
2021-05-28,76.86,79.13,75.49,75.65,1199556,14196,77.080076
2021-06-01,76.01,76.5772,73.89,75.66,906485,13338,74.948784
2021-06-02,75.73,76.47,74.62,75.46,906645,12617,75.41109
2021-06-03,75.14,75.81,73.56,73.76,637860,11079,74.183516
2021-06-04,73.92,73.92,72.205,72.97,803189,13635,72.911842
2021-06-07,73.1,80.9097,72.3,79.59,2248917,27306,78.564041
2021-06-08,80.02,81.3,78.22,79.64,930286,14546,79.499577
