Date,Estimate,Actual
2022-05-03,None,None
2022-02-28,None,None
2021-11-10,None,None
2021-05-05,-0.06,-0.06
2021-03-01,0,0.13
2020-11-12,-0.07,-0.05
2020-08-05,-0.2,-0.13
2020-05-14,-0.05,-0.19
2020-02-26,0.2,0.18
2019-11-13,0.12,0.12
2019-07-31,0.15,0.16
2019-05-02,0.06,0.1
2019-03-07,0.21,0.21
2018-11-01,0.05,0.11
2018-08-01,0.09,0.15
2018-05-02,0.08,0.05
2018-02-28,0.15,0.16
2017-11-14,0.05,0.08
2017-08-09,0.07,0.17
2017-05-16,0.05,0.05
2017-03-09,0.05,0.15
2016-11-15,0.05,0
2016-08-04,0.06,0.12
2016-05-09,-0.04,0.01
2016-03-03,-0.11,-0.01
2015-11-04,0.02,0.01
2015-07-30,0.15,0.15
2015-05-11,0.03,0.04
2015-03-02,0.48,0.48
2014-11-05,0.57,0.58
2014-08-07,0.45,0.55
2014-05-09,0.4,0.4
2014-03-03,0.49,0.5
2013-11-07,0.42,0.45
2013-08-08,0.44,0.45
2013-05-13,0.38,0.43
2013-03-04,0.38,0.4
2012-11-02,0.37,0.4
2012-08-01,0.32,0.32
2012-05-09,0.27,0.28
2012-02-07,0.27,0.31
2011-10-26,0.21,0.27
2011-07-27,0.22,0.23
2011-05-04,0.18,0.21
2011-02-09,0.17,0.21
2010-10-26,0.12,0.16
2010-07-28,0.15,0.12
2010-04-28,0.12,0.14
2010-02-17,0.11,0.14
2009-10-29,0.07,0.09
2009-07-29,0.03,0.05
2009-04-29,0.11,0
2009-02-17,0.2,0.16
2008-11-03,0.19,0.19
2008-07-31,0.2,0.2
2008-05-01,0.18,0.19
2008-02-26,0.22,0.21
2007-10-31,0.18,0.16
2007-08-01,0.17,0.18
2007-04-26,0.14,0.16
2007-02-15,0.18,0.19
2006-10-31,0.15,0.14
2006-08-01,0.15,0.15
2006-04-27,0.1,0.12
2006-02-15,0.13,0.15
2005-10-27,0.14,0.1
2005-07-28,0.13,0.14
2005-04-27,0.11,0.11
2005-02-16,0.13,0.11
2004-10-28,0.12,0.12
2004-07-29,0.09,0.11
2004-04-28,0.08,0.09
2004-02-18,0.11,0.07
2003-10-29,0.1,0.1
2003-07-28,0.07,0.08
2003-04-22,0.01,0.07
2003-02-19,0.07,0.1
2002-10-30,0.04,0.1
2002-07-24,0.02,0.03
2002-04-23,0,-0.05
2002-02-19,0.02,0.06
2001-10-30,0.01,0.06
2001-07-30,0.01,0.03
2001-04-26,-0.01,0.01
2001-02-14,0.07,0.01
2000-10-31,0.05,0.01
2000-07-25,0.03,0.02
2000-04-26,0.01,0.02
2000-02-15,0.03,0.07
1999-10-25,0.02,0.06
1999-07-26,0.01,0.01
1999-04-26,0,-0.01
1999-02-17,0.02,0
1998-10-26,0.02,0
1998-07-27,0.01,0.02
1998-06-17,0,0
1998-02-19,0.07,0.05
1997-11-03,0.01,0
1997-08-04,0.03,0
1997-05-01,-0.02,-0.03
