Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,197.4,204.59,195.8,203.65,2377318,0.0
2020-12-07,199.28,202.82,196.06,197.3,2864051,0.0
2020-12-08,199.79,200.4872,194.58,198.25,1689431,0.0
2020-12-09,199.5,199.5,188.81,192.28,2495544,0.0
2020-12-10,192.17,199.19,191.45,198.96,2001630,0.0
2020-12-11,198.93,201.4499,195.59,199.6,1782576,0.0
2020-12-14,197.51,202.35,194.34,194.63,1958594,0.0
2020-12-15,196.09,198.19,193.47,196.12,1793404,0.0
2020-12-16,188.25,190.329,181.15,187.07,6483011,0.0
2020-12-17,190,196.89,189.7,196.81,2804772,0.0
2020-12-18,197.14,198.55,191.6,194.7,2212383,0.0
2020-12-21,199,205.188,193.92,199.82,3550628,0.0
2020-12-22,201.99,208.5,201.46,206.05,2943616,0.0
2020-12-23,206.55,212.92,203.3001,209.38,2827911,0.0
2020-12-24,211.33,211.97,204.21,207.53,1253595,0.0
2020-12-28,209.14,210.25,196.3087,197.84,2684224,0.0
2020-12-29,200.46,202.0382,194.44,199.07,1744867,0.0
2020-12-30,202,204.79,199.5,203.57,1554585,0.0
2020-12-31,202.96,203.245,195.56,199.96,1774228,0.0
2021-01-04,199.8,200.63,192,200.63,2365483,0.0
2021-01-05,200.01,202.8,198.16,200.89,2004296,0.0
2021-01-06,199.165,210.24,197,204.13,3382155,0.0
2021-01-07,209,229.07,208.37,228.72,5779564,0.0
2021-01-08,227.3003,236.66,221.96,227.84,4182733,0.0
2021-01-11,227.315,229.04,219,220.85,2324016,0.0
2021-01-12,225.91,233.14,223.73,230.06,5419147,0.0
2021-01-13,231,235,225.63,231.78,3583588,0.0
2021-01-14,226.3,229,221.3,225.54,2638747,0.0
2021-01-15,228,230.83,222.6,225.22,2097258,0.0
2021-01-19,228.67,233.665,223.5,232.52,3257196,0.0
2021-01-20,235,252.08,234.2,246.75,6350592,0.0
2021-01-21,245.81,248.7999,240.5,245.49,2258360,0.0
2021-01-22,244.96,263.47,242.73,263.16,4872172,0.0
2021-01-25,265.49,294.74,265.49,287.035,9096837,0.0
2021-01-26,283.825,293.92,279,286.23,3403558,0.0
2021-01-27,275,283.1,269.19,273.95,3733725,0.0
2021-01-28,268.59,273.82,258.5,262.84,3086718,0.0
2021-01-29,262.35,274.58,257.6605,263.27,3444391,0.0
2021-02-01,265.2,266.65,257,264.22,2676766,0.0
2021-02-02,270,280.97,265.83,266.91,2588453,0.0
2021-02-03,269.85,277.566,268.75,271.41,1651141,0.0
2021-02-04,277.85,284.95,274,276.84,2121038,0.0
2021-02-05,280,287.4873,276.53,285.03,2133226,0.0
2021-02-08,286.58,296.36,286.42,294.74,1901677,0.0
2021-02-09,293.96,299.42,287.0601,288.63,2009653,0.0
2021-02-10,290.49,295.45,277.3589,290.54,1992873,0.0
2021-02-11,291.25,291.5,278.3963,283.69,2033209,0.0
2021-02-12,285.35,294.2625,279.77,293.63,1818853,0.0
2021-02-16,298.26,308,285.74,291.05,3264380,0.0
2021-02-17,288.6,288.8,274.51,287.845,2208397,0.0
2021-02-18,283.4,285.4,276.6638,283.13,1551160,0.0
2021-02-19,286.6,294.9357,283.905,292.7,1806243,0.0
2021-02-22,292.14,292.37,267.26,268.75,2769683,0.0
2021-02-23,251.53,261.4,235,255.89,4614577,0.0
2021-02-24,256.56,259.55,247.38,253.4401,2597062,0.0
2021-02-25,240,246.66,216.81,219.335,8884920,0.0
2021-02-26,222.15,225.7311,211.3201,220.64,6627572,0.0
2021-03-01,227,229.87,221.15,223.39,4780867,0.0
2021-03-02,229.4,231.48,216.35,217.91,2966293,0.0
2021-03-03,214.63,216.1971,200.89,203.18,5416086,0.0
2021-03-04,201.25,206.35,189.41,195.83,6643645,0.0
2021-03-05,194.15,197.7099,174,189.5,8429191,0.0
2021-03-08,188.15,193,175.51,176.51,4328588,0.0
2021-03-09,186.69,196.42,185.14,193.07,4248991,0.0
2021-03-10,196.3,198.49,182.1743,184.21,5282276,0.0
2021-03-11,190,200.505,187.75,198.86,5730476,0.0
2021-03-12,195.17,198,189.36,197.91,3667585,0.0
2021-03-15,201.08,203.98,196.22,201.25,2809462,0.0
2021-03-16,204,206.17,194.29,199,2324065,0.0
2021-03-17,184.81,191.99,182.22,190.11,6348002,0.0
2021-03-18,189.87,192.44,183.09,185.43,3871758,0.0
2021-03-19,185.55,191.36,182.24,191.35,2993757,0.0
2021-03-22,192.12,199.03,190.18,197.48,2604256,0.0
2021-03-23,197.18,197.6325,192.54,193.65,1908316,0.0
2021-03-24,194.88,195.4,181.3,181.82,3350692,0.0
2021-03-25,177.5,179.41,169.01,176.32,6062596,0.0
2021-03-26,178.8,181.46,170.435,176.91,2598636,0.0
2021-03-29,175,175.47,166.7,171.31,3838763,0.0
2021-03-30,169.62,175.73,167.95,174.675,2186770,0.0
2021-03-31,178,183.5,176.62,181.85,2577317,0.0
2021-04-01,187.21,189.1462,182.2317,182.57,2631160,0.0
2021-04-05,187.06,187.525,179.1,180.93,1751446,0.0
2021-04-06,182.28,184.3524,179.67,182,2087682,0.0
2021-04-07,183,183.66,177.6,177.92,1970139,0.0
2021-04-08,181.94,186.94,180.3501,182.17,2114471,0.0
2021-04-09,182.86,183.7,178.45,181.27,1738915,0.0
2021-04-12,181.332,183.75,176.2629,182,1809672,0.0
2021-04-13,184.5,192.9641,184.43,189.24,3599879,0.0
2021-04-14,190.5,193.09,186.12,188.12,3033062,0.0
2021-04-15,192.69,194.99,189.66,192.34,2226630,0.0
2021-04-16,193,193.51,187.88,190.04,1416110,0.0
2021-04-19,188.11,190.9,180.719,184.08,2503692,0.0
2021-04-20,183.68,185.16,177.23,180.74,1685320,0.0
2021-04-21,179.84,183.5335,177.11,182.75,1241437,0.0
2021-04-22,185,187.12,179.22,181.36,1755693,0.0
2021-04-23,182.39,183.965,180.6607,182.47,1666289,0.0
2021-04-26,184.01,190.34,180.53,190.23,2275425,0.0
2021-04-27,190.55,192.11,188,189.94,2036361,0.0
2021-04-28,186.33,189.655,185.4,186.1,2428335,0.0
2021-04-29,175.01,178.68,167.81,170.85,11673480,0.0
2021-04-30,169.74,174.57,167.87,172.42,3811186,0.0
2021-05-03,172.39,172.39,162.2723,163.21,4493429,0.0
2021-05-04,160.67,160.64,153.29,158.37,5870253,0.0
2021-05-05,159.4,161.17,156.08,156.98,3595966,0.0
2021-05-06,156.21,156.53,148.5,152.17,4739611,0.0
2021-05-07,152.89,157.16,149.21,151.13,4216265,0.0
2021-05-10,150.42,150.27,140.1,141.04,5367391,0.0
2021-05-11,133.92,148.51,133.17,145.65,5947585,0.0
2021-05-12,142.45,145.96,138.44,140.06,3029652,0.0
2021-05-13,141.48,142.39,129.74,132.76,5024254,0.0
2021-05-14,134.85,141.81,134.58,139.76,3113755,0.0
2021-05-17,138.41,140.39,134.74,137.34,2693690,0.0
