Date,Estimate,Actual
2022-04-26,None,None
2022-01-25,None,None
2021-10-19,None,None
2021-07-28,2.81,None
2021-04-28,2.59,3.02
2021-01-27,3.11,3.48
2020-10-21,2.36,2.48
2020-07-22,1.99,2.48
2020-04-22,2.19,2.17
2020-01-22,2.74,3.06
2019-10-23,2.53,2.84
2019-07-24,2.41,2.8
2019-04-24,1.92,2.02
2019-01-23,2.18,2.45
2018-10-24,2.05,2.43
2018-08-02,1.88,2.32
2018-05-03,1.55,1.81
2018-02-01,1.74,1.82
2017-11-02,1.56,1.9
2017-08-03,1.24,1.66
2017-05-04,1.03,0.84
2017-02-02,1.36,1.64
2016-11-03,1.31,1.46
2016-08-04,1.24,1.31
2016-05-05,1.08,1.1
2016-02-04,1.28,1.57
2015-10-29,1.31,1.34
2015-07-30,1.33,1.34
2015-04-30,1.2,1.2
2015-01-29,1.38,1.62
2014-10-23,1.28,1.47
2014-07-24,1.26,1.47
2014-04-23,1.13,1.2
2014-01-23,1.22,1.44
2013-10-24,1.14,1.21
2013-07-25,1.06,1.13
2013-04-24,0.97,1.07
2013-01-24,1.08,1.17
2012-10-25,0.95,1.06
2012-07-26,0.99,1.06
2012-04-25,0.91,0.96
2012-01-26,0.86,0.99
2011-10-27,0.85,0.92
2011-07-28,0.77,1.04
2011-04-27,0.73,0.87
2011-01-27,0.8,0.99
2010-10-28,0.76,0.82
2010-07-29,0.71,0.78
2010-04-29,0.61,0.68
2010-01-28,0.74,0.75
2009-10-22,0.74,0.74
2009-07-23,0.67,0.69
2009-04-22,0.54,0.57
2009-01-22,0.78,0.84
2008-10-23,0.78,0.84
2008-07-24,0.73,0.89
2008-04-23,0.66,0.77
2008-01-24,0.68,0.73
2007-10-25,0.71,0.75
2007-07-26,0.6,0.67
2007-04-25,0.5,0.57
2007-01-25,0.49,0.53
2006-10-26,0.57,0.63
2006-07-27,0.47,0.59
2006-04-26,0.48,0.51
2006-01-26,0.41,0.48
2005-10-27,0.38,0.45
2005-07-28,0.38,0.47
2005-04-27,0.38,0.46
2005-01-27,0.29,0.39
2004-10-28,0.27,0.37
2004-07-29,0.21,0.3
2004-04-28,0.17,0.18
2004-01-29,0.2,0.24
2003-10-23,0.16,0.3
2003-07-24,0.17,0.2
2003-04-23,0.15,0.17
2003-01-30,0.21,0.22
2002-10-24,0.19,0.21
2002-07-25,0.17,0.19
2002-04-24,0.15,0.18
2002-01-24,0.19,0.2
2001-10-25,0.17,0.18
2001-07-26,0.16,0.17
2001-04-25,0.15,0.15
2001-01-25,0.29,0.32
2000-10-26,0.31,0.32
2000-07-27,0.36,0.36
2000-04-27,0.36,0.38
2000-01-27,0.4,0.49
