Date,Open,High,Low,Close,Volume,OpenInterest
2021-04-15,40.25,41.5,32.13,39.3,23167377,0.0
2021-04-16,37.9,40.67,36.11,39.98,6037560,0.0
2021-04-19,39.17,39.4873,34.585,35.225,4163675,0.0
2021-04-20,35.51,36.19,33.5,33.66,3613282,0.0
2021-04-21,34.39,39.51,33.76,37.96,3595972,0.0
2021-04-22,37.85,38.48,37.2012,38.09,1196959,0.0
2021-04-23,38.05,40,38.05,39.5465,1348944,0.0
2021-04-26,39.76,41.27,39.325,40.03,1037938,0.0
2021-04-27,40.25,40.42,38.42,39.53,1145548,0.0
2021-04-28,39.01,40.41,38.91,40.315,420395,0.0
2021-04-29,40.34,40.35,39.2187,39.75,841228,0.0
2021-04-30,38.5,39.2,37.45,38.75,688952,0.0
2021-05-03,38.93,38.985,36.46,37.105,558022,0.0
2021-05-04,36.99,36.98,34.1,35.36,733818,0.0
2021-05-05,35.59,36.09,34.46,35.39,466218,0.0
2021-05-06,35.05,35.93,34.175,35.84,1041203,0.0
2021-05-07,36.98,38.84,36.274,37.28,662893,0.0
2021-05-10,37.63,38.96,36.2,37.01,889723,0.0
2021-05-11,35.78,39.36,35.5,38.05,1026133,0.0
2021-05-12,38.17,38.17,35.14,36.15,1587902,0.0
2021-05-13,36.62,37.39,34.59,34.78,1208451,0.0
2021-05-14,34.96,36.82,34.96,36.8,965121,0.0
2021-05-17,36.8,36.89,34.52,35.96,597197,0.0
2021-05-18,36.08,36.7584,35.62,36.01,597566,0.0
2021-05-19,34.99,36.11,34.42,35.25,269275,0.0
2021-05-20,35.53,37.01,35.53,36.375,397056,0.0
2021-05-21,36.69,37.79,36.44,36.98,255530,0.0
2021-05-24,36.9,37.06,35.675,36.58,247062,0.0
2021-05-25,36.9,37.6871,36.54,36.84,372250,0.0
2021-05-26,37.03,38.16,36.86,38.115,319501,0.0
2021-05-27,38.5,38.58,37.1,37.93,317192,0.0
2021-05-28,37.93,38.5,37.5432,38.34,250431,0.0
2021-06-01,38.8,39.88,36.75,38.16,425724,0.0
2021-06-02,38.28,39.47,38.15,39.09,430158,0.0
2021-06-03,39.02,39.02,37.9414,38.49,555201,0.0
2021-06-04,38.81,39.46,38.65,39.22,372615,0.0
2021-06-07,39.23,39.23,38.18,38.8,220813,0.0
2021-06-08,38.78,45.75,38.5101,45.43,1651150,0.0
2021-06-09,45.94,48.13,43.68,48.04,1083732,0.0
2021-06-10,47.92,48.5,43.845,45.02,741794,0.0
2021-06-11,45.21,50,45.1,49.85,939269,0.0
2021-06-14,50,65.98,49.99,59.41,3543953,0.0
2021-06-15,58.9,59.23,51.615,55.5,2036173,0.0
2021-06-16,54.58,54.7,49.9001,50.29,1081228,0.0
2021-06-17,50.28,56.21,50.135,52.55,1401578,0.0
2021-06-18,52.55,54.25,51.9665,53.19,1335874,0.0
2021-06-21,53.14,53.14,49.54,51.09,731635,0.0
