Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-12,307.55,320,303.2928,310.65,2630175,0.0
2020-05-13,312.52,315.98,285.34,292.59,3462109,0.0
2020-05-14,284.51,297.67,279,296.9,1860953,0.0
2020-05-15,291.5,304.43,290.5,299.9656,2521856,0.0
2020-05-18,310.48,310.97,295.35,296.6875,1845397,0.0
2020-05-19,299.02,301.7,293.515,293.97,1359717,0.0
2020-05-20,301.45,301.99,292,297.11,2391053,0.0
2020-05-21,296.41,308.5,291.73,304.74,3328048,0.0
2020-05-22,307.26,314.9758,302.48,307.6,3070446,0.0
2020-05-26,314.75,314.75,298.2286,299.33,1391567,0.0
2020-05-27,298.5,298.5,269,294.23,2723541,0.0
2020-05-28,291.44,304.31,290.62,298.06,1361369,0.0
2020-05-29,300.6,311.61,299.1101,311.35,1684756,0.0
2020-06-01,310.16,314.16,305.13,310.32,1025164,0.0
2020-06-02,310.01,322.17,305.25,318.1301,2221379,0.0
2020-06-03,320,356.2363,317.4502,354.99,7519702,0.0
2020-06-04,351.01,355.44,333.43,337.17,2123801,0.0
2020-06-05,337,360.42,333,354.21,2218558,0.0
2020-06-08,356.3,360,348.36,358.3999,2638669,0.0
2020-06-09,355.14,370.27,353.46,363.03,2484470,0.0
2020-06-10,365,372.88,361.7882,368.76,1309585,0.0
2020-06-11,352.3,364.37,345.011,347.25,3555660,0.0
2020-06-12,361,363.5,350.95,350.95,487823,0.0
2020-06-15,345.55,373.31,345,370.59,1466994,0.0
2020-06-16,377.35,379.52,367.48,372.02,2643183,0.0
2020-06-17,376.66,395.0423,373.14,382.43,1506411,0.0
2020-06-18,382.55,396.49,381.0301,394.13,3097138,0.0
2020-06-19,400,406.55,391,394.9,1360125,0.0
2020-06-22,403.99,407.48,398.7,402.86,1263576,0.0
2020-06-23,409,421.06,403.62,410.29,1266957,0.0
2020-06-24,409,411.45,388.04,396.05,1791889,0.0
2020-06-25,392.16,410.1,388.47,409.79,1412386,0.0
2020-06-26,410.29,418.97,393.7732,406.8,2290368,0.0
2020-06-29,405.89,407.7167,391.3,406.15,1503871,0.0
2020-06-30,407.4,417.71,404.1819,406.43,1590845,0.0
2020-07-01,407.08,433.24,406.9464,429.0941,2190625,0.0
2020-07-02,436.75,455.81,435.295,442.93,2193603,0.0
2020-07-06,461.51,465.995,441.1,447.2,2647505,0.0
2020-07-07,445,465.32,444.0029,450.53,1224313,0.0
2020-07-08,459.22,465.36,455.55,462.64,1200392,0.0
2020-07-09,470,471.12,444.01,462.96,1734693,0.0
2020-07-10,461.15,462.79,450.6947,462.04,920591,0.0
2020-07-13,468.64,475.67,422.24,430.74,2215772,0.0
2020-07-14,428.99,435,408,432.41,1854297,0.0
2020-07-15,437.76,443.99,424.8,436.33,1411878,0.0
2020-07-16,427.73,432.75,421.13,428.54,1076361,0.0
2020-07-17,430.8,436.83,425.0719,433.05,738286,0.0
2020-07-20,435.75,458.65,432.17,457.66,1068503,0.0
2020-07-21,460.01,461.3499,442.2,443.99,877911,0.0
2020-07-22,445.31,453.99,439.1307,443.02,545489,0.0
2020-07-23,441,451.5,423.0001,424.37,733370,0.0
2020-07-24,413.96,433.4,404,426.06,922082,0.0
2020-07-27,430.06,434.24,417.09,431.93,864135,0.0
2020-07-28,430.07,435.71,419,419.06,569371,0.0
2020-07-29,425.88,432.11,422,427.69,655541,0.0
2020-07-30,423.92,432.9,421.778,429.9503,551941,0.0
2020-07-31,439.61,452,437.3001,451.89,1608858,0.0
2020-08-03,456,478.2,455.01,475.34,889257,0.0
2020-08-04,474.69,483.639,466.6044,481.47,785697,0.0
2020-08-05,481.1,500,480.7588,495.99,958362,0.0
2020-08-06,492.935,494.1,470.5,480.1802,1730296,0.0
2020-08-07,496.02,510,478,492.95,2382388,0.0
2020-08-10,468.72,474.725,456.56,466.69,1665503,0.0
2020-08-11,455.18,463.3913,444.54,445.56,1667328,0.0
2020-08-12,449.9591,467.48,449.9591,459.99,976046,0.0
2020-08-13,465.05,481.865,463.31,471.05,1007024,0.0
2020-08-14,475,480.79,462.45,465.69,646285,0.0
2020-08-17,472.44,477,469,475,536994,0.0
2020-08-18,477.5,484,467,469.25,518903,0.0
2020-08-19,469,470.55,457.61,463.98,587810,0.0
2020-08-20,459.99,472.09,458,470.23,521000,0.0
2020-08-21,468.4,474.01,461.32,461.555,557792,0.0
2020-08-24,467.688,474.75,463.33,466.618,820091,0.0
2020-08-25,463.46,470.78,459.24,469.91,576367,0.0
2020-08-26,473.45,491,473.45,480.875,927484,0.0
2020-08-27,479.86,484.8757,465.47,474.1,861011,0.0
2020-08-28,476.08,494.7371,474.61,485.78,806811,0.0
2020-08-31,486.2,490.34,475.26,481.12,572381,0.0
2020-09-01,486.66,502.24,484,501.97,809409,0.0
2020-09-02,512.1,515.2,478.485,515,1670105,0.0
2020-09-03,495.5318,500.17,458,464.64,1498232,0.0
2020-09-04,456.24,467.62,411.23,441.16,2279990,0.0
2020-09-08,417,439.8,412,420,854317,0.0
2020-09-09,434.117,439.71,423.06,432.99,706152,0.0
2020-09-10,448.19,453.68,425.11,426.775,704910,0.0
2020-09-11,432.16,435.8689,408.53,419.12,688128,0.0
2020-09-14,426.45,432.54,420.38,427.16,506526,0.0
2020-09-15,442.07,449,434.4,445.62,793929,0.0
2020-09-16,444.54,457.5091,440.405,441.08,659271,0.0
2020-09-17,423.01,429.48,413.5,428.77,1096886,0.0
2020-09-18,434.2,438.19,423.92,435.69,755487,0.0
2020-09-21,423.51,462.48,422.9608,461.59,1099323,0.0
2020-09-22,466.9545,468.77,450.17,468.05,751785,0.0
2020-09-23,465.38,472.49,455.725,457.26,654874,0.0
2020-09-24,449.57,460.207,437.17,453.3,830324,0.0
2020-09-25,455.82,476.204,448.2701,473.17,684825,0.0
2020-09-28,480.04,488.65,477,487.84,519820,0.0
2020-09-29,488.52,506.75,488.38,498.76,1161922,0.0
2020-09-30,496.61,520.385,495.01,518.79,998542,0.0
2020-10-01,529.99,556.7447,526.01,555.18,1530811,0.0
2020-10-02,535.9502,569.93,532.34,556.34,1255146,0.0
2020-10-05,566.63,575.49,562.27,573.92,732312,0.0
2020-10-06,573,597.5,572.75,585.97,1085726,0.0
2020-10-07,594.99,608.3999,586.29,593.45,1135671,0.0
2020-10-08,603.49,607.7,592.17,605.3879,655279,0.0
2020-10-09,604.01,620.8899,602.1,613.26,746408,0.0
2020-10-12,621.99,628.65,610.04,626.64,688590,0.0
2020-10-13,624.66,652.65,623.4,651.15,744590,0.0
2020-10-14,667,675,642.075,653.85,1613081,0.0
2020-10-15,624,632.11,596.32,600.145,2227537,0.0
2020-10-16,612.22,617.97,597.22,605,1270213,0.0
2020-10-19,608.59,626.34,606.83,618.5,730247,0.0
2020-10-20,624.01,629.6199,610.2811,612,571258,0.0
2020-10-21,622.7,646,617.1,624.67,959501,0.0
2020-10-22,623.09,626.76,601.6815,606.61,730292,0.0
2020-10-23,611.5,620.5,596.0419,619.92,576356,0.0
2020-10-26,611.97,631.4,596.25,608.32,518605,0.0
2020-10-27,614.99,621.38,606.66,613,393165,0.0
2020-10-28,600.2,601.196,585.38,596.49,547678,0.0
2020-10-29,603.83,623.99,599.76,618.86,511445,0.0
2020-10-30,612.08,616.7441,562.13,566.25,1029712,0.0
2020-11-02,571.54,571.6,543.46,559.16,802686,0.0
2020-11-03,565.01,589.5,560.47,585.67,563878,0.0
2020-11-04,610,647.95,606.01,632.42,1120092,0.0
2020-11-05,651.62,664.375,642.27,645.63,1175168,0.0
2020-11-06,731.41,847.5,725.3,818.67,4379762,0.0
2020-11-09,800,819.34,759.06,761.38,1444261,0.0
2020-11-10,765,769.975,697.36,707.36,1493670,0.0
2020-11-11,726.5,748.88,712.56,742.99,1102842,0.0
