Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,32.49,33.1499,32.37,32.45,549840,0.0
2020-12-07,32.44,33.6,32.39,32.44,832128,0.0
2020-12-08,32.44,32.94,32.16,32.65,892285,0.0
2020-12-09,33,34.05,32.6,32.66,872223,0.0
2020-12-10,32.28,34.435,31.98,34.3,639748,0.0
2020-12-11,34.29,35.17,33.15,33.78,668187,0.0
2020-12-14,34,37.5,34,36.83,1926951,0.0
2020-12-15,36.63,37,35.55,35.81,1309136,0.0
2020-12-16,36.09,36.87,35.88,36.4,913655,0.0
2020-12-17,36.89,38.26,36.54,37.52,1183619,0.0
2020-12-18,37.73,39.13,37.63,39.04,1019409,0.0
2020-12-21,38.14,41.2,37.94,40.05,1465035,0.0
2020-12-22,40.19,42.58,40.06,41.77,1135689,0.0
2020-12-23,41.99,43.71,41.79,42.61,1058494,0.0
2020-12-24,42.28,43,41.13,42.02,520051,0.0
2020-12-28,42.69,43.21,40.31,40.4,706215,0.0
2020-12-29,40.41,40.71,38.51,39.54,837711,0.0
2020-12-30,40.11,42.7438,40.042,40.81,1025089,0.0
2020-12-31,40.94,41.99,39.69,40.08,786027,0.0
2021-01-04,40.5,40.65,37.95,39.1,1151174,0.0
2021-01-05,38.91,41.13,38.765,40.95,1118884,0.0
2021-01-06,39.77,40.93,39.02,39.33,899900,0.0
2021-01-07,39.69,41.96,39.5167,41.55,943583,0.0
2021-01-08,41.8,45.56,41.74,44.05,1928201,0.0
2021-01-11,43.28,44.9,41.88,43.4,681571,0.0
2021-01-12,43.1,44.7499,42.6,43.76,609895,0.0
2021-01-13,43.45,44.71,43.355,43.43,565299,0.0
2021-01-14,43.52,46.7,43.5,44.07,943960,0.0
2021-01-15,44.3,45.35,42.2,42.72,824065,0.0
2021-01-19,43.8,44.64,43,43.86,974909,0.0
2021-01-20,44.68,46.07,44.51,44.52,911182,0.0
2021-01-21,44.54,46.39,44.14,44.66,831396,0.0
2021-01-22,44.53,45.78,43.72,44,602930,0.0
2021-01-25,44.88,45.71,42.33,43.2,899055,0.0
2021-01-26,43.32,44.5899,42.64,42.75,656352,0.0
2021-01-27,41.115,41.97,40.17,40.19,1808479,0.0
2021-01-28,40.99,42.31,40.13,41.03,1318571,0.0
2021-01-29,41,41.8,39.72,40.88,1070887,0.0
2021-02-01,41.78,42.83,41.5401,42.21,732406,0.0
2021-02-02,43.32,46.08,43,45.41,1222013,0.0
2021-02-03,46.01,46.8,45.06,45.93,1155076,0.0
2021-02-04,46.19,47.39,45.45,45.74,861522,0.0
2021-02-05,46.675,47.33,45.85,46.31,561648,0.0
2021-02-08,46.815,47.635,46.32,46.48,976530,0.0
2021-02-09,46.86,48.58,46.74,46.83,1111120,0.0
2021-02-10,47.99,50.25,47.71,48,1779772,0.0
2021-02-11,48.76,50.12,47.89,49.26,1157459,0.0
2021-02-12,52.74,56.47,52.14,55.52,2783749,0.0
2021-02-16,56.42,59.74,54.38,54.42,2464405,0.0
2021-02-17,53.415,55.3899,51.2,53,1671542,0.0
2021-02-18,51.23,52.06,49.9479,50.67,1133776,0.0
2021-02-19,51.28,51.81,50.03,51.39,912508,0.0
2021-02-22,51.1,52.25,47.97,48.35,1465917,0.0
2021-02-23,45.51,46.17,41.24,44.88,3713882,0.0
2021-02-24,45.12,46.54,42.89,44.74,1460713,0.0
2021-02-25,44.84,46.21,41.16,41.32,1249058,0.0
2021-02-26,41.45,42.22,39.2,39.63,2270424,0.0
2021-03-01,41.33,43.43,41.2,41.74,2031928,0.0
2021-03-02,41.94,42.54,40.09,40.7,913191,0.0
2021-03-03,40.59,40.63,36.28,36.8,3122635,0.0
2021-03-04,35.92,37.47,34.2,35.54,2593496,0.0
2021-03-05,35.17,36.5,31.21,35.53,3830350,0.0
2021-03-08,35.41,35.71,32.901,34.21,2690076,0.0
2021-03-09,36.54,38.24,35.88,36.98,2262908,0.0
2021-03-10,38.75,39.345,36.8,37.3,1239266,0.0
2021-03-11,39.06,40.83,38.21,40.44,1596942,0.0
2021-03-12,39.65,40.22,37.89,38.53,1312725,0.0
2021-03-15,38.16,38.43,35.46,38.41,1417788,0.0
2021-03-16,38.9,39.14,36.839,37.69,1050314,0.0
2021-03-17,37.25,38.79,36.21,38.17,1233887,0.0
2021-03-18,36.38,37.85,35.76,35.9,1722342,0.0
2021-03-19,35.94,37.12,35.11,36.8,1838363,0.0
2021-03-22,36.82,38.78,36.8,38.21,1247563,0.0
2021-03-23,38.72,39.3,37.91,38.66,1283419,0.0
2021-03-24,39.08,39.87,37.45,38.11,1935042,0.0
2021-03-25,37.45,39.25,36.08,39.02,1598960,0.0
2021-03-26,38.98,39.46,37.16,38.43,1017134,0.0
2021-03-29,38.3,38.56,36.1,37.68,1359872,0.0
2021-03-30,37.41,37.7299,36.5,37.07,1251927,0.0
2021-03-31,37.77,39.36,37.66,38.21,2115906,0.0
2021-04-01,38.8,41.23,38.8,40.49,1111978,0.0
