Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,144.48,145.72,140.79,141.6,652831,8669,141.945207
2021-01-04,141.61,142.93,137.85,140.56,808891,15315,140.04014
2021-01-05,140.65,142.05,138.86,141.65,405200,8616,140.452095
2021-01-06,142.03,143.0,137.771,140.25,2757888,18292,139.122916
2021-01-07,146.73,158.99,146.06,158.79,1710874,27851,155.377241
2021-01-08,161.0,162.0,154.06,159.37,1291051,18139,157.386503
2021-01-11,160.0,170.89,156.8001,167.5,881248,17310,165.326114
2021-01-12,162.51,168.55,161.67,167.69,616342,13079,166.748668
2021-01-13,167.94,178.4,166.57,175.52,631151,12069,174.876207
2021-01-14,176.0,184.13,175.44,179.89,724189,13088,180.58018
2021-01-15,181.17,184.1689,175.45,179.67,550774,10670,179.497252
2021-01-19,177.95,182.98,174.08,182.22,998198,17395,179.242334
2021-01-20,183.83,191.24,178.0,181.04,776828,16457,183.069702
2021-01-21,183.63,186.295,178.2,185.53,701102,11710,183.607444
2021-01-22,185.3,189.23,183.38,187.0,571331,8519,186.707086
2021-01-25,188.67,190.0,179.1,183.25,443876,10201,184.533837
2021-01-26,182.99,182.99,171.5,171.75,776690,13134,175.392386
2021-01-27,170.0,172.59,161.13,163.22,725249,15709,166.792948
2021-01-28,168.03,180.0,166.48,173.32,584690,11713,173.373658
2021-01-29,172.86,178.45,168.7287,171.15,559332,12445,172.267678
2021-02-01,175.44,179.68,172.87,176.83,897126,16082,176.24041
2021-02-02,180.0,184.66,179.04,182.56,765763,15534,181.934576
2021-02-03,185.06,187.99,178.3,180.87,485986,11378,181.223291
2021-02-04,182.26,184.83,179.9,181.84,278435,8238,182.101945
2021-02-05,183.92,185.8,179.53,185.54,414722,9681,183.502768
2021-02-08,187.27,187.5974,180.07,181.7,677709,13956,182.943107
2021-02-09,183.13,187.63,182.37,182.78,547716,10500,185.322651
2021-02-10,186.07,192.45,180.03,185.28,494212,11194,186.773619
2021-02-11,185.64,190.28,184.73,190.12,437538,10005,189.018265
2021-02-12,190.21,198.0,188.115,196.86,507157,10212,195.384719
2021-02-16,200.0,201.7,188.88,192.43,643652,16072,193.665198
2021-02-17,191.43,191.43,181.84,187.55,456108,12841,185.81597
2021-02-18,183.44,188.82,176.16,186.37,962189,19097,183.38878
2021-02-19,191.45,195.0,188.44,190.73,651289,13394,191.096725
2021-02-22,185.01,189.97,177.65,178.7,775222,17063,183.100752
2021-02-23,173.71,179.55,165.33,176.09,836383,22087,172.298753
2021-02-24,176.67,184.95,174.52,179.43,585950,15858,180.107881
2021-02-25,177.11,180.0,168.69,173.1,607006,15904,174.253438
2021-02-26,175.52,179.49,169.6083,177.99,802687,16597,176.522307
2021-03-01,179.38,187.11,178.01,186.75,897481,16438,183.777338
2021-03-02,188.26,193.82,185.57,186.72,904793,13905,189.183132
2021-03-03,185.36,187.3984,171.19,173.21,663339,18047,175.362048
2021-03-04,171.55,173.665,146.3801,147.4,1418478,30659,155.635417
2021-03-05,150.72,157.0376,140.845,155.58,1612320,37419,150.225098
2021-03-08,154.82,155.0,140.5557,141.09,1134466,21892,145.579181
2021-03-09,146.37,152.9,145.35,150.61,999591,19060,150.002347
2021-03-10,155.0,158.54,150.91,151.58,740049,13556,153.151089
2021-03-11,157.28,165.79,156.8,164.63,583518,12415,162.232351
2021-03-12,158.78,160.99,153.815,160.02,540532,14070,157.667213
2021-03-15,163.38,172.17,161.0,169.5,966031,15055,168.748684
2021-03-16,170.2,172.645,165.19,168.77,766114,13048,169.001603
2021-03-17,165.14,174.95,163.7169,170.19,811483,14279,170.209146
2021-03-18,166.89,173.4,166.04,168.51,949973,15760,169.403437
2021-03-19,170.67,180.06,166.15,177.76,1379276,16400,176.308174
2021-03-22,176.55,181.505,174.81,179.21,757416,13590,179.361921
2021-03-23,178.37,179.24,172.6,174.16,343839,8607,174.210139
2021-03-24,173.13,176.09,168.19,169.05,592107,15227,170.618773
2021-03-25,165.53,168.0,157.55,166.21,792359,16026,162.650292
2021-03-26,166.77,171.2,160.641,166.09,492209,13497,165.975501
2021-03-29,166.31,168.9,157.5995,161.53,565202,13563,161.481924
2021-03-30,160.71,169.78,158.68,168.22,516266,12449,167.318396
2021-03-31,171.0,183.185,170.71,181.0,862267,13045,180.219021
2021-04-01,181.56,186.17,176.52,185.79,855524,18844,184.339774
2021-04-05,188.16,191.16,185.42,190.71,443682,10752,188.728154
2021-04-06,190.7,199.49,189.58,197.24,861860,17449,195.949582
2021-04-07,190.2165,193.9099,182.31,185.34,1149407,22735,185.217907
2021-04-08,189.25,192.885,187.53,190.24,806008,13336,190.336186
2021-04-09,188.92,194.96,186.65,194.64,504000,10812,192.301582
2021-04-12,192.52,193.1129,180.16,188.43,860372,12508,186.419629
2021-04-13,187.98,198.24,187.36,197.35,618124,14026,195.017516
2021-04-14,196.61,203.2,190.33,192.5,607536,12063,196.613978
2021-04-15,196.73,197.89,192.0,196.37,401322,8835,195.928984
