Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,238.0,242.5,236.93,239.61,1331165,19691,240.346748
2021-01-04,240.0,240.68,224.4,228.08,3332830,46218,228.582216
2021-01-05,226.57,227.305,223.52,225.36,2773796,29478,225.360207
2021-01-06,221.75,224.89,217.8494,220.0,2292580,34349,221.177982
2021-01-07,222.61,228.0,222.61,226.21,1939027,25669,226.291627
2021-01-08,226.0,229.43,224.84,227.65,1700414,23588,227.137752
2021-01-11,226.95,229.91,224.075,228.83,1655068,20698,228.408348
2021-01-12,229.16,229.56,222.53,225.62,1345061,19198,225.876634
2021-01-13,228.0,231.695,227.05,229.07,1709270,19676,229.559646
2021-01-14,230.44,235.6875,227.02,227.33,1429832,22574,230.540865
2021-01-15,231.98,231.98,222.35,222.56,2249640,29179,224.791734
2021-01-19,223.5,225.65,218.23,221.04,2015710,28259,221.277991
2021-01-20,223.91,228.68,221.25,226.79,2608179,27284,226.491489
2021-01-21,228.0,231.97,225.59,229.39,1500945,18896,229.445968
2021-01-22,231.19,236.06,230.53,235.53,1792017,28535,234.349829
2021-01-25,237.59,240.6,230.35,234.99,1999956,32212,234.619098
2021-01-26,235.23,236.56,232.73,235.6,1701534,23207,234.841546
2021-01-27,229.17,232.465,221.265,223.45,2509439,36210,225.807301
2021-01-28,223.56,230.215,221.7979,228.56,2054384,27998,227.497731
2021-01-29,225.61,228.985,222.8,227.53,2835890,35715,226.20201
2021-02-01,228.52,241.65,228.52,236.69,4139262,39137,236.857403
2021-02-02,238.9,259.1,237.71,257.76,5657290,60596,254.363154
2021-02-03,253.71,261.62,253.37,258.63,3607304,40841,259.374392
2021-02-04,259.0,265.5,258.27,264.19,1723522,25537,262.867709
2021-02-05,264.19,266.18,261.28,263.95,1852525,21655,263.772014
2021-02-08,269.0,273.34,268.53,272.79,2107935,27969,271.62768
2021-02-09,270.22,275.87,267.43,275.37,1588872,22372,273.178839
2021-02-10,275.71,277.41,272.2,274.09,1259752,19655,274.394636
2021-02-11,274.43,278.14,273.68,275.99,1557379,16260,275.483308
2021-02-12,276.83,282.11,273.99,281.36,1793301,21172,280.107785
2021-02-16,280.15,282.77,272.21,274.87,2376524,28603,275.797389
2021-02-17,268.08,272.6762,266.09,271.05,1644976,20893,270.311309
2021-02-18,268.71,274.31,266.44,272.79,1445769,20459,271.045039
2021-02-19,274.93,277.13,273.81,276.34,1366215,20459,275.723307
2021-02-22,271.37,273.39,266.55,269.95,1846884,30059,270.438763
2021-02-23,260.59,265.51,254.17,261.73,1943625,35333,260.349738
2021-02-24,261.15,263.165,255.23,262.78,1912056,25309,260.260106
2021-02-25,261.0,264.94,249.58,251.19,2311554,38230,254.601082
2021-02-26,251.18,258.67,242.815,245.18,4430156,61069,247.273958
2021-03-01,248.67,253.52,244.75,252.8,2848348,36743,250.546825
2021-03-02,256.78,256.78,247.74,247.96,1333635,25920,250.242919
2021-03-03,245.83,246.65,235.88,236.7,1868275,31544,239.6106
2021-03-04,234.675,237.18,226.435,230.35,2396492,41561,231.078102
2021-03-05,234.53,237.58,222.53,237.02,2699737,46610,232.683009
