Date,Open,High,Low,Close,Volume,OpenInterest
2021-04-22,40.3,41.15,35.65,37.54,5174615,0.0
2021-04-23,36,40.88,35.75,39.94,1376954,0.0
2021-04-26,39.27,44.97,39.2501,43.01,720970,0.0
2021-04-27,43.71,46.48,43.5554,45.48,553050,0.0
2021-04-28,45.51,50.72,45.245,48.41,825191,0.0
2021-04-29,49.44,52,48,48.31,427836,0.0
2021-04-30,48,50.46,45.21,46.38,226797,0.0
2021-05-03,46.07,48.98,42.62,42.94,303519,0.0
2021-05-04,43.03,46.83,41.13,45.01,361311,0.0
2021-05-05,45.69,47.95,45.1,47,233863,0.0
2021-05-06,47.45,47.45,40.12,41.16,538007,0.0
2021-05-07,41.84,43.29,41.16,42.94,136340,0.0
2021-05-10,44.35,44.38,35.8,35.84,243716,0.0
2021-05-11,34.65,36.37,32.22,34.19,499481,0.0
2021-05-12,34.04,34.5273,31,33.36,578252,0.0
2021-05-13,33.36,34.1799,25.75,28.5,681558,0.0
2021-05-14,29.99,32.1561,29.6,31.9,363603,0.0
2021-05-17,32.27,35.72,32.2245,35,668562,0.0
2021-05-18,35.52,38.35,35.16,36.455,604997,0.0
2021-05-19,35.6,37.1676,34.6,35.9,668021,0.0
2021-05-20,36.18,37.79,35.69,36.17,247528,0.0
2021-05-21,36.63,37.4609,34.7601,34.945,260270,0.0
2021-05-24,35.13,35.955,33.13,33.74,334334,0.0
2021-05-25,33.87,35.095,33.87,34.62,304788,0.0
2021-05-26,34.93,35.56,34.55,34.92,248383,0.0
2021-05-27,35.01,35.3,33.2,33.5,107130,0.0
2021-05-28,33.85,34.38,32.31,32.59,227501,0.0
2021-06-01,33,34.745,33,34.3,416976,0.0
2021-06-02,34.32,35.55,34.165,34.83,261666,0.0
2021-06-03,34.97,35.94,33.61,34.458,176530,0.0
2021-06-04,34.83,35,33.8706,34.94,102192,0.0
2021-06-07,35.5,36,35.02,35.47,181819,0.0
2021-06-08,35.87,36.8299,35.19,36.04,255574,0.0
2021-06-09,36.57,40.915,36.26,40.75,299082,0.0
2021-06-10,41,43.52,40.31,43.35,243242,0.0
2021-06-11,43.8,44.9999,43.2,44.03,215677,0.0
2021-06-14,44.35,46.05,44.35,45.37,362702,0.0
2021-06-15,45.82,45.985,41.7,43.8,301973,0.0
2021-06-16,43.72,45.49,43.68,44.97,504945,0.0
2021-06-17,44.19,45.5,43.22,43.75,472753,0.0
2021-06-18,43.23,45.3,43.23,44.61,392677,0.0
2021-06-21,44.76,45.39,43.56,44.535,212408,0.0
2021-06-22,44.79,45.5,43.2149,44.12,201925,0.0
