Date,Estimate,Actual
2022-01-25,None,None
2021-10-27,None,None
2021-07-27,1.01,None
2021-04-28,0.99,1.4
2021-01-27,1.41,1.68
2020-10-29,0.7,0.73
2020-07-30,0.51,0.65
2020-04-30,0.56,0.64
2020-01-28,1.14,1.25
2019-10-30,0.71,0.76
2019-07-30,0.53,0.55
2019-04-30,0.59,0.62
2019-01-29,1.04,1.05
2018-11-01,0.7,0.73
2018-07-31,2.18,2.34
2018-05-01,2.67,2.73
2018-02-01,3.86,3.89
2017-11-02,1.87,2.07
2017-08-01,1.57,1.67
2017-05-02,2.02,2.1
2017-01-31,3.21,3.36
2016-10-25,1.66,1.67
2016-07-26,1.38,1.42
2016-04-26,2,1.9
2016-01-26,3.23,3.28
2015-10-27,1.88,1.96
2015-07-21,1.81,1.85
2015-04-27,2.16,2.33
2015-01-27,2.6,3.06
2014-10-20,1.31,1.42
2014-07-22,1.23,1.28
2014-04-23,1.46,1.66
2014-01-27,2.01,2.07
2013-10-28,1.14,1.18
2013-07-23,1.05,1.07
2013-04-23,1.43,1.44
2013-01-23,1.92,1.97
2012-10-25,1.25,1.24
2012-07-24,1.48,1.33
2012-04-24,1.43,1.76
2012-01-24,1.45,1.98
2011-10-18,1.06,1.01
2011-07-19,0.83,1.11
2011-04-20,0.77,0.91
2011-01-18,0.77,0.92
2010-10-18,0.58,0.66
2010-07-20,0.44,0.5
2010-04-20,0.35,0.48
2010-01-25,0.3,0.52
2009-10-19,0.2,0.26
2009-07-21,0.17,0.19
2009-04-22,0.16,0.19
2009-01-21,0.2,0.25
2008-10-21,0.16,0.18
2008-07-21,0.15,0.17
2008-04-23,0.15,0.17
2008-01-22,0.23,0.25
2007-10-22,0.12,0.14
2007-07-25,0.1,0.13
2007-04-25,0.09,0.12
2007-01-17,0.11,0.16
2006-10-18,0.07,0.09
2006-07-19,0.06,0.08
2006-04-19,0.06,0.07
2006-01-18,0.09,0.09
2005-10-11,0.05,0.05
2005-07-13,0.04,0.05
2005-04-13,0.03,0.05
2005-01-12,0.03,0.05
2004-10-13,0.01,0.02
2004-07-14,0.01,0.01
2004-04-14,0.01,0.01
2004-01-14,0.01,0.01
2003-10-15,0,0.01
2003-07-16,0,0
2003-04-16,0,0
2003-01-15,0,0
2002-10-16,0,0
2002-07-16,0.01,0.01
2002-01-16,0.01,0.01
2001-04-18,0,0.01
2000-07-18,0.03,0.03
2000-04-19,0.03,0.03
2000-01-19,0.03,0.04
1999-10-13,0.02,0.02
1999-07-14,0.02,0.02
1999-04-14,0.02,0.02
1999-01-13,0.02,0.03
1998-10-14,0.02,0.02
1998-07-15,0.01,0.02
1998-04-15,0.01,0.01
1998-01-14,0.01,0.01
1997-07-16,-0.02,-0.02
1997-04-16,-0.04,-0.05
1997-01-15,-0.02,-0.03
1996-10-16,-0.01,0
1996-07-17,-0.04,-0.02
1996-04-17,-0.05,-0.07
1996-01-17,-0.01,-0.02
1995-10-18,0.02,0.02
