Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,86.92,88.92,86.65,88.89,5070762,0.0
2020-12-07,89.27,89.46,87.8225,89.15,4676079,0.0
2020-12-08,89.23,90.26,89.04,89.74,3713614,0.0
2020-12-09,89.565,90.1,87.18,87.81,5593371,0.0
2020-12-10,87,88.61,86.46,87.88,4532115,0.0
2020-12-11,87.05,88.59,86.59,88.31,4834163,0.0
2020-12-14,88.4993,90.52,88.32,88.5,5306768,0.0
2020-12-15,89.9,90.605,87.95,88.51,5054628,0.0
2020-12-16,88.31,89.25,87.29,88.54,3313519,0.0
2020-12-17,89.125,89.24,87.13,87.47,3737268,0.0
2020-12-18,87.66,88.15,85.3366,86.1,6661423,0.0
2020-12-21,84.385,86.53,83.8,86.42,3972950,0.0
2020-12-22,86.55,86.61,85.54,85.63,3406492,0.0
2020-12-23,86.3,86.5,83.96,84.03,3646195,0.0
2020-12-24,84.74,85.39,84.2,85.33,1184021,0.0
2020-12-28,86.3665,86.74,84.56,84.88,2652198,0.0
2020-12-29,85.02,85.1197,83.53,84.26,2519024,0.0
2020-12-30,85.38,87.57,85.16,86.98,5837782,0.0
2020-12-31,86.99,87.06,85.17,86.26,4928735,0.0
2021-01-04,87.24,89.3,86.15,86.87,6569399,0.0
2021-01-05,86.4,89.62,86.4,89.61,5917088,0.0
2021-01-06,88.29,91.9,88.28,90.83,8178419,0.0
2021-01-07,92.1265,95.0599,91.99,94.57,7545334,0.0
2021-01-08,96.29,97.8,94.8799,95.57,7955703,0.0
2021-01-11,94.62,98.3,94.18,97.97,6548707,0.0
2021-01-12,98.53,100.87,98.2,100.01,6204285,0.0
2021-01-13,100.49,100.49,97.96,98.04,4433132,0.0
2021-01-14,102.83,106.6,102.7,105.81,10548388,0.0
2021-01-15,105.16,105.42,101.15,103.15,7243103,0.0
2021-01-19,105.1,109.58,104.39,109.23,8019755,0.0
2021-01-20,110.11,110.875,105.16,107.84,8949721,0.0
2021-01-21,109.11,109.28,106.27,107.98,5689681,0.0
2021-01-22,108.0532,109.7536,106.25,106.28,5321443,0.0
2021-01-25,107.51,110.1,107,108.17,7626234,0.0
2021-01-26,108.8503,108.895,105.27,105.53,4913899,0.0
2021-01-27,102.1,104.06,98.08,98.48,8226052,0.0
2021-01-28,101.19,103.35,99.97,101.15,6251681,0.0
2021-01-29,100.23,100.46,96.07,96.64,6786915,0.0
2021-02-01,99.246,102.15,97.68,101.16,7380065,0.0
2021-02-02,102.99,103.94,101.77,103.59,4249294,0.0
2021-02-03,104.32,104.41,99.82,99.82,4700972,0.0
2021-02-04,100.21,103.73,100.21,103.26,5738655,0.0
2021-02-05,104.855,105.2,100.69,100.7,4967626,0.0
2021-02-08,101.85,106.25,101.76,106.2,5521602,0.0
2021-02-09,106.2067,107.36,104.7805,105.37,4115018,0.0
2021-02-10,106.94,108.2,105.03,105.87,4568195,0.0
2021-02-11,107.4336,114.3,107.29,112.99,11329021,0.0
2021-02-12,113,117.82,111.69,116.7,7481019,0.0
2021-02-16,118.51,121.132,117.69,118.31,8083553,0.0
2021-02-17,116.46,117.06,112.09,115.64,6742844,0.0
2021-02-18,114,115.63,112.44,113.29,7019375,0.0
2021-02-19,121.61,124.5,118.9,119.6,19594318,0.0
2021-02-22,117.97,119.8699,114.62,115.23,6658863,0.0
2021-02-23,112.86,117.8,110.69,116.14,8870482,0.0
2021-02-24,115.05,123.02,114.42,122.82,8876366,0.0
2021-02-25,121.17,121.22,113.6,113.85,9842083,0.0
2021-02-26,116.53,120.25,113.44,118.19,8888553,0.0
2021-03-01,121.18,122.48,119.46,122.35,5989679,0.0
2021-03-02,121.84,121.91,117.235,117.5,5369145,0.0
2021-03-03,118.28,119.85,115.1,115.46,6388950,0.0
2021-03-04,115.3384,116.49,107.13,108.13,11337063,0.0
2021-03-05,111.59,114.34,105.65,113.48,8313886,0.0
2021-03-08,112.8,114.12,105.5,105.63,10861476,0.0
2021-03-09,110.26,114.95,109.41,114.26,10017153,0.0
2021-03-10,115.8,116.5,112.58,112.65,8234014,0.0
2021-03-11,117.26,117.85,115.64,117.25,5837654,0.0
2021-03-12,114.55,116.45,113.33,114.3,6098705,0.0
2021-03-15,114.63,115.43,113.1,114.88,5997390,0.0
2021-03-16,117.03,121.2714,116.92,118.52,9516223,0.0
2021-03-17,116.19,121.14,114.9,119.94,6308143,0.0
2021-03-18,117.86,118.78,114.11,114.23,7713823,0.0
2021-03-19,114.51,117.06,112.14,114.75,7456443,0.0
2021-03-22,117.6048,121.48,116.97,119.41,9767041,0.0
2021-03-23,119.91,120.2,115.56,116.43,6973141,0.0
2021-03-24,122.65,125.8,120.42,121.01,18697891,0.0
2021-03-25,118.76,120.48,116.22,119.72,9635930,0.0
2021-03-26,119.67,128.98,119.1722,128.72,12267059,0.0
2021-03-29,127.04,127.83,123.47,125.75,8725631,0.0
2021-03-30,124.89,127.9,123.858,126.54,6953189,0.0
2021-03-31,129.97,135.5,129,133.62,15977531,0.0
2021-04-01,138.14,142.36,137.2009,141.6,14627000,0.0
2021-04-05,145.56,146,141.74,143.11,13127161,0.0
2021-04-06,143.88,145.3,136.95,139.58,16852545,0.0
2021-04-07,140.41,141.87,136.82,139.11,12371389,0.0
2021-04-08,140.58,141.6828,138.21,139.35,8893335,0.0
2021-04-09,138.32,140.18,137.49,138.92,7822348,0.0
2021-04-12,137.86,138.73,134.515,134.98,10214291,0.0
2021-04-13,136.626,136.99,133.2,135.1,7301255,0.0
2021-04-14,134.67,137.14,133.24,134.15,6939894,0.0
2021-04-15,135.95,136.14,132.85,134.41,7284334,0.0
2021-04-16,133.73,134.74,133.01,133.73,6740226,0.0
2021-04-19,133.35,135.28,128.7,130.87,11041653,0.0
2021-04-20,129.3833,131.67,128.31,128.65,6788397,0.0
2021-04-21,130.08,135.16,129,135.06,10801581,0.0
2021-04-22,134.79,135.74,130.45,131.75,10390627,0.0
2021-04-23,133.49,135.17,132.75,134.85,6872031,0.0
2021-04-26,134.86,138.67,134.2,137.28,6626674,0.0
2021-04-27,138.04,138.25,135.55,136.79,4467295,0.0
2021-04-28,136.87,136.915,134.57,135.73,5439394,0.0
2021-04-29,137.21,137.6,133.09,135.39,6032959,0.0
2021-04-30,132.22,134.4,131.4,132.72,6716248,0.0
2021-05-03,134.23,135.61,131.7,132.85,7017154,0.0
2021-05-04,130,130.68,125.32,128.7,12726772,0.0
2021-05-05,131.64,132.52,128.76,130.28,6330625,0.0
2021-05-06,129.6,131.89,127.76,131.74,6304820,0.0
2021-05-07,132.56,134.095,131.64,132.95,6611817,0.0
2021-05-10,131.915,131.915,124.51,124.61,9155867,0.0
2021-05-11,119.99,124.34,117.62,123.55,14270534,0.0
2021-05-12,119.56,121.01,114.39,114.92,16989773,0.0
2021-05-13,118.41,121.47,117.89,119.89,12629425,0.0
2021-05-14,121.78,125.8,120.26,124.84,10675644,0.0
2021-05-17,122.01,123.62,120.37,123.56,7088337,0.0
2021-05-18,125.14,125.388,121.69,121.81,5955769,0.0
2021-05-19,118.42,125.08,117.79,124.88,9093527,0.0
2021-05-20,126.61,130.67,125.24,130.27,15661000,0.0
2021-05-21,129.85,130.6899,127.02,128.65,13096987,0.0
2021-05-24,130.13,135.63,129.59,134.58,10372276,0.0
2021-05-25,136.48,139.15,135.94,137.5,10966038,0.0
2021-05-26,137.91,138.97,136.21,136.91,8832827,0.0
2021-05-27,135.936,138.19,135.84,137.99,5994761,0.0
2021-05-28,139.1,139.46,137.82,138.13,5352486,0.0
2021-06-01,138.98,142.12,137.26,138.2,8172772,0.0
2021-06-02,138.1,140.36,136.92,139.01,5701164,0.0
2021-06-03,137.13,138.03,135.09,136.38,7450791,0.0
2021-06-04,137.8,140.85,137.62,139.86,5760286,0.0
2021-06-07,139.22,139.69,138.19,138.97,4654583,0.0
2021-06-08,140.34,140.75,135.24,135.849,7075776,0.0
2021-06-09,136.85,137.47,134.57,134.68,5859583,0.0
2021-06-10,135.89,138.17,135.3,137.17,4925484,0.0
2021-06-11,136.82,137.15,135.23,136.81,4774587,0.0
2021-06-14,136.78,139.55,135.75,139.03,5422810,0.0
2021-06-15,139.04,140.61,138.2,138.65,5185532,0.0
2021-06-16,139.7,140.29,136.04,136.94,6655442,0.0
2021-06-17,136.48,138.65,135.05,137.3,6655658,0.0
2021-06-18,135.05,136.26,130.63,131.08,9407358,0.0
2021-06-21,131.21,133.58,130.3171,133.04,4936932,0.0
2021-06-22,132.82,134.44,131.6,133.44,4904434,0.0
2021-06-23,134.32,136.21,134.28,135.51,5586652,0.0
2021-06-24,137,138.47,136.71,138.26,5287684,0.0
2021-06-25,138.48,139.2098,135.38,136.19,5258933,0.0
2021-06-28,138.54,141.42,137.93,140.99,6078573,0.0
2021-06-29,140.79,142.79,140.39,141.92,4703069,0.0
2021-06-30,141.93,142.64,140.07,142.39,4520377,0.0
2021-07-01,141.7,142.19,137.59,137.92,6987365,0.0
2021-07-02,139.51,140.52,137.52,138.17,4589545,0.0
2021-07-06,139.41,141.1099,134.82,136.73,5827660,0.0
2021-07-07,138.49,138.7398,134.02,134.87,5122728,0.0
2021-07-08,131.64,134.39,129.7201,132.54,7020669,0.0
2021-07-09,133.415,135.38,132.085,134.9,4629230,0.0
2021-07-12,136.2,137.03,134.67,136.79,4320858,0.0
2021-07-13,135.99,136.97,134.7506,136.28,3909537,0.0
2021-07-14,138.12,139.88,135.41,135.66,5141678,0.0
2021-07-15,135.31,135.93,131.6,133.21,5797508,0.0
2021-07-16,134,134.59,127.92,128.18,6902653,0.0
2021-07-19,125.22,128.72,123.88,128.62,7724767,0.0
2021-07-20,128.69,133.1164,127.8,131.92,6304569,0.0
2021-07-21,132.99,138.27,132.53,137.99,5556455,0.0
2021-07-22,136.81,138.75,136.37,137.18,5033476,0.0
2021-07-23,138.18,139,136.53,138.42,3596504,0.0
2021-07-26,138.16,139.88,137.44,138.48,3809284,0.0
2021-07-27,137.63,137.63,131.58,134.91,5733100,0.0
2021-07-28,135.625,137.88,135,137.21,3727571,0.0
2021-07-29,135.24,137.86,133.51,137.5,4791751,0.0
2021-07-30,136.76,141.4,136.47,139.92,7244799,0.0
2021-08-02,141,145.25,140.89,142.01,8795813,0.0
2021-08-03,142.55,143.3599,140.24,142.16,4307723,0.0
2021-08-04,143.05,144.7,141.81,142.72,4447748,0.0
2021-08-05,143.43,144,141.16,142.28,3624094,0.0
2021-08-06,141.715,143.16,141.5903,142.65,3331319,0.0
2021-08-09,143.32,143.69,141.451,141.99,3331807,0.0
2021-08-10,143,143,135.3,138.1,5797795,0.0
2021-08-11,138.43,138.59,132.6,134.83,7162109,0.0
2021-08-12,132.02,132.02,127.69,129.21,11839569,0.0
2021-08-13,129.12,130.44,128.58,129.9,8055195,0.0
2021-08-16,129.49,132.05,129.1,131.7,6202945,0.0
2021-08-17,130.05,130.839,126.71,128.8,7456285,0.0
2021-08-18,128.81,131.64,127.18,127.37,5809225,0.0
2021-08-19,126.3,129.99,125.28,129.21,7573804,0.0
2021-08-20,130.3,131.99,125.25,127.21,12415893,0.0
2021-08-23,128.31,131.5,127.8,131.5,6786561,0.0
2021-08-24,131.8,133.38,130.62,131.44,5781999,0.0
2021-08-25,131.63,134.2,131.44,132.82,5899132,0.0
2021-08-26,132.82,133.83,131.59,132.49,3586600,0.0
2021-08-27,132.9,137.15,132.86,136.51,7018514,0.0
2021-08-30,137.74,137.89,135.38,136.05,4113942,0.0
2021-08-31,136.66,136.66,133.55,135.19,4395341,0.0
2021-09-01,135.8,136.04,133.24,133.45,4678787,0.0
2021-09-02,134.99,135.95,133.88,134.45,4556795,0.0
2021-09-03,133.86,136.43,133.345,135.83,3843666,0.0
2021-09-07,136.62,137.17,133.75,136.5,4928905,0.0
2021-09-08,136.13,136.13,131.75,133.58,6103376,0.0
2021-09-09,132.77,135.85,132.915,135,5375395,0.0
2021-09-10,138.27,140.8,136.61,136.85,8289008,0.0
2021-09-13,138.74,141.3,137.56,139.44,7678438,0.0
2021-09-14,138.35,141.8,137.91,140.14,7113233,0.0
2021-09-15,139.97,141.34,137.44,141.24,4920828,0.0
2021-09-16,140.39,144.63,139.17,144.05,7534315,0.0
2021-09-17,143,143,139.38,140.8,7013359,0.0
2021-09-20,136.69,136.69,133.55,135.56,6870640,0.0
2021-09-21,137.13,137.24,133.45,135.18,5196327,0.0
2021-09-22,136.19,138.8,135.55,138.1,5499382,0.0
2021-09-23,139.23,142.15,138.71,141.11,5022612,0.0
2021-09-24,139.45,142.37,139.16,141.94,3235463,0.0
2021-09-27,139.59,143.27,139.52,142.74,4500169,0.0
2021-09-28,137.62,139.58,132.5339,132.91,10774137,0.0
2021-09-29,133.01,134.04,128.04,128.27,9638981,0.0
2021-09-30,129.38,130.85,128.51,128.7396,5404094,0.0
2021-10-01,129.26,129.6,126.42,129.1,4799140,0.0
2021-10-04,127.66,127.82,123.17,125.21,8281793,0.0
2021-10-05,127.475,129.2,125.4,128.07,6012181,0.0
2021-10-06,126.3,128.18,125.72,126.56,6054778,0.0
2021-10-07,128.71,129.95,127.46,127.91,4462465,0.0
2021-10-08,128.25,128.785,125.87,126.21,5392879,0.0
2021-10-11,125.645,129.2,125.655,127.5,4679196,0.0
2021-10-12,128.7579,128.83,124.9365,126.76,6844438,0.0
2021-10-13,128.784,129.4799,127.5,128.24,4214563,0.0
2021-10-14,131.97,132.25,129.65,132.08,6505491,0.0
2021-10-15,132.26,132.91,131.245,131.59,3981571,0.0
2021-10-18,130.54,133.4,129.8444,133.28,3159452,0.0
2021-10-19,133.29,135.34,132.61,134.63,3209312,0.0
2021-10-20,134.12,135.2,133.35,134.04,3992941,0.0
2021-10-21,131.43,133.51,130.51,133.35,4694397,0.0
2021-10-22,135.2135,141.56,134.51,135.94,9392314,0.0
2021-10-25,136.25,137.92,135.3,135.75,3415752,0.0
2021-10-26,137.38,137.4,131.68,131.97,6991321,0.0
2021-10-27,132.57,134.28,131.41,132.13,6339682,0.0
2021-10-28,134.56,137.85,134.52,136.02,5552446,0.0
2021-10-29,134.79,137.26,134.55,136.65,4614191,0.0
2021-11-01,136.98,139.67,136.4183,139.52,4264959,0.0
2021-11-02,139.5,141.47,138.89,141.22,4231562,0.0
2021-11-03,141.44,143.35,139.88,142.76,3449718,0.0
2021-11-04,143.45,150.49,142.495,150.14,8340494,0.0
2021-11-05,150.27,153.73,148.79,153.3,6995099,0.0
2021-11-08,154.24,154.89,151.23,152.96,4624588,0.0
2021-11-09,152.92,156.68,151.42,156.29,6095939,0.0
2021-11-10,153.08,155,150.27,150.36,5971252,0.0
2021-11-11,151.67,154.18,151.3,153.9,4491556,0.0
2021-11-12,154.67,157.41,154.1055,156.82,4998600,0.0
2021-11-15,156.77,158.14,155.2,156.34,4557204,0.0
2021-11-16,155.38,159,153.55,157.82,4194630,0.0
2021-11-17,157.91,158.51,155.89,155.98,4552027,0.0
2021-11-18,158.35,158.98,154.735,158.74,6940971,0.0
2021-11-19,150.55,156.45,149.74,150.03,14573473,0.0
2021-11-22,151.18,152.98,147.36,147.55,7891256,0.0
2021-11-23,148.85,149.95,145.1,148.92,6491486,0.0
2021-11-24,148.39,149.13,145.81,149.04,4744734,0.0
2021-11-26,145.85,147.18,142.22,143.27,5752363,0.0
2021-11-29,147.07,151.56,145.5,151.22,7528389,0.0
2021-11-30,151.33,151.98,146.46,147.19,6881921,0.0
2021-12-01,151.14,156.58,149.84,151.68,12748572,0.0
2021-12-02,148,149.9,143.74,146.49,8363510,0.0
2021-12-03,148.33,150.74,143.33,145.9,6390798,0.0
2021-12-06,145.65,148.3614,141.02,147.37,6500443,0.0
2021-12-07,150.76,157.9967,150.129,156.92,8095567,0.0
2021-12-08,156.7,157.86,155.15,157.3,5379826,0.0
2021-12-09,155.84,158.3425,152.38,152.64,4492822,0.0
2021-12-10,156.07,156.89,150.6455,152.79,3997103,0.0
2021-12-13,154.06,154.4639,146.72,147.04,3211341,0.0
2021-12-14,144.98,148.2,144.53,147.75,4241871,0.0
2021-12-15,147.95,153.89,145.1601,153.66,5740088,0.0
2021-12-16,154.4,155.35,146.26,146.69,5866201,0.0
2021-12-17,145.31,148.98,144.22,146.21,5310329,0.0
2021-12-20,143.69,146.78,143.25,145.04,3593508,0.0
2021-12-21,149.36,151.52,147.02,151.41,4737723,0.0
2021-12-22,150.01,152.44,148.92,152.32,3590849,0.0
2021-12-23,152.94,156.54,152.94,155.49,3967689,0.0
2021-12-27,156.16,162.81,156.03,162.72,5665460,0.0
2021-12-28,162.78,162.9917,158.75,159.64,4759722,0.0
2021-12-29,159.87,163.02,159.55,160.98,4024886,0.0
2021-12-30,160.84,160.92,157.63,157.95,3200320,0.0
2021-12-31,158.3,159.67,157.04,157.31,2790955,0.0
2022-01-03,157.74,160.7781,156.7,159.93,4508083,0.0
2022-01-04,159.99,161.84,154.51,158.35,5757972,0.0
2022-01-05,158.1,158.89,153.5,153.7,5342285,0.0
2022-01-06,153.59,157.4,151.84,156.34,5196610,0.0
2022-01-07,155.67,157.38,150.64,150.74,5434197,0.0
2022-01-10,148,149.9,143.27,149.57,8091204,0.0
2022-01-11,148.36,152.66,146.37,152.5,5386146,0.0
2022-01-12,154.61,159.75,154.61,159.56,9170640,0.0
2022-01-13,163.99,166.53,156.5,157.25,11220175,0.0
2022-01-14,155.81,167.06,155.6,167.01,10457939,0.0
2022-01-18,165.36,165.89,151.52,152.38,10543448,0.0
2022-01-19,154.12,155.82,142.92,143.04,11469717,0.0
2022-01-20,145.78,147.315,138.56,139.15,9388150,0.0
2022-01-21,137.63,141.9,134.65,134.97,11048588,0.0
2022-01-24,131.52,139.44,129.69,139.29,11340123,0.0
2022-01-25,134.8,136.41,131.37,132.99,9594430,0.0
2022-01-26,137.71,141.58,132.84,135.67,10535346,0.0
2022-01-27,134.24,135.45,129.3,130.1,12146780,0.0
2022-01-28,129.08,132.5,123.851,132.41,11770206,0.0
2022-01-31,132.7,138.37,131.63,138.24,6900783,0.0
2022-02-01,138.57,139.28,133.37,138.61,6735548,0.0
2022-02-02,140.42,141.398,137.21,140.84,6951188,0.0
2022-02-03,138.05,141.22,135.1,136.54,7580957,0.0
2022-02-04,134.34,136.745,131.941,135.58,5967398,0.0
2022-02-07,136.1,138.29,135.2,136.21,5774308,0.0
2022-02-08,134.75,139.2,133.5,138.75,4807845,0.0
2022-02-09,141.33,144.98,139.49,144.2,6215419,0.0
2022-02-10,139.9,145.16,139.01,139.78,5931806,0.0
