Date,Open,High,Low,Close,Volume,OpenInterest
2017-07-20,61.1,61.44,60.47,61.08,3028350,0.0
2017-07-21,60.74,61.37,60.63,60.92,4631858,0.0
2017-07-24,60.95,61.58,60.8,61.12,3284883,0.0
2017-07-25,61.31,61.875,60.92,60.95,3848652,0.0
2017-07-26,61.15,62.32,61.14,62.32,4210174,0.0
2017-07-27,62.8,62.87,59.76,61.17,6858789,0.0
2017-07-28,60.65,61.745,60.25,61.44,3610874,0.0
2017-07-31,61.55,61.98,60.98,61.78,4020292,0.0
2017-08-01,62.2,62.46,61.52,62.08,3645760,0.0
2017-08-02,62.29,62.33,60.13,61.44,4597987,0.0
2017-08-03,63.01,63.92,61.76,63.64,10127845,0.0
2017-08-04,63.12,63.3,60.92,61.69,9216946,0.0
2017-08-07,61.75,62.8,61.49,62.501,6391699,0.0
2017-08-08,62.31,62.475,60.84,61.02,7321512,0.0
2017-08-09,60.33,61.57,60.05,61.37,5087368,0.0
2017-08-10,60.84,61.25,59.79,59.9,5179702,0.0
2017-08-11,59.95,60.77,59.46,60.43,4758466,0.0
2017-08-14,61.2,62.76,61.01,61.57,4437377,0.0
2017-08-15,61.81,62.075,61.09,61.97,2254609,0.0
2017-08-16,62.13,62.9,61.81,62.57,3781818,0.0
2017-08-17,62.25,62.72,61.05,61.06,2691186,0.0
2017-08-18,60.95,62.39,60.73,62.02,3576321,0.0
2017-08-21,62,62.29,61.12,61.46,2778764,0.0
2017-08-22,61.78,63.97,61.69,63.93,6549479,0.0
2017-08-23,63.34,64.21,63.06,64.02,4370084,0.0
2017-08-24,64.31,64.45,62.8,63.44,3158452,0.0
2017-08-25,63.63,63.96,62.49,62.59,3537811,0.0
2017-08-28,63.09,63.12,62.1,62.43,2977131,0.0
2017-08-29,61.72,63.48,61.63,63.15,3735470,0.0
2017-08-30,63.2,65.46,63.06,65.34,6463194,0.0
2017-08-31,65.66,66.24,64.81,65.22,5775619,0.0
2017-09-01,65.33,65.53,63.43,65.11,4822195,0.0
2017-09-05,64.84,65.25,63.84,65.04,4007877,0.0
2017-09-06,65.06,65.3,63.63,63.67,4482499,0.0
2017-09-07,63.96,65.87,63.72,65.84,6202056,0.0
2017-09-08,65.54,66.09,64.48,64.93,3897219,0.0
2017-09-11,65.54,66.37,65.33,65.82,4247147,0.0
2017-09-12,66.11,66.16,64.92,65.75,3940449,0.0
2017-09-13,65.58,65.74,64.64,65.39,3783988,0.0
2017-09-14,64.7,65.66,64.35,64.84,3704433,0.0
2017-09-15,64.94,65.11,64.34,64.67,6306547,0.0
2017-09-18,64.76,65.12,63.7,63.87,4887679,0.0
2017-09-19,64.02,64.29,63.01,63.98,5192334,0.0
2017-09-20,64.47,64.87,63.55,64.67,5253566,0.0
2017-09-21,64.53,64.64,63.51,64.11,3520627,0.0
2017-09-22,63.74,64.59,63.02,63.57,4629376,0.0
2017-09-25,63.39,63.42,61.01,61.82,7266910,0.0
2017-09-26,62.12,62.43,61.26,61.44,4649841,0.0
2017-09-27,61.69,63.13,61.68,62.77,3393849,0.0
2017-09-28,62.68,63.6,62.31,63.54,4822983,0.0
2017-09-29,63.49,64.71,63.44,64.49,3859377,0.0
2017-10-02,64.42,64.71,62.99,63.38,4651229,0.0
2017-10-03,63.61,63.7895,62.63,63.12,3117357,0.0
2017-10-04,62.76,63.02,61.85,62.62,5765204,0.0
2017-10-05,62.65,63.1,62.21,62.77,3178399,0.0
2017-10-06,62.41,63.05,61.97,62.93,2679238,0.0
2017-10-09,61.16,61.46,60.25,61.18,7171519,0.0
2017-10-10,60.84,61.24,60.45,61.13,3962975,0.0
2017-10-11,60.97,61.205,60.31,61.05,4840399,0.0
2017-10-12,61.13,62.26,60.89,61.73,3657526,0.0
2017-10-13,62.07,62.12,60.28,60.77,5572156,0.0
2017-10-16,60.81,61.93,60.7,61.48,3451964,0.0
2017-10-17,61.19,61.54,60.66,61.34,2091236,0.0
2017-10-18,61.41,62.025,61.15,61.18,3067676,0.0
2017-10-19,60.62,61.69,60.03,61.67,3852306,0.0
2017-10-20,62.17,62.83,61.92,62.31,4235843,0.0
2017-10-23,62.37,62.55,61.225,61.47,3523509,0.0
2017-10-24,61.94,63.33,61.74,62.41,5265965,0.0
2017-10-25,61.95,62.27,61.19,61.82,4285314,0.0
2017-10-26,62.23,62.59,61.55,61.74,4091637,0.0
2017-10-27,62.36,64.04,62.36,63.81,4991804,0.0
2017-10-30,63.98,65.58,63.95,65.29,5603489,0.0
2017-10-31,65.37,65.93,64.86,65.15,5941644,0.0
2017-11-01,65.4,65.44,63.92,64.99,4252194,0.0
2017-11-02,65.07,65.5,64.49,65.11,4790711,0.0
2017-11-03,66.5,66.65,62.11,62.88,16611329,0.0
2017-11-06,63.08,63.39,60.4,60.56,11626411,0.0
2017-11-07,60.73,61.03,59.78,60.65,6239165,0.0
2017-11-08,62.17,64.9,61.82,64.22,9723822,0.0
2017-11-09,63.17,63.86,62.28,62.99,4462188,0.0
2017-11-10,62.55,62.75,61.93,62.68,2949784,0.0
2017-11-13,62.4,63.97,62.35,63.29,2385676,0.0
2017-11-14,63.05,64.37,62.48,64.02,3528592,0.0
2017-11-15,63.44,63.67,62.21,62.57,3244697,0.0
2017-11-16,62.82,64.09,62.73,63.8,3539422,0.0
2017-11-17,63.67,64.13,63.18,63.77,3429544,0.0
2017-11-20,63.59,63.84,62.95,63.6,2429557,0.0
2017-11-21,63.97,64.695,63.86,64.5,2880630,0.0
2017-11-22,64.91,66.16,64.77,64.81,4538040,0.0
2017-11-24,64.84,66.14,64.78,66.035,1320917,0.0
2017-11-27,66.18,66.45,65.63,65.75,2687529,0.0
2017-11-28,66.02,66.38,65.54,65.97,2608358,0.0
2017-11-29,65.61,65.71,61.63,61.69,7610787,0.0
2017-11-30,62.23,62.51,60.55,62.4,6540141,0.0
2017-12-01,61.96,62.69,60.7128,61.64,4401663,0.0
2017-12-04,62.05,62.14,58.03,58.3,10435450,0.0
2017-12-05,57.36,60.43,57.02,59.24,6575948,0.0
2017-12-06,59.17,60.5,58.33,60.44,7321044,0.0
2017-12-07,60.48,62.12,60.37,61.58,5737045,0.0
2017-12-08,62.26,63.51,61.83,62.11,4247285,0.0
2017-12-11,61.82,62.86,61.82,62.85,2648582,0.0
2017-12-12,63.75,64.69,62.85,64.07,5347636,0.0
2017-12-13,64.52,64.95,63.97,64.27,4294676,0.0
2017-12-14,64.02,65.45,64,64.7,3917195,0.0
2017-12-15,65.14,66.67,64.67,66.39,6167038,0.0
2017-12-18,67.08,67.4,65.51,65.67,5004203,0.0
2017-12-19,65.76,65.91,64.23,64.9,4976062,0.0
2017-12-20,65.31,65.44,64.0061,64.38,3818530,0.0
2017-12-21,64.51,64.8965,63.8,64.75,2755177,0.0
2017-12-22,64.52,64.88,64.12,64.18,2752675,0.0
2017-12-26,63.88,64.11,63.03,63.12,2380124,0.0
2017-12-27,63.36,63.47,62.75,63.02,3847073,0.0
2017-12-28,63.01,63.35,62.27,63.07,2691350,0.0
2017-12-29,63.3,63.64,62.79,63.33,2319449,0.0
