Date,Estimate,Actual
2022-05-02,None,None
2021-05-04,0.7,0.84
2021-02-04,1.18,1.21
2020-10-29,0.65,0.71
2020-08-04,0.69,0.97
2020-05-05,0.38,0.58
2020-02-06,1.19,1.23
2019-11-07,0.23,0.32
2019-08-08,0.26,0.38
2019-05-02,0.25,0.31
2019-02-12,1.28,1.29
2018-11-08,0.5,0.52
2018-08-02,0.35,0.41
2018-05-03,0.35,0.38
2018-02-08,0.93,0.94
2017-11-02,0.49,0.6
2017-08-03,0.3,0.43
2017-05-04,0.21,0.31
2017-02-09,0.73,0.92
2016-11-03,0.42,0.52
2016-08-04,0.42,0.54
2016-05-05,0.12,0.23
2016-02-11,0.86,0.83
2015-11-02,0.16,0.21
2015-08-04,0.08,0.13
2015-05-06,0.07,0.16
2015-02-05,0.88,0.94
2014-11-04,0.13,0.23
2014-08-05,0.02,0.06
2014-05-06,0.1,0.19
2014-02-06,0.73,0.79
2013-11-06,0.03,0.08
2013-08-01,0.07,0.08
2013-05-08,0.11,0.17
2013-02-07,0.72,0.78
2012-11-07,0.08,0.11
2012-08-02,0.12,0.2
2012-05-09,0.04,0.06
2012-02-09,0.56,0.62
2011-11-08,0.02,0.07
2011-08-03,0.05,0.1
2011-05-09,0.08,0.13
2011-02-09,0.51,0.53
2010-11-04,0.09,0.12
2010-08-05,0.05,0.06
2010-05-06,0.04,0.09
2010-02-10,0.43,0.49
2009-11-05,0.04,0.04
2009-08-05,0.07,0.08
2009-05-07,0.05,0.08
2009-02-11,0.29,0.31
2008-11-06,0.04,0.07
2008-07-31,0.1,0.12
2008-05-08,0.03,0.09
2008-02-07,0.4,0.45
2007-11-05,-0.01,0.01
2007-08-02,0.03,0.06
2007-05-31,-0.03,-0.04
2007-02-07,0.2,0.24
2006-08-03,-0.05,-0.02
2006-05-04,-0.04,-0.01
2006-02-06,0.18,0.12
2005-11-02,-0.03,-0.02
2005-07-28,-0.01,0
2005-05-05,0,0.01
2005-02-07,0.16,0.18
2004-10-26,0.03,0.05
2004-07-21,0.01,0.02
2004-05-06,0,0.01
2004-01-28,0.12,0.15
2003-11-06,-0.02,-0.02
2003-07-22,0,0.01
2003-05-08,-0.02,-0.02
2003-01-22,0.07,0.08
2002-10-29,0.01,0.02
2002-07-23,0.02,0.04
2002-05-07,0.01,0.02
2002-01-23,0.07,0.08
2001-10-17,0,0.01
2001-07-24,0,0
2001-05-09,0,0
2001-02-01,0.05,0.06
2000-10-23,0.01,0.01
2000-08-02,-0.02,-0.02
2000-05-09,0.01,0
2000-02-03,0.06,0.06
1999-10-20,0,0
1999-07-21,-0.02,-0.02
1999-05-04,0.02,0.02
1999-01-13,0.05,0.05
1998-10-22,-0.01,-0.01
1998-07-22,-0.02,-0.02
1998-05-14,0,0
1998-01-23,0.04,0.05
1997-10-23,0.01,0.01
1997-07-24,-0.03,-0.03
1997-05-15,0.03,0.02
1997-01-23,0.02,0.02
1996-10-23,0.01,0.01
1996-07-25,-0.02,-0.02
