Date,Estimate,Actual
2021-05-27,2.34,2.75
2021-03-04,2.45,2.14
2020-12-10,2.05,2.3
2020-09-24,2.84,3.04
2020-05-28,1.95,1.89
2020-03-05,2.06,2.1
2019-12-12,1.72,1.73
2019-10-03,2.55,2.69
2019-05-30,1.82,1.89
2019-03-07,1.69,2.01
2018-12-13,1.62,1.61
2018-10-04,2.36,2.36
2018-05-31,1.69,1.7
2018-03-07,1.47,1.59
2017-12-14,1.34,1.45
2017-10-05,2.02,2.08
2017-05-25,1.31,1.4
2017-03-02,1.36,1.17
2016-12-07,1.19,1.17
2016-09-29,1.73,1.77
2016-05-25,1.22,1.24
2016-03-02,1.28,1.24
2015-12-08,1.17,1.09
2015-09-29,1.66,1.73
2015-05-27,1.16,1.17
2015-03-05,1.18,1.25
2014-12-10,1.09,1.12
2014-10-08,1.52,1.58
2014-03-06,1.17,1.05
2013-12-11,1.02,0.96
2013-10-09,1.46,1.4
2013-05-30,1.03,1.04
2013-03-12,1.06,1.1
2012-12-12,0.93,0.95
2012-10-10,1.31,1.39
2012-02-29,0.87,0.9
2011-12-08,0.8,0.8
2011-10-05,1.1,1.08
2011-03-02,0.79,0.79
2010-12-08,0.69,0.71
2010-10-06,0.95,0.97
2010-03-03,0.72,0.7
2009-12-10,0.6,0.6
2009-10-07,0.77,0.85
2009-03-04,0.59,0.55
2008-12-11,0.62,0.65
2008-10-08,0.93,0.92
2008-03-05,0.74,0.74
2007-12-13,0.59,0.59
2007-10-10,0.83,0.91
2007-05-31,0.56,0.56
2007-03-08,0.66,0.66
2006-12-14,0.5,0.51
2006-10-12,0.73,0.75
2006-05-31,0.5,0.49
2006-03-02,0.6,0.62
2005-12-08,0.45,0.45
2005-09-01,0.65,0.66
2005-03-02,0.55,0.54
2004-12-09,0.4,0.4
2004-10-07,0.58,0.62
2004-06-17,0.38,0.42
2004-03-03,0.47,0.48
2003-12-09,0.31,0.34
2003-10-08,0.47,0.51
2003-03-05,0.43,0.39
2002-12-12,0.31,0.31
2002-10-10,0.49,0.52
2002-05-30,0.27,0.28
2002-03-05,0.41,0.41
2001-12-13,0.28,0.28
2001-10-11,0.4,0.41
2001-05-31,0.23,0.23
2001-03-08,0.38,0.38
2000-12-14,0.28,0.28
2000-10-12,0.43,0.43
2000-03-02,0.38,0.41
1999-12-09,0.27,0.28
1999-10-06,0.38,0.4
1999-03-04,0.32,0.35
1998-12-17,0.23,0.23
1998-10-08,0.32,0.33
1998-03-12,0.27,0.28
1997-12-18,0.21,0.22
1997-10-14,0.26,0.27
1997-03-13,0.21,0.23
1996-12-17,0.15,0.17
1996-10-10,0.21,0.21
1996-06-05,0.1,0.12
1996-03-21,0.17,0.18
1995-12-19,0.13,0.13
1995-10-26,0.18,0.18
1995-06-15,0.09,0.09
1995-03-23,0.16,0.16
1994-12-13,0.12,0.11
1994-10-27,0.15,0.14
1994-06-07,0.08,0.08
1994-03-22,0.15,0.14
1993-12-17,0.1,0.1
1993-10-27,0.15,0.17
