Date,Estimate,Actual
2021-07-27,0.23,None
2021-04-27,0.24,0.28
2021-02-23,0.24,0.28
2020-10-27,0.21,0.23
2020-07-28,0.2,0.23
2020-04-28,0.23,0.24
2020-02-25,0.26,0.28
2019-10-22,0.25,0.26
2019-07-23,0.2,0.22
2019-04-23,2.44,2.53
2019-02-26,2.53,2.81
2018-10-23,2.08,2.16
2018-07-24,1.31,1.66
2018-04-23,1.37,1.65
2018-02-21,1.25,1.25
2017-10-25,1.13,1.41
2017-07-26,0.63,0.86
2017-04-26,0.94,1.05
2017-02-22,1.26,1.29
2016-10-26,1.03,1.11
2016-07-27,0.83,0.91
2016-04-27,0.69,0.95
2016-02-24,0.82,1.1
2015-10-28,0.45,0.53
2015-07-29,0.04,0.08
2015-04-29,0.21,0.34
2015-02-25,0.88,0.93
2014-10-29,0.79,0.87
2014-07-23,0.7,0.8
2014-04-23,0.64,0.69
2014-02-19,0.74,0.78
2013-10-23,0.63,0.71
2013-07-24,0.52,0.61
2013-04-24,0.44,0.47
2013-02-27,0.43,0.46
2012-10-24,0.39,0.47
2012-07-25,0.34,0.39
2012-04-25,0.3,0.32
2012-02-22,0.11,0.2
2011-10-26,0,0.09
2011-07-27,0.03,0.12
2011-04-27,0.17,0.22
2011-02-23,0.17,0.18
2010-10-20,0.15,0.16
2010-07-21,0.14,0.16
2010-04-21,0.12,0.14
2010-02-24,0.19,0.18
2009-10-21,0.2,0.22
2009-07-22,0.23,0.24
2009-04-22,0.28,0.31
2009-02-18,0.35,0.38
2008-10-29,0.29,0.34
2008-07-15,0.24,0.28
2008-04-23,0.21,0.26
2008-02-20,0.2,0.5
2007-10-24,0.14,0.17
2007-07-25,0.05,0.06
2007-04-25,0.08,0.09
2007-02-21,0.15,0.18
2006-10-25,0.17,0.25
2006-07-26,0.05,0.12
2006-04-26,0.08,0.1
2006-02-15,0.15,0.17
2005-10-19,0.07,0.06
2005-07-20,0.06,0.06
2005-04-19,0.05,0.05
2005-02-16,0.14,1.03
2004-10-19,0.2,0.13
2004-07-20,0.17,0.09
2004-04-20,0.16,0.08
2004-02-17,0.15,0.16
2003-10-14,0.12,0.13
2003-07-22,0.08,0.09
2003-04-23,0.05,0.06
2003-02-18,0.04,0.05
2002-10-22,0.02,0.03
2002-07-23,0.01,0.02
2002-04-23,0.01,0.01
2002-02-13,0,0.01
2001-10-24,-0.09,-0.06
2001-07-24,-0.19,-0.17
2001-04-25,-0.34,-0.29
2001-02-21,-0.48,-0.42
2000-10-25,-0.58,-0.55
2000-08-02,-0.81,-0.85
2000-06-23,-0.62,-1.06
2000-02-28,-0.36,-0.33
1999-10-19,-0.28,-0.25
1999-07-28,-0.22,-0.22
