Date,Estimate,Actual
2021-07-15,2.3,2.47
2021-03-17,2.22,2.37
2020-12-22,2.19,2.62
2020-09-23,2.13,2.78
2020-07-23,1.21,1.35
2020-03-19,2.02,2.16
2019-12-17,2.03,2.27
2019-09-24,2.15,2.32
2019-07-16,1.93,2.07
2019-03-21,1.71,1.84
2018-12-20,1.7,1.76
2018-09-25,1.81,1.93
2018-07-19,1.67,1.77
2018-03-22,1.27,1.37
2017-12-21,1.27,1.31
2017-09-26,1.3,1.48
2017-07-20,1.1,0.75
2017-03-22,1.07,1.08
2016-12-22,1.15,1.13
2016-09-27,1.09,1.26
2016-07-19,1,1.08
2016-03-22,0.95,1.05
2015-12-21,1,1.03
2015-09-24,0.91,0.93
2015-07-16,0.85,0.86
2015-03-18,0.79,0.85
2014-12-18,0.78,0.86
2014-09-29,0.75,0.78
2014-07-15,0.75,0.76
2014-03-19,0.69,0.69
2013-12-19,0.68,0.7
2013-09-19,0.63,0.63
2013-07-15,0.7,0.69
2013-03-19,0.62,0.6
2012-12-20,0.62,0.63
2012-09-20,0.59,0.6
2012-07-16,0.6,0.6
2012-03-20,0.52,0.58
2011-12-20,0.48,0.57
2011-09-22,0.47,0.52
2011-07-19,0.43,0.49
2011-03-22,0.36,0.41
2010-12-21,0.38,0.38
2010-09-21,0.38,0.4
2010-07-20,0.33,0.35
2010-03-18,0.3,0.32
2009-12-22,0.43,0.39
2009-09-23,0.39,0.43
2009-07-15,0.37,0.38
2009-03-18,0.48,0.47
2008-12-19,0.54,0.47
2008-09-18,0.52,0.51
2008-07-15,0.56,0.58
2008-03-19,0.54,0.53
2007-12-20,0.53,0.53
2007-09-27,0.53,0.51
2007-07-18,0.54,0.57
2007-03-20,0.52,0.48
2006-12-19,0.52,0.51
2006-09-20,0.51,0.53
2006-07-13,0.54,0.55
2006-03-16,0.46,0.46
2005-12-22,0.48,0.46
2005-09-21,0.48,0.47
2005-07-14,0.46,0.48
2005-03-17,0.42,0.41
2004-12-16,0.44,0.43
2004-09-16,0.42,0.42
2004-07-12,0.41,0.42
2004-03-15,0.39,0.39
2003-12-17,0.39,0.4
2003-09-18,0.37,0.38
2003-07-15,0.37,0.38
2003-03-20,0.34,0.34
2002-12-19,0.38,0.37
2002-09-19,0.36,0.36
2002-07-11,0.36,0.37
2002-03-14,0.32,0.32
2001-12-18,0.33,0.34
2001-09-19,0.33,0.33
2001-07-10,0.35,0.35
2001-03-15,0.32,0.32
2000-12-19,0.33,0.33
2000-09-20,0.3,0.3
2000-07-11,0.31,0.31
2000-03-16,0.29,0.29
1999-12-16,0.29,0.29
1999-09-22,0.25,0.26
1999-07-08,0.25,0.26
1999-03-19,0.23,0.24
1998-12-17,0.24,0.25
1998-09-22,0.21,0.21
1998-07-09,0.2,0.2
1998-03-17,0.19,0.19
1997-12-17,0.19,0.19
1997-09-17,0.16,0.17
1997-07-10,0.18,0.18
1997-03-20,0.16,0.16
1996-12-19,0.16,0.16
1996-09-18,0.14,0.14
