Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,81.37,82.23,80.77,81.95,1500749,11345,81.652154
2021-01-04,82.0,82.27,78.7,79.42,2305716,26338,79.576579
2021-01-05,79.51,80.13,79.19,79.65,1856793,19815,79.681219
2021-01-06,79.32,81.14,79.215,80.15,2981168,35826,80.37964
2021-01-07,80.74,81.84,80.51,80.95,2853546,29142,80.93859
2021-01-08,81.12,82.06,80.96,81.95,2704672,27428,81.678385
2021-01-11,81.25,82.1,79.92,80.14,2156591,24473,80.482637
2021-01-12,80.19,80.5,78.61,79.64,2238304,25272,79.421621
2021-01-13,80.7,80.7,79.32,79.61,2030334,20874,79.766431
2021-01-14,79.34,80.22,79.07,80.05,2360498,25180,79.803282
2021-01-15,79.63,80.59,79.19,80.24,2174664,23416,80.055454
2021-01-19,80.39,80.985,79.19,79.76,2667933,22129,79.767119
2021-01-20,80.9,82.11,80.16,81.91,2609569,23879,81.748176
2021-01-21,82.0,82.07,80.69,80.88,2209215,18013,80.99263
2021-01-22,80.07,80.94,79.5,80.56,1449586,16940,80.485297
2021-01-25,80.0,80.43,78.25,80.03,1757221,21199,79.589569
2021-01-26,80.21,80.58,79.46,79.55,2053725,19991,79.796177
2021-01-27,78.35,78.73,75.9,76.15,3936734,40800,76.867191
2021-01-28,76.96,79.37,76.66,78.9,2992803,31788,78.685878
2021-01-29,78.98,79.61,77.6,77.95,3273008,35310,78.252208
2021-02-01,78.56,79.59,78.03,78.84,3442335,34010,78.982134
2021-02-02,79.07,80.835,78.86,80.05,2738907,29209,80.141457
2021-02-03,79.79,80.13,78.75,79.34,3483826,32646,79.578901
2021-02-04,74.0,75.63,72.76,74.69,8771083,67667,74.657591
2021-02-05,74.72,75.5478,74.09,74.5,4711830,42759,74.738508
2021-02-08,74.63,75.89,74.12,75.85,2498875,23903,75.383366
2021-02-09,75.82,76.9489,75.22,76.16,2662977,26057,76.235859
2021-02-10,76.24,76.43,75.28,76.04,2069800,26331,75.861224
2021-02-11,76.31,77.52,75.75,76.97,3609333,23210,76.978292
2021-02-12,76.76,77.145,76.22,76.96,1880850,21700,76.842436
2021-02-16,77.0,77.35,76.105,76.11,2446085,27393,76.56332
2021-02-17,75.6,76.79,75.37,76.43,3398636,29792,76.296878
2021-02-18,76.14,76.14,74.42,74.82,4440796,37271,74.816685
2021-02-19,75.03,75.19,73.385,73.64,4082459,36825,73.980224
2021-02-22,73.26,73.97,72.77,73.25,3063754,28479,73.350424
2021-02-23,72.85,73.43,72.07,72.88,3310557,32984,72.805482
2021-02-24,72.4,75.06,71.56,74.93,2922741,32386,73.985019
2021-02-25,74.12,74.98,73.185,73.38,2786544,32832,73.899638
2021-02-26,73.85,74.34,72.58,73.48,3279801,32623,73.641903
2021-03-01,74.11,75.16,73.81,74.83,3227021,25172,74.737518
2021-03-02,75.03,75.72,74.04,74.95,3068976,31523,74.952862
2021-03-03,74.76,74.76,72.78,73.16,3406738,33651,73.473419
2021-03-04,72.92,73.95,71.755,72.4,3284178,40087,72.607385
2021-03-05,73.3,74.5109,71.9275,73.71,2778977,33623,73.333421
2021-03-08,73.42,74.385,72.57,72.69,3338729,33489,73.319683
2021-03-09,73.69,75.22,73.51,74.39,2767635,29949,74.684839
2021-03-10,74.67,76.24,74.64,76.02,2636814,26820,75.56145
2021-03-11,76.4,78.31,76.215,77.54,3183398,33448,77.525436
2021-03-12,77.02,77.84,76.84,77.77,2447781,22191,77.5717
2021-03-15,77.28,79.33,77.28,79.27,3003748,26897,78.926974
2021-03-16,79.01,79.1,77.84,78.06,2497467,24794,78.313854
2021-03-17,77.48,78.32,77.16,78.03,2415031,26663,77.833258
2021-03-18,77.15,77.77,76.03,76.4,2890023,31120,76.839672
2021-03-19,75.76,77.33,75.4,76.55,5667431,33491,76.590454
2021-03-22,76.93,77.06,76.22,76.73,4237329,34173,76.690986
2021-03-23,77.16,77.62,76.17,76.23,3154479,29773,76.730835
2021-03-24,76.71,77.85,76.525,76.94,3008843,34284,77.226488
2021-03-25,77.03,77.45,76.06,77.1,2935485,29768,76.928817
2021-03-26,77.23,79.33,76.94,79.24,2403553,26929,78.45097
2021-03-29,79.06,79.11,77.185,78.06,3099620,34121,78.162357
2021-03-30,77.73,78.67,77.5,78.57,2581498,23397,78.220076
2021-03-31,78.82,79.18,77.9,78.12,3573893,26163,78.441367
2021-04-01,78.93,79.33,78.14,78.88,2426460,22922,78.845429
2021-04-05,79.19,80.49,79.0,80.33,2536836,24030,80.235751
2021-04-06,79.24,80.16,79.17,79.66,2343689,23187,79.600788
2021-04-07,79.7784,80.12,79.1,79.21,1717577,19414,79.422876
2021-04-08,79.54,80.77,79.31,80.06,3334426,28506,80.091143
2021-04-09,80.06,80.65,79.765,80.55,1974070,22574,80.36042
2021-04-12,80.03,80.48,79.6,80.2,1925812,25821,80.065121
2021-04-13,80.27,80.74,79.88,80.45,1848839,20680,80.253003
2021-04-14,80.07,80.35,79.28,79.46,2216615,25329,79.741973
2021-04-15,80.05,80.5,79.24,79.785,3950546,37479,79.959962
2021-04-16,80.0,80.85,79.55,80.54,2643697,30487,80.365416
2021-04-19,80.53,80.88,80.06,80.4,2294679,26625,80.386636
2021-04-20,80.14,80.49,79.39,79.6,2701548,31892,79.838442
2021-04-21,79.91,80.38,79.19,79.235,5974113,47336,79.557135
2021-04-22,78.27,79.21,77.48,79.04,4498827,44827,78.60167
2021-04-23,79.16,79.42,78.41,78.69,2401296,25074,78.791402
2021-04-26,78.58,79.66,78.07,79.56,2184017,23314,79.443014
2021-04-27,79.47,80.09,79.15,79.94,2830503,27462,79.77545
2021-04-28,80.1,80.575,79.3,80.18,3155893,34479,80.116437
2021-04-29,80.74,81.78,80.11,81.36,2222441,28034,81.295997
2021-04-30,81.1,81.11,79.96,80.4,2830909,30045,80.455323
2021-05-03,80.92,82.57,80.41,82.2,4316374,39648,82.034087
2021-05-04,81.52,82.2,80.77,81.25,3846834,33456,81.319044
2021-05-05,81.76,81.885,80.4,81.46,4077710,32884,81.305614
2021-05-06,75.22,77.03,72.16,75.11,10501069,98552,74.577152
2021-05-07,75.58,75.58,73.95,74.815,5428354,62362,74.574204
2021-05-10,74.87,75.21,73.84,74.01,4469142,43111,74.299816
2021-05-11,73.47,73.74,72.03,72.64,6505561,58281,72.713788
2021-05-12,71.95,72.37,70.62,70.74,4008607,45875,71.158084
2021-05-13,71.3,71.7,70.96,71.29,4880283,45478,71.41438
2021-05-14,71.71,71.93,70.85,71.01,7936414,59476,71.102213
2021-05-17,71.01,71.1,69.4,70.635,6508863,52375,70.054606
2021-05-18,70.9,71.86,70.34,70.97,4771713,45720,71.09698
2021-05-19,69.65,70.8,69.64,70.74,3872787,38079,70.452984
2021-05-20,70.69,71.835,70.33,71.3,4514556,32712,71.353169
2021-05-21,71.73,72.15,71.09,71.24,2473225,23253,71.431686
2021-05-24,71.75,71.885,71.0,71.1,3217396,29924,71.295607
