Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-08,48.3,49.05,47.835,48.71,21650768,0.0
2020-06-09,48.87,49.995,48.57,49.79,17283466,0.0
2020-06-10,50.25,50.34,49.07,49.26,8431066,0.0
2020-06-11,49.43,49.815,47.685,47.94,18424930,0.0
2020-06-12,48.39,48.83,47.75,47.75,2226926,0.0
2020-06-15,46.94,48.12,46.64,47.9,22107398,0.0
2020-06-16,48.49,48.7297,47.54,48.17,17079519,0.0
2020-06-17,48.26,49.1,48.21,48.43,16198527,0.0
2020-06-18,48.55,49.09,48.18,48.45,17966441,0.0
2020-06-19,48.73,48.95,47.42,48.27,15359087,0.0
2020-06-22,48.34,49.32,48.01,49.17,7246852,0.0
2020-06-23,49.59,50.32,49.1,49.8,10554542,0.0
2020-06-24,49.8046,50.45,48.6489,48.78,8467398,0.0
2020-06-25,48.72,49.54,48.41,49.41,7988063,0.0
2020-06-26,50.89,51.28,50.075,50.89,12477434,0.0
2020-06-29,51.07,51.34,50.12,51.3,8189404,0.0
2020-06-30,51.42,52.745,51.32,52.45,9193796,0.0
2020-07-01,52.71,53.43,51.32,52.97,11726803,0.0
2020-07-02,53.59,54.88,53.55,54.36,7785181,0.0
2020-07-06,55.49,56.965,54.94,56.16,9064305,0.0
2020-07-07,55.9549,57.55,55.93,57.01,8753688,0.0
2020-07-08,57.35,58.455,56.88,58.27,10103222,0.0
2020-07-09,58.7298,60.53,58.515,59.22,14213172,0.0
2020-07-10,59.35,59.89,58.12,59.27,10023580,0.0
2020-07-13,60.285,61.06,57.8901,58.31,10757693,0.0
2020-07-14,57.75,59.29,57.28,59.07,8623071,0.0
2020-07-15,58.82,59.13,57.24,58.39,9747098,0.0
2020-07-16,57.9,58.92,57.9,58.67,6676650,0.0
2020-07-17,58.93,59.11,57.775,58.13,4448273,0.0
2020-07-20,58.71,58.8,57.77,58.46,5468529,0.0
2020-07-21,59.08,59.55,55.69,56.59,17344145,0.0
2020-07-22,56.67,57.43,56.125,56.34,7623333,0.0
2020-07-23,56.44,56.82,54.86,55.16,8331623,0.0
2020-07-24,54.53,55.36,54.37,55.13,5194480,0.0
2020-07-27,55.7313,57.38,55.53,57.23,6395793,0.0
2020-07-28,57.11,57.34,56.11,56.37,8313940,0.0
2020-07-29,55.19,56.04,53.66,54.53,13481892,0.0
2020-07-30,54,54.9382,53.73,54.73,7639602,0.0
2020-07-31,55.06,55.83,54.325,55.27,7922538,0.0
2020-08-03,55.69,56.82,55.57,56.57,8333860,0.0
2020-08-04,56.2721,56.775,55.7804,56.34,5688566,0.0
2020-08-05,56.47,56.925,55.9764,56.64,6331424,0.0
2020-08-06,55.99,56.53,54.84,55.09,7592170,0.0
2020-08-07,55.34,55.915,54.775,55.21,5344809,0.0
2020-08-10,55.22,55.285,54.02,54.37,5216496,0.0
2020-08-11,54.21,55.644,53.7,54.3,8059382,0.0
2020-08-12,54.4,56.2,54.39,55.49,6442939,0.0
2020-08-13,55.6,57.06,55.6,56.28,6957821,0.0
2020-08-14,56.53,57.6,55.87,56.29,5429438,0.0
2020-08-17,56.69,57.5698,56.295,57.35,4933758,0.0
2020-08-18,57.5673,57.88,56.94,57.03,4451859,0.0
2020-08-19,57.145,58.38,57.03,57.71,6430292,0.0
2020-08-20,57.6,58.06,57.16,57.66,4510293,0.0
2020-08-21,57.86,59.06,57.51,58.21,5982137,0.0
2020-08-24,58.75,58.93,58.055,58.77,3419845,0.0
2020-08-25,58.51,58.89,58.015,58.05,4406131,0.0
2020-08-26,57.96,58.655,57.38,58.56,5929911,0.0
2020-08-27,58.92,58.92,56.2,56.31,7523481,0.0
2020-08-28,56.26,56.26,54.05,54.26,11143607,0.0
2020-08-31,54,54.91,53.57,54.73,8136528,0.0
2020-09-01,54.9539,55.23,53.37,53.65,9349453,0.0
2020-09-02,53.89,55.23,53.51,55.08,7229867,0.0
2020-09-03,54.6449,55.42,52.59,53.16,9444445,0.0
2020-09-04,52.82,53.33,50.95,52.54,9536327,0.0
2020-09-08,51.17,52.66,50.97,51.53,8559222,0.0
2020-09-09,52.03,53.71,51.71,53.42,6729995,0.0
2020-09-10,53.99,54.31,52.03,52.31,5100316,0.0
2020-09-11,52.33,53.08,52.1,52.77,6539376,0.0
2020-09-14,53.285,53.58,52.21,52.28,5926115,0.0
2020-09-15,52.68,52.99,51.64,51.77,5879190,0.0
2020-09-16,51.78,52.25,50.29,50.42,8571316,0.0
2020-09-17,49.36,49.44,47.44,48.64,15033740,0.0
2020-09-18,49,49.24,48.08,48.6,6864446,0.0
2020-09-21,47.925,50.235,47.73,50.14,7806205,0.0
2020-09-22,50.64,51.04,49.83,50.91,5819043,0.0
2020-09-23,51.15,51.46,50.42,50.73,5708074,0.0
2020-09-24,50.22,52.17,50.04,51.78,7283602,0.0
2020-09-25,51.97,52.73,51.18,52.48,6249728,0.0
2020-09-28,53.2,54.36,53.1,54.05,5274248,0.0
2020-09-29,53.98,54.3,52.59,52.65,6048557,0.0
2020-09-30,52.98,53.62,51.51,52.1,6875519,0.0
2020-10-01,52.37,52.86,52,52.4,5566500,0.0
2020-10-02,51.68,52.4299,51.19,51.67,4329687,0.0
2020-10-05,51.94,52.105,51.15,51.77,4018300,0.0
2020-10-06,51.77,51.78,49.485,49.64,7408218,0.0
2020-10-07,50.55,51.11,49.98,50.94,4657851,0.0
2020-10-08,51.3,52.18,50.98,52.06,5946356,0.0
2020-10-09,52.43,55.86,52.32,55.45,11533224,0.0
2020-10-12,56.2,56.2,54.53,55.38,6656783,0.0
2020-10-13,55.72,57.82,55.575,57.61,6253221,0.0
2020-10-14,57.79,58.34,56.43,56.48,5503100,0.0
2020-10-15,55.79,56.11,54.86,55.41,4964202,0.0
2020-10-16,55.34,56.44,55.19,55.84,4504608,0.0
2020-10-19,56.43,56.9,53.92,54.32,5215546,0.0
2020-10-20,54.64,55.13,54.03,54.2,3495697,0.0
2020-10-21,54.25,54.48,52.63,52.81,4023740,0.0
2020-10-22,52.59,52.72,51.57,52.29,4400449,0.0
2020-10-23,52.47,53.95,52.47,53.81,4876407,0.0
2020-10-26,53.49,53.945,52.28,53.35,5286346,0.0
2020-10-27,53.39,53.84,53,53.52,3860570,0.0
2020-10-28,52.87,54.1,52.38,53.28,7596944,0.0
2020-10-29,49.3,50.7999,48.03,49.26,21267564,0.0
2020-10-30,48.77,49.14,46.99,47.63,10323711,0.0
2020-11-02,48.19,49.34,47.21,47.87,7442683,0.0
2020-11-03,48,49.38,47.61,48.91,6943944,0.0
2020-11-04,49.47,49.64,47.56,47.81,12411340,0.0
2020-11-05,48.71,49.95,48.47,49.425,8948998,0.0
2020-11-06,49.7,51.17,49.05,50.68,8621806,0.0
2020-11-09,48,49.25,46.85,48.3,15434815,0.0
2020-11-10,47.55,47.64,45.36,46.55,13458378,0.0
2020-11-11,47.12,48.1,46.81,47.7,10801669,0.0
2020-11-12,48.13,48.17,46.4,46.59,8354107,0.0
2020-11-13,46.9,48.58,46.72,48.5632,7615828,0.0
2020-11-16,48.45,49.17,48.01,48.55,10329233,0.0
2020-11-17,48.37,48.9,47.96,48.33,8752151,0.0
2020-11-18,48.07,49.455,48.07,48.52,11865098,0.0
2020-11-19,48.646,50.05,48.56,49.78,9495826,0.0
2020-11-20,49.8,49.88,48.96,48.97,7445789,0.0
2020-11-23,49.18,50.34,49.1,49.91,6011196,0.0
2020-11-24,49.92,51.29,49.825,50.55,6117901,0.0
2020-11-25,50.75,51.03,50.05,50.46,3833841,0.0
2020-11-27,50.94,51.93,50.9,51.36,3278130,0.0
2020-11-30,51.03,51.23,49.36,50.43,7064208,0.0
2020-12-01,50.5,51.46,50.18,50.51,5795750,0.0
2020-12-02,50.52,51.54,50.36,51.36,5216715,0.0
2020-12-03,51.25,51.3,50.11,50.28,4537368,0.0
2020-12-04,50.03,51.19,49.6401,50.96,4234169,0.0
2020-12-07,50.91,51.01,49.91,50.03,3882501,0.0
2020-12-08,49.91,50.23,49.28,49.89,6433638,0.0
2020-12-09,49.96,50.18,49.22,49.48,6019288,0.0
2020-12-10,49.4,49.84,48.93,49.6,3279695,0.0
2020-12-11,49.44,49.61,48.67,49.12,3641851,0.0
2020-12-14,49.23,50.5,49.23,49.56,4753303,0.0
2020-12-15,49.96,52.1,49.69,52.09,6751001,0.0
2020-12-16,52.16,54.89,52.16,53.645,11676731,0.0
2020-12-17,53.63,53.96,52.44,53.05,5365931,0.0
2020-12-18,53.1,53.26,52.395,53.06,5230476,0.0
2020-12-21,52.62,52.68,51.17,51.575,5401903,0.0
2020-12-22,51.71,52.02,51.08,51.62,3931963,0.0
2020-12-23,52,52,51.13,51.13,4371982,0.0
2020-12-24,51.23,51.24,49.94,50.12,2518225,0.0
2020-12-28,50.5,50.55,49.93,50.25,5516095,0.0
2020-12-29,50.65,51.11,50.3,50.86,4533135,0.0
2020-12-30,51.015,51.51,50.47,50.56,4543485,0.0
2020-12-31,50.605,50.814,50,50.25,2961870,0.0
2021-01-04,50.48,51.9,50.45,51.51,6827930,0.0
2021-01-05,51.3503,52.28,51.06,52.01,5862046,0.0
2021-01-06,51.5,54.29,51.4,53.23,7843314,0.0
2021-01-07,53.42,54.23,53.01,53.02,6414932,0.0
2021-01-08,53.37,54.55,53.23,54.49,5235407,0.0
2021-01-11,54.18,54.41,53.47,53.92,6206795,0.0
2021-01-12,53.98,56.705,53.8761,56.03,10653231,0.0
2021-01-13,55.775,56.37,55.355,55.72,7004911,0.0
2021-01-14,55.83,55.83,54.98,55.28,4527816,0.0
2021-01-15,55.29,55.71,54.31,55.43,5591221,0.0
2021-01-19,55.55,57.2,55.44,56.95,5963021,0.0
