Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,495.51,500.41,492.0,499.87,228385,6636,497.985272
2021-01-04,503.82,504.6599,483.125,491.77,472344,14410,492.458094
2021-01-05,488.91,498.93,487.51,497.26,355999,11521,495.941004
2021-01-06,489.05,491.67,479.36,483.6,634003,18744,483.416838
2021-01-07,483.49,497.49,483.49,495.19,499536,13258,492.329253
2021-01-08,499.79,513.56,499.29,513.2,401413,14310,509.316743
2021-01-11,515.57,516.865,503.83,506.55,441923,13195,507.766305
2021-01-12,507.09,509.47,491.22,496.73,353241,13666,497.9498
2021-01-13,496.18,501.5601,494.22,497.58,299657,10165,497.618701
2021-01-14,497.31,499.75,487.89,488.9,333922,11478,491.16917
2021-01-15,487.93,494.24,480.93,489.46,340894,9531,487.694722
2021-01-19,489.24,489.3,481.35,484.93,327237,9965,485.217816
2021-01-20,486.41,496.7795,485.84,495.04,285333,9182,494.316886
2021-01-21,495.0,498.56,487.4853,496.44,254634,10403,494.841673
2021-01-22,490.73,498.98,490.0038,492.86,329402,10307,494.892563
2021-01-25,492.47,495.97,482.09,489.21,349626,10482,488.660614
2021-01-26,488.35,488.35,476.3255,478.1,346910,11655,479.835867
2021-01-27,474.86,475.81,455.23,465.18,583204,18105,463.037112
2021-01-28,465.31,492.81,465.31,482.27,493490,13611,484.281172
2021-01-29,481.05,491.88,471.75,478.68,493819,14368,479.578048
2021-02-01,483.02,497.65,479.37,492.42,573056,19090,492.125134
2021-02-02,503.33,522.9,502.0,506.65,702042,18190,509.417649
2021-02-03,504.17,507.63,484.15,485.36,605246,17365,491.377252
2021-02-04,487.91,495.115,486.03,494.0,440694,12351,491.704917
2021-02-05,496.29,506.0,495.01,502.64,299159,8783,501.995338
2021-02-08,504.31,510.25,491.44,495.76,427683,13367,496.521487
2021-02-09,497.31,506.28,493.3,505.05,447072,10974,501.761962
2021-02-10,509.26,521.49,505.31,516.54,540983,14898,516.281182
2021-02-11,519.3,529.45,515.18,528.47,411831,12052,524.65141
2021-02-12,530.74,545.85,528.0,544.08,324957,10828,539.913716
2021-02-16,545.0,548.58,531.19,538.16,406233,10991,538.040616
2021-02-17,535.9,544.56,532.0619,540.35,371868,10188,538.545112
2021-02-18,537.04,573.99,535.17,551.79,1576161,57283,556.595198
2021-02-19,561.21,563.56,542.755,544.13,654976,27371,551.97794
2021-02-22,547.12,547.12,534.01,536.91,461459,22103,538.585736
2021-02-23,534.82,535.085,508.11,525.22,591193,25260,520.320716
2021-02-24,527.41,534.75,517.27,532.88,440307,16851,530.064438
2021-02-25,530.08,535.38,509.45,518.28,427870,18778,519.029798
