Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,24.52,25.17,24.52,25.02,1572375,0.0
2020-12-07,24.93,25.045,24.38,24.43,1214768,0.0
2020-12-08,24.35,24.6,24.09,24.28,1550132,0.0
2020-12-09,24.45,24.68,24.02,24.18,1319422,0.0
2020-12-10,24.01,24.29,23.71,24.13,1138060,0.0
2020-12-11,24.18,24.27,23.76,23.93,947266,0.0
2020-12-14,24.24,24.67,24.03,24.5682,1386997,0.0
2020-12-15,24.7,25.35,24.53,25.18,1048974,0.0
2020-12-16,25.31,25.55,25.1,25.33,1302787,0.0
2020-12-17,25.45,25.6662,25.12,25.56,1270497,0.0
2020-12-18,25.66,25.76,24.985,25.11,2339738,0.0
2020-12-21,24.64,24.71,23.76,23.86,1451856,0.0
2020-12-22,24.05,24.23,23.58,23.79,1406377,0.0
2020-12-23,23.93,24.485,23.9172,24.29,1064170,0.0
2020-12-24,24.32,24.58,24.22,24.36,292224,0.0
2020-12-28,24.39,24.58,24.175,24.44,799149,0.0
2020-12-29,24.52,24.615,24.14,24.57,1079538,0.0
2020-12-30,24.51,24.75,24.31,24.48,1168711,0.0
2020-12-31,24.37,24.545,24.07,24.22,2090653,0.0
2021-01-04,24.31,24.9401,24.02,24.31,1977075,0.0
2021-01-05,24.11,25.55,24.04,25.43,2067002,0.0
2021-01-06,25.695,26.625,25.325,26.23,1681236,0.0
2021-01-07,26.46,26.5,25.94,25.97,956351,0.0
2021-01-08,26.07,26.08,25.205,25.59,958880,0.0
2021-01-11,25.19,25.66,24.79,25.57,783114,0.0
2021-01-12,26.07,26.07,25.13,25.44,1026622,0.0
2021-01-13,25.39,25.55,24.88,25.12,782671,0.0
2021-01-14,25.27,25.425,24.775,24.92,733787,0.0
2021-01-15,24.86,25.065,24.37,24.77,1688018,0.0
2021-01-19,24.9,25.03,24.53,24.78,1441017,0.0
2021-01-20,24.86,25.1,24.71,24.96,1347977,0.0
2021-01-21,24.95,25.38,24.89,24.95,1275061,0.0
2021-01-22,24.82,25.3,24.77,25.11,1025893,0.0
2021-01-25,25.11,25.57,25.04,25.435,1087846,0.0
2021-01-26,25.53,25.865,25.48,25.78,1620955,0.0
2021-01-27,25.67,25.95,25.07,25.24,1830845,0.0
2021-01-28,25.11,25.86,25.11,25.35,1755714,0.0
2021-01-29,25.14,25.3,24.025,24.14,2038537,0.0
2021-02-01,24.23,24.5,23.93,24.03,1410223,0.0
2021-02-02,24.2,24.39,23.985,24.03,2051091,0.0
2021-02-03,24.36,24.49,24.06,24.27,1354128,0.0
2021-02-04,24.28,24.61,24.115,24.46,1464374,0.0
2021-02-05,24.62,24.68,24.46,24.61,984953,0.0
2021-02-08,24.9,25.165,24.75,24.97,1325501,0.0
2021-02-09,24.94,24.94,24.32,24.8,2430985,0.0
2021-02-10,25.01,25.5,24.84,25.07,1647229,0.0
2021-02-11,25.13,25.25,24.83,25.23,1319747,0.0
2021-02-12,25.21,25.34,24.97,25.07,1519582,0.0
2021-02-16,25.1,26.58,25.1,26.25,2911598,0.0
2021-02-17,26.14,26.49,25.69,26.17,1978386,0.0
2021-02-18,25.99,26.15,25.73,26.02,2190440,0.0
2021-02-19,26.09,26.655,25.97,26.59,1594640,0.0
2021-02-22,26.59,26.6,25.58,25.61,1170356,0.0
2021-02-23,25.65,25.65,24.895,25.26,1548075,0.0
2021-02-24,25.31,25.47,24.8,24.89,2035579,0.0
2021-02-25,25.32,25.32,24.29,24.36,1871118,0.0
2021-02-26,24.36,24.82,23.98,24.62,3250158,0.0
2021-03-01,24.96,24.97,24.19,24.61,1721250,0.0
2021-03-02,24.61,24.97,24.465,24.65,1295793,0.0
2021-03-03,24.91,24.91,24.24,24.35,1061190,0.0
2021-03-04,24.27,24.32,23.64,23.75,1787964,0.0
2021-03-05,23.98,24.02,23.1901,23.87,1443063,0.0
2021-03-08,24.23,24.5,23.76,24.12,1721441,0.0
2021-03-09,23.7426,24.91,23.7426,24.56,1034355,0.0
2021-03-10,24.83,25.35,24.6,25.235,1224101,0.0
2021-03-11,25.15,25.82,25.07,25.58,1164428,0.0
2021-03-12,25.86,25.86,25.465,25.68,491213,0.0
2021-03-15,25.8,26.27,25.6,25.96,958281,0.0
2021-03-16,25.83,26.54,25.81,26.4,1282961,0.0
2021-03-17,26.31,26.77,25.99,26.76,1266757,0.0
2021-03-18,26.5,26.83,26.18,26.375,1070424,0.0
2021-03-19,26.19,26.87,26.19,26.33,1121105,0.0
2021-03-22,26.76,27.01,26.25,26.93,841804,0.0
2021-03-23,26.93,27.04,26.61,26.62,654037,0.0
2021-03-24,26.72,26.885,25.69,25.71,854611,0.0
2021-03-25,25.56,26.19,25.41,26.09,737715,0.0
2021-03-26,26.12,26.25,25.73,26.11,806378,0.0
2021-03-29,26.03,26.29,25.48,25.54,700176,0.0
2021-03-30,25.5,25.515,25.09,25.38,746184,0.0
2021-03-31,25.3,25.93,25.3,25.66,707985,0.0
2021-04-01,25.64,25.9,25.57,25.79,664800,0.0
2021-04-05,26.08,26.29,25.53,25.63,407468,0.0
2021-04-06,25.45,26.2,25.41,26.12,816565,0.0
2021-04-07,26.03,26.27,25.77,25.79,639766,0.0
2021-04-08,25.77,25.91,25.52,25.71,965377,0.0
2021-04-09,25.72,25.8601,25.42,25.8,684948,0.0
2021-04-12,25.89,25.98,25.66,25.81,394029,0.0
2021-04-13,25.83,26.2,25.71,25.77,694450,0.0
2021-04-14,25.85,26.0699,25.78,25.89,1128415,0.0
2021-04-15,26.12,26.33,25.87,26.29,712021,0.0
2021-04-16,26.85,26.64,26.38,26.48,432470,0.0
2021-04-19,26.49,26.595,26.18,26.37,769886,0.0
2021-04-20,26.29,26.53,26.13,26.19,580550,0.0
2021-04-21,26.24,26.44,26,26.03,682331,0.0
2021-04-22,26.01,26.16,25.15,25.24,1345914,0.0
2021-04-23,25.34,25.37,24.96,25.08,1214069,0.0
2021-04-26,25.21,26.01,25.06,25.91,1095127,0.0
2021-04-27,25.84,26.02,25.56,25.76,915921,0.0
2021-04-28,25.94,26.73,25.64,26.53,1414184,0.0
