Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-08,332.79,335.4,329.39,333.89,835965,0.0
2020-07-09,337.36,338.9284,331.05,335.55,1524944,0.0
2020-07-10,335.09,340.29,330.65,339.81,1334582,0.0
2020-07-13,343,350.24,336.85,337.05,1963263,0.0
2020-07-14,336.07,347.51,331.4,346.21,1679771,0.0
2020-07-15,347.07,348.8,335.61,343.46,1460957,0.0
2020-07-16,340.27,346.71,338.89,344.55,1025347,0.0
2020-07-17,347.86,348.33,341.1501,346.27,855199,0.0
2020-07-20,346.27,355.94,342.01,353.72,1095478,0.0
2020-07-21,357.37,362.2,352.34,357.02,1568796,0.0
2020-07-22,359.97,363,356.5,361.96,942326,0.0
2020-07-23,358.85,367.56,350.91,354.96,1581359,0.0
2020-07-24,340.08,348,338.605,345.5,1514779,0.0
2020-07-27,347.44,360.0773,346.675,358.025,1443761,0.0
2020-07-28,354.61,358.93,348.6,348.89,1168180,0.0
2020-07-29,352.1,361.84,349,360.82,1886261,0.0
2020-07-30,367.775,381.48,367.08,378.75,2424933,0.0
2020-07-31,379.56,380.16,369.29,377.17,1824279,0.0
2020-08-03,380.8,387.695,379.18,381.38,1306580,0.0
2020-08-04,382.18,385.75,380.22,384.96,1032847,0.0
2020-08-05,384.58,387.09,382.28,383.43,712225,0.0
2020-08-06,377,379.6,370.79,377.74,1504405,0.0
2020-08-07,378.38,381.69,366.45,372.1,1246811,0.0
2020-08-10,372.44,376.82,369.15,376.03,819995,0.0
2020-08-11,378.86,380.87,367.39,369.09,991533,0.0
2020-08-12,372.18,383.28,369.93,381.51,1092653,0.0
2020-08-14,379,384.99,373,373.65,1235510,0.0
2020-08-17,376.55,384.17,372.81,379.1,1259845,0.0
2020-08-18,381.95,382.7021,372.93,374.59,953150,0.0
2020-08-19,374.03,376.19,368.26,372.19,976619,0.0
2020-08-20,360.1,363.4,355.27,358.38,2096643,0.0
2020-08-21,355.92,356.71,350.33,353.44,2354751,0.0
2020-08-24,356.84,357.25,347.32,350.75,1230867,0.0
2020-08-25,353.05,356.3,350.5,352.38,1189419,0.0
2020-08-26,352.55,354,348.07,351.6,1063484,0.0
2020-08-27,354.86,354.86,338.59,341.67,1796775,0.0
2020-08-28,342.66,351.99,341.45,350.61,1485623,0.0
2020-08-31,348.55,349.145,336.24,336.34,2277334,0.0
2020-09-01,339.55,346.5,337.568,340.54,1845485,0.0
2020-09-02,345.98,365.141,344.25,362.94,2570998,0.0
2020-09-03,357.295,357.295,339.395,341.52,2264304,0.0
2020-09-04,339,339.9,319.69,333.09,2324567,0.0
2020-09-08,310.96,316.46,302.19,302.72,2884284,0.0
2020-09-09,310.96,311.81,300.335,300.9,2654331,0.0
2020-09-10,301.055,305.08,295.78,297.79,1754487,0.0
