Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,378.87,380.245,374.36,376.96,1130550,0.0
2020-12-07,376.3,376.55,366.66,371.48,1936665,0.0
2020-12-08,372.03,375.67,367,371.2,1389546,0.0
2020-12-09,374.51,378.5,361.84,363.35,1580759,0.0
2020-12-10,367.02,370.68,359.7764,369.44,1969238,0.0
2020-12-11,366.33,366.565,343.28,344.213,6292458,0.0
2020-12-14,344,354.83,337.07,352.37,2602638,0.0
2020-12-15,355.94,360.8137,353.615,355.9499,1565321,0.0
2020-12-16,357.21,363.5,351.565,363.03,1684801,0.0
2020-12-17,367,387.37,363.99,385.86,3088831,0.0
2020-12-18,387.06,387.22,373.18,378.29,1930158,0.0
2020-12-21,373.355,377.7699,369.46,373.31,1304407,0.0
2020-12-22,373.75,375,357.52,360.07,1833014,0.0
2020-12-23,363,363.99,354.91,355.13,1185447,0.0
2020-12-24,355,356.385,350.45,351.16,692571,0.0
2020-12-28,355.185,355.185,345.5,351.35,1293268,0.0
2020-12-29,353.76,354.22,343.67,353.16,1161269,0.0
2020-12-30,355,356,349.8,350.79,882685,0.0
2020-12-31,349.28,351.81,346.7578,347.84,705413,0.0
2021-01-04,351.67,356.83,346.41,356.49,1738659,0.0
2021-01-05,357.89,369.441,357.375,366.53,2021521,0.0
2021-01-06,362.11,367.6,357.48,363.51,994520,0.0
2021-01-07,366.87,374.2,364.6,367.32,935080,0.0
2021-01-08,367.36,370.54,362.59,365.46,914331,0.0
2021-01-11,354.13,373.0798,352.34,361.66,1644880,0.0
2021-01-12,361.6,362.2525,351.1411,356.82,1566635,0.0
2021-01-13,357.75,359.01,350.5,351.99,1023220,0.0
2021-01-14,352.3,357.59,347.51,347.73,982532,0.0
2021-01-15,347,347.2,337.43,344.51,1322718,0.0
2021-01-19,346.49,348.55,340.1501,342.26,1086213,0.0
2021-01-20,344.91,357.13,343.81,355.08,1230028,0.0
2021-01-21,356.76,358.05,348.7964,349.26,779393,0.0
2021-01-22,349.15,350.1657,344.42,346.49,593295,0.0
2021-01-25,347.14,350,335,340,1707834,0.0
2021-01-26,340.5,340.5,328.65,330.54,1883134,0.0
2021-01-27,325.5,331.489,312.9,329.93,2009821,0.0
2021-01-28,330.8,336.5,328.7,330,1586731,0.0
2021-01-29,327.85,330.81,322.01,328.81,1133096,0.0
2021-02-01,329.38,334.22,324.4,333.69,1315101,0.0
2021-02-02,335.82,344.33,334.67,343.92,1071377,0.0
2021-02-03,344.99,345,331.52,332.52,1249187,0.0
2021-02-04,335.34,340,334.35,338.6,1042995,0.0
2021-02-05,340.2,340.2,332.91,334.09,1152572,0.0
2021-02-08,335.95,342.43,334.12,339.66,909889,0.0
2021-02-09,336.65,342.33,334.15,340.4,889829,0.0
2021-02-10,341.2,344.91,338.01,340.76,747260,0.0
2021-02-11,344.72,347,340.86,346,875669,0.0
2021-02-12,345.01,345.67,339.25,342.86,719740,0.0
2021-02-16,344.19,345,339.23,339.81,752711,0.0
2021-02-17,338.07,338.59,331.19,337.53,805322,0.0
2021-02-18,334.85,338.42,325.75,336.81,1135880,0.0
2021-02-19,337,338.19,331.12,332.23,1025754,0.0
2021-02-22,328.81,328.81,319.3119,321.67,1199312,0.0
2021-02-23,315.77,325.51,304.87,323.1,1801322,0.0
2021-02-24,318.79,321.18,312.51,317.9,1056537,0.0
2021-02-25,316.2,326.1894,308.575,310,1186708,0.0
2021-02-26,312.35,316.58,306.3993,311.69,1245114,0.0
2021-03-01,313.09,317.35,312.11,314.96,1231142,0.0
2021-03-02,316.51,321.25,312.1044,317.57,1225533,0.0
2021-03-03,313.69,315.7544,295.68,295.8,2307386,0.0
2021-03-04,296.41,299.28,280.4835,285.18,2834133,0.0
2021-03-05,290.45,293.82,269.2801,293.23,2416585,0.0
2021-03-08,291.17,295.87,288.05,289.09,1872836,0.0
2021-03-09,296.95,304.85,294.78,298.47,1422371,0.0
2021-03-10,302.07,311.41,299.19,309,2068046,0.0
2021-03-11,313.53,315.34,308.74,310.17,1551851,0.0
2021-03-12,304.46,307.7,299.01,306.06,1183127,0.0
2021-03-15,306.73,314.565,304.1656,314.3,794829,0.0
2021-03-16,315.55,316.8896,305.7,308.72,840449,0.0
2021-03-17,303.89,316.59,303.89,315.47,885865,0.0
2021-03-18,311.17,316.2,305.28,306.41,945509,0.0
2021-03-19,305.37,312.48,303.51,308.71,1269758,0.0
2021-03-22,309.59,316.52,308.76,313.6,764344,0.0
2021-03-23,314.22,321.3,312.9001,314.23,1027299,0.0
