Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-15,47.36,49.73,47.1,49.25,16045687,0.0
2020-06-16,51.16,52.15,49.86,51.02,17899557,0.0
2020-06-17,51.3,51.51,50.535,50.97,12279497,0.0
2020-06-18,50.5,51.04,50.02,50.48,22282715,0.0
2020-06-19,51.16,52.75,50.785,50.83,43324087,0.0
2020-06-22,51.1,51.4,50.24,51.15,14002404,0.0
2020-06-23,50.69,50.89,49.5683,49.84,20996640,0.0
2020-06-24,49.65,50.1,48.02,48.3,17982224,0.0
2020-06-25,48.2404,49.31,47.275,49.2,13872930,0.0
2020-06-26,49.15,49.35,48.14,48.5,13920325,0.0
2020-06-29,48.69,49.15,47.58,49.15,18223201,0.0
2020-06-30,51.78,52.47,50.97,51.49,45068641,0.0
2020-07-01,51.52,51.555,49.61,49.7,23859859,0.0
2020-07-02,50.5,50.75,49.48,49.83,17243343,0.0
2020-07-06,50.75,51.43,50.48,50.92,14776754,0.0
2020-07-07,50.52,50.57,49.01,49.09,18032621,0.0
2020-07-08,49.56,49.75,48.96,49.71,13767789,0.0
2020-07-09,49.85,50.39,48.73,49.98,17363408,0.0
2020-07-10,50.01,50.71,49.4,50.7,16388708,0.0
2020-07-13,51.31,52.283,49.38,49.47,21704147,0.0
2020-07-14,49.08,49.79,47.95,49.71,16319867,0.0
2020-07-15,50.21,50.65,49.405,50.53,14574100,0.0
2020-07-16,49.82,50.285,49.23,50.035,11790954,0.0
2020-07-17,50.3066,50.43,49.28,49.47,13541695,0.0
2020-07-20,49.66,51.32,49.535,51.2,14621298,0.0
2020-07-21,51.62,52.66,51.23,51.53,15623927,0.0
2020-07-22,51.58,51.77,51.02,51.64,10650106,0.0
2020-07-23,51.74,54.2,51.57,52.62,25128988,0.0
2020-07-24,51.28,51.28,49.65,50.03,24116955,0.0
2020-07-27,50.6,51.71,50.49,51.6,14769583,0.0
2020-07-28,51.26,51.27,50.04,50.1,14434903,0.0
2020-07-29,50.39,50.63,49.78,50.39,13952314,0.0
2020-07-30,49.74,50.75,49.11,50.74,16506675,0.0
2020-07-31,50.62,50.7,49.26,50.055,16403555,0.0
