Date,Estimate,Actual
2022-06-28,None,None
2022-03-29,None,None
2022-01-05,None,None
2021-09-27,2.32,None
2021-06-30,1.72,1.88
2021-03-31,0.95,0.98
2021-01-07,0.71,0.78
2020-09-29,0.99,1.08
2020-06-29,0.78,0.82
2020-03-25,0.37,0.45
2019-12-18,0.47,0.48
2019-09-26,0.49,0.56
2019-06-25,0.79,1.05
2019-03-20,1.67,1.71
2018-12-18,2.96,2.97
2018-09-20,3.34,3.53
2018-06-20,3.14,3.15
2018-03-22,2.73,2.82
2017-12-19,2.21,2.45
2017-09-26,1.84,2.02
2017-06-29,1.51,1.62
2017-03-23,0.86,0.9
2016-12-21,0.28,0.32
2016-10-04,-0.12,-0.05
2016-06-30,-0.09,-0.08
2016-03-30,-0.08,-0.05
2015-12-22,0.23,0.24
2015-10-01,0.32,0.37
2015-06-25,0.56,0.54
2015-04-01,0.73,0.81
2015-01-06,0.92,0.97
2014-09-25,0.81,0.82
2014-06-23,0.7,0.79
2014-04-03,0.76,0.85
2014-01-07,0.43,0.72
2013-10-10,0.25,0.2
2013-06-19,0.02,0.04
2013-03-21,-0.19,-0.28
2012-12-20,-0.2,-0.27
2012-09-27,-0.23,-0.24
2012-06-20,-0.2,-0.32
2012-03-22,-0.19,-0.29
2011-12-21,-0.08,-0.19
2011-09-29,0.01,-0.14
2011-06-23,0.16,0.07
2011-03-23,0.02,0.07
2010-12-22,0.28,0.15
2010-10-07,0.38,0.32
2010-06-28,0.43,0.45
2010-03-31,0.24,0.39
2009-12-22,0.07,0.23
2009-09-29,-0.18,-0.09
2009-06-25,-0.43,-0.57
2009-04-02,-0.64,-0.82
2008-12-23,-0.45,-0.72
2008-10-01,-0.24,-0.27
2008-06-26,-0.28,-0.3
2008-04-02,-0.36,-0.41
2007-12-20,-0.2,-0.34
2007-10-02,-0.22,-0.21
2007-06-28,-0.24,-0.29
2007-04-04,-0.01,-0.07
2006-12-21,0.2,0.15
2006-10-05,0.14,0.08
2006-06-28,0.09,0.12
2005-12-21,0.11,0.09
2005-09-29,-0.08,0.07
2005-06-23,0.02,-0.2
2005-03-29,0.15,0.17
2004-12-22,0.22,0.23
2004-09-29,0.2,0.14
2004-06-23,0.09,0.13
2004-03-24,-0.06,-0.04
2003-12-23,-0.06,0
2003-09-24,-0.25,-0.2
2003-06-18,-0.52,-0.36
2003-03-20,-0.46,-0.83
2002-12-17,-0.23,-0.52
2002-09-24,-0.18,-0.18
2002-06-25,0.06,-0.04
2002-03-21,-0.05,-0.05
2001-12-18,-0.39,-0.44
2001-09-25,-0.34,-0.28
2001-06-21,-0.15,-0.23
2001-03-29,-0.02,-0.01
2000-12-20,0.58,0.58
2000-10-04,0.96,1.2
2000-06-22,0.35,0.47
2000-03-21,0.36,0.29
1999-12-22,0.4,0.6
1999-10-04,-0.09,-0.04
1999-06-23,0.01,-0.05
1999-03-24,0,0.04
1998-12-23,-0.15,-0.09
1998-09-28,-0.27,-0.21
1998-06-18,-0.22,-0.2
1998-03-17,-0.08,-0.2
1997-12-15,0.04,0.02
1997-09-22,0.24,0.17
1997-06-16,0.18,0.22
