Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,65.27,66.39,65.01,66.24,1032678,13666,65.994989
2021-01-04,66.47,66.725,64.19,64.86,2319930,28711,65.0419
2021-01-05,64.38,65.65,64.34,65.17,1860328,24191,65.211749
2021-01-06,64.74,66.51,64.67,65.23,2406416,28505,65.501547
2021-01-07,65.19,65.97,64.69,65.24,2014903,19354,65.278243
2021-01-08,65.31,65.82,64.555,64.97,2671800,31964,65.210453
2021-01-11,64.27,65.68,64.01,65.22,1440378,17934,65.11394
2021-01-12,65.85,66.56,65.41,66.16,1550377,19488,66.107151
2021-01-13,66.02,66.14,64.85,65.2,981947,14217,65.26261
2021-01-14,65.39,66.18,65.01,65.84,928181,15123,65.804042
2021-01-15,65.39,65.92,64.44,64.66,1475821,20628,64.877645
2021-01-19,65.0,65.35,63.8,64.28,1306652,16266,64.381492
2021-01-20,64.77,64.93,64.0293,64.51,1062214,15571,64.576565
2021-01-21,64.59,65.28,63.92,64.97,980584,14030,64.75604
2021-01-22,64.18,64.929,63.4,64.76,1466662,17219,64.414477
2021-01-25,64.87,65.66,64.25,65.65,1693633,22420,65.334189
2021-01-26,65.85,66.26,64.93,65.7,1968459,20689,65.609592
2021-01-27,65.55,70.64,65.11,68.89,4425215,47191,68.708769
2021-01-28,68.77,70.0,67.36,67.4,2843604,35145,68.288771
2021-01-29,67.08,68.08,65.53,66.44,5979727,34168,66.40574
2021-02-01,67.21,67.44,66.04,66.08,1955411,27086,66.641865
2021-02-02,66.7,66.9,64.68,65.08,2336664,22639,65.35194
2021-02-03,65.35,67.2,65.02,66.66,1844806,22703,66.485092
2021-02-04,67.0,67.0,65.99,66.92,1102456,13868,66.64198
2021-02-05,67.24,67.88,66.645,67.38,1447772,14756,67.3137
2021-02-08,67.94,69.75,67.69,69.73,1105692,13958,69.282726
2021-02-09,69.73,70.4,69.13,69.87,1121172,14117,69.827245
2021-02-10,70.0,70.31,68.17,68.75,1847879,18168,68.809639
2021-02-11,69.7,69.84,68.27,69.16,1294203,15705,69.025553
2021-02-12,68.93,69.9125,68.85,69.86,1048584,13752,69.600075
2021-02-16,69.89,70.07,68.8,68.85,1418877,15696,69.344514
2021-02-17,68.89,68.94,67.42,68.24,1490796,17501,67.945581
2021-02-18,67.83,68.74,67.54,68.07,1319525,17843,68.078916
2021-02-19,69.58,71.675,69.455,71.35,3231678,28747,70.906621
2021-02-22,70.56,71.57,69.93,71.07,2196961,22534,70.990877
2021-02-23,70.77,70.77,67.8401,69.33,1691098,22574,69.11197
2021-02-24,68.83,71.57,68.75,71.57,2222333,24652,70.614086
2021-02-25,67.95,67.95,61.16,61.21,6272551,69167,63.78724
2021-02-26,62.35,63.95,61.33,62.6,4088977,45641,62.843012
2021-03-01,63.0,66.15,62.84,65.23,3143861,40908,65.275724
2021-03-02,65.3,65.39,63.68,63.72,2083076,23186,64.158867
2021-03-03,64.25,64.73,63.09,63.8,1495076,18103,63.769299
2021-03-04,63.48,63.99,60.06,61.08,2115467,25477,61.448843
2021-03-05,62.14,62.3,58.83,61.33,2175068,30207,60.796599
2021-03-08,61.99,63.16,61.48,62.59,2147321,28434,62.536975
2021-03-09,63.41,65.645,63.23,64.61,3685468,25486,64.831315
2021-03-10,66.14,68.04,66.08,66.66,3985783,29822,66.95477
2021-03-11,67.22,68.87,67.21,67.98,1701511,20564,68.013273
2021-03-12,67.36,67.94,66.93,67.56,1073524,12680,67.506606
2021-03-15,67.64,68.87,67.03,68.8,1675491,18209,68.41336
2021-03-16,68.68,69.64,67.995,69.1,1458710,15503,69.05867
2021-03-17,69.05,71.26,68.39,71.16,1780786,23296,70.377325
2021-03-18,70.17,72.025,69.963,70.31,1785331,22687,70.911347
2021-03-19,70.28,71.5,69.9,70.16,2952927,18039,70.31606
2021-03-22,70.2,71.045,69.313,70.54,986228,14183,70.36083
2021-03-23,70.38,70.76,67.91,68.43,1263446,15397,68.923788
2021-03-24,69.23,70.06,68.41,68.63,1269462,15788,69.114081
2021-03-25,68.21,70.56,67.72,70.27,1891511,19797,69.628915
2021-03-26,70.47,74.84,70.47,74.75,1773720,23915,73.306385
2021-03-29,74.34,75.58,71.93,72.4,2415508,30289,73.428764
2021-03-30,71.87,72.22,71.11,72.22,1820812,19708,71.818552
2021-03-31,72.63,73.64,72.45,72.67,1662570,18147,72.938842
2021-04-01,73.73,73.73,72.13,73.65,1675825,20869,72.933433
2021-04-05,73.96,74.95,72.77,74.33,1475375,19045,74.330078
2021-04-06,73.67,73.915,72.43,73.41,1900706,19625,73.175345
2021-04-07,73.23,73.94,72.7544,73.67,1254366,18228,73.40468
2021-04-08,74.14,75.14,72.81,73.68,1504729,20495,73.533632
2021-04-09,73.63,74.11,73.18,73.88,1699532,17483,73.746584
2021-04-12,73.97,74.57,73.22,74.2,1092738,16517,73.99822
2021-04-13,74.33,74.53,73.26,74.48,1000399,12258,74.039076
2021-04-14,74.59,76.62,74.5,76.47,2112301,28461,76.065501
2021-04-15,77.29,77.66,76.25,76.68,1726521,24083,76.855668
2021-04-16,76.96,78.77,76.07,77.67,1562000,21400,78.185398
2021-04-19,77.41,78.235,76.92,77.31,1433293,19150,77.568731
2021-04-20,77.02,77.24,75.02,75.19,1073780,18549,75.627407
2021-04-21,75.0,76.0,74.45,75.91,893133,15892,75.577553
2021-04-22,75.94,76.22,74.97,75.5,1993058,16765,75.489599
2021-04-23,75.68,77.29,75.25,76.94,985274,12498,76.773424
2021-04-26,77.24,77.59,76.7815,77.15,850414,11384,77.194435
2021-04-27,77.24,77.48,76.46,76.67,946174,13447,76.790438
2021-04-28,76.88,76.97,75.92,76.6,1060430,13318,76.47976
2021-04-29,77.68,77.91,76.33,76.87,1211124,17462,76.899447
2021-04-30,76.68,76.68,74.43,74.69,1151037,16282,74.989236
2021-05-03,75.32,75.48,73.89,74.31,1263006,18993,74.369448
2021-05-04,74.08,75.42,73.29,75.38,1316108,18075,74.620473
2021-05-05,76.36,77.05,74.76,76.565,1217579,17276,76.365667
2021-05-06,76.5,77.95,76.4568,77.89,1196284,15279,77.256066
2021-05-07,77.49,79.695,77.32,79.52,1224506,17748,79.192305
2021-05-10,79.5,79.52,78.37,78.86,1395187,23262,79.085406
2021-05-11,77.38,77.86,76.07,76.74,1509419,19487,76.984609
2021-05-12,76.04,76.71,73.92,74.34,1127019,19975,74.773384
2021-05-13,74.77,76.98,74.77,76.61,693258,14433,76.101884
2021-05-14,77.34,78.76,75.92,78.48,637407,13289,78.044477
2021-05-17,78.2,78.97,77.9,78.44,2219248,14803,78.448948
2021-05-18,78.8,78.905,77.24,77.28,2079720,18683,77.512338
2021-05-19,76.58,77.73,75.84,77.71,1093567,18531,76.995502
2021-05-20,77.7,78.645,76.94,77.49,1672955,21236,77.593859
2021-05-21,78.17,78.97,77.77,78.27,1064840,14028,78.35324
2021-05-24,78.95,79.82,78.69,78.99,1260313,20098,79.183695
2021-05-25,79.48,79.68,78.13,78.21,1031085,16671,78.545199
2021-05-26,78.36,79.46,78.29,79.44,1211120,17352,79.140476
2021-05-27,80.0,80.66,78.32,78.98,2779387,24044,79.191506
2021-05-28,78.71,79.0,77.07,77.37,1548771,19959,77.580012
2021-06-01,76.96,77.38,76.15,76.71,2640554,30599,76.766517
2021-06-02,76.57,77.26,76.13,77.06,3060021,34372,76.765075
2021-06-03,76.75,80.45,76.62,78.68,4064776,41908,79.121395
