Date,Open,High,Low,Close,Volume,OpenInterest
2017-07-18,188.24,191.2,185.44,187.53,2284537,0.0
2017-07-19,188.02,188.925,185.88,186.94,1695435,0.0
2017-07-20,187.25,190.2,186.92,188.75,978178,0.0
2017-07-21,188.46,189.37,187.15,188.19,1245216,0.0
2017-07-24,188.25,188.78,184.04,184.52,1232538,0.0
2017-07-25,184.33,187.02,183.6,186.87,1508906,0.0
2017-07-26,187.35,190.36,186.05,187.67,1383871,0.0
2017-07-27,196.4,202.17,190.05,201.31,2495252,0.0
2017-07-28,200.37,201.77,198.01,199.99,1072263,0.0
2017-07-31,200.22,205.71,199.3,204.31,1059718,0.0
2017-08-01,204.44,208.839,202.53,208.15,1103689,0.0
2017-08-02,207.88,210.03,206.58,209.695,1515490,0.0
2017-08-03,209.96,211.02,205.42,205.62,2344585,0.0
2017-08-04,206.41,207.27,204.681,205.02,1155988,0.0
2017-08-07,204.49,207.72,203.34,205.07,681592,0.0
2017-08-08,204.04,205.5,202.08,203.08,1017185,0.0
2017-08-09,202.01,204.255,201.5,203.23,893764,0.0
2017-08-10,201.94,202.01,196.72,197.29,989002,0.0
2017-08-11,198.43,201.029,196.32,198.93,673793,0.0
2017-08-14,200.15,201.26,197.94,198.43,673872,0.0
2017-08-15,190.66,198.1,186.82,196,2499433,0.0
2017-08-16,198.99,202.37,196.51,201.58,1336799,0.0
2017-08-17,201.89,205.49,199.72,200.64,1209830,0.0
2017-08-18,200.07,203.74,196.85,197.93,1039858,0.0
2017-08-21,198.85,199.2106,194.73,197.8,722922,0.0
2017-08-22,198.66,199.41,196.9,197.91,600026,0.0
2017-08-23,197.07,198.83,194.92,195.29,846640,0.0
2017-08-24,194.72,197.67,194.72,196.44,1048163,0.0
2017-08-25,196.59,205.41,196.26,202.27,1106326,0.0
2017-08-28,202.49,202.96,197.86,198.09,750111,0.0
2017-08-29,197.39,198.765,195.61,197.02,672791,0.0
2017-08-30,197.07,199.54,196.22,198.07,802476,0.0
2017-08-31,198,199.025,195.1,196.12,973063,0.0
2017-09-01,197.07,199.44,196.64,196.99,1114965,0.0
2017-09-05,197.72,202.389,197.72,200.39,767957,0.0
2017-09-06,201.03,202.5,199.96,202.3,607278,0.0
2017-09-07,202.63,203.42,195.95,200.38,625718,0.0
2017-09-08,200.42,201.42,198.26,199.15,455864,0.0
2017-09-11,199.16,200.74,196.2,196.4,664722,0.0
2017-09-12,196.06,201,194.06,199.28,1307169,0.0
2017-09-13,199.31,209.79,199.25,208.02,1154695,0.0
2017-09-14,207.11,209.24,206.43,207.16,834082,0.0
2017-09-15,207.34,212.09,206.1,209.66,985688,0.0
2017-09-18,210.21,211.35,208.34,210.07,985542,0.0
2017-09-19,213.13,216.61,201.054,202.97,1969506,0.0
2017-09-20,202.25,206.84,201.65,203.29,818939,0.0
2017-09-21,204.17,205.6699,200.27,202.25,806041,0.0
2017-09-22,202.67,209.82,202.58,209.58,726673,0.0
2017-09-25,209.6,219.98,209.46,215.16,1263740,0.0
2017-09-26,216.58,216.58,212.4325,212.94,598290,0.0
2017-09-27,213.02,214.99,211.92,214.51,532391,0.0
2017-09-28,213.6,215.63,212.49,215.27,418124,0.0
2017-09-29,215.09,216.58,214.22,215.32,504768,0.0
2017-10-02,215.98,215.98,214.14,215.34,416537,0.0
2017-10-03,215.23,216.26,213.345,213.96,419761,0.0
2017-10-04,213.94,215.65,209.89,212.16,496546,0.0
2017-10-05,212.79,212.95,209.93,211.19,577197,0.0
2017-10-06,211.32,214.27,210.5,212.88,523082,0.0
2017-10-09,212.41,213.01,207.71,207.79,487714,0.0
2017-10-10,207.82,212.25,207.82,209.91,537937,0.0
2017-10-11,209.32,210.67,207.34,208.41,376559,0.0
2017-10-12,208.99,208.99,205.4688,206.99,528660,0.0
2017-10-13,207.76,210.25,206.89,209.62,679527,0.0
2017-10-16,209.55,211.17,208.4,209.02,422159,0.0
2017-10-17,208.6,213.23,208.21,212.06,562844,0.0
2017-10-18,212.35,214,210.95,212.99,830538,0.0
2017-10-19,209.8,209.99,205.9,209.31,1357475,0.0
2017-10-20,209.65,210.42,205.4696,205.91,913263,0.0
2017-10-23,205.8,208.92,205.06,205.68,639732,0.0
2017-10-24,204.48,207.38,201.1,203.36,946402,0.0
2017-10-25,201.58,204.715,201.08,202.77,1157231,0.0
2017-10-26,192,215.82,190,214,3489381,0.0
2017-10-27,212.29,217.91,209.37,217.02,1119167,0.0
2017-10-30,216.97,216.97,212.92,213.79,584300,0.0
2017-10-31,213.91,215.02,210.53,210.97,593361,0.0
2017-11-01,211.24,212.719,205.65,207.55,725652,0.0
2017-11-02,207.5,214.79,207.5,214.52,799602,0.0
2017-11-03,211.69,213.64,210.52,212.52,718667,0.0
2017-11-06,211.57,212.22,208.45,208.86,511824,0.0
2017-11-07,208.62,210.0299,206.545,208.1,341726,0.0
2017-11-08,208.36,212,207.84,209.65,455048,0.0
2017-11-09,209.11,211.95,207.31,211.09,455686,0.0
2017-11-10,210.57,215.48,210.04,214.41,620258,0.0
2017-11-13,214.16,216.99,212.28,214.17,533186,0.0
2017-11-14,220,223.38,215.1,215.87,840121,0.0
2017-11-15,215.21,216.67,213.72,215.82,441641,0.0
2017-11-16,215.89,219.94,215.02,219.58,491753,0.0
2017-11-17,219.83,221.31,216.1,220.45,538392,0.0
2017-11-20,219.91,222.35,218.565,220.38,525292,0.0
2017-11-21,220.4,220.47,215.09,215.7,617890,0.0
2017-11-22,216.15,220.89,215.1,218.65,442783,0.0
2017-11-24,217.19,219,215.43,216.26,281796,0.0
2017-11-27,217.13,218.81,214.865,216.35,534386,0.0
2017-11-28,217.08,228.88,215.86,228.47,933851,0.0
2017-11-29,227.49,241.49,226.25,236.32,1483267,0.0
2017-11-30,236.59,241.63,235.64,236.13,842866,0.0
2017-12-01,235,237.17,228.34,234.4,596902,0.0
2017-12-04,236.02,252.53,235.59,250.43,1538397,0.0
2017-12-05,259.35,263.63,246.77,250.21,1716598,0.0
2017-12-06,249.53,251.22,245.46,245.84,734859,0.0
2017-12-07,245,247.98,243.14,244.86,482096,0.0
2017-12-08,246.39,251.38,244.595,251.05,419288,0.0
2017-12-11,250.08,250.64,245.37,247.28,415810,0.0
2017-12-12,246.23,247.94,244.65,246.88,682157,0.0
2017-12-13,251.67,253.45,245.625,245.99,742144,0.0
2017-12-14,246.63,247.445,240.63,241.47,593021,0.0
2017-12-15,243.83,244.17,239.58,240.16,692724,0.0
2017-12-18,241.8,246.46,240.68,245.88,947722,0.0
2017-12-19,245.21,245.98,242.33,243.05,645750,0.0
2017-12-20,243.35,244.17,240.541,242.07,645262,0.0
2017-12-21,242.68,243.235,241.08,241.54,735187,0.0
2017-12-22,240.98,243.4,240.15,242.51,724156,0.0
2017-12-26,243.75,246.89,242.235,244.66,369038,0.0
2017-12-27,245,246.02,241.68,242.2,475138,0.0
2017-12-28,242.85,243.54,240.9582,242.35,564342,0.0
2017-12-29,241.34,242.51,240.28,240.54,478086,0.0
2018-01-02,241.34,252.03,241.29,249.24,1063782,0.0
2018-01-03,249.9,255.705,248.82,253.83,748201,0.0
2018-01-04,255.56,261.22,254.215,257.68,557639,0.0
2018-01-05,259.49,262.33,257.51,260.25,368466,0.0
2018-01-08,260.95,266.26,259.21,260.11,411666,0.0
2018-01-09,260.18,262.38,258.01,261.28,370192,0.0
2018-01-10,260.19,261.13,258.06,258.48,463753,0.0
2018-01-11,258.54,260.28,256.96,259.75,640078,0.0
2018-01-12,261.15,261.15,256.13,258.59,823996,0.0
2018-01-16,259.86,260.51,256.35,257.9,556387,0.0
2018-01-17,259.61,265.82,257.5,265.0955,777391,0.0
2018-01-18,264.92,267.13,263.36,266.33,400876,0.0
2018-01-19,268.04,273.17,266.79,273.01,561343,0.0
2018-01-22,273,274.68,268.77,272.3,483475,0.0
2018-01-23,271.49,272.46,268.82,271.21,372763,0.0
2018-01-24,272.49,277.13,269.18,275.92,504864,0.0
2018-01-25,277.57,279.23,272.38,272.89,625333,0.0
2018-01-26,275.14,276.01,272.75,275.47,444490,0.0
2018-01-29,275.14,276.339,272.96,273.95,464100,0.0
