Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,92.3,93.42,91.76,93.18,1343810,16419,92.692162
2021-01-04,93.32,93.52,89.24,90.36,2202504,26461,90.294593
2021-01-05,90.44,90.73,89.51,90.02,1258836,18066,90.003159
2021-01-06,89.99,92.04,89.55,91.15,1849825,24706,91.125761
2021-01-07,90.99,91.89,90.52,91.53,1649851,18653,91.409348
2021-01-08,91.47,92.5,91.24,92.02,1236308,18115,91.948618
2021-01-11,91.54,91.94,90.58,91.0,1184588,14431,91.019241
2021-01-12,90.78,91.08,89.52,90.72,1135324,16222,90.496067
2021-01-13,90.28,90.46,89.37,89.56,2239969,19336,89.702069
2021-01-14,89.66,89.8038,87.9,88.07,1657872,17274,88.42027
2021-01-15,87.87,88.51,86.95,88.37,1658416,19275,87.940332
2021-01-19,88.69,89.19,88.05,88.34,1722343,19893,88.435828
2021-01-20,88.26,89.63,87.8,89.32,1633289,18258,89.08299
2021-01-21,89.02,89.37,87.25,87.55,1469318,18540,87.773384
2021-01-22,87.23,87.489,86.37,86.87,1730290,15317,86.962747
2021-01-25,86.6,87.3,85.6,86.96,2440672,24637,86.679628
2021-01-26,87.26,88.03,86.56,87.33,1663646,20980,87.302319
2021-01-27,86.19,88.17,85.3,87.28,3793367,42211,87.143765
2021-01-28,88.03,90.13,87.9,89.09,3383747,37479,89.522912
2021-01-29,87.53,87.99,86.24,87.32,2248604,26164,87.302448
2021-02-01,87.77,90.01,86.8876,89.3,1861537,26815,89.128004
2021-02-02,89.82,91.04,88.9,90.53,1686844,21774,90.118845
2021-02-03,90.05,90.54,89.12,89.95,1516550,17078,89.948504
2021-02-04,90.3,91.61,89.935,91.58,1181862,16339,91.326278
2021-02-05,92.0,92.2,91.35,91.63,1217082,15863,91.694332
2021-02-08,90.63,91.89,90.53,91.71,1106677,13533,91.55587
2021-02-09,91.66,91.68,90.78,90.89,1394928,16279,91.037215
2021-02-10,91.51,91.51,90.3975,90.45,971741,15184,90.676591
2021-02-11,90.81,91.1,90.02,90.29,1177025,16276,90.424496
2021-02-12,90.24,90.24,88.81,89.4,1482570,17893,89.376516
2021-02-16,89.34,89.61,88.25,88.8,2311103,27006,88.821568
2021-02-17,88.2,89.38,87.67,89.18,2448423,26487,88.914594
2021-02-18,88.88,92.09,88.71,91.28,2238359,25961,91.239727
2021-02-19,90.68,91.55,89.8558,90.25,1746881,21857,90.451709
2021-02-22,89.94,91.33,89.12,90.39,2037092,20563,90.47927
2021-02-23,90.65,91.71,89.48,90.88,2198456,28450,90.691457
2021-02-24,90.24,93.7,89.41,93.36,2070570,26907,92.520719
2021-02-25,93.01,93.8,91.01,91.41,2125033,29916,92.208691
2021-02-26,91.11,92.0,90.32,91.07,2407280,25467,91.19411
2021-03-01,92.0,93.7,91.21,92.75,1571516,21840,92.852194
2021-03-02,92.69,93.195,91.65,92.14,1515367,18666,92.289752
2021-03-03,91.53,91.95,90.35,90.48,1512531,21740,90.677002
2021-03-04,90.43,91.48,88.685,89.31,2246847,31674,89.923481
2021-03-05,90.27,92.465,89.28,92.12,2374991,32074,90.888336
2021-03-08,92.29,94.5,90.17,93.2,2017883,28129,93.431052
2021-03-09,94.4,95.53,93.64,94.55,2071195,22944,94.816421
2021-03-10,94.62,95.37,94.25,94.7,2162643,24918,94.7612
2021-03-11,95.18,96.34,94.95,95.16,1438173,18768,95.563323
2021-03-12,94.74,95.34,94.28,95.25,1527439,17134,95.026767
2021-03-15,95.18,97.82,95.18,97.75,1431243,20865,96.867743
2021-03-16,97.88,98.515,97.34,98.04,2034588,21006,98.045205
2021-03-17,97.51,98.64,96.755,97.98,2018112,25406,97.859118
2021-03-18,96.9,98.35,95.9057,97.29,1761406,24258,97.467868
2021-03-19,97.57,97.75,95.76,95.84,7899330,26931,96.062051
2021-03-22,95.57,96.76,95.39,96.58,1696757,17350,96.433838
2021-03-23,96.59,97.06,95.61,96.15,1486654,17783,96.353567
2021-03-24,96.4,98.53,95.8443,96.96,1984808,24329,97.385489
2021-03-25,97.11,98.55,96.56,98.31,1701561,20982,97.906077
2021-03-26,98.12,101.01,97.8636,100.82,1904308,25173,99.892932
2021-03-29,100.59,100.9,99.09,100.28,1538802,20994,100.005622
2021-03-30,100.03,100.48,98.265,99.23,1548100,21018,99.201857
2021-03-31,99.29,99.82,97.84,98.02,2176079,23597,98.307904
2021-04-01,97.52,99.0318,97.44,98.76,2232257,28084,98.381278
2021-04-05,99.65,101.15,99.46,100.36,2380708,25772,100.336892
2021-04-06,93.58,95.79,92.74,95.42,4124717,45648,94.973137
2021-04-07,95.37,96.83,94.54,94.81,2513310,28843,95.296027
2021-04-08,95.63,96.46,95.0,96.04,2171026,31508,95.874618
2021-04-09,95.83,96.53,95.17,96.36,1420567,20619,95.945808
2021-04-12,96.58,96.69,95.26,95.85,1391313,22207,95.723613
2021-04-13,95.75,96.56,95.01,96.26,1500374,19912,96.027804
2021-04-14,96.18,97.25,95.36,96.75,1392854,20271,96.700517
2021-04-15,96.93,97.39,96.29,96.335,1260147,21417,96.652579
2021-04-16,96.78,97.58,96.17,97.51,1487801,20763,97.039643
2021-04-19,97.22,97.31,95.91,96.4,1715172,22102,96.347721
2021-04-20,96.86,97.69,96.5,97.52,1086970,18362,97.237719
2021-04-21,97.87,98.46,97.22,98.21,999876,20767,98.059709
2021-04-22,97.8,98.95,97.6,98.28,1620108,21939,98.338983
2021-04-23,98.44,99.65,97.98,99.23,1275401,16200,99.183072
2021-04-26,99.07,99.78,98.54,98.85,1023024,15954,99.037245
2021-04-27,98.51,99.2201,98.13,99.12,1181877,16050,98.922899
2021-04-28,99.13,99.14,97.45,97.85,1745395,24100,97.984566
2021-04-29,98.4,99.76,97.8,99.35,1570537,23562,99.048087
2021-04-30,98.91,99.2,97.24,97.49,2367925,29505,97.659781
2021-05-03,98.44,99.54,97.83,99.06,1261390,19485,99.000016
2021-05-04,98.65,100.85,98.334,100.78,2139001,30016,100.063994
2021-05-05,101.03,101.05,99.5,100.38,1643084,20505,100.395688
2021-05-06,100.78,101.65,100.21,101.59,1285602,19776,101.11498
2021-05-07,101.64,101.71,99.89,101.01,1404800,23055,101.029922
2021-05-10,101.15,102.61,100.4,100.44,2327467,20363,100.863471
2021-05-11,99.32,99.78,98.12,99.03,1445997,25599,98.941863
2021-05-12,97.87,98.5,96.12,96.37,1247270,22742,96.979858
2021-05-13,96.8,99.03,96.5,98.52,1069742,19685,98.181234
2021-05-14,99.2,100.44,98.78,100.11,1008413,16328,99.958103
2021-05-17,99.78,100.11,99.23,99.85,970999,14344,99.750414
2021-05-18,99.95,99.97,99.04,99.1,1468522,19278,99.433288
2021-05-19,98.41,98.95,97.23,98.89,1738242,21320,98.481189
2021-05-20,98.65,101.1,98.41,100.62,1609988,19422,100.563691
2021-05-21,101.05,101.79,100.37,100.75,2646540,20231,100.82431
2021-05-24,101.49,102.1884,101.12,101.89,1992873,16879,101.867054
2021-05-25,102.07,102.07,100.88,101.09,1134113,19015,101.290071
2021-05-26,100.74,101.27,100.17,100.59,1433414,17798,100.518045
2021-05-27,100.73,101.35,100.3,100.88,1222272,15963,100.926441
2021-05-28,100.86,101.7,100.86,101.14,1041060,17396,101.234029
2021-06-01,101.49,102.13,100.48,100.99,924265,19067,101.053359
2021-06-02,101.26,102.394,99.88,101.88,1262539,18330,101.90055
2021-06-03,101.06,102.18,100.69,101.86,925126,15373,101.805834
2021-06-04,102.66,102.85,101.99,102.56,1068990,18167,102.521992
2021-06-07,102.62,102.99,101.38,101.75,1205679,19188,101.787454
2021-06-08,102.0,103.32,101.93,103.03,933235,17124,102.84919
2021-06-09,103.49,104.23,103.12,103.58,811534,13627,103.737287
2021-06-10,103.7,105.12,103.46,104.79,2650994,20191,104.659795
2021-06-11,104.82,105.17,104.43,105.0,898389,13859,104.847339
2021-06-14,104.83,104.975,103.03,104.49,1035258,15233,103.98472
2021-06-15,104.66,104.67,103.76,104.34,1378253,18616,104.269519
2021-06-16,104.61,104.75,103.07,103.82,1003229,15822,104.011396
2021-06-17,103.71,104.815,103.48,104.24,870002,17399,104.281737
2021-06-18,102.99,103.6,101.73,102.02,2235573,24119,102.298818
2021-06-21,102.6,103.9,102.05,103.66,981957,15601,103.538883
2021-06-22,103.43,104.14,102.87,103.63,1803614,18848,103.551627
2021-06-23,103.66,103.74,102.58,103.45,1478380,21142,103.337301
2021-06-24,104.18,104.55,103.34,104.28,1462666,22830,104.119891
2021-06-25,105.27,106.21,104.01,105.61,3143401,26936,105.427731
2021-06-28,106.02,107.28,105.55,106.91,2160217,27055,106.705451
2021-06-29,106.91,108.23,106.705,107.54,1480300,24390,107.464828
2021-06-30,107.66,108.08,106.83,107.3,2099055,23857,107.29233
2021-07-01,106.98,108.63,106.98,108.47,1382296,22334,108.271293
2021-07-02,109.18,109.29,107.65,108.73,1659479,22139,108.518521
2021-07-06,108.78,109.3664,107.43,108.57,1507522,21031,108.20187
2021-07-07,108.89,109.9761,108.74,109.81,1875318,24862,109.638095
2021-07-08,110.91,111.49,108.89,110.22,2361868,34638,110.357349
2021-07-09,109.6,112.13,109.6,111.9,1557090,24346,111.394069
2021-07-12,111.64,112.255,111.05,111.67,1450422,23070,111.506225
2021-07-13,111.67,112.38,111.2,111.63,1282248,22539,111.709582
2021-07-14,111.93,112.57,111.59,112.33,1082113,19485,112.210399
2021-07-15,112.38,112.945,112.085,112.67,1976332,23879,112.554394
2021-07-16,112.99,113.11,111.76,111.85,3998954,31477,112.062611
2021-07-19,110.8,111.645,108.73,109.41,2145467,29935,109.622323
2021-07-20,109.8,111.39,109.53,110.46,2445809,33010,110.809483
2021-07-21,110.66,111.47,109.76,111.39,1955301,24026,110.757618
2021-07-22,111.46,111.76,110.09,110.94,1018527,16656,110.805808
2021-07-23,111.12,112.5,110.855,112.25,1268917,16845,112.10986
2021-07-26,112.24,112.72,111.69,112.68,1327029,19812,112.490479
2021-07-27,112.62,113.913,112.1507,113.22,1230572,18648,112.913321
2021-07-28,112.84,113.16,112.13,112.77,1123039,16959,112.75998
2021-07-29,113.25,114.15,112.99,113.63,918299,17013,113.751506
2021-07-30,112.68,114.01,112.68,113.82,1283534,17614,113.694971
2021-08-02,114.14,114.88,113.15,113.24,1129924,20585,113.708205
2021-08-03,113.37,114.96,112.29,114.8,1122725,18843,114.189641
2021-08-04,114.59,114.86,113.64,114.26,1078795,20712,114.304062
2021-08-05,114.75,115.45,114.135,115.3,1033645,16460,115.014519
2021-08-06,115.0,115.66,114.66,115.41,1034474,16269,115.287656
2021-08-09,115.55,115.95,114.42,115.18,949688,14928,115.069648
2021-08-10,115.17,115.94,114.7299,115.87,969572,16158,115.531287
2021-08-11,116.11,117.11,115.8,116.76,989050,16165,116.714144
2021-08-12,116.77,116.87,116.24,116.51,797645,14317,116.494713
2021-08-13,116.49,117.38,116.31,117.17,821702,12061,117.108317
2021-08-16,116.98,118.22,116.45,118.19,948182,17261,117.727387
2021-08-17,117.66,117.845,116.45,117.04,1021588,17449,117.119855
2021-08-18,116.74,117.32,114.55,114.71,1068580,16847,115.461373
2021-08-19,114.24,115.57,114.03,115.26,1333716,23846,114.931828
2021-08-20,115.32,115.64,114.75,115.42,1562251,21152,115.301523
2021-08-23,115.72,116.13,115.11,115.47,1526001,18304,115.619119
2021-08-24,115.48,115.69,114.18,114.29,1168081,20430,114.618184
2021-08-25,114.35,114.96,113.96,114.23,992503,16129,114.395194
2021-08-26,114.36,114.67,113.05,113.39,1748591,22916,113.827069
2021-08-27,113.52,114.69,113.43,114.37,1260627,21053,114.265654
2021-08-30,114.5,115.12,114.29,114.52,743498,13831,114.677308
2021-08-31,114.9,114.94,113.81,114.47,1435675,20348,114.344172
2021-09-01,114.69,114.72,112.58,113.62,1549509,24356,113.622064
2021-09-02,113.89,114.16,113.29,113.72,1088136,18328,113.656129
2021-09-03,113.31,113.96,113.02,113.6,739995,14501,113.585361
2021-09-07,113.38,113.38,111.11,111.29,962818,18569,111.589793
2021-09-08,111.16,112.13,111.05,112.09,1203378,21612,111.758686
2021-09-09,112.4,112.82,111.26,111.32,853187,15884,111.816464
2021-09-10,111.39,111.71,110.19,110.3,1256672,18202,110.684403
2021-09-13,111.0,111.7,108.88,109.45,1439624,25486,109.691626
2021-09-14,110.08,110.68,109.49,109.66,1510726,23111,109.922713
2021-09-15,109.66,110.41,109.26,109.71,1284772,20305,109.870903
2021-09-16,109.65,109.99,109.12,109.37,1133461,21656,109.428102
2021-09-17,109.53,109.53,107.92,108.78,3605090,28850,108.764048
2021-09-20,107.6,108.7075,107.35,108.38,1939012,26908,108.036031
2021-09-21,108.9,108.9,107.73,108.5,1419399,20149,108.42288
2021-09-22,108.5,109.75,108.06,109.37,1597515,22156,109.163134
2021-09-23,109.51,110.735,109.36,110.31,1076346,18696,110.305965
2021-09-24,109.84,110.35,109.38,109.98,1053532,18400,109.877824
2021-09-27,109.56,109.8399,108.64,108.77,1268805,23315,109.056837
2021-09-28,107.77,108.17,106.55,106.73,1434584,23994,107.008952
2021-09-29,106.75,108.68,106.61,107.85,1696950,27731,108.048258
2021-09-30,113.99,114.65,111.1001,112.45,4190913,49261,113.167603
2021-10-01,113.34,115.55,111.35,115.15,2178129,32364,114.311509
2021-10-04,114.88,116.28,114.15,115.01,2250941,33652,114.914969
2021-10-05,113.5,117.305,113.37,116.83,1840894,29046,116.146161
2021-10-06,116.34,118.16,116.0481,118.04,1496595,27357,117.381467
2021-10-07,118.5,119.38,117.86,118.64,1391812,21477,118.677133
2021-10-08,119.0,119.23,118.07,118.67,1094494,17609,118.644547
2021-10-11,118.56,118.56,117.32,117.34,1049627,18520,117.817789
2021-10-12,117.79,118.455,117.05,117.33,1001041,18025,117.588579
2021-10-13,117.8,118.07,116.1,117.46,1129269,20518,117.158534
2021-10-14,118.64,119.04,118.14,118.75,1301989,19441,118.723926
2021-10-15,118.93,119.48,118.56,119.15,1752158,20581,119.077131
2021-10-18,118.81,120.21,118.18,120.11,1273862,20277,119.541915
2021-10-19,120.35,121.84,120.05,121.81,1373063,21420,121.233867
