Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,477.81,483.57,470.78,483.11,897894,20554,478.258681
2021-01-04,486.85,491.7755,473.58,482.86,911137,26692,482.739348
2021-01-05,480.39,486.25,475.41,483.45,797684,19995,482.275682
2021-01-06,474.74,483.0,467.0,470.09,1434722,36553,472.209419
2021-01-07,471.24,481.84,467.18,481.2,1126608,25709,476.267658
2021-01-08,489.27,500.7,487.9345,498.73,1018815,27999,497.465189
2021-01-11,500.99,505.14,489.35,502.92,1116428,27403,497.780149
2021-01-12,504.41,518.5,502.0,505.75,1264140,32248,510.70947
2021-01-13,520.0,522.0,509.14,511.9,1333765,28220,513.186782
2021-01-14,513.1,524.88,511.33,517.91,848599,23662,518.651349
2021-01-15,518.1,522.99,511.11,517.93,796883,20384,517.64124
2021-01-19,523.03,536.62,522.06,533.89,995530,26262,532.789234
2021-01-20,536.78,543.99,529.31,542.27,862666,23048,539.564307
2021-01-21,542.01,543.275,527.9101,535.48,940229,20902,534.275697
2021-01-22,534.1,546.7221,534.1,537.78,620561,19069,540.978159
2021-01-25,554.32,555.0,538.77,548.2,828597,22697,546.651352
2021-01-26,556.29,558.91,542.14,544.1,901677,22193,546.728201
2021-01-27,540.63,541.97,512.94,515.56,1433535,41385,520.026861
2021-01-28,521.27,529.51,505.1101,506.27,1050682,29180,515.065206
2021-01-29,505.97,514.415,496.0958,503.84,1389759,30608,503.766802
2021-02-01,512.82,512.82,503.1,508.08,790562,22552,507.598481
2021-02-02,511.01,513.28,498.02,499.98,884531,26886,504.808944
2021-02-03,505.09,507.28,490.84,491.18,1076697,31274,494.312513
2021-02-04,494.19,498.96,490.02,498.84,1394630,26918,495.947125
2021-02-05,513.84,514.9735,495.2185,498.98,1662843,34802,501.587182
2021-02-08,504.26,506.6276,492.46,494.9,1320459,30907,497.8616
2021-02-09,496.53,497.99,487.55,490.68,1056013,30269,490.860353
2021-02-10,493.43,497.86,488.12,491.22,959247,23214,492.375292
2021-02-11,491.23,496.6,486.035,490.54,1057412,25223,491.285734
2021-02-12,494.25,494.4831,482.845,485.62,1295609,31962,485.793349
2021-02-16,488.01,492.0,478.44,480.71,1363511,31571,482.847233
2021-02-17,477.0,484.375,476.56,481.68,1011841,22978,480.378557
2021-02-18,479.9,481.755,475.835,477.03,1127130,24875,478.061946
2021-02-19,478.48,483.68,470.27,470.37,1129917,28899,473.689547
2021-02-22,468.27,468.27,459.9,460.58,1345550,35490,462.104614
2021-02-23,458.215,468.96,448.0,468.03,1705566,47726,457.151748
2021-02-24,466.11,469.4712,457.17,458.6,1103376,29927,463.011648
2021-02-25,460.31,465.0,448.33,453.19,1126147,27567,454.618725
2021-02-26,455.84,457.17,445.566,450.57,1193692,30970,451.02026
2021-03-01,455.45,463.85,453.83,463.05,856847,21777,460.892119
2021-03-02,463.13,466.0,454.3462,454.86,759337,18719,458.642119
2021-03-03,456.14,458.65,446.38,446.73,897966,21731,450.660589
2021-03-04,445.37,451.8535,441.0,449.38,1093793,32517,447.453258
2021-03-05,451.58,463.83,449.3,461.57,1223527,31571,458.08422
2021-03-08,456.49,473.5,456.49,463.19,1014330,28699,467.490709
2021-03-09,469.8,478.13,469.32,470.63,868749,23043,473.070045
2021-03-10,473.89,474.98,465.21,467.95,724925,19464,468.669099
2021-03-11,468.89,474.89,466.725,469.96,745125,18215,470.981511
2021-03-12,467.0,471.82,463.65,471.46,552759,16007,468.952969
2021-03-15,473.01,484.7,472.26,483.94,728945,21001,481.534713
2021-03-16,486.0,490.22,479.61,482.17,698426,21039,484.899135
2021-03-17,495.0,497.705,483.15,496.01,1101187,28398,492.938175
2021-03-18,485.08,491.88,474.31,474.68,921345,28624,481.068899
2021-03-19,478.31,482.59,472.48,473.7,1078416,23461,475.626232
2021-03-22,471.89,484.61,471.23,483.22,911877,19062,482.075235
2021-03-23,486.16,488.7162,466.71,469.76,1086441,28784,473.91427
2021-03-24,471.48,472.08,458.25,460.32,1053836,27978,462.943123
2021-03-25,458.31,465.84,451.6,463.48,1413506,32161,460.868503
2021-03-26,461.13,477.32,458.44,476.91,1645463,27432,473.190858
2021-03-29,472.34,488.9,471.91,481.52,771248,22551,481.83104
2021-03-30,479.84,480.84,469.36,470.67,610469,18865,472.529438
2021-03-31,472.64,475.7,470.67,473.14,767654,18553,473.165284
2021-04-01,472.15,478.15,469.37,474.93,761961,17431,474.931192
2021-04-05,477.09,485.28,474.22,484.56,947557,17651,482.7256
2021-04-06,485.5,485.82,476.72,478.68,900898,18221,480.058366
2021-04-07,479.0,486.95,477.62,481.79,721685,16855,481.489148
2021-04-08,486.47,488.99,474.84,476.36,1243799,17709,477.403856
2021-04-09,474.58,480.2623,471.5,475.17,671324,17622,474.274277
2021-04-12,481.78,481.78,469.8,473.08,740855,20966,474.069911
2021-04-13,475.97,483.4,474.595,477.04,679528,16679,478.034009
2021-04-14,478.0,486.73,477.92,481.16,591318,16424,481.709281
2021-04-15,487.44,499.28,485.81,494.43,884013,26078,495.666567
2021-04-16,497.4,506.872,495.86,502.795,1041680,26822,502.605662
2021-04-19,503.0,505.9699,498.47,499.54,609159,21848,501.492253
2021-04-20,499.55,506.73,497.4,504.74,803164,21951,502.896342
2021-04-21,507.49,510.32,503.2245,506.2,560411,18151,506.862379
2021-04-22,505.4,505.4,489.28,490.43,998797,25152,495.869107
2021-04-23,488.63,491.49,484.0313,488.64,821106,21658,488.795308
2021-04-26,489.84,502.0,485.0,501.17,828540,18438,498.537813
2021-04-27,502.6,502.6,491.26,491.81,472685,15976,493.455198
2021-04-28,494.91,495.44,487.5,487.77,639539,18476,489.763556
2021-04-29,489.69,490.0,482.28,485.0,568278,18547,485.66134
2021-04-30,482.77,491.579,480.51,481.3,791445,19202,483.359695
2021-05-03,483.5,491.67,482.825,488.62,644951,19256,489.060706
2021-05-04,485.94,488.2755,480.85,485.18,757109,21515,484.258158
2021-05-05,486.41,488.745,481.09,482.42,840025,22888,484.113615
2021-05-06,483.11,502.98,478.4,498.24,1442748,33387,495.144257
2021-05-07,498.5,503.0,492.81,496.75,702783,21843,497.240532
2021-05-10,497.52,513.48,495.0,502.34,1038998,30342,505.070276
2021-05-11,496.82,508.98,494.02,501.19,788111,24500,502.757732
2021-05-12,497.0,513.67,497.0,507.14,959688,26234,508.444017
2021-05-13,508.86,519.07,505.565,517.04,907997,25788,515.04773
2021-05-14,520.0,521.13,512.25,516.62,782957,19950,517.229681
2021-05-17,516.45,525.9599,515.44,523.73,711986,20702,522.500251
2021-05-18,523.0,523.0,513.68,516.22,683402,18821,517.749411
2021-05-19,517.9,517.9,502.5,510.27,587420,20493,507.776763
2021-05-20,509.0,518.8699,507.625,513.21,574934,17499,514.910026
2021-05-21,514.85,516.5,506.43,506.72,610412,17788,510.349403
2021-05-24,509.74,509.74,500.08,500.47,522001,19004,503.035271
2021-05-25,500.84,502.72,493.1866,498.03,767559,23816,496.940004
2021-05-26,498.42,500.31,493.0,497.16,640457,16796,496.673993
2021-05-27,496.0,500.04,492.13,495.34,1058847,16468,495.515394
2021-05-28,497.61,505.21,497.22,502.43,542357,16893,501.79325
2021-06-01,505.76,508.79,497.93,503.23,617142,19327,502.132976
2021-06-02,503.17,510.31,501.2,505.36,679448,21246,504.261736
2021-06-03,501.07,506.89,499.78,505.66,444971,16416,503.767316
2021-06-04,507.59,518.365,505.8,511.89,785308,21864,513.232156
2021-06-07,511.65,525.39,509.5,514.99,869012,26480,517.191995
2021-06-08,517.2,518.62,501.69,506.42,963648,26665,507.75933
2021-06-09,507.84,522.79,505.62,521.85,783014,24646,519.182785
2021-06-10,521.26,533.26,516.04,532.04,934513,26392,529.54426
2021-06-11,529.28,530.255,519.975,525.55,622259,19012,524.726599
2021-06-14,525.0,529.29,521.955,528.75,495785,17322,527.098543
2021-06-15,528.0,530.72,523.66,527.49,546790,19744,527.389017
2021-06-16,531.17,542.42,522.24,523.58,913434,26784,531.917213
2021-06-17,522.97,538.5,516.75,536.01,843597,24477,533.164373
2021-06-18,534.66,540.0,532.125,537.92,911378,21538,537.315612
2021-06-21,539.99,543.74,532.73,534.27,677694,21558,538.459589
2021-06-22,533.04,535.11,526.91,534.02,655081,17864,532.20059
2021-06-23,532.85,534.695,523.2909,529.8,635105,19383,528.426397
2021-06-24,533.09,545.37,531.33,544.45,789959,21501,541.73206
2021-06-25,543.59,552.5,540.7512,550.55,1910362,18710,550.182231
2021-06-28,567.05,569.99,542.55,542.7,1509342,36966,549.509765
2021-06-29,542.28,548.0239,536.08,545.98,721092,21066,543.840722
2021-06-30,545.2,561.77,544.52,558.54,861399,25513,556.335743
2021-07-01,556.6,576.92,554.945,574.62,1274883,35602,570.768791
2021-07-02,576.0,592.835,571.55,583.64,1073613,30048,584.131747
2021-07-06,579.41,584.285,572.93,582.25,643152,22110,579.724067
2021-07-07,584.27,590.945,580.755,585.9,708537,22371,586.069139
2021-07-08,577.11,580.0,568.15,574.92,765356,24185,573.901032
2021-07-09,573.0,580.85,571.01,580.4,548964,19454,578.389306
2021-07-12,579.92,586.34,571.04,574.03,655086,20795,577.430636
2021-07-13,574.58,582.19,570.615,577.01,447751,14968,576.952232
2021-07-14,578.55,582.86,575.5,581.06,378030,14725,580.705345
2021-07-15,579.9,593.29,575.0391,589.32,773393,25654,587.023632
2021-07-16,587.82,589.9999,580.0,583.24,513856,17966,584.451266
2021-07-19,581.08,588.0,578.0,585.23,549521,21586,584.021585
2021-07-20,588.3,593.69,580.66,587.24,642963,21880,586.664324
2021-07-21,586.76,586.76,573.76,583.72,484127,16407,581.369712
2021-07-22,581.63,590.68,580.02,586.88,413750,14030,586.877183
2021-07-23,588.83,595.48,583.76,586.35,627838,21365,588.443814
2021-07-26,586.0,586.0,577.37,577.78,488647,17308,579.944094
2021-07-27,574.37,581.3,565.0,581.01,474780,18148,576.952387
2021-07-28,582.04,587.92,579.0,586.41,401337,15491,584.890453
2021-07-29,588.62,591.6628,582.1,583.13,361087,13873,584.943562
2021-07-30,581.42,583.28,572.91,574.61,775076,24100,576.806874
2021-08-02,577.12,580.8722,570.38,577.13,361454,16156,577.0981
2021-08-03,576.85,587.56,570.7,586.51,512278,16402,581.125957
2021-08-04,584.92,598.66,579.32,580.95,1042401,32355,588.676599
2021-08-05,585.5,603.14,570.85,602.47,1627891,38842,595.578657
2021-08-06,603.09,615.0,600.02,610.86,1134807,30770,609.017631
2021-08-09,610.85,624.77,610.59,613.94,961988,29263,617.522341
2021-08-10,615.73,619.78,604.55,614.98,651124,20831,611.672955
2021-08-11,616.07,621.37,603.41,608.45,630141,21670,612.751207
2021-08-12,607.0,611.52,598.03,608.0,577904,19342,606.087697
2021-08-13,614.0,625.0,612.62,624.79,821229,24398,622.241248
2021-08-16,624.79,630.0,615.06,628.6,869614,24245,625.303312
2021-08-17,626.14,650.0,624.007,647.44,1178098,31744,644.239796
2021-08-18,650.0,658.97,633.0,635.57,1641628,45326,647.601207
2021-08-19,631.87,662.87,628.935,655.63,1283427,38032,654.242452
2021-08-20,659.0,674.07,655.63,663.27,1303208,38913,666.749383
2021-08-23,665.21,671.49,642.68,667.29,991428,31720,661.955784
2021-08-24,667.0,670.0,656.73,669.95,731718,23210,665.686782
2021-08-25,672.85,674.0,660.79,669.18,643388,18944,667.807717
2021-08-26,670.06,674.45,663.29,665.77,473212,16212,668.397117
2021-08-27,668.95,673.1025,660.75,663.29,424037,17424,667.630023
2021-08-30,664.0,678.69,660.44,677.08,867947,25593,672.45211
2021-08-31,677.51,681.73,668.33,673.4,828783,23740,673.158907
2021-09-01,674.72,686.28,671.63,680.96,821835,25145,680.360322
2021-09-02,683.5,684.9,674.57,675.75,689045,21112,678.748509
2021-09-03,675.62,686.62,672.0,679.57,564777,19737,681.556113
2021-09-07,679.42,679.5799,658.02,668.81,717799,27847,667.435048
2021-09-08,667.8,676.94,666.565,669.19,461676,19244,671.359727
2021-09-09,670.28,672.88,644.65,646.11,1047532,32800,654.789302
2021-09-10,650.0,659.76,646.11,650.49,746813,23762,652.952238
2021-09-13,651.1,653.325,636.0,639.52,797634,23063,641.792181
2021-09-14,639.91,650.42,639.91,645.15,600823,20191,645.523896
2021-09-15,658.65,664.99,649.0101,652.0,883233,24621,654.115878
2021-09-16,649.71,656.67,643.38,653.18,539804,16583,650.942191
2021-09-17,651.07,653.0,643.2869,651.88,761917,17465,650.476204
2021-09-20,643.84,651.9999,636.17,640.89,664886,22420,642.812223
2021-09-21,645.11,656.86,642.81,646.95,440559,15874,650.021716
2021-09-22,646.95,651.01,640.02,647.06,559278,18247,646.317419
2021-09-23,647.0,655.0,644.3,646.51,535691,16569,648.193292
2021-09-24,644.31,644.31,632.445,638.9,653772,19878,638.054888
2021-09-27,636.71,636.71,616.26,619.07,781569,25024,621.246917
2021-09-28,607.22,617.71,603.79,605.0,1237691,31217,609.367412
2021-09-29,607.14,612.74,604.975,606.7,610179,18924,608.220019
2021-09-30,607.76,613.58,604.62,605.18,544037,17555,608.389144
2021-10-01,576.75,577.9999,556.05,570.79,1456199,38275,570.056283
2021-10-04,565.37,568.13,553.1,555.42,989581,30485,560.083267
2021-10-05,555.91,564.725,549.27,550.9,928837,28146,555.022857
2021-10-06,548.0,553.93,543.41,546.57,885576,27004,547.515943
2021-10-07,548.14,559.75,547.32,552.02,773973,24454,553.619873
2021-10-08,551.88,555.52,543.25,550.02,531856,17503,549.796477
2021-10-11,549.65,557.87,545.6,546.26,537468,16746,550.673462
2021-10-12,546.09,549.3509,541.58,544.44,517476,19649,545.579182
2021-10-13,548.33,556.185,546.97,547.12,661156,22301,550.58121
2021-10-14,553.0,565.11,552.0701,555.62,1054769,27274,558.869503
2021-10-15,557.33,558.93,552.16,553.24,835581,24228,554.490558
2021-10-18,550.22,552.49,539.18,543.48,1209614,30168,542.589868
2021-10-19,548.02,555.67,545.0,552.11,980499,25036,551.496353
2021-10-20,554.24,562.72,553.0,562.71,872690,19948,558.061259
2021-10-21,564.48,570.91,562.52,569.37,620800,20273,568.27573
2021-10-22,570.03,573.01,565.39,572.36,485703,15015,570.769513
2021-10-25,573.66,578.725,569.53,576.2,623566,17554,575.71216
2021-10-26,579.14,594.22,575.61,592.15,838816,26356,588.62584
2021-10-27,593.28,594.09,587.7,589.6,651457,23480,590.490128
2021-10-28,590.18,625.72,589.13,625.19,1101961,31212,614.365232
2021-10-29,622.02,641.26,618.11,639.94,852119,27492,633.28616
2021-11-01,640.0,648.065,635.75,639.15,910038,29019,641.078575
2021-11-02,638.58,649.98,633.5601,638.77,837066,24373,642.018246
2021-11-03,637.21,652.38,632.1,652.1,716875,22184,648.025817
2021-11-04,657.21,659.79,630.9,647.63,1507137,39146,643.178583
2021-11-05,599.06,622.86,594.55,611.54,1768412,45386,609.028936
2021-11-08,618.6,623.4214,608.7642,622.78,639774,26535,619.026616
2021-11-09,623.08,627.57,614.0,616.31,601194,23306,617.687437
2021-11-10,616.82,635.73,616.82,622.2,727201,25635,626.497265
2021-11-11,622.0,628.455,617.65,626.64,478414,16983,624.569488
2021-11-12,629.54,634.46,623.31,631.2,512884,16154,629.351063
2021-11-15,635.01,649.715,633.2803,647.73,776010,23578,645.019346
2021-11-16,647.34,661.84,642.1,642.75,632695,20710,648.606598
2021-11-17,645.08,645.525,635.7514,641.83,439938,17201,642.615755
2021-11-18,642.21,653.27,638.6,648.51,564395,18597,648.692302
2021-11-19,652.43,657.56,646.37,652.68,605326,20139,652.279889
2021-11-22,648.58,660.28,640.88,643.64,632985,22878,650.131953
2021-11-23,641.9,650.96,639.48,649.32,624370,18179,647.130753
2021-11-24,651.38,656.0,645.55,648.18,544449,14998,650.093953
2021-11-26,660.0,660.95,639.78,643.35,574936,18584,647.62081
2021-11-29,645.32,660.495,642.41,654.4,700265,24611,653.371488
2021-11-30,646.41,656.6,635.12,636.53,1275736,31843,640.994155
2021-12-01,639.13,644.41,630.13,630.59,730635,26731,635.779565
2021-12-02,629.05,640.03,622.49,634.0,562554,23213,635.088518
2021-12-03,637.77,641.79,623.12,635.16,648994,23342,631.165723
2021-12-06,642.36,644.7,624.6,625.0,567350,22764,629.611008
2021-12-07,628.53,643.37,623.0,635.09,651758,23301,634.723833
2021-12-08,638.14,655.75,633.33,654.04,694806,20932,647.652345
2021-12-09,650.0,667.56,646.67,665.72,893506,27854,663.534029
2021-12-10,661.94,672.45,656.245,669.52,790634,26590,667.38835
2021-12-13,653.12,665.0,637.44,660.15,1067567,28748,653.804693
2021-12-14,652.23,673.8612,651.89,670.97,730206,24745,668.124368
2021-12-15,646.99,662.63,645.0,657.93,840478,30012,655.131257
2021-12-16,644.74,656.34,630.1,631.74,1240191,40751,637.894825
2021-12-17,631.04,631.155,615.2,619.28,1625953,36932,620.765716
2021-12-20,620.7,625.35,602.07,603.14,878093,31809,607.047157
2021-12-21,608.58,608.58,598.24,606.81,1108233,34055,605.140849
2021-12-22,608.47,619.24,600.85,617.48,737194,21329,613.447081
2021-12-23,619.5,627.22,618.15,625.38,398524,15248,623.877456
2021-12-27,625.66,636.36,623.2935,634.77,443536,17162,633.050895
2021-12-28,637.04,639.5015,635.0,638.46,327302,14244,637.472634
2021-12-29,639.47,649.0,638.75,647.28,412304,15349,646.049711
2021-12-30,647.15,651.28,642.28,642.51,306338,12603,645.266977
2021-12-31,644.34,645.5,630.66,631.52,353162,14303,635.311468
2022-01-03,625.0,629.33,621.87,627.1,515290,19677,626.139061
2022-01-04,622.95,625.07,612.11,616.82,724527,23680,616.837816
2022-01-05,604.95,613.65,595.0,595.05,984876,31930,604.762278
2022-01-06,600.0,606.0199,594.97,598.44,675849,19718,600.299501
2022-01-07,598.44,607.01,592.86,603.73,583775,19670,602.486229
2022-01-10,603.73,621.61,602.13,621.27,819038,27890,614.328427
2022-01-11,623.19,628.08,617.76,626.09,614239,22591,623.960288
2022-01-12,624.45,632.39,620.83,631.44,584144,20091,628.413474
2022-01-13,632.75,632.75,614.1492,616.11,648502,21609,619.792798
2022-01-14,616.02,623.2,604.805,615.24,791362,23506,614.306979
2022-01-18,604.52,612.39,598.13,611.22,974022,28102,606.897504
2022-01-19,617.01,628.05,612.4,618.11,654508,25431,621.741842
2022-01-20,621.15,622.29,612.43,614.38,764077,22822,616.038982
2022-01-21,615.8,623.98,610.88,621.4,1326582,32905,617.932548
2022-01-24,614.1,623.54,601.25,621.48,1107675,42770,613.373515
2022-01-25,616.29,618.0,602.4,603.19,972649,29521,606.685875
2022-01-26,604.47,618.01,600.27,605.25,845888,31257,609.154991
2022-01-27,609.84,618.75,603.245,608.72,654881,25827,611.18077
2022-01-28,608.29,625.0,601.89,624.92,735650,27567,616.236764
2022-01-31,622.04,623.17,602.5075,608.59,920265,30967,609.516256
2022-02-01,607.46,613.93,600.22,613.36,736954,23796,608.992272
2022-02-02,613.36,623.4,596.9,622.85,1032088,29178,612.026233
2022-02-03,617.91,625.0,613.96,620.69,958437,30479,620.36385
2022-02-04,614.9,635.0,610.01,622.96,1203957,34291,623.876595
2022-02-07,620.73,625.11,613.32,622.36,903413,24479,620.318704
2022-02-08,620.01,621.9,612.04,617.94,844786,25595,618.75362
2022-02-09,620.0,620.96,616.26,619.77,799450,22724,618.988414
2022-02-10,613.34,624.55,608.39,618.22,738087,24603,619.530682
2022-02-11,620.57,645.0,617.5,638.41,1075148,30322,638.355174
2022-02-14,638.0,639.195,614.39,623.53,796088,26166,623.502048
2022-02-15,622.0,635.44,620.72,630.15,664019,18348,629.030156
2022-02-16,630.63,632.17,624.25,630.9,364441,17181,628.282147
2022-02-17,628.37,632.21,619.51,626.72,607715,20200,627.047937
2022-02-18,621.82,632.76,614.09,615.13,701680,23516,620.933881
2022-02-22,614.0,618.96,602.17,602.89,625925,22621,607.172213
2022-02-23,625.0,624.99,604.18,608.98,823722,26189,611.505119
