Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,90.95,91.24,87.6282,90.46,1631481,0.0
2020-09-22,90.71,91.37,89.39,90.62,1262208,0.0
2020-09-23,91,92.45,87.5,87.73,1935220,0.0
2020-09-24,86.87,88.1,85.12,86.76,1771362,0.0
2020-09-25,86.45,88.19,85.37,87.93,1387165,0.0
2020-09-28,89.79,92.6736,88.82,92.29,1237269,0.0
2020-09-29,91.85,92.14,90.2,91,1456774,0.0
2020-09-30,91.55,94.63,91.12,93.36,1551543,0.0
2020-10-01,94.11,96.27,93.95,94.83,1149118,0.0
2020-10-02,93,96.72,92.23,96.22,1555131,0.0
2020-10-05,96.61,97.295,95.905,97.01,846671,0.0
2020-10-06,97.41,97.5,94.215,94.7,1068332,0.0
2020-10-07,95.92,97.645,95.54,97.07,828403,0.0
2020-10-08,97.27,98.03,96.2,97.82,758111,0.0
2020-10-09,99.35,99.66,97.62,98.41,1292043,0.0
2020-10-12,98.92,99.86,98.07,98.63,1264601,0.0
2020-10-13,99.33,99.77,97.51,97.6,1058951,0.0
2020-10-14,97.61,98.92,96.12,96.35,899834,0.0
2020-10-15,95.37,96.94,94.88,96.18,1175403,0.0
2020-10-16,96.09,96.79,95,95.06,1381795,0.0
2020-10-19,95.26,95.66,90.5,90.95,2031821,0.0
2020-10-20,91.96,93.22,90.81,92.18,2894408,0.0
2020-10-21,92.04,92.86,90.8,92.18,1016082,0.0
2020-10-22,92.06,94.12,91.76,93.17,1632931,0.0
2020-10-23,94.51,95.46,92.585,95.43,968502,0.0
2020-10-26,94.1,94.64,90.38,91.64,1691822,0.0
2020-10-27,91.74,92.48,90.88,91.4,820779,0.0
2020-10-28,89.615,90.08,85.19,85.28,2575671,0.0
2020-10-29,85.33,87.72,84.72,86.97,1391458,0.0
2020-10-30,86.03,86.85,84.68,85.17,1952529,0.0
2020-11-02,86.9,88.79,86.43,88.6,1658557,0.0
2020-11-03,88.945,92.3,88.945,91.62,1461352,0.0
2020-11-04,92.33,94.43,91.17,92.15,1521341,0.0
2020-11-05,93.53,95.4,92.52,94.98,1433193,0.0
2020-11-06,95.16,95.16,92.58,93.31,1390443,0.0
2020-11-09,104.84,117.77,104.23,107.71,5419570,0.0
2020-11-10,107.52,109.89,106.26,109.32,2426895,0.0
2020-11-11,108.98,109.215,103.29,104.18,1949108,0.0
2020-11-12,103.76,105.46,102.55,104.49,1936357,0.0
2020-11-13,106.2,108.41,105.24,108.38,1934326,0.0
2020-11-16,109.7,110.97,106.48,110.87,2069363,0.0
2020-11-17,108.8,111.345,107.18,110.46,2008351,0.0
2020-11-18,110.47,115.64,110.45,111.32,3495719,0.0
2020-11-19,109.75,111.69,108.79,110.22,3098620,0.0
