Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,6.41,6.43,6.32,6.37,12468548,27510,6.368161
2021-01-04,6.38,6.39,6.12,6.17,35205416,82819,6.195978
2021-01-05,6.12,6.28,6.12,6.24,29624337,70267,6.225688
2021-01-06,6.24,6.53,6.23,6.52,37516464,77503,6.43932
2021-01-07,6.48,6.51,6.375,6.42,30891609,80938,6.440281
2021-01-08,6.38,6.39,5.91,5.91,63638520,102062,6.028342
2021-01-11,5.93,6.02,5.89,5.94,35523041,69621,5.955957
2021-01-12,5.95,5.99,5.87,5.88,31597853,67580,5.920497
2021-01-13,5.86,5.93,5.755,5.89,39399560,70513,5.864992
2021-01-14,5.92,5.96,5.815,5.83,28425595,68624,5.858133
2021-01-15,5.82,5.87,5.75,5.8,23586271,50927,5.811117
2021-01-19,5.8,6.01,5.8,5.95,29451947,60833,5.921423
2021-01-20,5.94,6.0,5.85,5.96,24827122,54213,5.95215
2021-01-21,5.93,6.04,5.88,5.99,21177292,47659,5.998893
2021-01-22,5.96,5.9974,5.87,5.97,19289215,45521,5.943248
2021-01-25,5.96,6.15,5.96,6.06,34144895,82402,6.058993
2021-01-26,6.05,6.59,6.05,6.55,53133715,91657,6.373936
2021-01-27,6.75,8.14,6.75,6.87,148419071,336799,7.142748
2021-01-28,6.83,6.92,6.38,6.4,67827814,183159,6.560402
2021-01-29,6.43,6.76,6.24,6.26,41425751,121525,6.393598
2021-02-01,6.35,6.4,6.16,6.26,28154954,78957,6.247782
2021-02-02,6.29,6.31,5.98,6.2,41944670,116864,6.155036
2021-02-03,6.14,6.28,6.125,6.18,30220706,75336,6.208753
2021-02-04,6.15,6.1822,6.07,6.12,26160035,64558,6.121203
2021-02-05,6.11,6.18,6.08,6.105,29497659,62114,6.116433
2021-02-08,6.13,6.19,6.03,6.055,30032852,62955,6.077379
2021-02-09,6.07,6.1,5.99,6.06,36966304,68119,6.049874
2021-02-10,6.04,6.1574,6.02,6.07,30634718,61143,6.088253
2021-02-11,6.07,6.12,6.0101,6.11,23036299,52950,6.074825
2021-02-12,6.09,6.13,6.02,6.09,18559533,43037,6.081895
2021-02-16,6.07,6.11,5.95,5.99,21835693,46790,6.008902
2021-02-17,5.97,6.07,5.92,6.01,24892843,52062,6.0174
2021-02-18,6.01,6.05,5.93,6.02,21633312,44169,5.997004
2021-02-19,5.98,6.08,5.98,6.01,18381155,45036,6.028237
2021-02-22,6.01,6.095,6.0,6.02,20538692,48696,6.048133
2021-02-23,6.02,6.05,5.865,5.95,25486208,50289,5.937511
2021-02-24,5.9,6.0,5.88,5.99,25853125,50016,5.94214
2021-02-25,5.97,6.04,5.81,5.86,31734920,58315,5.905951
2021-02-26,5.86,5.97,5.81,5.85,33220974,59847,5.892694
2021-03-01,5.89,6.04,5.84,6.02,20311083,52651,5.991234
2021-03-02,6.02,6.04,5.96,5.98,18158544,38777,6.004085
2021-03-03,5.97,6.0,5.87,5.89,20835432,45181,5.933347
2021-03-04,5.88,5.95,5.76,5.79,25692153,51731,5.844871
2021-03-05,5.81,5.92,5.76,5.89,30274219,62985,5.858605
2021-03-08,5.86,5.99,5.86,5.91,32574846,64279,5.936931
2021-03-09,5.93,6.04,5.88,5.97,27454053,53043,5.990199
2021-03-10,6.04,6.13,5.965,6.06,22841378,46612,6.070414
2021-03-11,6.07,6.18,6.05,6.14,18859565,41074,6.137042
2021-03-12,6.09,6.2,6.08,6.16,19988942,38984,6.155928
2021-03-15,6.19,6.29,6.16,6.25,19570388,43524,6.226524
2021-03-16,6.28,6.4,6.25,6.33,28734322,57474,6.349826
2021-03-17,6.29,6.31,6.16,6.29,27683717,61509,6.250217
