Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-08,35.67,36.64,35.625,36.42,299606,0.0
2020-05-11,36.3,36.98,36.16,36.58,302002,0.0
2020-05-12,36.59,37.2,36.23,36.32,379268,0.0
2020-05-13,36.25,36.89,35.44,35.56,292016,0.0
2020-05-14,35.39,35.39,33.732,34.03,497328,0.0
2020-05-15,33.98,34.53,33.41,33.46,456184,0.0
2020-05-18,33.89,34.44,33.44,34.3,349858,0.0
2020-05-19,34.14,34.56,32.9,32.9,316428,0.0
2020-05-20,33.28,34.68,33.09,33.89,420086,0.0
2020-05-21,34.06,34.52,33.54,34.23,358100,0.0
2020-05-22,34.46,34.46,33.57,33.9,255108,0.0
2020-05-26,34.25,34.94,34.25,34.45,261270,0.0
2020-05-27,34.7,35.4,34.425,35.09,620454,0.0
2020-05-28,35.3,35.7,35.12,35.51,211664,0.0
2020-05-29,35.57,35.72,34.93,35.61,261034,0.0
2020-06-01,35.6,35.7,35.23,35.5,288292,0.0
2020-06-02,35.46,35.5,35.065,35.27,284952,0.0
2020-06-03,35.55,35.86,35.28,35.69,409154,0.0
2020-06-04,35.5,35.79,35.32,35.43,290982,0.0
2020-06-05,36.02,36.02,35.41,35.8,403016,0.0
2020-06-08,35.72,37.015,35.72,36.34,248590,0.0
2020-06-09,36.19,36.82,35.66,36.575,274762,0.0
2020-06-10,36.57,37.14,36.48,36.97,279718,0.0
2020-06-11,36.5,36.87,35.41,35.71,380640,0.0
2020-06-12,36.12,36.31,34.81,34.81,98142,0.0
2020-06-15,33.88,35.04,33.57,35.04,406856,0.0
2020-06-16,35.46,36.04,34.8,35.56,296762,0.0
2020-06-17,35.63,36.19,35.23,35.64,367616,0.0
2020-06-18,35.38,36.1,35.18,35.48,285908,0.0
2020-06-19,35.64,35.769,34.87,35.28,470752,0.0
2020-06-22,35.26,35.26,34.41,34.6,131342,0.0
2020-06-23,34.67,34.87,33.97,34.19,160345,0.0
2020-06-24,34,34.07,33.24,33.72,219465,0.0
2020-06-25,33.83,33.89,32.91,33.4,180397,0.0
2020-06-26,33.3,33.74,32.63,32.69,200349,0.0
2020-06-29,33,34.14,32.98,33.56,122493,0.0
2020-06-30,33.49,34.34,33.49,34.26,184779,0.0
2020-07-01,34.28,34.7,34.16,34.17,116682,0.0
2020-07-02,34.38,34.72,34.32,34.4,90131,0.0
2020-07-06,34.78,34.88,33.96,34.07,120048,0.0
2020-07-07,33.8,34.12,33.74,33.86,133478,0.0
2020-07-08,33.78,33.92,33.1775,33.47,145997,0.0
2020-07-09,33.34,33.47,32.82,32.87,135399,0.0
2020-07-10,32.76,33.84,32.71,33.81,330840,0.0
2020-07-13,33.81,34.18,33.26,33.27,218123,0.0
2020-07-14,33.3,34.16,33.3,34.13,158358,0.0
2020-07-15,34.49,34.74,34.18,34.26,135384,0.0
2020-07-16,34.31,34.54,33.92,33.995,104481,0.0
2020-07-17,34.02,34.2,33.81,33.83,103610,0.0
2020-07-20,33.64,33.68,33.19,33.46,181585,0.0
2020-07-21,33.55,34,32.92,33.04,148977,0.0
2020-07-22,32.85,33.08,32.17,32.31,287929,0.0
2020-07-23,32.4,32.68,32.09,32.4,206152,0.0
2020-07-24,32.4,32.74,30.45,30.88,478405,0.0
2020-07-27,30.82,31.17,29.84,31.12,415272,0.0
2020-07-28,31.07,32.14,31.07,31.3,503587,0.0
2020-07-29,31.38,31.68,31.02,31.6,551062,0.0
2020-07-30,31.43,31.54,31.14,31.31,326512,0.0
2020-07-31,31.18,31.75,30.86,31.7,563228,0.0
2020-08-03,31.83,31.935,30.83,31.55,499852,0.0
2020-08-04,31.4,32.09,31.1,31.75,444342,0.0
2020-08-05,31.87,31.87,30.85,31.05,441373,0.0
2020-08-06,31,31.235,30.49,30.85,336884,0.0
2020-08-07,30.73,31.63,30.73,31.55,527592,0.0
2020-08-10,31.77,31.77,31.11,31.22,440096,0.0
2020-08-11,31.46,31.83,31.32,31.46,426840,0.0
2020-08-12,31.47,32.4,31.47,32.25,499656,0.0
2020-08-13,32.05,32.605,32,32.32,209566,0.0
2020-08-14,32.16,32.76,32.04,32.3,149899,0.0
2020-08-17,32.42,33.04,32.35,32.69,250396,0.0
2020-08-18,32.61,32.63,32.09,32.17,321572,0.0
2020-08-19,32.09,32.38,31.95,31.97,224624,0.0
2020-08-20,31.8,32.23,31.79,31.9,326276,0.0
2020-08-21,31.72,32.11,31.55,31.93,395528,0.0
2020-08-24,32,32.48,32,32.39,229230,0.0
2020-08-25,32.47,32.92,32.47,32.63,334536,0.0
2020-08-26,32.57,32.63,32.1537,32.63,210166,0.0
2020-08-27,32.78,33.14,32.43,32.48,241329,0.0
2020-08-28,32.55,32.56,31.925,32.14,203012,0.0
2020-08-31,32.02,32.18,31.69,31.99,330247,0.0
2020-09-01,31.9,32.01,31.2,31.38,371466,0.0
2020-09-02,31.2,32.03,31.2,31.84,439496,0.0
2020-09-03,31.94,32.288,31.4,31.64,244220,0.0
2020-09-04,31.87,32.03,31.395,31.83,281409,0.0
2020-09-08,31.75,31.99,30.87,31.18,264718,0.0
2020-09-09,31.3,31.65,31.0299,31.22,230969,0.0
2020-09-10,31.25,31.25,30.59,30.61,245858,0.0
2020-09-11,30.57,30.75,30.22,30.47,175836,0.0
2020-09-14,30.64,31.01,30.63,30.85,236640,0.0
2020-09-15,31.05,31.05,30.54,30.64,85388,0.0
2020-09-16,30.76,31.03,30.56,30.58,105086,0.0
2020-09-17,30.43,30.53,30.135,30.36,159899,0.0
2020-09-18,30.54,30.69,29.95,30.21,228450,0.0
2020-09-21,29.9,29.99,29.25,29.705,204633,0.0
2020-09-22,29.7,30.0973,29.37,29.64,205779,0.0
2020-09-23,29.63,29.63,29.02,29.06,95673,0.0
