Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-03,283.72,283.8,274.06,277.01,3066434,0.0
2020-06-04,274.27,279.285,270.76,272.74,1373546,0.0
2020-06-05,270.82,271.68,262.55,265.68,2375536,0.0
2020-06-08,264.05,265.84,261.28,265.02,3481712,0.0
2020-06-09,267.28,275.1399,265.09,270.72,4657930,0.0
2020-06-10,275.76,277.9,271.81,274.01,1395326,0.0
2020-06-11,275.56,276.36,263.67,263.71,2868108,0.0
2020-06-12,268.12,271.39,266.56,269.11,420648,0.0
2020-06-15,264.77,268.52,262.24,268.05,1214569,0.0
2020-06-16,270.43,275.69,268.22,273.6,2624497,0.0
2020-06-17,273.88,282.76,273.77,280.13,1433369,0.0
2020-06-18,279.4,282.2163,275.93,279.18,2306383,0.0
2020-06-19,280.3,295.54,280.3,293.25,2484390,0.0
2020-06-22,294,295,287.8001,293.16,1429202,0.0
2020-06-23,294.06,299.21,293.31,295.99,1373816,0.0
2020-06-24,294.93,297.71,288.9,291.19,1350842,0.0
2020-06-25,292.38,295.36,288.8315,295.19,943568,0.0
2020-06-26,292.68,293,284.74,285.99,1320396,0.0
2020-06-29,286.95,287.65,280.89,285.19,1010083,0.0
2020-06-30,287.68,292.37,283,290.59,1694920,0.0
2020-07-01,290.5,291.66,283.7911,286.28,1561577,0.0
2020-07-02,288.52,293.95,287.45,291.34,974630,0.0
2020-07-06,294.36,295,289.63,291.44,1066800,0.0
2020-07-07,292.3,306.08,291.45,299.11,1408458,0.0
2020-07-08,300.05,301.65,292.13,295.95,1240090,0.0
2020-07-09,295.52,297.79,290.05,295.4,964744,0.0
2020-07-10,293.95,295,290.86,294.45,740990,0.0
2020-07-13,293.05,296.85,283.85,284.74,1339889,0.0
2020-07-14,283.14,294.72,279.117,293.83,1442822,0.0
2020-07-15,292.76,295.346,290.2,295.11,857862,0.0
2020-07-16,292.01,293.33,284.69,290.68,770613,0.0
2020-07-17,291.528,294.67,289.28,294.53,778428,0.0
2020-07-20,292.69,304,292.69,303.11,1080630,0.0
2020-07-21,300.65,301.14,290.96,291.4,938521,0.0
2020-07-22,293.56,293.56,286.46,291.28,704014,0.0
2020-07-23,291.33,291.99,283.32,284.52,1123880,0.0
2020-07-24,279.17,281.78,277.14,278.55,1480872,0.0
2020-07-27,280.8395,285.57,277.68,284.46,1261139,0.0
2020-07-28,283.83,284.59,278.14,278.77,933499,0.0
2020-07-29,280.28,281.59,278.09,278.72,803446,0.0
2020-07-30,275.0753,282.28,274.662,279.46,1311472,0.0
2020-07-31,278.8772,283,268.25,272,2469277,0.0
2020-08-03,274.2,280.59,274,279.51,1523591,0.0
