Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,142.0,142.59,140.07,141.77,1277285,16386,141.318484
2021-01-04,142.43,149.26,141.2,142.43,2416558,32397,143.873675
2021-01-05,141.7,144.34,141.27,144.23,2617602,21297,143.751361
2021-01-06,141.92,144.73,138.83,141.22,3342107,41976,142.085018
2021-01-07,142.66,150.005,142.45,149.71,2597939,31984,147.975478
2021-01-08,150.46,151.42,146.81,147.99,2856648,38994,148.512839
2021-01-11,147.78,154.93,146.61,151.08,4429373,56010,151.838483
2021-01-12,151.94,153.5071,145.12,146.67,5917444,53659,147.666513
2021-01-13,143.47,145.11,140.08,141.17,3630499,41965,141.641435
2021-01-14,141.39,141.77,138.73,140.0,3665378,53206,140.199785
2021-01-15,140.04,141.26,136.152,136.6,2305247,34986,137.733366
2021-01-19,138.45,139.47,135.88,139.36,3309572,37847,138.607642
2021-01-20,140.06,141.55,137.85,138.0,4637416,32198,138.587437
2021-01-21,138.78,142.36,137.51,141.16,3364687,46373,140.267602
2021-01-22,145.28,148.32,141.98,142.94,3102683,42306,144.084798
2021-01-25,145.23,148.1,141.31,145.14,2500029,41180,144.753855
2021-01-26,146.26,146.98,143.82,144.39,3265671,34117,144.960791
2021-01-27,140.12,140.12,130.81,133.86,3996768,56695,135.639283
2021-01-28,137.05,137.19,133.03,133.57,2457455,36848,134.403725
2021-01-29,132.71,134.71,129.57,130.57,2754103,31778,131.265422
2021-02-01,132.22,135.64,130.31,135.31,2826805,38832,133.539904
2021-02-02,136.7,137.91,134.7,137.31,4443961,29875,137.064106
2021-02-03,137.48,138.51,135.11,135.39,2965455,26447,135.811392
2021-02-04,135.52,136.66,134.22,136.28,1240638,18496,135.816961
2021-02-05,137.0,137.37,134.83,136.48,1917860,26786,136.374655
2021-02-08,136.88,142.8,136.75,141.43,2662778,37360,141.200047
2021-02-09,141.21,142.94,140.25,140.85,1536030,22234,141.314217
2021-02-10,142.25,144.47,140.12,143.15,2189008,21558,142.868417
2021-02-11,144.15,145.1,141.55,144.2,1615761,18903,143.601975
2021-02-12,143.84,146.17,143.155,145.75,1529605,16348,145.177704
2021-02-16,145.75,145.75,141.32,142.58,1654338,20087,143.059481
2021-02-17,140.85,141.63,137.5482,139.32,1593036,23869,139.494377
2021-02-18,137.95,138.55,135.35,137.56,1171503,19577,136.91094
2021-02-19,138.78,140.09,137.7,138.71,1812196,20829,138.769705
2021-02-22,136.51,136.63,131.04,131.29,2119969,30433,133.160722
2021-02-23,129.02,131.44,122.11,130.35,2868390,36985,128.290059
2021-02-24,129.19,134.09,127.2,133.81,3820781,30593,132.792048
2021-02-25,131.89,133.83,124.59,125.66,2877134,41685,127.493259
2021-02-26,128.17,131.5,126.59,130.3,2489021,31009,130.036441
2021-03-01,131.53,133.97,129.47,133.79,2156234,24379,132.753606
2021-03-02,134.41,134.41,129.82,129.95,1726427,23323,131.499448
2021-03-03,129.72,129.96,123.49,123.51,2448315,40636,125.513954
2021-03-04,123.0,125.1,116.46,117.12,4423015,58136,118.835177
2021-03-05,119.83,120.38,111.84,119.95,2842339,44734,117.616056
2021-03-08,119.0,120.14,112.01,112.09,2506378,37262,114.479813
2021-03-09,116.06,121.28,115.455,120.28,3035592,39066,119.552064
2021-03-10,121.66,122.49,118.53,118.74,1755559,24075,119.655262
2021-03-11,122.02,127.06,121.7607,126.09,3624838,43661,125.386261
2021-03-12,123.05,125.7658,122.87,125.45,1450716,20462,124.831586
2021-03-15,126.44,128.87,125.75,128.62,2256339,27033,128.082367
2021-03-16,130.06,132.3185,128.3463,129.18,2264333,28530,130.239201
2021-03-17,127.49,130.33,125.4,129.19,1936698,29234,128.189126
2021-03-18,126.09,127.3,121.46,122.25,2740408,37492,123.143894
2021-03-19,122.91,123.85,120.72,122.88,6379439,38637,122.786018
2021-03-22,124.17,127.06,123.23,125.35,2697356,23976,125.163775
