Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-23,260.84,264.9,249.21,251.29,4477335,0.0
2020-07-24,240.2708,250.21,239.3,246.71,3237331,0.0
2020-07-27,249.28,252.97,246.22,252.32,3211813,0.0
2020-07-28,252.7,258.91,251.32,252.17,3092337,0.0
2020-07-29,255.55,259.93,251.15,252.37,3192288,0.0
2020-07-30,250.3135,256.3263,239.32,250,7847174,0.0
2020-07-31,253.5,255.2,248.3601,253.89,3161020,0.0
2020-08-03,256.83,271.1,256.11,267.98,6673775,0.0
2020-08-04,268,269.19,262,267.52,2942455,0.0
2020-08-05,266.29,275.0939,262.52,272.9,4365206,0.0
2020-08-06,273.87,274.48,263.91,268.26,3504800,0.0
2020-08-07,266.45,268,252.79,258.73,4923565,0.0
2020-08-10,259.14,261.44,244.54,249.81,5099012,0.0
2020-08-11,245.48,245.48,230,231.04,9392057,0.0
2020-08-12,232.3,239.4,230.75,236.87,3794388,0.0
2020-08-17,248.7,267.94,248.51,266.14,8775994,0.0
2020-08-18,271.72,277.78,265.5,277,6312399,0.0
2020-08-19,274.6849,279.59,270.3221,273.5,4504045,0.0
2020-08-20,274.45,290.88,273.99,290.6998,9150967,0.0
2020-08-21,291,295.97,286.9442,289.68,5015835,0.0
2020-08-24,285.55,286.46,274.1059,282.27,4676799,0.0
2020-08-25,279,293.7216,275.8101,290.39,4460178,0.0
2020-08-26,293,302,290.85,295.14,5510776,0.0
2020-08-27,295.69,301.52,290.33,294.68,5422069,0.0
2020-08-28,299.22,303.58,297.26,299.12,5097272,0.0
2020-08-31,304.01,325.8998,301.27,325.25,14356591,0.0
2020-09-01,439.51,478,410.68,457.6276,49983388,0.0
2020-09-02,445.67,445.67,410,423.513,18146552,0.0
2020-09-03,399.55,409.9,367,381.37,19698498,0.0
2020-09-04,375.5,386.01,346.76,369.9615,12868625,0.0
2020-09-08,350.7,365.4999,345.68,350.88,7503617,0.0
2020-09-09,369.75,394.7992,362.1234,389.55,16871594,0.0
2020-09-10,399.9,407.82,378.36,384.47,9822531,0.0
2020-09-11,389.13,400.7504,373.05,382.6,9045215,0.0
2020-09-14,391.7449,404.36,386.13,403.51,7538089,0.0
2020-09-15,410,413.5,391.0501,410.94,8275029,0.0
2020-09-16,406.2738,419.42,404.22,408.18,6176235,0.0
2020-09-17,389,417.82,387,413.12,8467806,0.0
2020-09-18,419.8,442,407.5,439,13040802,0.0
2020-09-21,434,470,434,468.49,15729713,0.0
2020-09-22,477,494.8999,458.75,492.57,15526782,0.0
2020-09-23,489.49,529.74,483.2534,500.69,26861257,0.0
2020-09-24,487.01,502.25,457.69,465.18,17698753,0.0
2020-09-25,474.87,500,474.87,496.5,12606601,0.0
2020-09-28,502.41,519.77,479.57,487.855,17261178,0.0
2020-09-29,488.13,489.8,463,465.45,14746435,0.0
2020-09-30,464.21,481.5552,462,469.69,8578423,0.0
2020-10-01,477,483.73,465,483.08,7569160,0.0
2020-10-02,485.005,507.4899,481,482.22,11984395,0.0
2020-10-05,493.97,496.9,475.26,485.26,7078829,0.0
2020-10-06,480.51,487.8999,473.2229,478.45,5575795,0.0
2020-10-07,482.5,487.5,477.11,480.67,4142042,0.0
2020-10-08,484,489.49,475.58,478.48,4062016,0.0
2020-10-09,487.99,498.9,484.08,492.51,8494961,0.0
2020-10-12,501.48,506.11,490.4779,491.54,6689361,0.0
2020-10-13,497.38,520,494.13,518.53,8253240,0.0
2020-10-14,518.78,519.8,498.6,509.43,7822977,0.0
2020-10-15,509.08,540.05,506.5,536.4,15993242,0.0
2020-10-16,544.39,565.45,543.25,559.42,13243870,0.0
2020-10-19,572.5,588.84,562.77,568.34,14424634,0.0
2020-10-20,572.33,575.69,534.59,537.02,11581671,0.0
2020-10-21,535.88,551.66,511.78,513.2,6165566,0.0
2020-10-22,521.78,530.4299,503.47,520.6,7776621,0.0
2020-10-23,522.33,526.9999,505.41,511.52,5163009,0.0
2020-10-26,520.4885,541.105,510.31,517.79,9802120,0.0
2020-10-27,525.22,540,513.3,538.99,6798844,0.0
2020-10-28,549.5,553.8594,511.5001,515.59,8239325,0.0
2020-10-29,521.19,525.455,483.5,489.84,8824814,0.0
2020-10-30,481.5,495.95,457.0201,460.9,8408056,0.0
2020-11-02,462.29,477,440,452.99,7695065,0.0
2020-11-03,456.3284,461.88,445.01,451.5,6176250,0.0
2020-11-04,471.92,484.94,455.4,483.7,7617028,0.0
2020-11-05,497.99,499.35,480.761,496.81,5565209,0.0
2020-11-06,494.66,505.88,482.73,500.11,4078239,0.0
2020-11-09,433,446.47,402,413.2,16401675,0.0
2020-11-10,412.5035,414.45,366.28,376.255,19809674,0.0
2020-11-11,391.65,419.8,385,413.34,16213050,0.0
2020-11-12,427.85,435.75,419.61,428.9,13949992,0.0
2020-11-13,425.99,428.4685,396.87,402.405,10633715,0.0
2020-11-16,382.6,400.8,375.1,390.25,7954849,0.0
2020-11-17,406.29,411.5,396.32,401.58,6822331,0.0
2020-11-18,399,423.5,390.22,415.12,10165095,0.0
2020-11-19,408.99,427.89,407.5,414.35,7724208,0.0
2020-11-20,418.55,445.3,415.56,439.61,12423700,0.0
2020-11-23,432.01,436.513,417.88,430.28,8269374,0.0
2020-11-24,421.505,438.8323,420.01,427.55,5817040,0.0
2020-11-25,435.85,448.48,433.3301,444.12,8381649,0.0
2020-11-27,453.99,472.04,449,471.61,6890880,0.0
2020-11-30,485.7,486.83,460,479.17,12303489,0.0
2020-12-01,434.72,434.99,401.72,406.3001,20152268,0.0
2020-12-02,399,424.55,394.57,412.679,10282965,0.0
2020-12-03,413,419.17,405.02,413.41,6025057,0.0
2020-12-04,409.26,418.88,408.1861,409.99,4317178,0.0
2020-12-07,411,416.8,405.4538,407.86,4287350,0.0
2020-12-08,408.87,419.5,406.75,412,5086975,0.0
2020-12-09,406.7478,409.99,381.5,385.36,8688685,0.0
2020-12-10,382.73,399,380.27,397.97,4149143,0.0
2020-12-11,395.35,397.3393,384.6136,396.96,4414266,0.0
2020-12-14,388.95,396.75,376.68,395.99,6422499,0.0
2020-12-15,398.505,410.32,395.08,399.42,4966001,0.0
2020-12-16,400.4861,406.5579,393.46,403.98,3959141,0.0
2020-12-17,408.72,409.03,399.56,401.62,3570972,0.0
2020-12-18,403.8,408.11,398.25,405.96,3757973,0.0
2020-12-21,418.07,427.7594,404.58,408.97,7918415,0.0
2020-12-22,408.5,413.5,396.5,409,3772727,0.0
2020-12-23,402,402.6,378.58,384.02,9241791,0.0
2020-12-24,383.88,384.88,375,375.16,3737410,0.0
2020-12-28,370.4,373.28,349.0197,351.4,9347560,0.0
2020-12-29,350.6597,359.9072,350.13,353.46,5727498,0.0
2020-12-30,358.42,358.7,345.4,353.4,5293211,0.0
2020-12-31,351.77,351.83,336.1,337.16,6313201,0.0
2021-01-04,340.4,363.09,339.2,359.78,8329395,0.0
2021-01-05,360.39,365.01,349,360.9,4811828,0.0
2021-01-06,351,352.94,341.92,344.4,6299903,0.0
2021-01-07,346,354.48,341.6,342.4,5381343,0.0
2021-01-08,345.2,350,340.34,349.78,4596067,0.0
2021-01-11,344.98,349.96,336.85,337.61,3208244,0.0
2021-01-12,333.2,358.9,331.1,356.59,8135940,0.0
2021-01-13,360,384.23,348.6512,364.52,13142598,0.0
2021-01-14,371,384.95,370.5,383.079,8645125,0.0
2021-01-15,397.71,404.44,382.0701,384.73,11906834,0.0
2021-01-19,391.01,396.77,385.5101,393.8,5245950,0.0
2021-01-20,399.11,399.53,378.3187,382.87,5496328,0.0
2021-01-21,383.03,387.21,372.03,382.81,4436294,0.0
2021-01-22,380.99,385.2899,376.38,383.51,2669051,0.0
2021-01-25,388.99,398.8,378.27,391.87,5001535,0.0
2021-01-26,391.08,395.8199,372.2,374.41,4740416,0.0
2021-01-27,367.5,384.2544,362.7655,370.74,4207841,0.0
2021-01-28,368,383.3139,363.86,378.68,3235294,0.0
2021-01-29,379,385.91,358.6201,372.07,3725998,0.0
2021-02-01,369,382.78,368.13,381.74,3286467,0.0
2021-02-02,384.5,394.89,378.6801,391.85,3616730,0.0
2021-02-03,395.79,395.79,379,380.44,3122786,0.0
2021-02-04,383.5,390,376.87,389.98,2429353,0.0
2021-02-05,387.86,420,387.86,419.75,9492174,0.0
2021-02-08,420.74,422,406.5,410.35,3557246,0.0
2021-02-09,411.6946,434.67,410.3128,430.45,4918601,0.0
2021-02-10,431.89,441.22,416.1443,430.8,4495979,0.0
