Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-19,16.89,16.94,15.415,16,168850596,0.0
2020-06-22,14.9,15.52,14.72,14.915,110098582,0.0
2020-06-23,13.76,14.29,13.71,13.99,171079163,0.0
2020-06-24,13.59,13.9,12.83,13.0101,126125393,0.0
2020-06-25,12.53,13.24,12.18,13.14,113202547,0.0
2020-06-26,13.2,13.285,12.13,12.36,99891557,0.0
2020-06-29,12.57,13.51,12.02,13.32,112807147,0.0
2020-06-30,13.1,13.48,12.88,13.05,67112766,0.0
2020-07-01,13.48,14.29,12.631,12.8,112286300,0.0
2020-07-02,13.35,13.42,12.42,12.495,82026327,0.0
2020-07-06,12.8,12.92,12.21,12.8,75592878,0.0
2020-07-07,12.51,12.54,11.91,11.92,76510915,0.0
2020-07-08,11.6,12.08,11.43,11.99,82975276,0.0
2020-07-09,11.94,11.94,11.15,11.18,76078981,0.0
2020-07-10,11,11.95,10.98,11.94,87480003,0.0
2020-07-13,12.13,12.27,11.4501,11.64,65233991,0.0
2020-07-14,11.32,11.84,11.215,11.55,43186217,0.0
2020-07-15,12.45,13.48,12.21,13.44,126607925,0.0
2020-07-16,12.8,13.07,12.29,12.43,79212874,0.0
2020-07-17,12.48,12.6,11.89,11.92,66744054,0.0
2020-07-20,11.93,12.51,11.35,11.455,61828455,0.0
2020-07-21,11.57,11.79,11.28,11.47,62719148,0.0
2020-07-22,11.38,11.67,11.3,11.36,41441300,0.0
2020-07-23,11.27,12.41,11.01,11.77,114661317,0.0
2020-07-24,11.39,11.82,11.35,11.38,45585987,0.0
2020-07-27,11.48,11.7938,11.18,11.39,69439009,0.0
2020-07-28,11.37,11.995,11.36,11.77,62070276,0.0
2020-07-29,11.8,11.92,11.3,11.4,52114184,0.0
2020-07-30,11.22,11.39,11.12,11.17,39241800,0.0
2020-07-31,11.16,11.25,10.8,11.12,50739710,0.0
2020-08-03,11.07,11.235,10.71,11.08,48241105,0.0
2020-08-04,11.21,11.88,11.16,11.47,54703956,0.0
2020-08-05,11.84,12.85,11.55,12.57,112940203,0.0
2020-08-06,13.04,13.29,12.47,13.025,124099024,0.0
2020-08-07,12.86,13.16,12.58,13.0281,59978638,0.0
2020-08-10,13.29,14.31,13.21,13.9981,120099841,0.0
2020-08-11,15.02,15.1,13.55,13.73,118781469,0.0
2020-08-12,14.03,14.06,13.1,13.545,75303584,0.0
2020-08-13,13.19,13.9,13.11,13.3,45448678,0.0
2020-08-14,13.11,13.56,13.01,13.33,43568982,0.0
2020-08-17,13.32,13.38,12.61,12.625,55200565,0.0
2020-08-18,12.6,12.88,12.51,12.61,32340276,0.0
2020-08-19,12.65,13.44,12.58,12.675,58320864,0.0
2020-08-20,12.38,12.67,12.26,12.495,40054467,0.0
2020-08-21,12.4385,12.63,12.09,12.17,34643968,0.0
2020-08-24,12.8717,13.48,12.8717,13.44,81450991,0.0
2020-08-25,13.69,14.02,12.77,13.14,76171676,0.0
2020-08-26,13.11,13.26,12.7,12.79,43223762,0.0
2020-08-27,13.43,14.26,13.12,13.275,104744836,0.0
2020-08-28,13.59,13.63,13.23,13.595,52382388,0.0
2020-08-31,13.6,13.74,13.05,13.05,43754318,0.0
2020-09-01,12.86,13.84,12.66,13.1,71470485,0.0
2020-09-02,12.94,13.34,12.67,13.225,56797603,0.0
2020-09-03,13.4,14.07,13.03,13.365,85286082,0.0
2020-09-04,13.65,13.82,12.96,13.62,62675745,0.0
2020-09-08,13.36,14.16,13.15,13.62,70057819,0.0
2020-09-09,13.48,13.58,12.8,13.05,79046518,0.0
2020-09-10,13.35,13.41,12.97,13.005,40994193,0.0
2020-09-11,13.08,13.08,12.68,12.96,43392533,0.0
2020-09-14,13.02,13.29,12.9,13.27,38951347,0.0
2020-09-15,13.2686,13.66,13.0823,13.135,39127361,0.0
2020-09-16,13.21,13.96,12.98,13.8,77083793,0.0
2020-09-17,13.5,14.08,13.36,13.63,48300777,0.0
2020-09-18,13.51,13.59,13.03,13.22,51354994,0.0
2020-09-21,12.82,12.98,12.08,12.215,57579130,0.0
2020-09-22,12.3,12.5,12.18,12.36,30963561,0.0
2020-09-23,12.53,12.74,11.91,11.94,44174116,0.0
2020-09-24,11.74,12,11.22,11.77,48227997,0.0
2020-09-25,11.76,12.31,11.71,12.29,40386762,0.0
2020-09-28,12.74,13.15,12.49,12.765,59567766,0.0
